SNID,IDSURVEY,RA,DEC,HOSTGAL_OBJID,HOSTGAL_RA,HOSTGAL_DEC,HOSTGAL_SPECZ,HOSTGAL_PHOTOZ,FULL_SNID
2001ah,63,167.62425,55.16083,0,-999,-999,-9,-9,
2001ay,63,216.57083,26.24883,0,-999,-999,-9,-9,
2001az,63,248.61546,76.02967,0,-999,-999,-9,-9,
2001eh,63,24.55042,41.65522,0,-999,-999,-9,-9,
2002bf,63,153.92629,55.66853,0,-999,-999,-9,-9,
2002he,63,124.99512,62.82033,0,-999,-999,-9,-9,
2002hu,63,34.58358,37.46633,0,-999,-999,-9,-9,
2003U,63,260.69025,62.164,0,-999,-999,-9,-9,
2003ch,63,109.49133,9.69303,0,-999,-999,-9,-9,
2003fa,63,266.03217,40.881,0,-999,-999,-9,-9,
2003ic,63,10.45929,-9.30528,0,-999,-999,-9,-9,
2003it,63,1.45196,27.45267,0,-999,-999,-9,-9,
2003iv,63,42.53021,12.84625,0,-999,-999,-9,-9,
2004L,63,156.76712,16.01869,0,-999,-999,-9,-9,
2004as,63,171.41325,22.83039,0,-999,-999,-9,-9,
2004ef,64,340.54175,19.99456,0,-999,-999,-9,-9,
2004gc,5,80.45812,6.67603,0,-999,-999,-9,-9,
2004gs,5,129.59658,17.62772,0,-999,-999,-9,-9,
2004gu,5,191.603,11.94892,0,-999,-999,-9,-9,
2005M,64,126.7765,21.646,0,-999,-999,-9,-9,
2005eq,64,47.20546,-7.03325,0,-999,-999,-9,-9,
2005eu,64,36.93025,28.17683,0,-999,-999,-9,-9,
2005hc,64,29.199791,-0.21372,0,-999,-999,-9,-9,
2005hj,64,21.701672,-1.238135,0,-999,-999,-9,-9,
2005iq,64,359.63542,-18.70917,0,-999,-999,-9,-9,
2005ir,64,19.18251,0.794628,0,-999,-999,-9,-9,
2005ku,5,344.927528,-0.01373,0,-999,-999,-9,-9,
2005lz,64,32.70733,34.98283,0,-999,-999,-9,-9,
2005ms,64,132.30975,36.12997,0,-999,-999,-9,-9,
2005na,64,105.40258,14.13325,0,-999,-999,-9,-9,
2006S,64,191.41292,35.08678,0,-999,-999,-9,-9,
2006al,64,159.86775,5.18342,0,-999,-999,-9,-9,
2006az,64,183.06117,56.17939,0,-999,-999,-9,-9,
2006cf,64,163.51075,46.02675,0,-999,-999,-9,-9,
2006cq,64,201.10458,30.95631,0,-999,-999,-9,-9,
2006en,64,347.52108,30.22333,0,-999,-999,-9,-9,
2006ev,64,322.74692,13.98922,0,-999,-999,-9,-9,
2006gr,64,338.09446,30.82869,0,-999,-999,-9,-9,
2006lu,5,138.82346,-25.60008,0,-999,-999,-9,-9,
2006mo,64,11.66062,36.33272,0,-999,-999,-9,-9,
2006oa,64,320.928932,-0.843469,0,-999,-999,-9,-9,
2006ob,64,27.9506,0.263312,0,-999,-999,-9,-9,
2006on,64,328.993702,-1.070198,0,-999,-999,-9,-9,
2006py,5,340.425196,-0.136905,0,-999,-999,-9,-9,
2006qo,64,120.03488,56.36881,0,-999,-999,-9,-9,
2006te,64,122.92912,41.55467,0,-999,-999,-9,-9,
2007O,64,24.348734,-0.311997,0,-999,-999,-9,-9,
2007R,64,116.65637,44.78947,0,-999,-999,-9,-9,
2007ae,64,255.46646,79.03183,0,-999,-999,-9,-9,
2007bd,64,127.88867,-1.19944,0,-999,-999,-9,-9,
2007co,64,275.765,29.89711,0,-999,-999,-9,-9,
2007cq,64,333.66846,5.08025,0,-999,-999,-9,-9,
2007hu,65,254.12483,27.97789,0,-999,-999,-9,-9,
2007is,65,251.81079,40.24358,0,-999,-999,-9,-9,
2007jg,5,52.461727,0.056828,0,-999,-999,-9,-9,
2007kk,65,55.59692,39.24178,0,-999,-999,-9,-9,
2007nq,65,14.38987,-1.38861,0,-999,-999,-9,-9,
2007ob,65,348.10829,13.91369,0,-999,-999,-9,-9,
2007sw,65,183.40367,46.49336,0,-999,-999,-9,-9,
2007ux,65,152.33325,14.99244,0,-999,-999,-9,-9,
2008050,65,204.19829,5.14178,0,-999,-999,-9,-9,
2008051,65,229.9955,4.90464,0,-999,-999,-9,-9,
2008ar,65,186.158,10.83817,0,-999,-999,-9,-9,
2008bz,65,189.74058,11.1295,0,-999,-999,-9,-9,
2008cf,65,211.88567,-26.55183,0,-999,-999,-9,-9,
2008fr,65,17.95475,14.64083,0,-999,-999,-9,-9,
2008gb,65,44.48804,46.86572,0,-999,-999,-9,-9,
2008gl,65,20.22842,4.80531,0,-999,-999,-9,-9,
2008gp,5,50.75304,1.36189,0,-999,-999,-9,-9,
2008hj,65,1.00796,-11.16875,0,-999,-999,-9,-9,
2009ad,65,75.88908,6.65992,0,-999,-999,-9,-9,
2009bv,65,196.83529,35.78439,0,-999,-999,-9,-9,
2009do,65,188.74312,50.85122,0,-999,-999,-9,-9,
2010ag,66,255.97346,31.50172,0,-999,-999,-9,-9,
2010dt,66,250.81117,32.67511,0,-999,-999,-9,-9,
2010dw,66,230.66796,-5.92108,0,-999,-999,-9,-9,
2016afk,150,155.624551,15.09661,0,-999,-999,-9,-9,
ASASSN-15bc,150,61.560987,-8.88561,0,-999,-999,-9,-9,
ASASSN-15fa,150,257.441766,62.974304,0,-999,-999,-9,-9,
ASASSN-15hg,150,148.452399,9.1939,0,-999,-999,-9,-9,
ASASSN-15jl,150,230.671101,50.976641,0,-999,-999,-9,-9,
ASASSN-15lu,150,200.3037,40.265739,0,-999,-999,-9,-9,
ASASSN-15mf,150,213.594775,2.97552,0,-999,-999,-9,-9,
ASASSN-15mg,150,233.094056,41.85038,0,-999,-999,-9,-9,
ASASSN-15np,150,226.510788,7.561464,0,-999,-999,-9,-9,
ASASSN-15nq,150,259.330106,33.462101,0,-999,-999,-9,-9,
ASASSN-15pm,150,24.650403,-4.6798,0,-999,-999,-9,-9,
ASASSN-15pn,150,60.85976,-5.492007,0,-999,-999,-9,-9,
ASASSN-15pr,150,346.664539,-12.572771,0,-999,-999,-9,-9,
ASASSN-15ss,150,93.139106,-14.257483,0,-999,-999,-9,-9,
ASASSN-15tg,150,5.170989,25.229048,0,-999,-999,-9,-9,
ASASSN-16aj,150,65.450896,-15.755359,0,-999,-999,-9,-9,
ASASSN-16ay,150,108.059415,7.239544,0,-999,-999,-9,-9,
ASASSN-16bc,150,181.357495,-21.400446,0,-999,-999,-9,-9,
ASASSN-16bq,150,212.860434,1.285972,0,-999,-999,-9,-9,
ASASSN-16br,150,236.376231,-13.152811,0,-999,-999,-9,-9,
ASASSN-16ct,150,228.476312,4.757256,0,-999,-999,-9,-9,
ASASSN-16db,150,167.357227,29.573201,0,-999,-999,-9,-9,
ASASSN-16dw,150,202.503228,-27.973939,0,-999,-999,-9,-9,
ASASSN-16fo,150,203.149166,-5.272513,0,-999,-999,-9,-9,
ASASSN-16fs,150,221.776669,11.59492,0,-999,-999,-9,-9,
ASASSN-16hc,150,209.768368,33.139016,0,-999,-999,-9,-9,
