SURVEY:  DES3YR_LOWZ_COMBINED(CFA3S)
SNID:    2002dp      
IAUC:    2002dp      
RA:       352.12543  deg
DECL:      22.42724  deg
MWEBV: 0.049 (SFD98)
REDSHIFT_HELIO: 0.0116357310767 +- 0.000 (Hel)
REDSHIFT_CMB: 0.0104468800128 +- 0.000 (CMB)
REDSHIFT_FINAL: 0.0104468800128 +- 0.000 (CMB)
HOSTGAL_LOGMASS: 10.5670 +- 0.486
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 52451.23
FILTERS:  abcdefghijklmnopqrstuvwxyzA  # UBVRI -> abcde       
#
# Variables copied from
#   /project/rkessler/SN/INTERNAL/DES/simlibs/VPEC_LOWZ.TXT
VPEC:  -19.8911454364
VPEC_ERR:  250.0
#
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS:   55
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  52446.469  a  NULL  0.1483E+06   6823.     14.572  0.046
OBS:  52446.473  b  NULL  0.1059E+06   3282.     14.938  0.031
OBS:  52446.477  c  NULL  0.1184E+06   2722.     14.817  0.023
OBS:  52446.477  d  NULL  0.1364E+06   4637.     14.663  0.034
OBS:  52446.477  e  NULL  0.1388E+06   4442.     14.644  0.032
OBS:  52448.461  a  NULL  0.1695E+06   7459.     14.427  0.044
OBS:  52448.465  b  NULL  0.1204E+06   3132.     14.798  0.026
OBS:  52448.465  c  NULL  0.1354E+06   3249.     14.671  0.024
OBS:  52448.469  d  NULL  0.1505E+06   5118.     14.556  0.034
OBS:  52448.469  e  NULL  0.1422E+06   3696.     14.618  0.026
OBS:  52449.477  c  NULL  0.1384E+06   3599.     14.647  0.026
OBS:  52449.480  d  NULL  0.1519E+06   5013.     14.546  0.033
OBS:  52449.480  e  NULL  0.1398E+06   4475.     14.636  0.032
OBS:  52450.461  a  NULL  0.1586E+06   7139.     14.499  0.045
OBS:  52450.465  c  NULL  0.1361E+06   3948.     14.665  0.029
OBS:  52450.465  d  NULL  0.1482E+06   4742.     14.573  0.032
OBS:  52450.469  e  NULL  0.1335E+06   3873.     14.686  0.029
OBS:  52450.469  a  NULL  0.1543E+06   7098.     14.529  0.046
OBS:  52450.473  b  NULL  0.1245E+06   6101.     14.762  0.049
OBS:  52450.477  c  NULL  0.1402E+06   2664.     14.633  0.019
OBS:  52450.477  d  NULL  0.1485E+06   5493.     14.571  0.037
OBS:  52450.480  e  NULL  0.1297E+06   4149.     14.718  0.032
OBS:  52452.461  a  NULL  0.1409E+06   6339.     14.628  0.045
OBS:  52452.465  b  NULL  0.1109E+06   4546.     14.888  0.041
OBS:  52452.469  c  NULL  0.1418E+06   3261.     14.621  0.023
OBS:  52452.469  d  NULL  0.1535E+06   5064.     14.535  0.033
OBS:  52452.469  e  NULL  0.1282E+06   3975.     14.730  0.031
OBS:  52452.473  a  NULL  0.1377E+06   6608.     14.653  0.048
OBS:  52452.477  c  NULL  0.1405E+06   3512.     14.631  0.025
OBS:  52452.480  d  NULL  0.1498E+06   5244.     14.561  0.035
OBS:  52452.480  e  NULL  0.1243E+06   3604.     14.764  0.029
OBS:  52459.422  b  NULL  0.8151E+05   1875.     15.222  0.023
OBS:  52459.426  c  NULL  0.1200E+06   2280.     14.802  0.019
OBS:  52459.426  d  NULL  0.1217E+06   3650.     14.787  0.030
OBS:  52459.426  e  NULL  0.9350E+05   3179.     15.073  0.034
OBS:  52462.371  b  NULL  0.5965E+05   4712.     15.561  0.079
OBS:  52462.371  c  NULL  0.1033E+06   2375.     14.965  0.023
OBS:  52462.375  d  NULL  0.9872E+05   3060.     15.014  0.031
OBS:  52462.375  e  NULL  0.8166E+05   2450.     15.220  0.030
OBS:  52466.426  a  NULL  0.2837E+05   1191.     16.368  0.042
OBS:  52466.426  b  NULL  0.3937E+05   905.6     16.012  0.023
OBS:  52466.430  c  NULL  0.7325E+05   3809.     15.338  0.052
OBS:  52467.434  e  NULL  0.8614E+05   2670.     15.162  0.031
OBS:  52579.242  c  NULL   3045.       149.2     18.791  0.049
OBS:  52579.246  e  NULL   2293.       291.2     19.099  0.127
OBS:  52580.262  b  NULL   2210.       121.6     19.139  0.055
OBS:  52580.266  c  NULL   2927.       163.9     18.834  0.056
OBS:  52580.270  d  NULL   2235.       176.5     19.127  0.079
OBS:  52580.270  e  NULL   2204.       308.5     19.142  0.140
OBS:  52614.215  b  NULL   1339.       83.02     19.683  0.062
OBS:  52614.219  c  NULL   1746.       83.80     19.395  0.048
OBS:  52614.219  d  NULL   1081.       108.1     19.915  0.100
OBS:  52614.223  e  NULL   853.5       227.0     20.172  0.266
OBS:  52634.215  b  NULL   791.4       87.05     20.254  0.110
OBS:  52634.215  c  NULL   1147.       86.03     19.851  0.075
END: 
