SURVEY:  DES3YR_LOWZ_COMBINED(CFA3S)
SNID:    2002hd      
IAUC:    2002hd      
RA:       133.51403  deg
DECL:      -7.18930  deg
MWEBV: 0.039 (SFD98)
REDSHIFT_HELIO: 0.0308778654228 +- 0.000 (Hel)
REDSHIFT_CMB: 0.0319005213678 +- 0.000 (CMB)
REDSHIFT_FINAL: 0.0319005213678 +- 0.000 (CMB)
HOSTGAL_LOGMASS: 11.8780 +- 2.668
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 52576.066
FILTERS:  abcdefghijklmnopqrstuvwxyzA  # UBVRI -> abcde       
#
# Variables copied from
#   /project/rkessler/SN/INTERNAL/DES/simlibs/VPEC_LOWZ.TXT
VPEC:  -31.1768298415
VPEC_ERR:  250.0
#
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS:   31
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  52579.469  a  NULL  0.1364E+05   722.9     17.163  0.053
OBS:  52579.473  b  NULL  0.1509E+05   241.5     17.053  0.016
OBS:  52579.473  c  NULL  0.1869E+05   280.3     16.821  0.015
OBS:  52579.477  d  NULL  0.1961E+05   294.1     16.769  0.015
OBS:  52579.477  e  NULL  0.1218E+05   462.8     17.286  0.038
OBS:  52579.480  a  NULL  0.1366E+05   696.9     17.161  0.051
OBS:  52579.484  b  NULL  0.1501E+05   315.2     17.059  0.021
OBS:  52579.484  c  NULL  0.1855E+05   333.9     16.829  0.018
OBS:  52579.488  e  NULL  0.1353E+05   595.2     17.172  0.044
OBS:  52580.492  b  NULL  0.1368E+05   232.5     17.160  0.017
OBS:  52580.492  c  NULL  0.1806E+05   252.9     16.858  0.014
OBS:  52580.496  d  NULL  0.1872E+05   374.5     16.819  0.020
OBS:  52580.496  e  NULL  0.1387E+05   360.6     17.145  0.026
OBS:  52580.504  b  NULL  0.1405E+05   252.9     17.131  0.018
OBS:  52580.504  c  NULL  0.1765E+05   459.0     16.883  0.026
OBS:  52580.508  d  NULL  0.1847E+05   295.5     16.834  0.016
OBS:  52580.508  e  NULL  0.1310E+05   392.9     17.207  0.030
OBS:  52583.484  b  NULL  0.1115E+05   345.6     17.382  0.031
OBS:  52583.488  c  NULL  0.1701E+05   374.3     16.923  0.022
OBS:  52583.488  d  NULL  0.1778E+05   640.2     16.875  0.036
OBS:  52603.375  d  NULL   7713.       246.8     17.782  0.032
OBS:  52603.375  e  NULL   9145.       475.6     17.597  0.052
OBS:  52641.391  c  NULL   1358.       110.0     19.668  0.081
OBS:  52641.395  d  NULL   1684.       126.3     19.434  0.075
OBS:  52641.395  e  NULL   2214.       316.6     19.137  0.143
OBS:  52673.324  b  NULL   514.8       100.4     20.721  0.195
OBS:  52673.324  c  NULL   655.8       128.6     20.458  0.196
OBS:  52673.328  e  NULL   1265.       245.4     19.745  0.194
OBS:  52705.250  b  NULL   315.1       115.9     21.254  0.368
OBS:  52705.250  c  NULL   376.4       106.9     21.061  0.284
OBS:  52705.258  e  NULL   784.2       225.1     20.264  0.287
END: 
