SURVEY:  DES3YR_LOWZ_COMBINED(CFA3S)
SNID:    2004as      
IAUC:    2004as      
RA:       171.41327  deg
DECL:      22.83029  deg
MWEBV: 0.015 (SFD98)
REDSHIFT_HELIO: 0.0310554461502 +- 0.000 (Hel)
REDSHIFT_CMB: 0.0321264415979 +- 0.000 (CMB)
REDSHIFT_FINAL: 0.0321264415979 +- 0.000 (CMB)
HOSTGAL_LOGMASS: 9.37100 +- 0.06
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 53086.328
FILTERS:  abcdefghijklmnopqrstuvwxyzA  # UBVRI -> abcde       
#
# Variables copied from
#   /project/rkessler/SN/INTERNAL/DES/simlibs/VPEC_LOWZ.TXT
VPEC:  202.627545149
VPEC_ERR:  250.0
#
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS:   51
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  53080.324  c  NULL  0.1354E+05   284.3     17.171  0.021
OBS:  53080.328  d  NULL  0.1567E+05   407.5     17.012  0.026
OBS:  53080.332  e  NULL  0.1298E+05   467.2     17.217  0.036
OBS:  53080.332  b  NULL  0.1391E+05   389.4     17.142  0.028
OBS:  53082.289  c  NULL  0.1487E+05   371.8     17.069  0.025
OBS:  53082.293  d  NULL  0.1670E+05   467.7     16.943  0.028
OBS:  53082.293  e  NULL  0.1378E+05   427.1     17.152  0.031
OBS:  53082.293  b  NULL  0.1507E+05   452.0     17.055  0.030
OBS:  53085.352  c  NULL  0.1694E+05   372.6     16.928  0.022
OBS:  53085.355  d  NULL  0.1883E+05   489.5     16.813  0.026
OBS:  53085.355  e  NULL  0.1327E+05   490.9     17.193  0.037
OBS:  53085.359  b  NULL  0.1572E+05   455.8     17.009  0.029
OBS:  53088.242  c  NULL  0.1646E+05   411.5     16.959  0.025
OBS:  53088.246  d  NULL  0.1912E+05   497.3     16.796  0.026
OBS:  53088.246  e  NULL  0.1223E+05   391.5     17.281  0.032
OBS:  53088.254  a  NULL  0.1203E+05   746.1     17.299  0.062
OBS:  53091.426  c  NULL  0.1628E+05   341.8     16.971  0.021
OBS:  53091.430  d  NULL  0.1695E+05   508.5     16.927  0.030
OBS:  53091.430  e  NULL  0.1156E+05   450.7     17.343  0.039
OBS:  53091.438  a  NULL   8913.       686.3     17.625  0.077
OBS:  53094.285  c  NULL  0.1453E+05   305.2     17.094  0.021
OBS:  53094.285  d  NULL  0.1501E+05   360.3     17.059  0.024
OBS:  53094.289  e  NULL   9384.       347.2     17.569  0.037
OBS:  53094.293  a  NULL   6982.       663.3     17.890  0.095
OBS:  53112.254  d  NULL   8782.       298.6     17.641  0.034
OBS:  53112.262  e  NULL   9376.       384.4     17.570  0.041
OBS:  53112.266  c  NULL   5341.       149.5     18.181  0.028
OBS:  53114.293  c  NULL   4848.       130.9     18.286  0.027
OBS:  53114.297  d  NULL   8076.       218.1     17.732  0.027
OBS:  53114.297  e  NULL   8590.       266.3     17.665  0.031
OBS:  53114.301  b  NULL   2146.       90.13     19.171  0.042
OBS:  53134.250  b  NULL   920.5       81.00     20.090  0.088
OBS:  53134.250  c  NULL   2019.       94.91     19.237  0.047
OBS:  53134.254  d  NULL   3093.       129.9     18.774  0.042
OBS:  53135.172  c  NULL   2004.       104.2     19.245  0.052
OBS:  53135.176  d  NULL   3145.       138.4     18.756  0.044
OBS:  53135.176  b  NULL   911.2       63.78     20.101  0.070
OBS:  53135.180  c  NULL   1964.       100.2     19.267  0.051
OBS:  53135.184  d  NULL   2979.       134.0     18.815  0.045
OBS:  53137.258  d  NULL   2775.       144.3     18.892  0.052
OBS:  53140.191  b  NULL   781.3       62.50     20.268  0.080
OBS:  53140.195  c  NULL   1872.       110.5     19.319  0.059
OBS:  53140.195  d  NULL   2559.       107.5     18.980  0.042
OBS:  53145.254  c  NULL   1582.       107.6     19.502  0.068
OBS:  53145.258  d  NULL   2182.       126.5     19.153  0.058
OBS:  53145.262  e  NULL   2270.       227.0     19.110  0.100
OBS:  53145.262  b  NULL   547.5       87.60     20.654  0.160
OBS:  53176.211  c  NULL   1046.       87.88     19.951  0.084
OBS:  53176.211  d  NULL   895.4       85.06     20.120  0.095
OBS:  53176.215  e  NULL   617.2       163.6     20.524  0.265
OBS:  53176.215  b  NULL   304.5       71.86     21.291  0.236
END: 
