SURVEY:  DES3YR_LOWZ_COMBINED(CFA3K)
SNID:    2005hf      
IAUC:    2005hf      
RA:        21.77496  deg
DECL:      19.11690  deg
MWEBV: 0.054 (SFD98)
REDSHIFT_HELIO: 0.0430647103634 +- 0.000 (Hel)
REDSHIFT_CMB: 0.0420519895852 +- 0.000 (CMB)
REDSHIFT_FINAL: 0.0420519895852 +- 0.000 (CMB)
HOSTGAL_LOGMASS: 11.1820 +- 0.017
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 53664.168
FILTERS:  abcdefghijklmnopqrstuvwxyzA  # UBVri -> fghij       
#
# Variables copied from
#   /project/rkessler/SN/INTERNAL/DES/simlibs/VPEC_LOWZ.TXT
VPEC:  406.012847598
VPEC_ERR:  250.0
#
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS:   55
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  53670.234  h  NULL   9078.       317.7     17.605  0.035
OBS:  53670.238  i  NULL   9647.       231.5     17.539  0.024
OBS:  53670.246  f  NULL   7670.       345.1     17.788  0.045
OBS:  53671.234  h  NULL   8341.       442.0     17.697  0.053
OBS:  53671.242  g  NULL   6811.       197.5     17.917  0.029
OBS:  53671.246  f  NULL   6510.       351.6     17.966  0.054
OBS:  53674.363  h  NULL   6748.       553.4     17.927  0.082
OBS:  53674.375  h  NULL   6687.       374.4     17.937  0.056
OBS:  53674.375  h  NULL   7278.       203.8     17.845  0.028
OBS:  53674.379  i  NULL   7027.       231.9     17.883  0.033
OBS:  53674.383  g  NULL   4835.       164.4     18.289  0.034
OBS:  53674.387  f  NULL   3379.       395.4     18.678  0.117
OBS:  53674.387  f  NULL   3385.       392.7     18.676  0.116
OBS:  53676.281  h  NULL   5921.       379.0     18.069  0.064
OBS:  53676.285  i  NULL   5987.       197.6     18.057  0.033
OBS:  53676.289  g  NULL   3379.       158.8     18.678  0.047
OBS:  53676.289  f  NULL   2866.       306.6     18.857  0.107
OBS:  53676.293  f  NULL   2892.       263.2     18.847  0.091
OBS:  53677.320  i  NULL   6098.       176.9     18.037  0.029
OBS:  53677.320  j  NULL   3186.       168.8     18.742  0.053
OBS:  53677.320  h  NULL   5910.       218.7     18.071  0.037
OBS:  53677.328  f  NULL   2664.       277.1     18.936  0.104
OBS:  53677.332  g  NULL   3085.       111.1     18.777  0.036
OBS:  53678.336  f  NULL   2381.       245.3     19.058  0.103
OBS:  53678.340  f  NULL   2441.       249.0     19.031  0.102
OBS:  53678.344  g  NULL   2754.       129.4     18.900  0.047
OBS:  53679.270  h  NULL   5253.       283.7     18.199  0.054
OBS:  53679.270  h  NULL   5546.       171.9     18.140  0.031
OBS:  53679.273  i  NULL   5455.       169.1     18.158  0.031
OBS:  53679.273  j  NULL   3529.       194.1     18.631  0.055
OBS:  53679.273  g  NULL   2297.       147.0     19.097  0.064
OBS:  53679.281  f  NULL   1932.       255.0     19.285  0.132
OBS:  53680.332  h  NULL   5096.       173.3     18.232  0.034
OBS:  53680.336  f  NULL   1655.       253.2     19.453  0.153
OBS:  53680.340  f  NULL   1591.       275.2     19.496  0.173
OBS:  53681.242  j  NULL   3930.       558.1     18.514  0.142
OBS:  53681.273  g  NULL   1840.       128.8     19.338  0.070
OBS:  53683.273  j  NULL   4475.       219.3     18.373  0.049
OBS:  53685.313  g  NULL   1316.       132.9     19.702  0.101
OBS:  53685.332  i  NULL   4795.       239.8     18.298  0.050
OBS:  53685.336  j  NULL   4112.       275.5     18.465  0.067
OBS:  53685.336  h  NULL   3003.       210.2     18.806  0.070
OBS:  53687.293  h  NULL   2662.       263.5     18.937  0.099
OBS:  53690.344  j  NULL   2948.       533.7     18.826  0.181
OBS:  53692.332  i  NULL   2850.       182.4     18.863  0.064
OBS:  53692.336  j  NULL   2831.       263.3     18.870  0.093
OBS:  53692.336  h  NULL   1701.       204.2     19.423  0.120
OBS:  53694.332  i  NULL   2824.       242.8     18.873  0.086
OBS:  53695.352  i  NULL   2512.       286.4     19.000  0.114
OBS:  53695.363  g  NULL   827.2       221.7     20.206  0.268
OBS:  53696.258  h  NULL   1610.       209.3     19.483  0.130
OBS:  53696.266  g  NULL   594.8       119.6     20.564  0.201
OBS:  53714.156  g  NULL   496.1       173.1     20.761  0.349
OBS:  53727.230  i  NULL   1185.       138.6     19.816  0.117
OBS:  53727.230  j  NULL   1356.       214.3     19.669  0.158
END: 
