SURVEY:  DES3YR_LOWZ_COMBINED(CFA3K)
SNID:    2006al      
IAUC:    2006al      
RA:       159.86766  deg
DECL:       5.18344  deg
MWEBV: 0.025 (SFD98)
REDSHIFT_HELIO: 0.0678500 +- 0.000 (Hel)
REDSHIFT_CMB: 0.069045935 +- 0.000 (CMB)
REDSHIFT_FINAL: 0.069045935 +- 0.000 (CMB)
HOSTGAL_LOGMASS: 10.2230 +- 0.01
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 53787.156
FILTERS:  abcdefghijklmnopqrstuvwxyzA  # UBVri -> fghij       
#
# Variables copied from
#   /project/rkessler/SN/INTERNAL/DES/simlibs/VPEC_LOWZ.TXT
VPEC:  -81.2843498285
VPEC_ERR:  250.0
#
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS:   35
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  53791.313  h  NULL   3992.       131.7     18.497  0.033
OBS:  53791.313  i  NULL   4081.       114.3     18.473  0.028
OBS:  53791.316  j  NULL   2568.       115.6     18.976  0.045
OBS:  53791.316  g  NULL   3345.       103.7     18.689  0.031
OBS:  53793.297  h  NULL   3862.       115.9     18.533  0.030
OBS:  53793.297  i  NULL   3671.       102.8     18.588  0.028
OBS:  53793.301  j  NULL   2297.       101.1     19.097  0.044
OBS:  53793.301  g  NULL   2871.       74.64     18.855  0.026
OBS:  53797.301  i  NULL   2962.       121.4     18.821  0.041
OBS:  53797.305  j  NULL   1871.       190.8     19.320  0.102
OBS:  53798.309  h  NULL   2811.       98.37     18.878  0.035
OBS:  53798.313  i  NULL   2578.       92.79     18.972  0.036
OBS:  53798.313  g  NULL   1803.       70.32     19.360  0.039
OBS:  53799.328  i  NULL   2434.       102.3     19.034  0.042
OBS:  53799.332  h  NULL   2777.       94.42     18.891  0.034
OBS:  53799.340  g  NULL   1607.       59.46     19.485  0.037
OBS:  53800.293  i  NULL   2437.       104.8     19.033  0.043
OBS:  53800.293  j  NULL   1502.       204.3     19.558  0.136
OBS:  53800.297  h  NULL   2613.       135.9     18.957  0.052
OBS:  53800.305  g  NULL   1138.       209.3     19.860  0.184
OBS:  53803.313  h  NULL   2080.       118.5     19.205  0.057
OBS:  53803.313  i  NULL   2040.       104.0     19.226  0.051
OBS:  53803.316  j  NULL   1364.       169.1     19.663  0.124
OBS:  53811.285  h  NULL   1196.       145.9     19.806  0.122
OBS:  53811.289  i  NULL   1494.       94.13     19.564  0.063
OBS:  53811.289  j  NULL   1474.       125.3     19.579  0.085
OBS:  53815.242  i  NULL   1212.       77.59     19.791  0.064
OBS:  53815.246  h  NULL   906.2       86.08     20.107  0.095
OBS:  53827.254  i  NULL   610.9       75.76     20.535  0.124
OBS:  53827.258  h  NULL   424.6       95.96     20.930  0.226
OBS:  53828.219  j  NULL   856.6       191.9     20.168  0.224
OBS:  53829.230  h  NULL   445.9       97.20     20.877  0.218
OBS:  53838.160  j  NULL   828.7       252.8     20.204  0.305
OBS:  53841.176  i  NULL   357.8       74.06     21.116  0.207
OBS:  53843.188  h  NULL   358.1       93.46     21.115  0.261
END: 
