SURVEY:  DES3YR_LOWZ_COMBINED(CFA3K)
SNID:    2006cp      
IAUC:    2006cp      
RA:       184.81204  deg
DECL:      22.42719  deg
MWEBV: 0.028 (SFD98)
REDSHIFT_HELIO: 0.0223122369462 +- 0.000 (Hel)
REDSHIFT_CMB: 0.0233412664384 +- 0.000 (CMB)
REDSHIFT_FINAL: 0.0233412664384 +- 0.000 (CMB)
HOSTGAL_LOGMASS: 10.1830 +- 0.352
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 53897.75
FILTERS:  abcdefghijklmnopqrstuvwxyzA  # UBVri -> fghij       
#
# Variables copied from
#   /project/rkessler/SN/INTERNAL/DES/simlibs/VPEC_LOWZ.TXT
VPEC:  -254.766264345
VPEC_ERR:  250.0
#
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS:   40
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  53885.168  j  NULL   7586.       197.2     17.800  0.026
OBS:  53885.168  i  NULL  0.1111E+05   233.3     17.386  0.021
OBS:  53885.172  h  NULL  0.1014E+05   223.1     17.485  0.022
OBS:  53885.172  g  NULL   9480.       189.6     17.558  0.020
OBS:  53885.176  f  NULL   8032.       393.5     17.738  0.049
OBS:  53885.180  f  NULL   7621.       396.3     17.795  0.052
OBS:  53886.195  j  NULL  0.1078E+05   248.0     17.418  0.023
OBS:  53886.195  i  NULL  0.1470E+05   220.4     17.082  0.015
OBS:  53886.199  h  NULL  0.1366E+05   205.0     17.161  0.015
OBS:  53886.199  g  NULL  0.1319E+05   224.3     17.199  0.017
OBS:  53886.203  f  NULL  0.1038E+05   529.6     17.459  0.051
OBS:  53886.211  f  NULL  0.1079E+05   507.3     17.417  0.047
OBS:  53888.156  j  NULL  0.1613E+05   371.0     16.981  0.023
OBS:  53888.160  i  NULL  0.2140E+05   449.4     16.674  0.021
OBS:  53888.160  h  NULL  0.2008E+05   301.2     16.743  0.015
OBS:  53888.164  g  NULL  0.1986E+05   317.8     16.755  0.016
OBS:  53888.168  f  NULL  0.1890E+05   944.9     16.809  0.050
OBS:  53890.246  j  NULL  0.2150E+05   387.0     16.669  0.018
OBS:  53890.250  i  NULL  0.2863E+05   515.3     16.358  0.018
OBS:  53890.254  h  NULL  0.2800E+05   476.0     16.382  0.017
OBS:  53890.254  g  NULL  0.2726E+05   490.8     16.411  0.018
OBS:  53894.266  j  NULL  0.2336E+05   443.8     16.579  0.019
OBS:  53894.266  i  NULL  0.3664E+05   622.9     16.090  0.017
OBS:  53894.270  h  NULL  0.3736E+05   597.8     16.069  0.016
OBS:  53894.273  g  NULL  0.3621E+05   832.8     16.103  0.023
OBS:  53899.199  j  NULL  0.2196E+05   636.8     16.646  0.029
OBS:  53899.203  i  NULL  0.4134E+05   992.2     15.959  0.024
OBS:  53899.203  h  NULL  0.4100E+05   656.0     15.968  0.016
OBS:  53899.207  g  NULL  0.3551E+05   674.8     16.124  0.019
OBS:  53899.211  f  NULL  0.3014E+05   1537.     16.302  0.051
OBS:  53928.148  j  NULL  0.1480E+05   429.3     17.074  0.029
OBS:  53928.148  i  NULL  0.1644E+05   328.9     16.960  0.020
OBS:  53928.152  h  NULL  0.1151E+05   322.4     17.347  0.028
OBS:  53928.156  g  NULL   3551.       237.9     18.624  0.067
OBS:  53929.148  j  NULL  0.1369E+05   328.6     17.159  0.024
OBS:  53929.152  i  NULL  0.1535E+05   521.8     17.035  0.034
OBS:  53934.137  i  NULL  0.1077E+05   528.0     17.419  0.049
OBS:  53934.141  h  NULL   7820.       805.5     17.767  0.103
OBS:  53934.152  j  NULL   8962.       358.5     17.619  0.040
OBS:  53934.156  i  NULL  0.1052E+05   420.8     17.445  0.040
END: 
