SURVEY:  DES3YR_LOWZ_COMBINED(CFA3K)
SNID:    2006gr      
IAUC:    2006gr      
RA:       338.09449  deg
DECL:      30.82883  deg
MWEBV: 0.085 (SFD98)
REDSHIFT_HELIO: 0.0345579045809 +- 0.000 (Hel)
REDSHIFT_CMB: 0.0334425754845 +- 0.000 (CMB)
REDSHIFT_FINAL: 0.0334425754845 +- 0.000 (CMB)
HOSTGAL_LOGMASS: 11.0050 +- 0.432
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 54013.363
FILTERS:  abcdefghijklmnopqrstuvwxyzA  # UBVri -> fghij       
#
# Variables copied from
#   /project/rkessler/SN/INTERNAL/DES/simlibs/VPEC_LOWZ.TXT
VPEC:  267.580858793
VPEC_ERR:  250.0
#
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS:  129
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  54002.324  j  NULL   5475.       158.8     18.154  0.029
OBS:  54002.328  i  NULL   6104.       134.3     18.036  0.022
OBS:  54002.328  h  NULL   5948.       124.9     18.064  0.021
OBS:  54002.332  g  NULL   5686.       147.8     18.113  0.026
OBS:  54002.336  f  NULL   6015.       330.8     18.052  0.055
OBS:  54002.340  f  NULL   5781.       300.6     18.095  0.052
OBS:  54006.375  j  NULL   8551.       171.0     17.670  0.020
OBS:  54006.375  i  NULL  0.1100E+05   186.9     17.397  0.017
OBS:  54006.379  h  NULL  0.1053E+05   179.0     17.444  0.017
OBS:  54006.383  g  NULL   9754.       175.6     17.527  0.018
OBS:  54006.387  f  NULL  0.1123E+05   561.5     17.374  0.050
OBS:  54006.391  f  NULL  0.1145E+05   572.5     17.353  0.050
OBS:  54007.137  j  NULL   9028.       270.9     17.611  0.030
OBS:  54007.141  i  NULL  0.1159E+05   220.2     17.340  0.019
OBS:  54007.145  h  NULL  0.1119E+05   190.2     17.378  0.017
OBS:  54007.145  g  NULL  0.1056E+05   264.0     17.441  0.025
OBS:  54007.148  f  NULL  0.1233E+05   677.9     17.273  0.055
OBS:  54009.234  j  NULL   9393.       197.3     17.568  0.021
OBS:  54009.234  i  NULL  0.1328E+05   239.0     17.192  0.018
OBS:  54009.238  h  NULL  0.1312E+05   183.7     17.205  0.014
OBS:  54009.242  g  NULL  0.1166E+05   221.6     17.333  0.019
OBS:  54009.246  f  NULL  0.1337E+05   521.3     17.185  0.039
OBS:  54009.250  f  NULL  0.1303E+05   560.1     17.213  0.043
OBS:  54011.141  j  NULL   8880.       213.1     17.629  0.024
OBS:  54011.145  i  NULL  0.1414E+05   226.2     17.124  0.016
OBS:  54011.145  h  NULL  0.1379E+05   275.8     17.151  0.020
OBS:  54011.148  g  NULL  0.1186E+05   225.3     17.315  0.019
OBS:  54011.156  f  NULL  0.1275E+05   918.2     17.236  0.072
OBS:  54012.148  j  NULL   8904.       187.0     17.626  0.021
OBS:  54012.148  i  NULL  0.1449E+05   260.9     17.097  0.018
OBS:  54012.152  h  NULL  0.1397E+05   321.3     17.137  0.023
OBS:  54012.160  f  NULL  0.1272E+05   966.5     17.239  0.076
OBS:  54012.160  f  NULL  0.1202E+05   853.6     17.300  0.071
OBS:  54016.211  j  NULL   8226.       205.7     17.712  0.025
OBS:  54016.215  i  NULL  0.1498E+05   284.7     17.061  0.019
OBS:  54016.215  h  NULL  0.1415E+05   311.3     17.123  0.022
OBS:  54016.227  f  NULL   9817.       1129.     17.520  0.115
OBS:  54016.234  j  NULL   7951.       246.5     17.749  0.031
OBS:  54016.234  i  NULL  0.1518E+05   333.9     17.047  0.022
OBS:  54016.238  h  NULL  0.1368E+05   259.9     17.160  0.019
OBS:  54016.246  f  NULL   9428.       1348.     17.564  0.143
OBS:  54018.293  j  NULL   7929.       237.9     17.752  0.030
OBS:  54018.293  i  NULL  0.1397E+05   265.4     17.137  0.019
OBS:  54018.297  h  NULL  0.1353E+05   297.6     17.172  0.022
OBS:  54018.297  g  NULL  0.1037E+05   311.0     17.461  0.030
OBS:  54018.305  f  NULL   6644.       744.1     17.944  0.112
OBS:  54019.188  j  NULL   7558.       158.7     17.804  0.021
OBS:  54019.191  i  NULL  0.1368E+05   218.8     17.160  0.016
OBS:  54019.195  h  NULL  0.1329E+05   199.4     17.191  0.015
OBS:  54019.199  g  NULL   9692.       203.5     17.534  0.021
OBS:  54019.234  j  NULL   7607.       152.1     17.797  0.020
OBS:  54019.234  i  NULL  0.1374E+05   219.9     17.155  0.016
OBS:  54019.238  h  NULL  0.1323E+05   198.5     17.196  0.015
OBS:  54019.242  g  NULL   9745.       175.4     17.528  0.018
OBS:  54020.277  j  NULL   7338.       154.1     17.836  0.021
OBS:  54020.281  i  NULL  0.1350E+05   270.0     17.174  0.020
OBS:  54020.285  h  NULL  0.1269E+05   228.5     17.241  0.018
OBS:  54020.289  g  NULL   9221.       230.5     17.588  0.025
OBS:  54020.289  f  NULL   5818.       704.0     18.088  0.121
OBS:  54020.293  f  NULL   6081.       741.9     18.040  0.122
OBS:  54021.137  j  NULL   6571.       184.0     17.956  0.028
OBS:  54021.141  i  NULL  0.1278E+05   217.2     17.234  0.017
OBS:  54021.145  h  NULL  0.1229E+05   159.8     17.276  0.013
OBS:  54021.148  g  NULL   8638.       164.1     17.659  0.019
OBS:  54021.152  f  NULL   6427.       359.9     17.980  0.056
OBS:  54021.164  j  NULL   7015.       168.4     17.885  0.024
OBS:  54021.164  i  NULL  0.1287E+05   218.8     17.226  0.017
OBS:  54021.168  h  NULL  0.1238E+05   185.7     17.268  0.015
OBS:  54021.172  g  NULL   8551.       153.9     17.670  0.018
OBS:  54021.176  f  NULL   6498.       285.9     17.968  0.044
OBS:  54040.219  j  NULL   5292.       179.9     18.191  0.034
OBS:  54040.219  i  NULL   6937.       138.8     17.897  0.020
OBS:  54040.223  h  NULL   4652.       139.6     18.331  0.030
OBS:  54040.227  g  NULL   1946.       136.2     19.277  0.070
OBS:  54042.125  i  NULL   6286.       232.6     18.004  0.037
OBS:  54042.129  h  NULL   4831.       173.9     18.290  0.036
OBS:  54042.129  g  NULL   1613.       327.4     19.481  0.203
OBS:  54043.082  j  NULL   5728.       240.6     18.105  0.042
OBS:  54043.086  i  NULL   6451.       251.6     17.976  0.039
OBS:  54045.105  j  NULL   4939.       202.5     18.266  0.041
OBS:  54045.109  i  NULL   6183.       179.3     18.022  0.029
OBS:  54045.113  h  NULL   4007.       304.5     18.493  0.076
OBS:  54054.098  j  NULL   3503.       126.1     18.639  0.036
OBS:  54054.102  i  NULL   3545.       77.99     18.626  0.022
OBS:  54054.105  h  NULL   2336.       77.08     19.079  0.033
OBS:  54054.105  g  NULL   1003.       66.18     19.997  0.066
