SURVEY:  DES3YR_LOWZ_COMBINED(CFA3K)
SNID:    2006oa      
IAUC:    2006oa      
RA:       320.92891  deg
DECL:      -0.84347  deg
MWEBV: 0.040 (SFD98)
REDSHIFT_HELIO: 0.0599359331675 +- 0.000 (Hel)
REDSHIFT_CMB: 0.0588447116315 +- 0.000 (CMB)
REDSHIFT_FINAL: 0.0588447116315 +- 0.000 (CMB)
HOSTGAL_LOGMASS: 9.15600 +- 0.115
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 54067.141
FILTERS:  abcdefghijklmnopqrstuvwxyzA  # UBVri -> fghij       
#
# Variables copied from
#   /project/rkessler/SN/INTERNAL/DES/simlibs/VPEC_LOWZ.TXT
VPEC:  15.2095468702
VPEC_ERR:  250.0
#
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS:   68
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  54058.105  j  NULL   3042.       155.2     18.792  0.051
OBS:  54058.109  i  NULL   4070.       126.2     18.476  0.031
OBS:  54058.113  h  NULL   4471.       116.2     18.374  0.026
OBS:  54058.113  g  NULL   4188.       108.9     18.445  0.026
OBS:  54058.117  f  NULL   4686.       299.9     18.323  0.064
OBS:  54058.121  f  NULL   4325.       380.6     18.410  0.088
OBS:  54059.070  j  NULL   3290.       184.2     18.707  0.056
OBS:  54059.074  i  NULL   4984.       134.6     18.256  0.027
OBS:  54059.074  h  NULL   4471.       156.5     18.374  0.035
OBS:  54059.078  g  NULL   5100.       142.8     18.231  0.028
OBS:  54059.082  f  NULL   4980.       363.5     18.257  0.073
OBS:  54059.086  f  NULL   5143.       385.7     18.222  0.075
OBS:  54060.078  j  NULL   3894.       144.1     18.524  0.037
OBS:  54060.082  i  NULL   5195.       124.7     18.211  0.024
OBS:  54060.086  h  NULL   5311.       138.1     18.187  0.026
OBS:  54060.086  g  NULL   5105.       132.7     18.230  0.026
OBS:  54060.094  f  NULL   5754.       702.0     18.100  0.122
OBS:  54061.098  j  NULL   3873.       147.2     18.530  0.038
OBS:  54061.098  i  NULL   5556.       122.2     18.138  0.022
OBS:  54061.102  h  NULL   5749.       155.2     18.101  0.027
OBS:  54061.105  g  NULL   5577.       111.5     18.134  0.020
OBS:  54062.094  j  NULL   3809.       186.6     18.548  0.049
OBS:  54062.098  i  NULL   5702.       159.6     18.110  0.028
OBS:  54062.098  h  NULL   5981.       155.5     18.058  0.026
OBS:  54062.102  g  NULL   5883.       147.1     18.076  0.025
OBS:  54062.105  f  NULL   7656.       513.0     17.790  0.067
OBS:  54063.098  f  NULL   6516.       514.8     17.965  0.079
OBS:  54064.082  j  NULL   3781.       207.9     18.556  0.055
OBS:  54064.086  i  NULL   6252.       156.3     18.010  0.025
OBS:  54064.086  h  NULL   6528.       143.6     17.963  0.022
OBS:  54064.090  g  NULL   5686.       204.7     18.113  0.036
OBS:  54064.094  f  NULL   7406.       399.9     17.826  0.054
OBS:  54064.098  f  NULL   6937.       395.4     17.897  0.057
OBS:  54066.086  j  NULL   4096.       249.9     18.469  0.061
OBS:  54066.090  i  NULL   6748.       209.2     17.927  0.031
OBS:  54066.094  h  NULL   7060.       233.0     17.878  0.033
OBS:  54066.102  f  NULL   6571.       1064.     17.956  0.162
OBS:  54069.086  f  NULL   5082.       935.0     18.235  0.184
OBS:  54070.090  j  NULL   3784.       208.1     18.555  0.055
OBS:  54070.090  i  NULL   6944.       201.4     17.896  0.029
OBS:  54070.094  h  NULL   6269.       257.0     18.007  0.041
OBS:  54070.098  g  NULL   5480.       301.4     18.153  0.055
OBS:  54070.105  f  NULL   4677.       561.3     18.325  0.120
OBS:  54071.086  j  NULL   3823.       198.8     18.544  0.052
OBS:  54071.086  i  NULL   6098.       262.2     18.037  0.043
OBS:  54071.090  h  NULL   6269.       238.2     18.007  0.038
OBS:  54071.094  g  NULL   5603.       257.7     18.129  0.046
OBS:  54071.094  f  NULL   4777.       1486.     18.302  0.311
OBS:  54072.102  j  NULL   3688.       199.2     18.583  0.054
OBS:  54072.105  i  NULL   6486.       194.6     17.970  0.030
OBS:  54072.105  h  NULL   6989.       265.6     17.889  0.038
OBS:  54072.109  g  NULL   5267.       347.6     18.196  0.066
OBS:  54074.055  j  NULL   3142.       377.0     18.757  0.120
OBS:  54074.059  i  NULL   5712.       177.1     18.108  0.031
OBS:  54074.059  h  NULL   6009.       192.3     18.053  0.032
OBS:  54076.063  j  NULL   3136.       181.9     18.759  0.058
OBS:  54076.066  i  NULL   5818.       145.5     18.088  0.025
OBS:  54076.066  h  NULL   5712.       159.9     18.108  0.028
OBS:  54076.070  g  NULL   4496.       170.8     18.368  0.038
OBS:  54082.070  j  NULL   2251.       220.6     19.119  0.098
OBS:  54082.074  i  NULL   4036.       391.5     18.485  0.097
OBS:  54082.078  g  NULL   2222.       308.9     19.133  0.139
OBS:  54083.055  j  NULL   2044.       302.5     19.224  0.148
OBS:  54083.055  i  NULL   4033.       197.6     18.486  0.049
OBS:  54083.059  h  NULL   3941.       181.3     18.511  0.046
OBS:  54083.063  g  NULL   2399.       292.7     19.050  0.122
OBS:  54084.078  i  NULL   4003.       356.3     18.494  0.089
OBS:  54084.082  h  NULL   3436.       391.7     18.660  0.114
END: 
