SURVEY:  DES3YR_LOWZ_COMBINED(CFA3K)
SNID:    2007ap      
IAUC:    2007ap      
RA:       239.09598  deg
DECL:      16.51609  deg
MWEBV: 0.032 (SFD98)
REDSHIFT_HELIO: 0.016342790329 +- 0.000 (Hel)
REDSHIFT_CMB: 0.0166797731072 +- 0.000 (CMB)
REDSHIFT_FINAL: 0.0166797731072 +- 0.000 (CMB)
HOSTGAL_LOGMASS: 10.4140 +- 0.088
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 54167.871
FILTERS:  abcdefghijklmnopqrstuvwxyzA  # UBVri -> fghij       
#
# Variables copied from
#   /project/rkessler/SN/INTERNAL/DES/simlibs/VPEC_LOWZ.TXT
VPEC:  -16.2046348371
VPEC_ERR:  250.0
#
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS:  155
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  54175.492  j  NULL  0.2528E+05   379.2     16.493  0.015
OBS:  54175.496  i  NULL  0.4880E+05   585.6     15.779  0.012
OBS:  54175.496  h  NULL  0.5292E+05   2170.     15.691  0.041
OBS:  54175.500  g  NULL  0.4059E+05   1339.     15.979  0.033
OBS:  54176.484  j  NULL  0.2264E+05   452.7     16.613  0.020
OBS:  54176.488  i  NULL  0.4393E+05   746.9     15.893  0.017
OBS:  54176.492  h  NULL  0.5026E+05   753.9     15.747  0.015
OBS:  54176.492  g  NULL  0.3715E+05   1226.     16.075  0.033
OBS:  54185.320  j  NULL  0.2154E+05   323.1     16.667  0.015
OBS:  54185.324  i  NULL  0.3133E+05   376.0     16.260  0.012
OBS:  54185.324  h  NULL  0.2903E+05   319.3     16.343  0.011
OBS:  54185.328  g  NULL  0.1211E+05   254.3     17.292  0.021
OBS:  54186.473  j  NULL  0.2247E+05   404.5     16.621  0.018
OBS:  54186.473  i  NULL  0.3110E+05   404.3     16.268  0.013
OBS:  54186.477  h  NULL  0.2692E+05   349.9     16.425  0.013
OBS:  54186.480  g  NULL  0.1072E+05   225.0     17.425  0.021
OBS:  54188.355  j  NULL  0.2314E+05   324.0     16.589  0.014
OBS:  54188.355  i  NULL  0.2946E+05   383.0     16.327  0.013
OBS:  54188.359  h  NULL  0.2394E+05   383.1     16.552  0.016
OBS:  54188.363  g  NULL   9062.       208.4     17.607  0.023
OBS:  54191.473  j  NULL  0.2251E+05   382.7     16.619  0.017
OBS:  54191.477  i  NULL  0.2437E+05   365.5     16.533  0.015
OBS:  54191.477  h  NULL  0.1914E+05   287.1     16.795  0.015
OBS:  54191.480  g  NULL   6020.       228.8     18.051  0.038
OBS:  54193.320  j  NULL  0.2032E+05   365.8     16.730  0.018
OBS:  54193.324  i  NULL  0.2063E+05   330.0     16.714  0.016
OBS:  54193.324  h  NULL  0.1616E+05   387.8     16.979  0.024
OBS:  54193.473  j  NULL  0.2004E+05   420.9     16.745  0.021
OBS:  54193.473  i  NULL  0.2010E+05   442.2     16.742  0.022
OBS:  54193.477  h  NULL  0.1511E+05   423.0     17.052  0.028
OBS:  54194.320  j  NULL  0.1848E+05   332.7     16.833  0.018
OBS:  54194.324  i  NULL  0.1891E+05   340.5     16.808  0.018
OBS:  54194.328  h  NULL  0.1462E+05   380.0     17.088  0.026
OBS:  54194.328  g  NULL   4835.       227.3     18.289  0.047
OBS:  54196.418  i  NULL  0.1494E+05   358.6     17.064  0.024
OBS:  54196.422  h  NULL  0.1247E+05   399.2     17.260  0.032
OBS:  54196.426  g  NULL   4234.       355.7     18.433  0.084
OBS:  54197.344  j  NULL  0.1428E+05   299.9     17.113  0.021
OBS:  54197.348  i  NULL  0.1516E+05   288.1     17.048  0.019
OBS:  54197.348  h  NULL  0.1217E+05   243.4     17.287  0.020
OBS:  54197.352  g  NULL   4430.       194.9     18.384  0.044
OBS:  54199.469  j  NULL  0.1200E+05   252.0     17.302  0.021
OBS:  54199.473  i  NULL  0.1363E+05   204.4     17.164  0.015
OBS:  54199.473  h  NULL  0.1106E+05   243.2     17.391  0.022
OBS:  54199.477  g  NULL   4361.       191.9     18.401  0.044
OBS:  54201.348  j  NULL  0.1081E+05   216.3     17.415  0.020
OBS:  54201.352  i  NULL  0.1188E+05   225.7     17.313  0.019
OBS:  54201.355  h  NULL   9872.       157.9     17.514  0.016
OBS:  54201.355  g  NULL   3654.       120.6     18.593  0.033
OBS:  54206.465  j  NULL   8364.       250.9     17.694  0.030
OBS:  54206.469  i  NULL  0.1002E+05   180.3     17.498  0.018
OBS:  54207.430  j  NULL   8318.       224.6     17.700  0.027
OBS:  54207.434  h  NULL   8039.       128.6     17.737  0.016
OBS:  54207.438  g  NULL   2962.       109.6     18.821  0.037
OBS:  54208.379  j  NULL   7907.       276.7     17.755  0.035
OBS:  54208.387  h  NULL   7921.       221.8     17.753  0.028
OBS:  54208.387  g  NULL   2940.       141.1     18.829  0.048
OBS:  54209.438  j  NULL   7285.       204.0     17.844  0.028
OBS:  54209.441  i  NULL   8638.       164.1     17.659  0.019
OBS:  54209.441  h  NULL   7649.       145.3     17.791  0.019
OBS:  54209.445  g  NULL   3037.       112.4     18.794  0.037
OBS:  54216.453  j  NULL   5430.       217.2     18.163  0.040
OBS:  54216.461  h  NULL   6263.       162.8     18.008  0.026
OBS:  54216.461  g  NULL   2679.       147.4     18.930  0.055
OBS:  54218.461  j  NULL   4966.       203.6     18.260  0.041
OBS:  54218.465  i  NULL   6048.       163.3     18.046  0.027
OBS:  54218.465  h  NULL   5856.       210.8     18.081  0.036
OBS:  54218.469  g  NULL   2299.       211.5     19.096  0.092
OBS:  54219.422  j  NULL   4442.       213.2     18.381  0.048
OBS:  54219.426  i  NULL   5932.       189.8     18.067  0.032
OBS:  54219.426  h  NULL   6003.       276.2     18.054  0.046
OBS:  54219.430  g  NULL   2684.       241.6     18.928  0.090
OBS:  54220.379  j  NULL   4764.       295.4     18.305  0.062
OBS:  54220.379  i  NULL   5813.       261.6     18.089  0.045
OBS:  54220.383  h  NULL   5797.       278.3     18.092  0.048
OBS:  54220.461  j  NULL   4647.       250.9     18.332  0.054
OBS:  54220.465  i  NULL   5385.       258.5     18.172  0.048
OBS:  54220.469  h  NULL   5375.       198.9     18.174  0.037
OBS:  54220.469  g  NULL   2549.       178.4     18.984  0.070
OBS:  54221.371  j  NULL   4104.       279.1     18.467  0.068
OBS:  54221.371  i  NULL   5872.       346.5     18.078  0.059
OBS:  54221.375  h  NULL   5948.       303.4     18.064  0.051
OBS:  54226.449  j  NULL   3588.       226.0     18.613  0.063
OBS:  54226.453  i  NULL   4647.       213.8     18.332  0.046
OBS:  54226.453  h  NULL   4804.       264.2     18.296  0.055
OBS:  54226.457  g  NULL   2168.       286.1     19.160  0.132
OBS:  54227.426  j  NULL   3698.       181.2     18.580  0.049
OBS:  54227.426  i  NULL   4690.       201.7     18.322  0.043
OBS:  54227.430  h  NULL   4471.       210.1     18.374  0.047
OBS:  54227.434  g  NULL   2245.       206.5     19.122  0.092
OBS:  54229.465  j  NULL   3487.       198.7     18.644  0.057
OBS:  54229.469  i  NULL   4192.       163.5     18.444  0.039
OBS:  54229.473  h  NULL   4357.       161.2     18.402  0.037
OBS:  54232.430  j  NULL   2959.       177.6     18.822  0.060
OBS:  54232.434  i  NULL   3926.       153.1     18.515  0.039
OBS:  54232.434  h  NULL   4142.       132.5     18.457  0.032
OBS:  54232.438  g  NULL   2030.       136.0     19.231  0.067
OBS:  54234.422  j  NULL   2642.       192.9     18.945  0.073
OBS:  54234.426  i  NULL   3555.       163.5     18.623  0.046
OBS:  54234.430  h  NULL   3798.       110.2     18.551  0.029
OBS:  54234.434  g  NULL   1900.       131.1     19.303  0.069
OBS:  54236.379  j  NULL   2667.       144.0     18.935  0.054
OBS:  54236.383  i  NULL   3398.       146.1     18.672  0.043
OBS:  54236.387  h  NULL   3695.       107.2     18.581  0.029
OBS:  54236.391  g  NULL   1973.       98.67     19.262  0.050
OBS:  54237.371  j  NULL   2168.       160.4     19.160  0.074
OBS:  54237.375  i  NULL   3293.       131.7     18.706  0.040
OBS:  54237.379  h  NULL   3661.       120.8     18.591  0.033
OBS:  54237.383  g  NULL   1778.       94.25     19.375  0.053
OBS:  54239.402  j  NULL   2247.       150.6     19.121  0.067
OBS:  54239.402  i  NULL   2973.       124.9     18.817  0.042
OBS:  54239.406  h  NULL   3333.       116.7     18.693  0.035
OBS:  54239.410  g  NULL   1883.       143.1     19.313  0.076
OBS:  54240.434  j  NULL   2222.       191.1     19.133  0.086
OBS:  54240.438  i  NULL   2749.       175.9     18.902  0.064
OBS:  54240.441  h  NULL   3156.       97.85     18.752  0.031
OBS:  54240.469  j  NULL   2377.       216.3     19.060  0.091
OBS:  54240.473  i  NULL   2831.       164.2     18.870  0.058
OBS:  54244.340  j  NULL   1805.       216.6     19.359  0.120
OBS:  54244.344  i  NULL   2346.       161.9     19.074  0.069
OBS:  54247.340  i  NULL   2316.       162.1     19.088  0.070
OBS:  54247.348  g  NULL   1747.       218.4     19.394  0.125
OBS:  54248.195  j  NULL   1826.       226.5     19.346  0.124
OBS:  54248.195  i  NULL   2346.       192.4     19.074  0.082
OBS:  54248.199  h  NULL   2672.       213.7     18.933  0.080
OBS:  54253.348  j  NULL   1514.       190.7     19.550  0.126
OBS:  54253.348  i  NULL   1595.       229.7     19.493  0.144
OBS:  54253.352  h  NULL   2255.       200.7     19.117  0.089
OBS:  54256.309  j  NULL   1334.       194.8     19.687  0.146
