SURVEY:  DES3YR_LOWZ_COMBINED(CFA3K)
SNID:    2005hc      
IAUC:    2005hc      
RA:        29.19979  deg
DECL:      -0.21373  deg
MWEBV: 0.032 (SFD98)
REDSHIFT_HELIO: 0.0458946471671 +- 0.000 (Hel)
REDSHIFT_CMB: 0.0449722185731 +- 0.000 (CMB)
REDSHIFT_FINAL: 0.0449722185731 +- 0.000 (CMB)
HOSTGAL_LOGMASS: 10.6100 +- 0.161
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 53668.305
FILTERS:  abcdefghijklmnopqrstuvwxyzA  # UBVri -> fghij       
#
# Variables copied from
#   /project/rkessler/SN/INTERNAL/DES/simlibs/VPEC_LOWZ.TXT
VPEC:  298.445299528
VPEC_ERR:  250.0
#
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS: 239
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  53664.395  j  NULL   6356.       305.1     17.992  0.048
OBS:  53664.406  g  NULL  0.1008E+05   443.7     17.491  0.044
OBS:  53664.410  i  NULL   9854.       335.0     17.516  0.034
OBS:  53664.414  j  NULL   6269.       238.2     18.007  0.038
OBS:  53664.414  h  NULL   9674.       319.2     17.536  0.033
OBS:  53664.426  g  NULL   9890.       395.6     17.512  0.040
OBS:  53665.313  i  NULL   9585.       278.0     17.546  0.029
OBS:  53665.316  h  NULL   9594.       268.6     17.545  0.028
OBS:  53665.320  f  NULL  0.1235E+05   580.4     17.271  0.047
OBS:  53665.324  f  NULL  0.1163E+05   558.3     17.336  0.048
OBS:  53665.324  g  NULL  0.1090E+05   359.8     17.406  0.033
OBS:  53665.328  i  NULL   9692.       252.0     17.534  0.026
OBS:  53665.332  j  NULL   6132.       171.7     18.031  0.028
OBS:  53665.332  h  NULL   9489.       265.7     17.557  0.028
OBS:  53666.398  i  NULL  0.1073E+05   257.4     17.424  0.024
OBS:  53666.398  j  NULL   6031.       187.0     18.049  0.031
OBS:  53666.402  h  NULL   9954.       298.6     17.505  0.030
OBS:  53666.406  f  NULL  0.1265E+05   670.3     17.245  0.053
OBS:  53666.406  f  NULL  0.1253E+05   601.5     17.255  0.048
OBS:  53666.410  g  NULL  0.1040E+05   322.5     17.457  0.031
OBS:  53667.301  i  NULL  0.1019E+05   254.6     17.480  0.025
OBS:  53667.301  j  NULL   6177.       166.8     18.023  0.027
OBS:  53667.305  h  NULL  0.1021E+05   245.1     17.477  0.024
OBS:  53667.305  f  NULL  0.1259E+05   591.7     17.250  0.047
OBS:  53667.309  f  NULL  0.1204E+05   554.1     17.298  0.046
OBS:  53667.313  g  NULL  0.1047E+05   293.2     17.450  0.028
OBS:  53667.316  i  NULL  0.1054E+05   242.4     17.443  0.023
OBS:  53667.316  j  NULL   6003.       174.1     18.054  0.029
OBS:  53667.320  h  NULL  0.1027E+05   256.8     17.471  0.025
OBS:  53667.320  f  NULL  0.1221E+05   671.7     17.283  0.055
OBS:  53667.324  f  NULL  0.1130E+05   542.5     17.367  0.048
OBS:  53667.328  g  NULL  0.1040E+05   260.1     17.457  0.025
OBS:  53673.281  h  NULL   9710.       213.6     17.532  0.022
OBS:  53673.281  i  NULL   9568.       239.2     17.548  0.025
OBS:  53673.285  j  NULL   5176.       155.3     18.215  0.030
OBS:  53673.285  g  NULL   8333.       216.7     17.698  0.026
OBS:  53673.289  f  NULL   8143.       545.6     17.723  0.067
OBS:  53673.293  f  NULL   8128.       487.7     17.725  0.060
OBS:  53675.230  j  NULL   5124.       153.7     18.226  0.030
OBS:  53675.234  f  NULL   6492.       422.0     17.969  0.065
OBS:  53675.238  f  NULL   6957.       382.6     17.894  0.055
OBS:  53676.254  h  NULL   9179.       266.2     17.593  0.029
OBS:  53676.258  i  NULL   8929.       267.9     17.623  0.030
OBS:  53676.258  j  NULL   4609.       165.9     18.341  0.036
OBS:  53676.258  g  NULL   7352.       191.1     17.834  0.026
OBS:  53676.262  f  NULL   6310.       359.6     18.000  0.057
OBS:  53676.266  f  NULL   5082.       345.5     18.235  0.068
OBS:  53677.301  i  NULL   8395.       201.5     17.690  0.024
OBS:  53677.305  j  NULL   4533.       145.1     18.359  0.032
OBS:  53677.305  h  NULL   8702.       226.2     17.651  0.026
OBS:  53677.309  f  NULL   5167.       408.2     18.217  0.079
OBS:  53677.313  f  NULL   5234.       382.0     18.203  0.073
OBS:  53677.316  g  NULL   6504.       169.1     17.967  0.026
OBS:  53678.297  i  NULL   8158.       212.1     17.721  0.026
OBS:  53678.297  j  NULL   3865.       150.8     18.532  0.039
OBS:  53678.301  h  NULL   8395.       218.3     17.690  0.026
OBS:  53678.301  f  NULL   4487.       309.6     18.370  0.069
OBS:  53678.305  f  NULL   4500.       328.5     18.367  0.073
OBS:  53679.258  h  NULL   7878.       204.8     17.759  0.026
OBS:  53679.258  i  NULL   7741.       193.5     17.778  0.025
OBS:  53679.262  j  NULL   3726.       134.1     18.572  0.036
OBS:  53679.262  g  NULL   5712.       154.2     18.108  0.027
OBS:  53679.266  f  NULL   4313.       327.8     18.413  0.076
OBS:  53680.285  i  NULL   7119.       185.1     17.869  0.026
OBS:  53680.285  j  NULL   3354.       114.1     18.686  0.034
OBS:  53680.289  h  NULL   7427.       185.7     17.823  0.025
OBS:  53680.289  f  NULL   3651.       295.7     18.594  0.081
OBS:  53680.293  f  NULL   3644.       284.3     18.596  0.078
OBS:  53680.297  g  NULL   4839.       154.9     18.288  0.032
OBS:  53681.215  i  NULL   6880.       199.5     17.906  0.029
OBS:  53681.215  j  NULL   3664.       142.9     18.590  0.039
OBS:  53681.219  h  NULL   6625.       225.3     17.947  0.034
OBS:  53681.219  f  NULL   2601.       312.2     18.962  0.120
OBS:  53681.223  f  NULL   3116.       355.2     18.766  0.114
OBS:  53682.281  h  NULL   7106.       206.1     17.871  0.029
OBS:  53682.289  h  NULL   6650.       199.5     17.943  0.030
OBS:  53682.297  j  NULL   3096.       114.6     18.773  0.037
OBS:  53682.297  g  NULL   4207.       134.6     18.440  0.032
OBS:  53682.301  f  NULL   2430.       335.3     19.036  0.138
OBS:  53682.305  f  NULL   2259.       329.9     19.115  0.146
OBS:  53683.242  i  NULL   5808.       220.7     18.090  0.038
OBS:  53683.242  j  NULL   2970.       136.6     18.818  0.046
OBS:  53683.242  h  NULL   6601.       171.6     17.951  0.026
OBS:  53683.246  f  NULL   2027.       395.2     19.233  0.195
OBS:  53692.316  i  NULL   5105.       245.0     18.230  0.048
OBS:  53692.316  j  NULL   3568.       164.1     18.619  0.046
OBS:  53692.320  h  NULL   3937.       133.9     18.512  0.034
