SURVEY:  DES3YR_LOWZ_COMBINED(CFA3K)
SNID:    2005lu      
IAUC:    2005lu      
RA:        39.01564  deg
DECL:     -17.26375  deg
MWEBV: 0.026 (SFD98)
REDSHIFT_HELIO: 0.0322358442325 +- 0.000 (Hel)
REDSHIFT_CMB: 0.0315438061953 +- 0.000 (CMB)
REDSHIFT_FINAL: 0.0315438061953 +- 0.000 (CMB)
HOSTGAL_LOGMASS: 10.1130 +- 4.474
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 53711.211
FILTERS:  abcdefghijklmnopqrstuvwxyzA  # UBVri -> fghij       
#
# Variables copied from
#   /project/rkessler/SN/INTERNAL/DES/simlibs/VPEC_LOWZ.TXT
VPEC:  110.049988293
VPEC_ERR:  250.0
#
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS: 125
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  53727.156  h  NULL   7892.       165.7     17.757  0.021
OBS:  53727.156  i  NULL   8310.       182.8     17.701  0.022
OBS:  53727.156  j  NULL   4600.       188.6     18.343  0.041
OBS:  53727.160  g  NULL   4353.       182.8     18.403  0.042
OBS:  53727.164  f  NULL   2911.       419.1     18.840  0.144
OBS:  53728.195  h  NULL   7586.       250.3     17.800  0.033
OBS:  53728.199  i  NULL   8234.       222.3     17.711  0.027
OBS:  53728.199  j  NULL   4426.       212.4     18.385  0.048
OBS:  53728.203  g  NULL   4223.       164.7     18.436  0.039
OBS:  53728.207  f  NULL   2609.       506.1     18.959  0.194
OBS:  53729.172  h  NULL   6976.       132.5     17.891  0.019
OBS:  53729.176  i  NULL   8295.       248.8     17.703  0.030
OBS:  53729.180  g  NULL   3538.       120.3     18.628  0.034
OBS:  53729.180  f  NULL   1990.       523.3     19.253  0.263
OBS:  53730.215  h  NULL   6880.       206.4     17.906  0.030
OBS:  53730.219  i  NULL   7791.       257.1     17.771  0.033
OBS:  53730.219  j  NULL   4652.       181.4     18.331  0.039
OBS:  53730.223  f  NULL   2019.       502.8     19.237  0.249
OBS:  53730.230  h  NULL   6780.       196.6     17.922  0.029
OBS:  53730.234  i  NULL   8076.       306.9     17.732  0.038
OBS:  53730.234  j  NULL   4250.       212.5     18.429  0.050
OBS:  53730.234  g  NULL   3395.       227.4     18.673  0.067
OBS:  53731.148  h  NULL   6724.       188.3     17.931  0.028
OBS:  53731.148  i  NULL   8151.       399.4     17.722  0.049
OBS:  53731.152  j  NULL   4558.       273.5     18.353  0.060
OBS:  53731.152  g  NULL   3236.       213.6     18.725  0.066
OBS:  53735.141  i  NULL   7558.       430.8     17.804  0.057
OBS:  53735.145  j  NULL   4857.       403.2     18.284  0.083
OBS:  53735.145  g  NULL   1979.       213.7     19.259  0.108
OBS:  53735.152  f  NULL   1344.       387.1     19.679  0.288
OBS:  53741.137  h  NULL   3009.       565.7     18.804  0.188
OBS:  53741.141  i  NULL   5360.       809.4     18.177  0.151
OBS:  53745.168  h  NULL   3305.       525.5     18.702  0.159
OBS:  53745.172  i  NULL   5629.       771.1     18.124  0.137
