SURVEY:  DES3YR_LOWZ_COMBINED(CFA3K)
SNID:    2006ax      
IAUC:    2006ax      
RA:       171.01430  deg
DECL:     -12.29153  deg
MWEBV: 0.051 (SFD98)
REDSHIFT_HELIO: 0.0164969703239 +- 0.000 (Hel)
REDSHIFT_CMB: 0.0177266895771 +- 0.000 (CMB)
REDSHIFT_FINAL: 0.0177266895771 +- 0.000 (CMB)
HOSTGAL_LOGMASS:  5.0 +- 10.0   # RK 1/08/2018
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 53827.512
FILTERS:  abcdefghijklmnopqrstuvwxyzA  # UBVri -> fghij       
#
# Variables copied from
#   /project/rkessler/SN/INTERNAL/DES/simlibs/VPEC_LOWZ.TXT
VPEC:  -56.5091017456
VPEC_ERR:  250.0
#
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS: 283
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  53817.316  i  NULL  0.3314E+05   530.3     16.199  0.016
OBS:  53817.320  j  NULL  0.2647E+05   503.0     16.443  0.019
OBS:  53817.320  h  NULL  0.3382E+05   541.2     16.177  0.016
OBS:  53817.332  g  NULL  0.3522E+05   634.0     16.133  0.018
OBS:  53818.367  h  NULL  0.4146E+05   621.9     15.956  0.015
OBS:  53818.371  i  NULL  0.4059E+05   649.4     15.979  0.016
OBS:  53818.371  j  NULL  0.3227E+05   548.6     16.228  0.017
OBS:  53818.375  g  NULL  0.4369E+05   830.1     15.899  0.019
OBS:  53818.379  f  NULL  0.6516E+05   1759.     15.465  0.027
OBS:  53818.383  f  NULL  0.6552E+05   1769.     15.459  0.027
OBS:  53819.262  i  NULL  0.4605E+05   782.8     15.842  0.017
OBS:  53819.262  j  NULL  0.3617E+05   651.1     16.104  0.018
OBS:  53819.262  g  NULL  0.5086E+05   915.5     15.734  0.018
OBS:  53819.266  f  NULL  0.7434E+05   2156.     15.322  0.029
OBS:  53819.270  f  NULL  0.7551E+05   2114.     15.305  0.028
OBS:  53820.277  h  NULL  0.5516E+05   827.3     15.646  0.015
OBS:  53820.281  i  NULL  0.5287E+05   845.9     15.692  0.016
OBS:  53820.281  j  NULL  0.4059E+05   690.0     15.979  0.017
OBS:  53820.285  g  NULL  0.5770E+05   981.0     15.597  0.017
OBS:  53820.289  f  NULL  0.9358E+05   2527.     15.072  0.027
OBS:  53820.293  f  NULL  0.9333E+05   2426.     15.075  0.026
OBS:  53825.293  h  NULL  0.7929E+05   1189.     15.252  0.015
OBS:  53825.297  i  NULL  0.7251E+05   1088.     15.349  0.015
OBS:  53825.297  j  NULL  0.4664E+05   746.3     15.828  0.016
OBS:  53825.301  g  NULL  0.8024E+05   1364.     15.239  0.017
OBS:  53825.305  f  NULL  0.1203E+06   3249.     14.799  0.027
OBS:  53825.309  f  NULL  0.1193E+06   3103.     14.808  0.026
OBS:  53827.270  i  NULL  0.7434E+05   1264.     15.322  0.017
OBS:  53827.273  j  NULL  0.4401E+05   748.3     15.891  0.017
OBS:  53827.273  h  NULL  0.8219E+05   1233.     15.213  0.015
OBS:  53827.277  f  NULL  0.1180E+06   3069.     14.820  0.026
OBS:  53827.281  f  NULL  0.1168E+06   3038.     14.831  0.026
OBS:  53827.281  g  NULL  0.8264E+05   1405.     15.207  0.017
OBS:  53828.234  j  NULL  0.4134E+05   1116.     15.959  0.027
OBS:  53828.242  f  NULL  0.1071E+06   3105.     14.926  0.029
OBS:  53828.246  g  NULL  0.8084E+05   1617.     15.231  0.020
OBS:  53829.242  i  NULL  0.7119E+05   1637.     15.369  0.023
OBS:  53829.242  j  NULL  0.4142E+05   952.6     15.957  0.023
OBS:  53829.246  h  NULL  0.8181E+05   1227.     15.218  0.015
OBS:  53829.246  f  NULL  0.9763E+05   3027.     15.026  0.031
OBS:  53829.250  f  NULL  0.9162E+05   3115.     15.095  0.034
OBS:  53829.254  g  NULL  0.7995E+05   1439.     15.243  0.018
OBS:  53832.227  h  NULL  0.7544E+05   1282.     15.306  0.017
OBS:  53832.230  i  NULL  0.6918E+05   1176.     15.400  0.017
OBS:  53832.230  j  NULL  0.3695E+05   628.1     16.081  0.017
OBS:  53832.230  g  NULL  0.7073E+05   1202.     15.376  0.017
OBS:  53832.234  f  NULL  0.7936E+05   2381.     15.251  0.030
OBS:  53832.238  f  NULL  0.7980E+05   2314.     15.245  0.029
OBS:  53833.188  i  NULL  0.6540E+05   1439.     15.461  0.022
OBS:  53833.188  j  NULL  0.3429E+05   720.1     16.162  0.021
OBS:  53833.191  h  NULL  0.7305E+05   1169.     15.341  0.016
OBS:  53833.191  f  NULL  0.6534E+05   6142.     15.462  0.094
OBS:  53833.199  g  NULL  0.6534E+05   1111.     15.462  0.017
OBS:  53834.195  i  NULL  0.6415E+05   1219.     15.482  0.019
OBS:  53834.195  j  NULL  0.3373E+05   640.8     16.180  0.019
OBS:  53834.199  h  NULL  0.7027E+05   1195.     15.383  0.017
OBS:  53839.172  h  NULL  0.5205E+05   884.8     15.709  0.017
OBS:  53839.172  i  NULL  0.4575E+05   869.3     15.849  0.019
OBS:  53839.184  f  NULL  0.3432E+05   1442.     16.161  0.042
OBS:  53840.207  i  NULL  0.4317E+05   777.1     15.912  0.018
OBS:  53840.211  j  NULL  0.2168E+05   585.3     16.660  0.027
OBS:  53840.211  h  NULL  0.5096E+05   1070.     15.732  0.021
OBS:  53840.223  g  NULL  0.3420E+05   1026.     16.165  0.030
OBS:  53843.211  i  NULL  0.4018E+05   683.0     15.990  0.017
OBS:  53843.211  j  NULL  0.2082E+05   353.9     16.704  0.017
OBS:  53843.215  h  NULL  0.4438E+05   710.1     15.882  0.016
OBS:  53843.215  f  NULL  0.2491E+05   772.3     16.509  0.031
OBS:  53843.219  f  NULL  0.2403E+05   793.1     16.548  0.033
OBS:  53843.223  g  NULL  0.2754E+05   468.2     16.400  0.017
OBS:  53845.195  i  NULL  0.3834E+05   651.7     16.041  0.017
OBS:  53845.199  h  NULL  0.4022E+05   603.2     15.989  0.015
OBS:  53845.203  f  NULL  0.1770E+05   654.9     16.880  0.037
OBS:  53845.207  f  NULL  0.1842E+05   607.7     16.837  0.033
OBS:  53845.207  g  NULL  0.2278E+05   410.1     16.606  0.018
OBS:  53846.199  i  NULL  0.3705E+05   852.2     16.078  0.023
OBS:  53846.199  j  NULL  0.2168E+05   390.2     16.660  0.018
OBS:  53846.203  h  NULL  0.3830E+05   612.8     16.042  0.016
OBS:  53846.203  f  NULL  0.1594E+05   573.7     16.994  0.036
