SURVEY:  DES3YR_LOWZ_COMBINED(CFA3K)
SNID:    2006ob      
IAUC:    2006ob      
RA:        27.95055  deg
DECL:       0.26346  deg
MWEBV: 0.032 (SFD98)
REDSHIFT_HELIO: 0.0591804567448 +- 0.000 (Hel)
REDSHIFT_CMB: 0.058239351958 +- 0.000 (CMB)
REDSHIFT_FINAL: 0.058239351958 +- 0.000 (CMB)
HOSTGAL_LOGMASS: 11.7420 +- 0.048
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 54063.102
FILTERS:  abcdefghijklmnopqrstuvwxyzA  # UBVri -> fghij       
#
# Variables copied from
#   /project/rkessler/SN/INTERNAL/DES/simlibs/VPEC_LOWZ.TXT
VPEC:  211.685997143
VPEC_ERR:  250.0
#
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS: 138
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  54058.211  j  NULL   3096.       148.6     18.773  0.048
OBS:  54058.215  i  NULL   3784.       147.6     18.555  0.039
OBS:  54058.215  h  NULL   3802.       125.5     18.550  0.033
OBS:  54058.219  g  NULL   3568.       121.3     18.619  0.034
OBS:  54059.195  i  NULL   4055.       170.3     18.480  0.042
OBS:  54059.195  h  NULL   4055.       166.3     18.480  0.041
OBS:  54059.199  g  NULL   4262.       153.4     18.426  0.036
OBS:  54060.160  j  NULL   3436.       161.5     18.660  0.047
OBS:  54060.160  i  NULL   4475.       143.2     18.373  0.032
OBS:  54060.164  h  NULL   4529.       126.8     18.360  0.028
OBS:  54060.168  g  NULL   4157.       133.0     18.453  0.032
OBS:  54060.172  f  NULL   5776.       387.0     18.096  0.067
OBS:  54060.176  f  NULL   5420.       357.7     18.165  0.066
OBS:  54061.254  j  NULL   3299.       171.6     18.704  0.052
OBS:  54061.258  i  NULL   4660.       158.4     18.329  0.034
OBS:  54061.258  h  NULL   4664.       135.3     18.328  0.029
OBS:  54061.262  g  NULL   4584.       174.2     18.347  0.038
OBS:  54061.266  f  NULL   5186.       394.1     18.213  0.076
OBS:  54061.270  f  NULL   5346.       379.5     18.180  0.071
OBS:  54063.156  j  NULL   3941.       279.8     18.511  0.071
OBS:  54063.160  i  NULL   4756.       242.5     18.307  0.051
OBS:  54063.164  h  NULL   4957.       163.6     18.262  0.033
OBS:  54063.164  g  NULL   4361.       170.1     18.401  0.039
OBS:  54063.172  f  NULL   4418.       393.2     18.387  0.089
OBS:  54063.172  f  NULL   3719.       353.3     18.574  0.095
OBS:  54064.168  j  NULL   3477.       159.9     18.647  0.046
OBS:  54064.168  i  NULL   5297.       158.9     18.190  0.030
OBS:  54064.172  h  NULL   5049.       151.5     18.242  0.030
OBS:  54064.176  g  NULL   4377.       135.7     18.397  0.031
OBS:  54064.180  f  NULL   3715.       293.5     18.575  0.079
OBS:  54064.184  f  NULL   4040.       327.3     18.484  0.081
OBS:  54066.227  j  NULL   3467.       190.7     18.650  0.055
OBS:  54066.230  i  NULL   5063.       167.1     18.239  0.033
OBS:  54066.230  h  NULL   4826.       135.1     18.291  0.028
OBS:  54066.234  g  NULL   4070.       126.2     18.476  0.031
OBS:  54066.238  f  NULL   2981.       292.2     18.814  0.098
OBS:  54066.242  f  NULL   3026.       284.4     18.798  0.094
OBS:  54074.203  j  NULL   1717.       168.3     19.413  0.098
OBS:  54074.207  i  NULL   3442.       168.6     18.658  0.049
OBS:  54074.211  h  NULL   3379.       165.6     18.678  0.049
OBS:  54075.160  j  NULL   1805.       158.8     19.359  0.088
OBS:  54075.160  i  NULL   3404.       183.8     18.670  0.054
OBS:  54075.164  h  NULL   3012.       141.6     18.803  0.047
OBS:  54076.191  j  NULL   1930.       148.6     19.286  0.077
OBS:  54076.195  i  NULL   3142.       144.5     18.757  0.046
OBS:  54076.199  h  NULL   2866.       154.7     18.857  0.054
OBS:  54076.199  g  NULL   1260.       175.1     19.749  0.139
OBS:  54080.141  j  NULL   2630.       184.1     18.950  0.070
OBS:  54080.141  i  NULL   2657.       119.6     18.939  0.045
OBS:  54080.145  h  NULL   1808.       119.3     19.357  0.066
OBS:  54080.148  g  NULL   621.2       65.84     20.517  0.106
OBS:  54081.148  i  NULL   2674.       131.0     18.932  0.049
OBS:  54081.152  h  NULL   1457.       142.8     19.591  0.098
OBS:  54081.156  g  NULL   594.3       87.96     20.565  0.148
OBS:  54082.164  i  NULL   2218.       146.4     19.135  0.066
OBS:  54082.168  h  NULL   1410.       162.1     19.627  0.115
OBS:  54083.070  j  NULL   2162.       149.2     19.163  0.069
OBS:  54083.070  i  NULL   2200.       105.6     19.144  0.048
OBS:  54083.074  h  NULL   1137.       122.8     19.861  0.108
OBS:  54086.148  j  NULL   2198.       129.7     19.145  0.059
OBS:  54086.148  i  NULL   1613.       135.5     19.481  0.084
OBS:  54086.152  h  NULL   1111.       107.7     19.886  0.097
OBS:  54094.148  j  NULL   1095.       124.9     19.901  0.114
OBS:  54094.148  i  NULL   1225.       80.82     19.780  0.066
OBS:  54094.152  h  NULL   718.5       81.90     20.359  0.114
OBS:  54095.145  j  NULL   872.6       129.1     20.148  0.148
OBS:  54095.148  i  NULL   971.8       102.0     20.031  0.105
OBS:  54101.137  j  NULL   491.1       114.9     20.772  0.234
OBS:      54060.1     t      md      3159.37    63.1874    18.7510    0.0200000
OBS:      54065.1     t      md      2307.81    69.2344    19.0920    0.0300000
OBS:      54073.1     t      md      698.233    127.078    20.3900    0.182000
OBS:      54075.1     t      md      672.357    116.318    20.4310    0.173000
OBS:      54079.1     t      md      203.798    51.9685    21.7270    0.255000
OBS:      54060.1     u      md      4333.11    51.9973    18.4080    0.0120000
OBS:      54065.1     u      md      4458.61    57.9620    18.3770    0.0130000
OBS:      54073.1     u      md      2288.76    119.015    19.1010    0.0520000
OBS:      54075.1     u      md      1698.24    78.1193    19.4250    0.0460000
OBS:      54079.1     u      md      967.387    36.7607    20.0360    0.0380000
OBS:      54084.1     u      md      582.908    48.9643    20.5860    0.0840000
OBS:      54087.1     u      md      393.732    19.6866    21.0120    0.0500000
OBS:      54092.1     u      md      323.594    20.3864    21.2250    0.0630000
OBS:      54100.0     u      md      260.136    70.7569    21.4620    0.272000
OBS:      54104.0     u      md      259.657    62.8370    21.4640    0.242000
OBS:      54108.1     u      md      189.845    20.8830    21.8040    0.110000
OBS:      54112.1     u      md      173.620    18.0565    21.9010    0.104000
OBS:      54121.1     u      md      130.257    29.9591    22.2130    0.230000
OBS:     54060.1     x     md     4508.17     63.1143     18.3650     0.0140000
OBS:     54065.1     x     md     5025.74     60.3089     18.2470     0.0120000
OBS:     54073.1     x     md     3400.95     88.4247     18.6710     0.0260000
OBS:     54075.1     x     md     3073.27     82.9782     18.7810     0.0270000
OBS:     54079.1     x     md     2169.70     54.2425     19.1590     0.0250000
OBS:     54084.1     x     md     1411.24     59.2720     19.6260     0.0420000
OBS:     54087.1     x     md     1053.90     40.0482     19.9430     0.0380000
OBS:     54092.1     x     md     703.396     31.6528     20.3820     0.0450000
OBS:     54100.0     x     md     497.508     121.392     20.7580     0.244000
OBS:     54104.0     x     md     463.874     52.8817     20.8340     0.114000
OBS:     54108.1     x     md     443.813     23.0783     20.8820     0.0520000
OBS:     54112.1     x     md     453.315     25.8390     20.8590     0.0570000
OBS:     54121.1     x     md     383.354     47.5359     21.0410     0.124000
OBS:      54060.1     y      md      4742.42    52.1667    18.3100    0.0110000
OBS:      54065.1     y      md      5039.65    50.3965    18.2440    0.0100000
OBS:      54073.1     y      md      2701.47    81.0441    18.9210    0.0300000
OBS:      54075.1     y      md      2267.78    72.5688    19.1110    0.0320000
OBS:      54079.1     y      md      1331.68    27.9653    19.6890    0.0210000
OBS:      54084.1     y      md      778.396    28.0222    20.2720    0.0360000
OBS:      54087.1     y      md      575.440    19.5650    20.6000    0.0340000
OBS:      54092.1     y      md      429.734    20.1975    20.9170    0.0470000
OBS:      54100.0     y      md      414.954    73.0319    20.9550    0.176000
OBS:      54104.0     y      md      250.495    43.8367    21.5030    0.175000
OBS:      54108.1     y      md      287.873    15.8330    21.3520    0.0550000
OBS:      54112.1     y      md      273.149    18.5741    21.4090    0.0680000
OBS:      54121.1     y      md      234.855    21.3718    21.5730    0.0910000
OBS:      54060.1     z      md      4438.13    57.6957    18.3820    0.0130000
OBS:      54065.1     z      md      5133.34    56.4667    18.2240    0.0110000
OBS:      54073.1     z      md      3657.64    87.7833    18.5920    0.0240000
OBS:      54075.1     z      md      3153.55    69.3782    18.7530    0.0220000
OBS:      54079.1     z      md      2787.41    41.8111    18.8870    0.0150000
OBS:      54084.1     z      md      2189.78    54.7444    19.1490    0.0250000
OBS:      54087.1     z      md      1707.65    40.9837    19.4190    0.0240000
