SURVEY:  DES3YR_LOWZ_COMBINED(CFA4p1)
PHOTOMETRY_VERSION: CFA4
SNTYPE: 1
SNID:  2007A
IAUC:  2007A
IAUC:    UNKNOWN
RA:   6.3195042  deg
DECL:    12.886883  deg
MWEBV: 0.073600000 MW E(B-V) (SFD98)
REDSHIFT_HELIO: 0.0171194138099 +- 0.000 (Hel)
REDSHIFT_CMB: 0.0159502848983 +- 0.000 (CMB)
REDSHIFT_FINAL: 0.0159502848983 +- 0.000 (CMB)
HOSTGAL_LOGMASS: 10.8320 +- 0.151
PRIVATE(COSMO): 1
FILTERS: abcdefghijklmnopqrstuvwxyzA  # UBVri -> klmno
#
# Variables copied from
#   /project/rkessler/SN/INTERNAL/DES/simlibs/VPEC_LOWZ.TXT
VPEC:  101.311835758
VPEC_ERR:  250.0
#
SEARCH_PEAKMJD: 54113.402
NOBS: 57
NVAR:   6
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS:      54107.1     l      md      33822.1    950.400    16.1770    0.0281000
OBS:      54117.1     l      md      38406.1    1036.96    16.0390    0.0270000
OBS:      54128.1     l      md      17394.0    582.700    16.8990    0.0335000
OBS:      54139.1     l      md      6217.27    506.708    18.0160    0.0815000
OBS:      54107.1     m      md      38565.6    663.329    16.0345    0.0172000
OBS:      54117.1     m      md      48708.0    686.783    15.7810    0.0141000
OBS:      54128.1     m      md      29322.4    897.266    16.3320    0.0306000
OBS:      54139.1     m      md      16865.5    613.905    16.9325    0.0364000
OBS:      54107.1     n      md      40588.2    1055.29    15.9790    0.0260000
OBS:      54117.1     n      md      49590.6    872.795    15.7615    0.0176000
OBS:      54128.1     n      md      27252.1    640.424    16.4115    0.0235000
OBS:      54139.1     n      md      22856.0    1097.09    16.6025    0.0480000
OBS:      54107.1     o      md      35059.0    669.627    16.1380    0.0191000
OBS:      54117.1     o      md      30185.6    582.582    16.3005    0.0193000
OBS:      54128.1     o      md      15296.8    581.278    17.0385    0.0380000
OBS:      54139.1     o      md      19952.6    506.797    16.7500    0.0254000
OBS:      54108.0     t      md      24479.4    293.752    16.5280    0.0120000
OBS:      54112.0     t      md      26181.8    392.728    16.4550    0.0150000
OBS:      54123.0     t      md      11313.6    429.916    17.3660    0.0380000
OBS:      54108.0     u      md      36441.8    473.743    16.0960    0.0130000
OBS:      54110.0     u      md      38406.1    422.467    16.0390    0.0110000
OBS:      54112.0     u      md      41039.3    328.315    15.9670    0.00800000
OBS:      54119.0     u      md      33791.0    236.537    16.1780    0.00700000
OBS:      54121.0     u      md      29950.2    209.651    16.3090    0.00700000
OBS:      54127.0     u      md      19266.4    327.528    16.7880    0.0170000
OBS:      54131.0     u      md      11727.4    504.276    17.3270    0.0430000
OBS:     54108.0     x     md     41840.8     292.886     15.9460     0.00700000
OBS:     54110.0     x     md     46644.4     326.511     15.8280     0.00700000
OBS:     54112.0     x     md     51238.9     409.911     15.7260     0.00800000
OBS:     54119.0     x     md     46089.3     230.447     15.8410     0.00500000
OBS:     54121.0     x     md     43491.1     260.946     15.9040     0.00600000
OBS:     54127.0     x     md     31102.9     404.337     16.2680     0.0130000
OBS:     54131.0     x     md     24751.4     470.277     16.5160     0.0190000
OBS:     54133.0     x     md     23463.9     398.887     16.5740     0.0170000
OBS:      54108.0     y      md      39192.2    391.922    16.0170    0.0100000
OBS:      54110.0     y      md      44627.2    446.272    15.8760    0.0100000
OBS:      54112.0     y      md      46946.1    375.569    15.8210    0.00800000
OBS:      54123.0     y      md      32478.8    747.012    16.2210    0.0230000
OBS:      54128.0     y      md      23334.6    443.357    16.5800    0.0190000
OBS:      54133.0     y      md      15966.1    526.883    16.9920    0.0330000
OBS:      54108.0     z      md      44340.4    354.724    15.8830    0.00800000
OBS:      54110.0     z      md      48084.0    384.672    15.7950    0.00800000
OBS:      54112.0     z      md      51428.1    308.568    15.7220    0.00600000
OBS:      54119.0     z      md      47119.4    329.836    15.8170    0.00700000
OBS:      54121.0     z      md      43611.4    348.891    15.9010    0.00800000
OBS:      54123.0     z      md      37670.4    339.034    16.0600    0.00900000
OBS:      54128.0     z      md      27567.7    275.677    16.3990    0.0100000
OBS:      54133.0     z      md      25374.6    329.870    16.4890    0.0130000
OBS:      54108.0     A      md      36374.8    254.623    16.0980    0.00700000
OBS:      54110.0     A      md      37222.1    521.109    16.0730    0.0140000
OBS:      54112.0     A      md      35481.4    283.851    16.1250    0.00800000
OBS:      54119.0     A      md      28418.5    255.766    16.3660    0.00900000
OBS:      54121.0     A      md      25118.9    226.070    16.5000    0.00900000
OBS:      54123.0     A      md      21320.6    277.168    16.6780    0.0130000
OBS:      54127.0     A      md      16413.5    246.202    16.9620    0.0150000
OBS:      54128.0     A      md      16025.1    256.401    16.9880    0.0160000
OBS:      54133.0     A      md      17234.6    310.222    16.9090    0.0180000
END:
