#ZeropointFile: y3a1_fgcm_all_v2_5_full_redux.fits
#AtmosphereFile: y3a1_fgcm_all_v2_5_atmospheres_StdAtm.fits
#FGCMVersion: 0.12.1
NVAR: 15
VARNAMES: ROW DES_SNID MJD EXPNUM PHASE zHD BAND MAGCOR FRACNEGFLUX FLUXCAL_MODEL CCDNUM FULL_CORRs gFlux rFlux iFlux zFlux
ROW: 1248677-56536.259-g 1248677 56536.259 229391 -18.066 0.350 g -4.234e-03 0.000e+0 +4.253e+01 38 1 42.5288543701 92.9875946045 76.2432785034 68.7650299072
ROW: 1248677-56538.281-z 1248677 56538.281 230156 -16.043 0.350 z +2.527e-03 0.000e+0 +6.877e+01 38 1 42.5288543701 92.9875946045 76.2432785034 68.7650299072
ROW: 1248677-56538.340-i 1248677 56538.340 230173 -15.984 0.350 i -2.811e-03 0.000e+0 +7.624e+01 38 1 42.5288543701 92.9875946045 76.2432785034 68.7650299072
ROW: 1248677-56538.398-r 1248677 56538.398 230191 -15.926 0.350 r +1.351e-03 0.000e+0 +9.299e+01 38 1 42.5288543701 92.9875946045 76.2432785034 68.7650299072
ROW: 1248677-56543.248-g 1248677 56543.248 231562 -11.078 0.350 g -1.396e-03 0.000e+0 +1.529e+02 38 1 152.873657227 202.767211914 169.397247314 131.860855103
ROW: 1248677-56544.257-z 1248677 56544.257 231966 -10.066 0.350 z +1.107e-03 0.000e+0 +1.319e+02 38 1 152.873657227 202.767211914 169.397247314 131.860855103
ROW: 1248677-56545.228-i 1248677 56545.228 232358 -9.098 0.350 i -1.839e-03 0.000e+0 +1.694e+02 38 1 152.873657227 202.767211914 169.397247314 131.860855103
ROW: 1248677-56545.251-r 1248677 56545.251 232364 -9.074 0.350 r +9.261e-04 0.000e+0 +2.028e+02 38 1 152.873657227 202.767211914 169.397247314 131.860855103
ROW: 1248677-56547.281-g 1248677 56547.281 233180 -7.043 0.350 g -3.280e-03 0.000e+0 +2.030e+02 38 1 202.991821289 202.767211914 169.397247314 155.577072144
ROW: 1248677-56548.267-z 1248677 56548.267 233573 -6.059 0.350 z +2.358e-03 0.000e+0 +1.556e+02 38 1 202.991821289 202.767211914 169.397247314 155.577072144
