 
TRANSIENT_NAME:     DES14S2qri 
SNID:               1316787    
OBS_DATE:           2015-01-21
MJD:                57043. 
PHASE:              -3.    
MJD_MAX:            57050.4 (Angus et. al.: MNRAS, 487, 2215A, 2019)
TYPE:               41 
SPEC_EVAL:          SLSN-I
REDSHIFT:           1.5000  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          GTC
INSTRUMENT:         OSIRIS
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 4804.48   1.3181e-18   1.1351e-18
 4809.09   9.1971e-19   1.0167e-18
 4813.71   1.2404e-18   9.4317e-19
 4818.32   6.0249e-19   8.8019e-19
 4822.93   1.6185e-18   8.1862e-19
 4827.55   4.3229e-19   7.4647e-19
 4832.16   2.1570e-18   7.1195e-19
 4836.77   1.1825e-18   6.4941e-19
 4841.39   2.7778e-19   6.0727e-19
 4846.00   1.1807e-18   5.6167e-19
 4850.62   6.7179e-19   5.3440e-19
 4855.23   3.3788e-20   4.9542e-19
 4859.84   1.2986e-18   4.7412e-19
 4864.46   5.0129e-19   4.5384e-19
 4869.07   9.1304e-19   4.2155e-19
 4873.68   1.7285e-18   4.2227e-19
 4878.30   1.4729e-18   3.9904e-19
 4882.91   7.6752e-19   3.8333e-19
 4887.52   6.1407e-19   3.6243e-19
 4892.14   1.0864e-18   2.9082e-19
 4896.75   1.1552e-18   3.4399e-19
 4901.36   8.8683e-19   3.3309e-19
 4905.98   7.2390e-19   3.1383e-19
 4910.59   3.5293e-19   2.9959e-19
 4915.21   5.8614e-19   2.8537e-19
 4919.82   4.2812e-19   2.7639e-19
 4924.43   4.3420e-19   2.7284e-19
 4929.05   4.6560e-19   2.6674e-19
 4933.66   4.8771e-19   2.5990e-19
 4938.27   5.5136e-19   2.5284e-19
 4942.89   3.8503e-19   2.4905e-19
 4947.50   7.8529e-19   2.4804e-19
 4952.11   5.8692e-19   2.4045e-19
 4956.73   7.9144e-19   2.3313e-19
 4961.34   9.2918e-19   2.3138e-19
 4965.95   4.3628e-19   2.3040e-19
 4970.57   2.3787e-19   2.2582e-19
 4975.18   5.3095e-19   2.2320e-19
 4979.79   8.1672e-19   2.2132e-19
 4984.41   3.7826e-19   2.1735e-19
 4989.02   1.4518e-19   2.1448e-19
 4993.64   6.5503e-19   2.1069e-19
 4998.25   5.4177e-19   2.0700e-19
 5002.86   5.8388e-19   2.0140e-19
 5007.48   5.0317e-19   1.9882e-19
 5012.09   3.3197e-19   1.9649e-19
 5016.70   6.5330e-19   1.9617e-19
 5021.32   1.0875e-18   1.9918e-19
 5025.93   9.2216e-19   1.9710e-19
 5030.54   1.1036e-18   1.9708e-19
 5035.16   5.8925e-19   1.9112e-19
 5039.77   6.4147e-19   1.9051e-19
 5044.38   4.6209e-19   1.8733e-19
 5049.00   5.5272e-19   1.8676e-19
 5053.61   1.0282e-18   1.9011e-19
 5058.22   8.8003e-19   1.8902e-19
 5062.84   9.1549e-19   1.8745e-19
 5067.45   9.6208e-19   1.8773e-19
 5072.07   6.1377e-19   1.8322e-19
 5076.68   9.5834e-19   1.8456e-19
 5081.29   7.4036e-19   1.8177e-19
 5085.91   8.4982e-19   1.8303e-19
 5090.52   9.5236e-19   1.8147e-19
 5095.13   7.5621e-19   1.7947e-19
 5099.75   7.3180e-19   1.7898e-19
 5104.36   1.0731e-18   1.8213e-19
 5108.97   8.7401e-19   1.8114e-19
 5113.59   9.0480e-19   1.7981e-19
 5118.20   8.2723e-19   1.7838e-19
 5122.81   1.0501e-18   1.7876e-19
 5127.43   7.3964e-19   1.7481e-19
 5132.04   9.3330e-19   1.7705e-19
 5136.65   1.1922e-18   1.7761e-19
 5141.27   9.6225e-19   1.7576e-19
 5145.88   5.0578e-19   1.7329e-19
 5150.50   1.2279e-18   1.7676e-19
 5155.11   8.4796e-19   1.7464e-19
