 
TRANSIENT_NAME:     DES14X2byo 
SNID:               1298914    
OBS_DATE:           2014-10-18
MJD:                56948. 
PHASE:              +2.    
MJD_MAX:            56944.7 (Angus et. al.: MNRAS, 487, 2215A, 2019)
TYPE:               41 
SPEC_EVAL:          SLSN-I
REDSHIFT:           0.8680  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          GTC
INSTRUMENT:         OSIRIS
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 4804.46   1.2981e-17   2.9506e-18
 4809.07   3.0234e-18   2.4750e-18
 4813.68   6.1411e-18   2.4516e-18
 4818.30   5.7777e-18   2.0667e-18
 4822.91   8.1772e-18   1.9375e-18
 4827.52   6.8924e-18   1.7863e-18
 4832.14   3.6496e-18   1.5539e-18
 4836.75   5.8754e-18   1.5052e-18
 4841.36   7.5320e-18   1.3877e-18
 4845.98   8.1662e-18   1.3172e-18
 4850.59   7.6125e-18   1.1948e-18
 4855.20   8.9969e-18   1.1341e-18
 4859.82   1.0005e-17   1.0717e-18
 4864.43   8.1240e-18   1.0156e-18
 4869.04   6.1215e-18   8.8372e-19
 4873.66   6.9749e-18   9.3470e-19
 4878.27   5.9836e-18   8.8852e-19
 4882.88   6.4740e-18   8.9784e-19
 4887.50   4.3535e-18   8.0472e-19
 4892.11   6.1695e-18   8.0154e-19
 4896.73   9.2545e-18   1.2405e-18
 4901.34   8.5002e-18   1.2566e-18
 4905.95   9.9003e-18   1.1814e-18
 4910.57   6.4553e-18   7.1112e-19
 4915.18   8.5731e-18   7.1518e-19
 4919.79   9.1130e-18   7.0851e-19
 4924.41   9.4159e-18   7.0127e-19
 4929.02   9.0031e-18   6.8214e-19
 4933.63   5.8625e-18   6.4136e-19
 4938.25   7.0609e-18   6.4975e-19
 4942.86   9.0462e-18   6.6251e-19
 4947.47   7.2761e-18   6.3306e-19
 4952.09   6.8062e-18   6.2276e-19
 4956.70   7.3987e-18   6.1327e-19
 4961.31   8.1867e-18   6.2617e-19
 4965.93   7.0072e-18   6.2133e-19
 4970.54   7.3638e-18   6.0976e-19
 4975.15   7.4275e-18   6.0272e-19
 4979.77   7.2043e-18   5.9111e-19
 4984.38   8.5587e-18   6.0534e-19
 4988.99   9.2716e-18   6.0417e-19
 4993.61   8.5555e-18   5.9472e-19
 4998.22   7.6881e-18   5.7675e-19
 5002.83   8.9551e-18   5.8390e-19
 5007.45   8.3464e-18   5.7174e-19
 5012.06   9.1072e-18   5.7465e-19
 5016.67   8.8756e-18   5.7107e-19
 5021.29   9.0725e-18   5.6502e-19
 5025.90   8.3940e-18   5.5887e-19
 5030.52   7.6751e-18   5.4947e-19
 5035.13   1.0485e-17   5.5918e-19
 5039.74   9.8451e-18   5.5076e-19
 5044.36   8.9664e-18   5.4411e-19
 5048.97   1.0292e-17   5.4989e-19
 5053.58   1.0081e-17   5.4538e-19
 5058.20   1.0340e-17   7.7244e-19
 5062.81   9.4294e-18   5.4112e-19
 5067.42   1.1060e-17   5.3894e-19
 5072.04   9.0049e-18   5.1953e-19
 5076.65   1.0186e-17   5.3605e-19
 5081.26   1.0076e-17   5.2677e-19
 5085.88   9.3187e-18   5.2059e-19
 5090.49   1.0059e-17   5.1984e-19
 5095.10   9.0763e-18   5.0941e-19
 5099.72   9.5425e-18   5.1016e-19
 5104.33   9.8462e-18   5.0585e-19
 5108.94   9.4382e-18   5.0084e-19
 5113.56   1.0168e-17   5.0338e-19
 5118.17   1.0694e-17   5.0042e-19
 5122.78   9.4222e-18   4.9007e-19
 5127.40   1.0183e-17   4.9656e-19
 5132.01   1.0703e-17   5.0468e-19
 5136.62   9.5790e-18   4.9561e-19
 5141.24   1.0877e-17   5.0291e-19
 5145.85   1.0440e-17   4.9433e-19
 5150.46   8.5716e-18   4.8799e-19
 5155.08   1.0349e-17   4.8174e-19
 5159.69   1.0305e-17   4.4641e-19
 5164.31   9.1076e-18   5.6029e-19
 5168.92   7.6305e-18   5.5034e-19
 5173.53   6.6832e-18   5.3789e-19
 5178.15   7.9011e-18   5.4873e-19
 5182.76   7.0240e-18   5.3497e-19
 5187.37   7.2320e-18   5.3969e-19
 5191.99   8.2004e-18   5.4681e-19
 5196.60   8.5319e-18   5.0698e-19
 5201.21   9.6083e-18   4.3835e-19
 5205.83   9.8281e-18   4.3200e-19
 5210.44   9.3802e-18   4.2489e-19
 5215.05   9.2247e-18   4.2346e-19
 5219.67   8.4230e-18   4.1574e-19
 5224.28   7.4865e-18   4.0716e-19
 5228.89   8.0361e-18   4.0362e-19
 5233.51   8.0153e-18   4.0106e-19
 5238.12   8.2430e-18   3.9984e-19
 5242.73   9.4438e-18   4.0207e-19
 5247.35   8.1512e-18   3.9144e-19
 5251.96   8.5790e-18   3.8999e-19
 5256.57   8.7620e-18   3.8438e-19
 5261.19   8.3943e-18   3.7223e-19
 5265.80   9.0849e-18   3.6914e-19
 5270.42   9.2051e-18   3.7051e-19
 5275.03   8.7200e-18   3.6834e-19
 5279.64   8.3548e-18   3.6322e-19
 5284.26   8.6105e-18   3.6126e-19
 5288.87   8.5542e-18   3.6002e-19
 5293.48   8.2553e-18   3.5920e-19
 5298.10   8.5209e-18   3.5848e-19
 5302.71   8.3785e-18   3.5762e-19
 5307.32   8.3663e-18   3.5579e-19
 5311.94   8.3036e-18   3.5440e-19
 5316.55   7.9704e-18   3.4856e-19
 5321.16   7.5272e-18   3.4281e-19
 5325.78   7.1124e-18   3.4094e-19
 5330.39   8.4575e-18   3.4453e-19
 5335.00   8.3930e-18   3.3917e-19
 5339.62   7.3974e-18   3.3001e-19
 5344.23   7.8863e-18   3.3027e-19
 5348.84   7.4714e-18   3.2496e-19
 5353.46   6.8761e-18   3.2026e-19
 5358.07   7.8422e-18   3.2168e-19
 5362.68   7.4586e-18   3.1608e-19
 5367.30   7.0843e-18   3.1233e-19
 5371.91   7.3651e-18   3.1242e-19
 5376.52   7.8483e-18   3.1386e-19
 5381.14   7.2618e-18   3.0772e-19
 5385.75   7.6483e-18   3.0541e-19
 5390.36   7.0280e-18   2.9854e-19
 5394.98   7.1903e-18   2.9441e-19
 5399.59   7.1582e-18   2.9213e-19
 5404.21   6.8022e-18   2.8940e-19
 5408.82   6.9015e-18   2.8820e-19
 5413.43   6.5909e-18   2.8687e-19
 5418.05   7.3391e-18   2.8991e-19
 5422.66   6.6568e-18   2.8460e-19
 5427.27   6.9613e-18   2.8388e-19
 5431.89   7.1076e-18   2.8536e-19
 5436.50   7.2376e-18   2.8413e-19
 5441.11   6.3920e-18   2.7930e-19
 5445.73   6.9131e-18   2.7885e-19
 5450.34   6.5695e-18   2.7707e-19
 5454.95   6.7068e-18   2.8066e-19
 5459.57   6.6522e-18   2.7916e-19
 5464.18   6.4494e-18   2.7630e-19
 5468.79   6.6384e-18   2.7226e-19
 5473.41   6.2830e-18   2.6801e-19
 5478.02   6.8423e-18   2.7074e-19
 5482.63   6.4005e-18   2.6784e-19
 5487.25   6.3544e-18   2.6693e-19
 5491.86   6.1741e-18   2.6543e-19
 5496.47   6.7457e-18   2.7017e-19
 5501.09   6.3263e-18   2.6697e-19
 5505.70   6.4352e-18   2.6681e-19
 5510.31   6.2664e-18   2.6383e-19
 5514.93   6.2200e-18   2.6412e-19
 5519.54   6.3732e-18   2.6168e-19
 5524.15   5.9158e-18   2.5790e-19
 5528.77   5.9954e-18   2.5671e-19
 5533.38   6.9783e-18   2.6397e-19
 5538.00   6.4305e-18   2.6434e-19
 5542.61   6.0788e-18   2.6395e-19
 5547.22   6.7118e-18   2.6496e-19
 5551.84   7.1092e-18   2.6473e-19
 5556.45   5.3323e-18   2.6278e-19
 5561.06   6.1269e-18   2.7397e-19
 5565.68   6.1480e-18   5.2512e-19
 5570.29   8.5191e-18   9.1154e-19
 5574.90   6.2248e-18   1.0190e-18
 5579.52   7.0997e-18   9.3996e-19
 5584.13   7.0593e-18   6.0200e-19
 5588.74   6.3659e-18   2.6928e-19
 5593.36   6.3301e-18   2.6026e-19
 5597.97   5.8914e-18   2.5040e-19
 5602.58   6.1455e-18   2.5324e-19
 5607.20   6.4244e-18   2.5294e-19
 5611.81   5.9747e-18   2.4663e-19
 5616.42   5.8982e-18   2.4552e-19
 5621.04   6.0398e-18   2.4593e-19
 5625.65   6.2333e-18   2.4517e-19
 5630.26   6.0510e-18   2.4143e-19
 5634.88   6.0125e-18   2.4039e-19
 5639.49   5.6984e-18   2.3914e-19
 5644.10   6.2607e-18   2.4154e-19
 5648.72   5.9137e-18   2.3686e-19
 5653.33   6.2076e-18   2.3626e-19
 5657.94   5.7506e-18   2.3377e-19
 5662.56   5.6710e-18   2.3399e-19
 5667.17   5.8456e-18   2.3615e-19
 5671.79   5.9637e-18   2.3758e-19
 5676.40   5.9946e-18   2.3946e-19
 5681.01   5.8910e-18   2.4036e-19
 5685.63   5.9312e-18   2.4070e-19
 5690.24   5.2759e-18   2.3690e-19
 5694.85   5.4569e-18   2.3573e-19
 5699.47   6.0613e-18   2.3713e-19
 5704.08   5.8294e-18   2.3464e-19
 5708.69   5.6880e-18   2.3230e-19
 5713.31   5.5490e-18   2.3082e-19
 5717.92   5.6467e-18   2.3146e-19
 5722.53   5.6001e-18   2.3010e-19
 5727.15   5.3737e-18   2.2718e-19
 5731.76   5.2242e-18   2.2465e-19
 5736.37   5.2135e-18   2.2313e-19
 5740.99   5.5239e-18   2.2231e-19
 5745.60   5.5164e-18   2.2144e-19
 5750.21   5.2999e-18   2.1937e-19
 5754.83   5.1589e-18   2.1854e-19
 5759.44   4.5804e-18   2.1541e-19
 5764.05   5.0733e-18   2.1762e-19
 5768.67   5.0819e-18   2.1702e-19
 5773.28   4.9610e-18   2.1497e-19
 5777.90   4.9016e-18   2.0973e-19
 5782.51   5.2240e-18   2.1480e-19
 5787.12   4.7733e-18   2.1157e-19
 5791.74   5.0670e-18   2.1344e-19
 5796.35   5.0392e-18   2.1218e-19
 5800.96   4.9405e-18   2.1061e-19
 5805.58   5.2954e-18   2.1214e-19
 5810.19   4.8833e-18   2.1002e-19
 5814.80   4.9100e-18   2.0950e-19
 5819.42   5.1830e-18   2.1080e-19
 5824.03   4.8751e-18   2.0882e-19
 5828.64   4.8616e-18   2.0804e-19
 5833.26   4.5276e-18   2.0515e-19
 5837.87   4.3686e-18   2.0397e-19
 5842.48   4.5840e-18   2.0371e-19
 5847.10   4.3159e-18   2.0086e-19
 5851.71   4.5808e-18   2.0195e-19
 5856.32   4.7315e-18   2.0755e-19
 5860.94   4.6756e-18   2.1679e-19
 5865.55   4.7690e-18   2.2191e-19
 5870.16   4.9328e-18   2.2150e-19
 5874.78   4.3354e-18   2.1585e-19
 5879.39   4.8862e-18   2.8424e-19
 5884.00   4.1591e-18   3.8979e-19
 5888.62   4.8025e-18   4.6087e-19
 5893.23   4.7581e-18   4.5416e-19
 5897.84   4.7598e-18   3.7229e-19
 5902.46   3.8548e-18   2.6877e-19
 5907.07   4.2848e-18   2.1523e-19
 5911.69   4.7382e-18   2.1099e-19
 5916.30   4.4214e-18   2.0870e-19
 5920.91   4.2735e-18   2.0569e-19
 5925.53   4.4755e-18   2.0715e-19
 5930.14   4.5408e-18   2.0750e-19
 5934.75   4.3735e-18   2.0304e-19
 5939.37   4.5089e-18   1.9804e-19
 5943.98   4.4993e-18   1.9803e-19
 5948.59   4.3834e-18   2.0120e-19
 5953.21   4.1044e-18   1.9826e-19
 5957.82   4.1792e-18   1.9437e-19
 5962.43   4.3585e-18   1.9062e-19
 5967.05   4.1885e-18   1.9082e-19
 5971.66   4.4506e-18   1.9395e-19
 5976.27   4.1378e-18   1.9098e-19
 5980.89   4.1569e-18   1.8677e-19
 5985.50   4.2531e-18   1.8254e-19
 5990.11   4.2363e-18   1.8159e-19
 5994.73   4.3315e-18   1.8280e-19
 5999.34   4.2826e-18   1.8297e-19
 6003.95   4.1342e-18   1.7932e-19
 6008.57   3.9670e-18   1.7578e-19
 6013.18   4.1282e-18   1.7283e-19
 6017.79   4.0839e-18   1.7101e-19
 6022.41   4.3397e-18   1.7277e-19
 6027.02   4.2237e-18   1.7258e-19
 6031.63   3.8442e-18   1.7022e-19
 6036.25   3.9693e-18   1.6919e-19
 6040.86   4.0502e-18   1.6775e-19
 6045.48   4.0660e-18   1.6567e-19
 6050.09   4.3412e-18   1.6602e-19
 6054.70   4.0412e-18   1.6450e-19
 6059.32   4.0309e-18   1.6205e-19
 6063.93   3.7058e-18   1.6170e-19
 6068.54   4.4788e-18   1.6211e-19
 6073.16   4.6741e-18   1.6106e-19
 6077.77   4.2050e-18   1.5870e-19
 6082.38   4.3622e-18   1.5800e-19
 6087.00   4.1550e-18   1.5808e-19
 6091.61   4.2061e-18   1.5837e-19
 6096.22   4.2242e-18   1.5840e-19
 6100.84   4.3420e-18   1.5909e-19
 6105.45   4.2816e-18   1.5821e-19
 6110.06   4.0074e-18   1.5603e-19
 6114.68   4.3122e-18   1.5566e-19
 6119.29   3.9343e-18   1.5211e-19
 6123.90   3.9465e-18   1.5184e-19
 6128.52   4.0385e-18   1.5195e-19
 6133.13   3.6190e-18   1.5274e-19
 6137.74   3.9758e-18   1.5606e-19
 6142.36   3.8951e-18   1.5691e-19
 6146.97   4.1184e-18   1.5516e-19
 6151.58   3.9847e-18   1.5200e-19
 6156.20   3.9228e-18   1.5069e-19
 6160.81   3.9069e-18   1.5007e-19
 6165.42   3.5905e-18   1.4898e-19
 6170.04   3.8378e-18   1.5057e-19
 6174.65   3.7513e-18   1.4882e-19
 6179.27   3.6706e-18   1.4594e-19
 6183.88   3.9033e-18   1.4485e-19
 6188.49   3.8939e-18   1.4464e-19
 6193.11   3.6046e-18   1.4344e-19
 6197.72   3.6919e-18   1.4450e-19
 6202.33   3.7973e-18   1.4512e-19
 6206.95   3.6785e-18   1.4385e-19
 6211.56   3.7770e-18   1.4400e-19
 6216.17   3.8370e-18   1.4501e-19
 6220.79   3.7283e-18   1.4465e-19
 6225.40   3.6127e-18   1.5085e-19
 6230.01   3.6928e-18   1.6199e-19
 6234.63   3.6637e-18   1.6868e-19
 6239.24   3.5544e-18   1.6595e-19
 6243.85   3.8194e-18   1.5500e-19
 6248.47   3.6782e-18   1.5151e-19
 6253.08   3.3015e-18   1.5538e-19
 6257.69   3.9091e-18   1.6171e-19
 6262.31   3.9928e-18   1.5961e-19
 6266.92   3.9532e-18   1.5136e-19
 6271.53   3.3686e-18   1.4223e-19
 6276.15   3.6180e-18   1.4340e-19
 6280.76   3.8919e-18   1.4938e-19
 6285.38   3.6764e-18   1.5302e-19
 6289.99   3.4532e-18   1.7567e-19
 6294.60   3.9819e-18   2.0777e-19
 6299.22   3.4476e-18   2.1669e-19
 6303.83   3.4725e-18   2.0574e-19
 6308.44   3.5708e-18   1.7079e-19
 6313.06   3.4559e-18   1.4515e-19
 6317.67   3.6005e-18   1.4215e-19
 6322.28   3.6265e-18   1.4884e-19
 6326.90   3.2042e-18   1.4958e-19
 6331.51   3.7255e-18   1.4813e-19
 6336.12   3.7203e-18   1.4073e-19
 6340.74   3.6406e-18   1.3646e-19
 6345.35   3.3459e-18   1.3864e-19
 6349.96   3.1377e-18   1.4329e-19
 6354.58   3.5152e-18   1.5548e-19
 6359.19   3.5319e-18   1.6313e-19
 6363.80   3.4054e-18   1.5913e-19
 6368.42   3.1764e-18   1.4737e-19
 6373.03   3.2642e-18   1.3503e-19
 6377.64   3.2754e-18   1.3312e-19
 6382.26   3.2533e-18   1.3551e-19
 6386.87   3.4711e-18   1.3473e-19
 6391.48   3.5738e-18   1.3127e-19
 6396.10   3.1635e-18   1.2569e-19
 6400.71   3.0756e-18   1.2361e-19
 6405.32   3.2970e-18   1.2516e-19
 6409.94   3.1694e-18   1.2623e-19
 6414.55   3.3015e-18   1.2782e-19
 6419.17   3.5026e-18   1.2817e-19
 6423.78   3.3204e-18   1.2574e-19
 6428.39   3.3302e-18   1.2367e-19
 6433.01   3.4428e-18   1.2271e-19
 6437.62   3.3006e-18   1.2171e-19
 6442.23   3.0745e-18   1.2157e-19
 6446.85   3.0601e-18   1.2313e-19
 6451.46   3.2710e-18   1.2674e-19
 6456.07   3.1972e-18   1.3163e-19
 6460.69   3.2991e-18   1.3841e-19
 6465.30   2.8043e-18   1.3935e-19
 6469.91   3.2269e-18   1.3686e-19
 6474.53   3.1320e-18   1.2918e-19
 6479.14   3.2981e-18   1.2439e-19
 6483.75   3.1860e-18   1.2055e-19
 6488.37   2.8790e-18   1.2270e-19
 6492.98   3.0293e-18   1.3320e-19
 6497.59   3.2466e-18   1.3961e-19
 6502.21   3.1579e-18   1.3829e-19
 6506.82   2.8981e-18   1.2879e-19
 6511.43   3.0677e-18   1.2277e-19
 6516.05   2.8771e-18   1.2119e-19
 6520.66   2.8611e-18   1.2344e-19
 6525.27   3.2770e-18   1.3077e-19
 6529.89   3.3920e-18   1.3394e-19
 6534.50   3.2801e-18   1.3465e-19
 6539.11   3.1988e-18   1.3227e-19
 6543.73   2.8779e-18   1.3137e-19
 6548.34   2.8888e-18   1.3544e-19
 6552.96   3.1101e-18   1.3589e-19
 6557.57   2.7427e-18   1.3186e-19
 6562.18   2.9734e-18   1.2727e-19
 6566.80   2.8948e-18   1.2725e-19
 6571.41   2.8487e-18   1.3280e-19
 6576.02   2.9364e-18   1.3289e-19
 6580.64   2.9521e-18   1.2893e-19
 6585.25   2.7132e-18   1.2174e-19
 6589.86   2.7232e-18   1.1951e-19
 6594.48   2.8158e-18   1.2312e-19
 6599.09   2.7584e-18   1.2570e-19
 6603.70   2.8115e-18   1.2476e-19
 6608.32   2.8432e-18   1.2214e-19
 6612.93   2.7222e-18   1.1697e-19
 6617.54   2.7758e-18   1.1609e-19
 6622.16   2.6960e-18   1.1717e-19
 6626.77   2.9697e-18   1.2091e-19
 6631.38   2.9807e-18   1.2211e-19
 6636.00   2.9875e-18   1.2114e-19
 6640.61   3.1655e-18   1.1968e-19
 6645.22   3.1401e-18   1.1615e-19
