 
TRANSIENT_NAME:     DES15E2mlf 
SNID:               1336197    
OBS_DATE:           2015-12-15
MJD:                57371. 
PHASE:              +8.    
MJD_MAX:            57348.8 (Angus et. al.: MNRAS, 487, 2215A, 2019)
TYPE:               41 
SPEC_EVAL:          SLSN-I
REDSHIFT:           1.8600  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          GEMINI-S
INSTRUMENT:         GMOS-S
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3790.00  -3.9644e-20  ---
 3791.50  -8.4553e-18  ---
 3793.00   8.1471e-18  ---
 3794.50   1.3084e-17  ---
 3796.00   2.6750e-18  ---
 3797.50   2.9792e-17  ---
 3799.00   2.7120e-17  ---
 3800.50   3.8238e-18  ---
 3802.00   6.1895e-18  ---
 3803.50   4.7901e-18  ---
 3805.00   1.0407e-17  ---
 3806.50   2.5849e-17  ---
 3808.00   2.8871e-17  ---
 3809.50   8.1389e-18  ---
 3811.00  -8.8971e-18  ---
 3812.50   1.5310e-17  ---
 3814.00   2.2492e-17  ---
 3815.50   3.5090e-17  ---
 3817.00   5.1365e-18  ---
 3818.50   2.5653e-18  ---
 3820.00   2.0348e-17  ---
 3821.50   2.8079e-17  ---
 3823.00   1.7173e-17  ---
 3824.50   1.6273e-17  ---
 3826.00   1.7072e-17  ---
 3827.50  -1.8073e-17  ---
 3829.00  -6.1971e-18  ---
 3830.50   2.1055e-17  ---
 3832.00   9.6045e-18  ---
 3833.50   2.0471e-17  ---
 3835.00   1.2823e-17  ---
 3836.50   2.0463e-19  ---
 3838.00   4.1259e-18  ---
 3839.50  -3.8990e-18  ---
 3841.00   1.0122e-18  ---
 3842.50  -2.5969e-18  ---
 3844.00  -4.4535e-19  ---
 3845.50  -1.0828e-17  ---
 3847.00   8.0910e-18  ---
 3848.50  -1.8993e-17  ---
 3850.00  -7.2565e-18  ---
 3851.50  -1.9626e-19  ---
 3853.00  -6.1459e-18  ---
 3854.50  -1.3963e-17  ---
 3856.00  -4.5150e-18  ---
 3857.50  -1.0583e-17  ---
 3859.00  -2.9527e-18  ---
 3860.50  -1.5959e-17  ---
 3862.00   5.9160e-18  ---
 3863.50   1.0573e-17  ---
 3865.00  -6.9902e-18  ---
 3866.50   9.8152e-18  ---
 3868.00   6.8015e-19  ---
 3869.50   3.2293e-18  ---
 3871.00  -1.6311e-17  ---
 3872.50   3.6316e-18  ---
 3874.00  -1.7832e-18  ---
 3875.50  -1.0628e-18  ---
 3877.00  -1.1713e-17  ---
 3878.50  -6.9021e-18  ---
 3880.00   4.2487e-18  ---
 3881.50   5.7798e-19  ---
 3883.00   9.7073e-18  ---
 3884.50   1.0649e-17  ---
 3886.00  -1.2801e-17  ---
 3887.50  -1.2680e-17  ---
 3889.00   2.2618e-18  ---
 3890.50   3.9507e-18  ---
 3892.00   2.0875e-17  ---
 3893.50   8.7826e-18  ---
 3895.00   1.0672e-17  ---
 3896.50  -6.6944e-18  ---
 3898.00  -4.0161e-18  ---
 3899.50  -2.8151e-18  ---
 3901.00   3.9103e-18  ---
 3902.50  -4.6289e-18  ---
 3904.00   1.1468e-18  ---
 3905.50   1.4923e-17  ---
 3907.00  -2.9599e-18  ---
 3908.50   3.1802e-18  ---
 3910.00   3.4664e-18  ---
 3911.50   7.9950e-18  ---
 3913.00   1.0957e-17  ---
 3914.50   5.2594e-18  ---
 3916.00  -7.9557e-20  ---
 3917.50  -2.4704e-18  ---
 3919.00   4.7065e-19  ---
 3920.50   2.0244e-18  ---
 3922.00  -1.0490e-17  ---
 3923.50   1.5577e-18  ---
 3925.00   7.5200e-20  ---
 3926.50   1.2770e-18  ---
 3928.00   2.1863e-18  ---
 3929.50   4.4602e-18  ---
 3931.00   4.6998e-18  ---
 3932.50  -2.7181e-19  ---
 3934.00   3.1399e-18  ---
 3935.50   9.9360e-18  ---
 3937.00   1.5576e-17  ---
 3938.50   1.2304e-17  ---
 3940.00   1.1862e-17  ---
 3941.50   1.6971e-18  ---
 3943.00   4.5827e-18  ---
 3944.50   4.6641e-18  ---
 3946.00   2.8145e-18  ---
 3947.50   4.5068e-18  ---
 3949.00   2.8101e-18  ---
 3950.50  -6.5524e-18  ---
 3952.00  -4.4440e-18  ---
 3953.50   1.2790e-17  ---
 3955.00   6.8108e-18  ---
 3956.50   9.7269e-18  ---
 3958.00  -2.0650e-18  ---
 3959.50   1.0397e-17  ---
 3961.00   1.3015e-17  ---
 3962.50   1.7905e-17  ---
 3964.00  -3.3657e-18  ---
 3965.50  -5.1257e-18  ---
 3967.00  -2.8905e-18  ---
 3968.50  -3.2737e-18  ---
 3970.00  -3.2510e-18  ---
 3971.50   1.5878e-18  ---
 3973.00   2.3467e-19  ---
 3974.50   1.2001e-17  ---
 3976.00   1.3030e-18  ---
