 
TRANSIENT_NAME:     DES15S1nog 
SNID:               1340054    
OBS_DATE:           2016-02-11
MJD:                57429. 
PHASE:              +41.   
MJD_MAX:            57365.2 (Angus et. al.: MNRAS, 487, 2215A, 2019)
TYPE:               141
SPEC_EVAL:          SLSN-I?
REDSHIFT:           0.5650  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          GTC
INSTRUMENT:         OSIRIS
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 4802.57   7.7216e-18   4.2842e-18
 4807.18   1.6154e-17   3.9881e-18
 4811.79   1.6883e-17   3.6173e-18
 4816.41   3.2794e-18   3.2886e-18
 4821.02   4.7477e-18   3.1181e-18
 4825.63   1.2289e-17   2.8763e-18
 4830.24   5.0465e-18   2.6710e-18
 4834.85   1.2002e-18   2.4521e-18
 4839.46  -4.6570e-19   2.2887e-18
 4844.07   5.8648e-18   2.1360e-18
 4848.68  -4.1971e-18   1.9348e-18
 4853.29   3.0341e-18   1.8325e-18
 4857.91   9.4001e-19   1.6776e-18
 4862.52   3.7719e-18   1.5780e-18
 4867.13   7.0054e-18   1.5009e-18
 4871.74   6.5646e-18   1.3913e-18
 4876.35   2.0263e-18   1.3366e-18
 4880.96   2.4753e-18   1.2570e-18
 4885.57   2.8084e-18   1.2055e-18
 4890.18   2.6229e-18   1.1365e-18
 4894.79  -9.0883e-19   1.0828e-18
 4899.41   2.3389e-18   1.0238e-18
 4904.02  -1.6944e-18   9.6215e-19
 4908.63   2.9770e-18   9.0832e-19
 4913.24   2.4959e-18   8.5797e-19
 4917.85   6.4138e-19   8.1381e-19
 4922.46   1.9131e-18   7.7819e-19
 4927.07   1.8092e-18   7.5274e-19
 4931.68   7.0947e-19   7.1225e-19
 4936.30  -1.4314e-19   6.8785e-19
 4940.91   1.7415e-18   6.6767e-19
 4945.52  -1.0180e-19   6.3062e-19
 4950.13   3.1263e-18   6.2309e-19
 4954.74   7.3887e-19   5.8904e-19
 4959.35   6.3858e-19   5.7137e-19
 4963.96   1.8596e-18   5.6096e-19
 4968.57  -3.3453e-19   5.4124e-19
 4973.19   1.5915e-18   5.2455e-19
 4977.80   2.4150e-18   5.1240e-19
 4982.41   6.5542e-19   4.9070e-19
 4987.02   1.7146e-18   4.7735e-19
 4991.63   8.3897e-19   4.6209e-19
 4996.24   1.3242e-18   4.4445e-19
 5000.85   1.0042e-18   4.3287e-19
 5005.46  -4.6499e-19   4.1832e-19
 5010.07   1.0916e-18   4.0465e-19
 5014.69  -8.0971e-19   4.7505e-19
 5019.30  -1.4443e-19   3.8847e-19
 5023.91   2.7425e-19   3.7626e-19
 5028.52   1.2550e-18   3.7242e-19
 5033.13   6.7608e-19   3.6204e-19
 5037.74   1.9051e-18   3.5573e-19
 5042.35   7.1868e-19   3.4494e-19
 5046.96   1.2270e-18   3.4591e-19
 5051.57   8.8672e-19   3.4119e-19
 5056.19   9.0653e-19   3.3579e-19
 5060.80   8.8248e-19   3.2652e-19
 5065.41   8.8465e-19   3.2121e-19
 5070.02   7.5494e-19   3.1766e-19
