 
TRANSIENT_NAME:     DES15S2nr  
SNID:               1281880    
OBS_DATE:           2015-09-21
MJD:                57286. 
PHASE:              -27.   
MJD_MAX:            57318.9 (Angus et. al.: MNRAS, 487, 2215A, 2019)
TYPE:               41 
SPEC_EVAL:          SLSN-I
REDSHIFT:           0.2200  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3756.72       4.4305      18.4663
 3757.75      -1.7842      15.8804
 3758.79       5.0065      17.7236
 3759.83       5.4841      19.3228
 3760.87       5.5017      19.4349
 3761.90       1.5060      16.3527
 3762.94      -1.6655      14.3527
 3763.98      -0.6223      16.1914
 3765.02       4.0495      16.4809
 3766.06       5.5422      16.7878
 3767.09      -1.8670      14.4364
 3768.13       1.1972      15.0336
 3769.17       6.4840      16.0098
 3770.21       2.2470      14.9513
 3771.24       3.6388      16.6134
 3772.28       0.4119      16.2669
 3773.32       4.9627      16.8518
 3774.36       3.4278      16.6461
 3775.40       7.4600      18.1272
 3776.43       2.1800      15.4700
 3777.47       0.5437      14.6656
 3778.51       0.5358      15.7010
 3779.55       2.8234      15.5667
 3780.58       5.9034      16.4535
 3781.62       4.6692      15.7033
 3782.66       1.7169      14.7281
 3783.70      -5.7699      12.1550
 3784.73       5.1047      15.6324
 3785.77       7.8668      16.1589
 3786.81       5.8103      15.3003
 3787.85       2.6577      14.4644
 3788.89       1.7956      11.0420
 3789.92       7.2352      21.0548
 3790.96       1.8625      19.4860
 3792.00       3.8155      19.9516
 3793.04       2.5095      18.4791
 3794.07       5.5242      16.9720
 3795.11       1.1991      13.4114
 3796.15       2.8889      13.9528
 3797.19       3.3561      13.0739
 3798.23       2.1679      11.7371
 3799.26       2.3173      12.1933
 3800.30       1.6378      12.2819
 3801.34       1.0314      11.4067
 3802.38       3.3665      12.3521
 3803.41      -2.0712      11.0251
 3804.45      -2.9493       9.9044
 3805.49       2.5220      11.9392
 3806.53       3.4051      11.8241
 3807.57       9.3641      12.8748
 3808.60       5.8840      11.2021
 3809.64       4.9562      11.1454
 3810.68       0.0637       9.8723
 3811.72      -2.3200       9.3832
 3812.75       1.9212      10.7390
 3813.79      -0.1658      10.0943
 3814.83      -3.2796       8.5928
 3815.87       2.8646      10.2607
 3816.90       3.5033      10.8951
 3817.94       2.8623      10.1401
 3818.98       4.8844      10.1983
 3820.02       7.7706      11.2972
 3821.06       1.6831       8.9633
 3822.09       5.1486       9.5197
 3823.13       3.4636       9.4239
 3824.17       3.7214       9.3441
 3825.21       4.3148       8.8679
 3826.24      -0.1445       7.3834
 3827.28       2.2682       8.2620
 3828.32       4.6361       9.4123
 3829.36       4.6364       9.7252
 3830.40       1.7556       8.7598
 3831.43       3.6429       8.9806
 3832.47       0.6316       7.8814
 3833.51       1.7877       7.9325
 3834.55       2.4665       7.9420
 3835.58       2.6503       7.7919
 3836.62       2.3829       8.0198
 3837.66      -0.3087       7.2087
 3838.70       5.5020       7.9275
 3839.74       1.5812       6.8953
 3840.77       2.1960       7.2392
 3841.81       4.9206       7.6460
 3842.85       3.8300       7.3207
 3843.89       1.8805       6.5451
 3844.92       1.5626       6.4527
 3845.96       4.1453       7.1589
 3847.00       0.5166       6.4647
