 
TRANSIENT_NAME:     DES15X1noe 
SNID:               1339987    
OBS_DATE:           2016-01-28
MJD:                57415. 
PHASE:              -4.    
MJD_MAX:            57423.7 (Angus et. al.: MNRAS, 487, 2215A, 2019)
TYPE:               41 
SPEC_EVAL:          SLSN-I
REDSHIFT:           1.1880  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          GTC
INSTRUMENT:         OSIRIS
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 4800.15  -4.2008e-18   3.2659e-18
 4804.76  -2.9808e-18   2.8843e-18
 4809.37   2.6174e-18   2.6680e-18
 4813.99   6.3280e-18   2.4338e-18
 4818.60   5.7255e-18   2.2448e-18
 4823.21   5.4317e-18   2.0207e-18
 4827.83   6.0169e-18   1.8750e-18
 4832.44   8.8152e-18   1.7581e-18
 4837.05   5.2026e-18   1.5743e-18
 4841.66   6.8827e-18   1.4852e-18
 4846.28   8.3699e-18   1.3841e-18
 4850.89   1.1519e-18   1.1983e-18
 4855.50   3.4746e-18   1.1327e-18
 4860.12   3.0620e-18   1.0328e-18
 4864.73   4.5586e-18   9.9217e-19
 4869.34   2.4651e-18   9.1747e-19
 4873.96   5.7372e-18   8.9826e-19
 4878.57   6.1416e-18   8.4595e-19
 4883.18   2.5849e-18   7.7895e-19
 4887.79   4.7285e-18   7.4035e-19
 4892.41   4.5785e-18   7.0451e-19
 4897.02   4.1213e-18   6.6897e-19
 4901.63   4.9846e-18   6.3864e-19
 4906.25   3.5499e-18   5.9731e-19
 4910.86   2.9600e-18   5.5227e-19
 4915.47   2.8647e-18   5.2074e-19
 4920.08   3.3706e-18   5.0193e-19
 4924.70   2.5798e-18   4.7777e-19
 4929.31   3.5206e-18   4.6834e-19
 4933.92   2.5716e-18   4.4182e-19
 4938.54   2.9683e-18   4.2674e-19
 4943.15   2.0027e-18   4.0713e-19
 4947.76   3.3598e-18   3.9997e-19
 4952.38   3.8930e-18   3.9636e-19
 4956.99   3.0943e-18   3.7443e-19
 4961.60   3.1033e-18   3.5823e-19
 4966.21   3.0344e-18   3.4907e-19
 4970.83   2.6566e-18   3.4088e-19
 4975.44   2.7798e-18   3.3467e-19
 4980.05   2.3827e-18   3.1850e-19
 4984.67   2.2847e-18   3.1187e-19
 4989.28   3.0291e-18   3.0615e-19
 4993.89   3.3335e-18   3.0015e-19
 4998.51   2.0489e-18   2.8054e-19
 5003.12   2.4477e-18   2.7789e-19
 5007.73   2.3360e-18   2.6625e-19
 5012.34   2.0888e-18   2.6038e-19
 5016.96   2.2047e-18   2.5525e-19
 5021.57   2.4345e-18   2.4988e-19
 5026.18   2.2086e-18   2.4825e-19
 5030.80   1.8319e-18   2.3963e-19
 5035.41   1.7494e-18   2.3699e-19
 5040.02   1.8657e-18   2.3284e-19
 5044.64   1.4327e-18   2.2762e-19
 5049.25   2.1409e-18   2.2958e-19
 5053.86   2.2912e-18   2.2895e-19
 5058.47   2.5233e-18   2.2771e-19
 5063.09   2.4276e-18   2.2467e-19
 5067.70   2.0779e-18   2.1991e-19
 5072.31   1.7687e-18   2.1352e-19
 5076.93   2.1004e-18   2.0908e-19
