 
TRANSIENT_NAME:     DES13C1feu 
SNID:               1251839    
OBS_DATE:           2013-12-01
MJD:                56627. 
PHASE_EXP:          +73.   
MJD_EXP:            56549.2 (derived from r-band light-curve)
TYPE:               33 
SPEC_EVAL:          SNIc
REDSHIFT:           0.0593  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3742.19   1.0330e+00   8.1230e-01
 3743.23   4.3135e-01   7.7075e-01
 3744.26   4.4425e-01   6.9999e-01
 3745.30   4.7994e-01   7.2844e-01
 3746.34   4.6301e-01   6.5167e-01
 3747.38   1.8539e-01   6.9358e-01
 3748.41  -7.6604e-03   6.5967e-01
 3749.45   1.0766e-02   6.4505e-01
 3750.49   8.2515e-01   7.0555e-01
 3751.53   1.2060e+00   6.9145e-01
 3752.56   1.5112e+00   6.7966e-01
 3753.60   1.3248e+00   7.9232e-01
 3754.64   1.8797e+00   8.9476e-01
 3755.68   1.7017e+00   9.0921e-01
 3756.72   1.6875e+00   8.0585e-01
 3757.75   1.4362e+00   7.6496e-01
 3758.79   2.5618e-01   6.1384e-01
 3759.83   4.0699e-01   7.0203e-01
 3760.87   2.5052e-01   6.3668e-01
 3761.90   9.4630e-01   7.5636e-01
 3762.94   1.6259e+00   7.3595e-01
 3763.98   1.2680e+00   7.0843e-01
 3765.02   4.8506e-01   6.8021e-01
 3766.06   4.2062e-01   6.0436e-01
 3767.09  -1.7174e-01   5.5805e-01
 3768.13  -2.5134e-01   5.7756e-01
 3769.17   5.0428e-01   5.8241e-01
 3770.21   1.1191e-01   5.5953e-01
 3771.24   1.1942e-01   6.1665e-01
 3772.28   8.5155e-01   7.2562e-01
 3773.32   8.3429e-01   6.4909e-01
 3774.36  -1.0525e-01   5.1956e-01
 3775.40  -3.8410e-01   5.1136e-01
 3776.43   9.4693e-01   6.0511e-01
 3777.47   2.0180e+00   6.6700e-01
 3778.51   1.0556e+00   5.8648e-01
 3779.55   5.3737e-01   4.9992e-01
 3780.58   7.6310e-01   5.6942e-01
 3781.62   7.1917e-01   5.4289e-01
 3782.66   7.7802e-01   5.1026e-01
 3783.70   8.0319e-01   5.2403e-01
 3784.73   8.9802e-01   5.4959e-01
 3785.77   3.0435e-01   5.3206e-01
 3786.81   3.7190e-01   4.8186e-01
 3787.85   1.0749e+00   4.9929e-01
 3788.89   1.7150e+00   5.6798e-01
 3789.92   1.0602e+00   5.7264e-01
 3790.96  -6.6235e-01   4.8206e-01
 3792.00  -8.9265e-02   5.3817e-01
 3793.04  -3.1519e-02   4.9734e-01
 3794.07  -6.0526e-01   3.9511e-01
 3795.11  -9.3682e-02   4.7332e-01
 3796.15   1.8937e-01   4.7282e-01
 3797.19  -2.1635e-01   4.1277e-01
 3798.23   1.0571e+00   5.1510e-01
 3799.26   1.8420e+00   5.3176e-01
 3800.30   3.0344e-01   4.4599e-01
 3801.34   7.1437e-01   4.3229e-01
 3802.38   1.2345e+00   4.3938e-01
 3803.41   6.0108e-01   4.1583e-01
 3804.45   6.7191e-02   3.8455e-01
 3805.49   7.5322e-01   3.9466e-01
 3806.53   8.9781e-01   4.0019e-01
 3807.57   1.5044e+00   4.3032e-01
 3808.60   8.6349e-01   4.1091e-01
 3809.64   3.6259e-01   3.8080e-01
 3810.68   5.7552e-01   3.7175e-01
 3811.72   1.3386e+00   4.2708e-01
 3812.75   1.8651e+00   4.7005e-01
 3813.79   1.5315e+00   4.6404e-01
 3814.83   9.3888e-01   4.3137e-01
 3815.87   8.4218e-01   3.8596e-01
 3816.90   6.0552e-01   3.6305e-01
 3817.94   4.7660e-01   3.6108e-01
 3818.98   4.0643e-02   3.4759e-01
 3820.02  -2.4166e-01   3.2911e-01
 3821.06   5.3231e-01   3.6607e-01
 3822.09   8.9567e-01   3.2162e-01
 3823.13  -9.5390e-02   3.1296e-01
 3824.17  -1.5554e-01   2.8475e-01
 3825.21   2.6657e-01   2.8574e-01
 3826.24   1.2021e+00   3.3271e-01
 3827.28   1.0015e+00   3.7677e-01
 3828.32  -4.5513e-02   3.5180e-01
 3829.36   7.2387e-01   4.3552e-01
 3830.40   4.2944e-01   4.3810e-01
 3831.43   5.2914e-01   3.5440e-01
 3832.47   5.4877e-01   3.8848e-01
 3833.51   1.8564e-01   3.4858e-01
 3834.55  -3.6907e-01   2.9792e-01
 3835.58  -3.3640e-01   2.8473e-01
 3836.62   9.1037e-01   3.0928e-01
 3837.66   5.9502e-01   3.0130e-01
 3838.70   7.5704e-01   3.0677e-01
 3839.74  -1.7609e-01   2.9864e-01
 3840.77   1.2560e-01   3.1810e-01
 3841.81   6.1409e-01   2.8202e-01
 3842.85   8.9713e-01   3.0717e-01
 3843.89   5.6112e-01   3.0627e-01
 3844.92   7.3684e-01   2.8939e-01
 3845.96   6.4929e-01   3.0322e-01
 3847.00   5.8795e-02   2.5271e-01
 3848.04   2.2323e-01   2.3594e-01
 3849.07   8.9901e-01   2.8176e-01
 3850.11   1.7726e-01   2.2445e-01
 3851.15   4.3817e-01   2.6270e-01
 3852.19   5.4630e-01   2.6839e-01
 3853.23  -4.4875e-02   2.1613e-01
 3854.26   1.7068e-01   2.2243e-01
 3855.30   3.8861e-01   2.2802e-01
 3856.34   2.2454e-01   2.2841e-01
 3857.38   5.1524e-01   2.2254e-01
 3858.41   3.2244e-01   2.0253e-01
 3859.45   3.6282e-01   2.0064e-01
 3860.49   4.6720e-01   2.2348e-01
 3861.53   5.2405e-01   2.0228e-01
 3862.57   4.9647e-01   2.1606e-01
 3863.60   8.0870e-01   1.9936e-01
 3864.64  -2.0276e-01   1.6890e-01
 3865.68   2.4238e-01   1.7596e-01
 3866.72   1.0194e+00   2.1253e-01
 3867.75  -1.1712e-01   1.6867e-01
 3868.79   6.6163e-01   2.0117e-01
 3869.83   6.1076e-01   1.9211e-01
 3870.87  -1.4912e-01   1.4919e-01
 3871.91   4.6727e-01   1.6512e-01
 3872.94   3.5827e-01   1.7165e-01
 3873.98   6.6866e-01   1.7993e-01
 3875.02   1.6718e-01   1.6138e-01
 3876.06   9.1129e-01   1.7717e-01
 3877.09  -1.9909e-01   1.4202e-01
 3878.13   8.1630e-01   1.6900e-01
 3879.17   8.7019e-01   1.6283e-01
