 
TRANSIENT_NAME:     DES13C2bxd 
SNID:               1247673    
OBS_DATE:           2013-11-04
MJD:                56600. 
PHASE_EXP:          post-max (based on r-band light-curve)
MJD_EXP:            ---
TYPE:               33 
SPEC_EVAL:          SNIc
REDSHIFT:           0.0404  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3743.23      11.8226     327.7020
 3744.26      13.5076     344.1460
 3745.30      28.7094     348.8840
 3746.34       1.1535     349.5160
 3747.38      -1.5226     274.4670
 3748.41     -26.6949     202.4240
 3749.45     -10.6230     219.5660
 3750.49       1.3935     256.1430
 3751.53      24.8042     349.2950
 3752.56      -7.7314     278.4610
 3753.60     -32.4616     222.0650
 3754.64      -5.5077     274.9590
 3755.68      13.4796     353.1470
 3756.72      -1.8837     272.4630
 3757.75       2.9323     249.5670
 3758.79       8.4167     272.0190
 3759.83     -14.3161     260.7200
 3760.87     -10.9721     264.8550
 3761.90       0.7777     254.4550
 3762.94       2.5443     254.8040
 3763.98       2.3548     275.7020
 3765.02      13.8213     261.2330
 3766.06      11.3257     240.7040
 3767.09      20.1267     277.5250
 3768.13      18.5006     298.4950
 3769.17      -8.2920     238.7990
 3770.21       0.1012     241.8070
 3771.24       9.9288     246.9890
 3772.28      20.9281     302.1280
 3773.32      26.4610     308.8110
 3774.36      11.1951     276.8200
 3775.40      13.1388     287.8100
 3776.43      13.2973     299.5500
 3777.47       0.2338     272.0240
 3778.51      -0.6137     245.7900
 3779.55      13.6851     259.8210
 3780.58       4.2231     230.6500
 3781.62       0.8246     224.1220
 3782.66      19.8937     242.4320
 3783.70       6.8333     233.1720
 3784.73      24.5281     314.8160
 3785.77      14.7319     253.8910
 3786.81      -3.7368     215.6160
 3787.85       8.7785     216.7900
 3788.89     -20.6633     180.3800
 3789.92     -10.7361     197.6340
 3790.96      -6.3497     211.9150
 3792.00      -2.1146     209.7130
 3793.04     -10.3284     192.8490
 3794.07      -0.1181     214.6910
 3795.11       2.6608     214.7400
 3796.15       3.4208     211.1040
 3797.19      18.0150     212.4130
 3798.23       0.6014     181.2990
 3799.26      14.5722     196.1930
 3800.30      12.1645     188.4480
 3801.34      17.0730     193.5680
 3802.38       4.4503     207.0950
 3803.41      15.3751     188.8780
 3804.45       9.2906     175.8800
 3805.49      25.5840     192.4900
 3806.53      -9.8780     186.2330
 3807.57     -11.0756     160.6620
 3808.60     -12.6736     141.1410
 3809.64       4.8853     163.9550
 3810.68     -10.8254     143.5640
 3811.72      -3.3288     154.7090
 3812.75      11.3745     181.8480
 3813.79      -3.9814     131.4090
 3814.83      12.0484     170.4230
 3815.87      11.8699     169.4430
 3816.90     -20.5440     133.6950
 3817.94      -5.6272     141.4120
 3818.98       9.5315     162.8940
 3820.02      -8.3780     133.2940
 3821.06     -18.0874     116.5120
 3822.09      -5.3353     136.6140
 3823.13      22.4802     168.4750
 3824.17       3.0345     126.1520
 3825.21       3.2437     129.6890
 3826.24       3.5948     130.1980
 3827.28      -7.7213     119.9830
 3828.32       0.2878     132.4410
 3829.36       7.1490     151.3520
 3830.40      -4.4998     144.1300
 3831.43       1.9706     160.5580
 3832.47      10.3050     152.9040
 3833.51      -8.6064     129.5510
 3834.55      11.7298     148.0610
 3835.58      -4.9604     118.7440
 3836.62      -0.8224     125.1380
 3837.66       5.4364     129.1650
 3838.70       0.3927     114.6580
 3839.74     -15.3138     104.1870
 3840.77      -2.1130     119.3170
 3841.81      17.2988     131.4890
 3842.85      12.9145     126.3410
 3843.89       9.3292     126.1020
 3844.92      14.9495     127.7350
 3845.96      -0.9728     111.4200
 3847.00      -3.7532     100.3730
 3848.04       6.7503     100.0090
 3849.07       1.4255     103.1650
 3850.11       4.7289     101.9030
 3851.15      12.1885     105.2180
 3852.19      13.5887     103.3350
 3853.23       2.3795      85.6519
 3854.26      11.6233      99.5203
 3855.30      10.9651      96.5352
 3856.34       5.9910      91.1913
 3857.38       5.3635      87.8740
 3858.41     -17.0115      69.8228
 3859.45       3.4614      82.7806
 3860.49       6.5968      82.0902
 3861.53      11.8728      91.4087
 3862.57       6.3797      88.8759
 3863.60     -11.3549      72.9064
 3864.64       1.7630      81.2550
 3865.68      18.5927      87.1869
 3866.72      16.9728      85.4216
 3867.75       9.8172      83.0152
 3868.79       6.9866      77.5546
 3869.83      -3.9370      68.6758
 3870.87       7.1077      70.2436
 3871.91      -0.5744      62.1991
 3872.94      10.8394      71.1898
 3873.98       1.5589      75.4793
 3875.02       3.2746      73.7824
 3876.06       3.3818      77.3763
 3877.09      14.0769      78.9891
 3878.13       3.6978      84.9081
 3879.17       5.2906      87.3410
 3880.21      12.7986      75.9133
 3881.24       9.6303      65.3738
 3882.28      -6.0534      51.9778
 3883.32       7.1153      64.3557
 3884.36      -7.1196      55.0939
 3885.40       1.6398      58.9212
 3886.43      -4.8608      56.2933
 3887.47      -1.9599      60.4644
 3888.51       4.2388      65.9645
 3889.55       3.6543      62.3704
 3890.58      19.6162      72.8953
 3891.62       4.6281      64.8598
 3892.66       1.3872      60.7760
 3893.70       5.5870      59.5707
 3894.74      -5.3346      55.5903
 3895.77     -13.1238      56.1519
 3896.81      -0.8289      57.6455
 3897.85     -10.8631      56.4263
 3898.89      -5.8705      55.8363
 3899.92      -5.1306      58.3277
 3900.96       2.5760      59.0159
 3902.00       9.8528      63.8165
 3903.04       0.8827      60.6110
 3904.07       1.7433      62.8487
 3905.11      -4.1995      64.9008
 3906.15      -6.8066      60.4494
 3907.19      11.1644      76.3510
 3908.23       5.6630      73.8958
 3909.26      -0.5558      71.5391
 3910.30       2.5914      72.3389
 3911.34      17.9742      84.0655
 3912.38       4.8830      77.5292
 3913.41     -15.8701      64.2797
 3914.45       3.7010      72.7006
 3915.49       8.9936      65.8173
 3916.53       9.1564      63.3287
 3917.57      -0.1702      56.2259
 3918.60       2.2985      54.9250
 3919.64       6.5571      52.9792
 3920.68       3.1356      51.3136
 3921.72       3.1434      51.9606
 3922.75       2.1858      50.8431
 3923.79       1.8786      49.4333
 3924.83      -2.2408      46.4153
 3925.87       4.2425      46.6797
 3926.91      -4.6844      39.8164
 3927.94       0.1576      45.3804
 3928.98       4.3299      49.9667
 3930.02       0.7211      46.2527
 3931.06       4.4180      42.7002
 3932.09       1.1833      41.8567
 3933.13       2.7076      41.7683
 3934.17       5.0268      42.1013
 3935.21       3.3045      40.4926
 3936.24      -1.7239      40.1386
 3937.28       2.0781      43.7007
 3938.32       2.3336      43.6768
 3939.36      14.8301      56.5890
 3940.40       9.9177      57.0032
 3941.43       1.6968      48.0744
 3942.47       5.1808      49.9891
 3943.51       7.2148      51.7333
 3944.55       7.2501      52.2379
 3945.58       5.3956      50.8556
 3946.62       6.1542      48.7727
 3947.66      -7.4852      41.7294
 3948.70       1.4212      46.3083
 3949.74       7.1682      49.3570
 3950.77      -5.4559      38.6096
 3951.81      -0.3109      41.7279
 3952.85       1.2696      44.5522
 3953.89       0.7314      43.6509
 3954.92      -3.8741      37.2133
 3955.96       9.3973      48.3495
 3957.00       4.2580      43.9934
 3958.04       0.0178      40.1720
 3959.08       1.8969      40.2088
 3960.11       5.1374      41.9455
 3961.15      10.6152      42.8742
 3962.19       4.8197      39.9404
 3963.23      -0.1153      35.2791
 3964.26      -4.2242      32.5203
 3965.30       7.2241      37.7200
 3966.34      -3.2258      30.8205
 3967.38       3.9165      35.0530
 3968.41      -0.6265      33.3319
 3969.45      -3.8628      31.2705
 3970.49      -2.3879      32.1956
 3971.53       1.6931      33.4697
 3972.57       3.5673      37.5030
 3973.60      -0.2532      36.4702
 3974.64      -9.0717      33.8310
 3975.68      -4.2689      38.3179
 3976.72       4.5686      39.2573
 3977.75      -7.8977      34.6680
 3978.79       1.1429      37.8309
 3979.83       7.5549      41.4186
 3980.87      10.8624      43.4823
 3981.91       7.9403      41.8367
 3982.94      -4.2867      37.6247
 3983.98      13.7622      45.3410
 3985.02       5.3510      38.7010
 3986.06       2.1958      36.2065
 3987.09       1.9260      38.8698
 3988.13       3.6206      39.1250
 3989.17       4.0178      39.8768
 3990.21      -3.9346      34.7415
 3991.25       2.0275      38.6073
 3992.28      11.0909      39.2566
 3993.32      -2.8596      33.3078
 3994.36       1.8439      36.9373
 3995.40       5.1759      35.7483
 3996.43       3.7837      34.1126
 3997.47       2.3065      34.3185
 3998.51      -2.1415      32.6327
 3999.55       3.2204      34.1152
 4000.58       2.3508      36.6256
 4001.62      -0.7500      33.7284
 4002.66       1.8193      33.3251
 4003.70       0.3768      34.1954
 4004.74      -2.8821      30.7372
 4005.77      -3.3037      32.1853
 4006.81       5.2745      37.8969
 4007.85       8.6375      42.2395
 4008.89      -3.8659      37.9347
 4009.92      -5.6842      36.9513
 4010.96      -6.4822      39.0560
 4012.00      -3.2782      37.3822
 4013.04       4.7459      39.9858
 4014.08       3.9885      38.8018
 4015.11      -0.5273      35.7936
 4016.15       8.2890      37.2541
 4017.19       6.1671      36.2625
 4018.23       2.6479      35.5522
 4019.26       2.0526      35.7560
 4020.30       9.6138      38.3648
 4021.34       6.0140      37.3344
 4022.38       0.8827      34.7417
 4023.42       6.1311      36.5134
 4024.45      -0.6130      33.4615
 4025.49      -1.5132      31.5324
 4026.53       4.5506      33.9069
 4027.57       7.3286      36.0842
 4028.60       4.2977      35.4382
 4029.64       0.5237      33.8702
 4030.68       1.1322      35.0150
 4031.72      -4.4812      31.8714
 4032.75       1.6321      32.9194
 4033.79       7.9735      35.2520
 4034.83       5.4757      34.2110
 4035.87       3.9733      34.5459
 4036.91       3.0746      33.9934
 4037.94       9.0135      36.2302
 4038.98       6.3194      35.2614
 4040.02       4.4377      35.0321
 4041.06       0.4696      36.2450
 4042.09      -2.5401      36.6572
 4043.13       1.4873      38.3673
 4044.17       6.1549      39.1746
 4045.21       6.1038      37.5234
 4046.25       3.5986      35.4068
 4047.28       0.4191      34.5139
 4048.32      15.0470      41.4495
 4049.36      12.9133      40.1306
 4050.40       2.0508      34.9035
 4051.43       2.2053      34.4496
 4052.47       3.4032      34.3019
 4053.51      -1.1528      31.4316
 4054.55       0.8583      32.7181
 4055.58       1.0433      30.3522
 4056.62       0.9281      28.9161
 4057.66      -1.9374      27.6460
 4058.70       2.9762      32.0980
 4059.74      -1.4753      29.9027
 4060.77      10.0194      35.8877
 4061.81      -0.3678      32.4160
 4062.85      -4.9283      30.4829
 4063.89      -4.4023      34.1686
 4064.92       3.8078      35.9416
 4065.96       3.0750      35.4140
 4067.00      -0.1936      35.5862
 4068.04       1.7207      34.7788
 4069.08      -3.4243      32.2995
 4070.11       5.2838      34.1508
 4071.15       7.5762      36.7365
 4072.19      -2.1177      38.7323
 4073.23      -3.0146      28.3241
 4074.26      -1.1606      30.5757
 4075.30      -5.7815      31.0812
 4076.34       2.4007      34.0066
 4077.38       4.2162      34.5326
 4078.42     -11.5449      26.0178
 4079.45       6.8428      32.8793
 4080.49       0.2121      31.5053
 4081.53       7.0308      33.6168
 4082.57       4.4274      31.4686
 4083.60      -0.3045      29.1692
 4084.64      -0.8130      27.5433
 4085.68       2.0016      31.5349
 4086.72       5.4436      31.4164
 4087.75       0.0225      28.5142
 4088.79       4.8775      30.2176
 4089.83      -0.0329      27.7486
 4090.87      -2.7751      27.1235
 4091.91       7.3221      31.0199
 4092.94       7.9458      29.6623
 4093.98       8.4913      30.3780
 4095.02       5.1136      27.6694
 4096.06       2.7671      25.8658
 4097.09       7.6803      27.6497
 4098.13       1.2216      25.3669
 4099.17       1.7960      26.9503
 4100.21       2.3766      25.9128
 4101.25       5.1620      26.0916
 4102.28       1.7652      26.0896
 4103.32       1.2166      24.8003
 4104.36       4.0443      24.4412
 4105.40       4.8695      25.9071
 4106.43       5.5236      27.2123
 4107.47       0.4489      23.9730
 4108.51       1.0293      25.2913
 4109.55       5.0717      27.6325
 4110.58      -1.4293      23.2416
 4111.62      -2.0206      23.4976
 4112.66       7.5450      26.4762
 4113.70       6.8523      25.9811
 4114.74       5.2147      26.4553
 4115.77       0.9025      25.2049
 4116.81      -1.8151      22.7107
 4117.85      -3.3449      21.6331
 4118.89      -2.0391      22.6951
 4119.92      -3.0652      22.4743
 4120.96      -0.4611      23.4620
 4122.00       4.1088      25.8292
 4123.04       1.1120      24.8465
 4124.08      -0.4023      23.5876
 4125.11      -3.7710      23.6834
 4126.15       4.8278      28.5883
 4127.19       4.8923      26.0289
 4128.23      -2.5116      23.8608
 4129.26      -4.9166      23.5605
 4130.30       8.0561      26.7822
 4131.34       3.4315      24.3758
 4132.38       8.0060      26.4351
 4133.42       3.1411      24.6344
 4134.45       0.2292      23.4069
