 
TRANSIENT_NAME:     DES13C2jtx 
SNID:               1252955    
OBS_DATE:           2013-11-01
MJD:                56597. 
PHASE_EXP:          +30.   
MJD_EXP:            56560.7 (derived from r-band light-curve)
TYPE:               29 
SPEC_EVAL:          SNII
REDSHIFT:           0.2230  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3743.23      -8.2985     261.6500
 3744.26     -14.4536     233.2530
 3745.30      12.0656     294.5050
 3746.34       9.6273     277.4290
 3747.38     -22.3760     217.5220
 3748.41       9.0226     249.9660
 3749.45     -17.3366     258.1300
 3750.49      -8.9145     258.7420
 3751.53      10.0973     280.9650
 3752.56      21.8954     294.6500
 3753.60       1.6432     264.9540
 3754.64      -4.9946     231.5320
 3755.68     -32.0008     213.2440
 3756.72      -1.4392     273.9280
 3757.75     -21.7964     249.1110
 3758.79      28.5692     310.2530
 3759.83       3.4124     240.4230
 3760.87      22.6485     346.9660
 3761.90      28.2722     342.4890
 3762.94      -1.1379     239.5920
 3763.98      27.5226     291.1680
 3765.02     -10.1393     243.1400
 3766.06      33.4845     305.1520
 3767.09      -2.7113     229.6720
 3768.13       4.8332     237.9720
 3769.17      -5.5507     201.8280
 3770.21      -2.4175     253.9370
 3771.24     -18.0054     198.4410
 3772.28      12.6078     259.9900
 3773.32      67.0311     373.9690
 3774.36       0.5247     269.6620
 3775.40     -27.8843     197.7500
 3776.43       3.9285     262.2480
 3777.47      -1.2624     241.8210
 3778.51      -0.9965     218.2730
 3779.55      10.3396     235.1060
 3780.58      39.7172     296.0890
 3781.62      22.7616     254.6280
 3782.66      -5.1966     194.9770
 3783.70     -14.8217     199.4340
 3784.73      10.6914     255.2550
 3785.77      31.8272     286.0850
 3786.81      19.5278     249.4080
 3787.85     -12.1971     180.7880
 3788.89       8.5080     192.4710
 3789.92      13.7580     197.8510
 3790.96      -4.3147     177.5870
 3792.00       7.2535     203.6230
 3793.04     -10.0556     187.0180
 3794.07      -7.3753     160.6890
 3795.11      -8.2653     160.3090
 3796.15      -6.5394     176.5510
 3806.53      -5.3477     137.6920
 3807.57       4.3096     142.5580
 3808.60      15.0546     159.3860
 3809.64       5.4266     144.0790
 3810.68      -5.5093     125.2020
 3811.72     -10.5487     113.3600
 3812.75      -8.1592     125.6360
 3813.79       9.2592     151.5450
 3814.83      20.6992     161.3150
 3815.87      19.7375     155.5220
 3816.90      11.1192     130.9890
 3817.94       6.4517     121.2960
 3818.98       2.4848     126.3140
 3820.02      -3.6076     112.3590
 3821.06       3.7508     123.1510
 3822.09      17.8755     139.5740
 3823.13       7.8997     114.5710
 3824.17      -3.0370      98.3344
 3825.21       4.4071     108.1890
 3826.24      -2.1433      93.7590
 3827.28       2.4009      97.5264
 3828.32      -1.2618     107.5590
 3829.36      -9.9728     147.9970
 3830.40     -11.1509     127.2050
 3831.43       5.9666     114.3760
 3832.47       1.9313     106.2940
 3833.51     -11.1372      95.8863
 3834.55       8.2054     124.4620
 3835.58      20.8097     128.9190
 3836.62      -5.7985     104.5700
 3837.66      -0.6992     109.0120
 3838.70       2.8656      96.2592
 3839.74      -5.8498      85.4995
 3840.77      -4.6991      97.2522
 3841.81      -6.3276      90.2831
 3842.85     -10.1780      74.9025
 3843.89      -5.8520      86.3100
 3844.92       0.2574      98.9183
 3845.96      -2.1853      89.7752
 3847.00       0.3059      79.7453
 3848.04      -8.1395      75.5602
 3849.07      -3.1685      77.1880
 3850.11      27.2374     106.4910
 3851.15     -10.9468      73.9014
 3852.19      -4.8618      73.7754
 3853.23      12.4903      88.4920
 3854.26      -1.2172      78.7501
 3855.30      -7.5487      71.3774
 3856.34      -3.7396      67.1870
 3857.38       7.4631      84.1544
 3858.41       6.4008      70.2038
 3859.45      -3.1252      61.7214
 3860.49       0.4825      71.2054
 3861.53      -7.0379      67.0420
 3862.57      -1.1159      69.6547
 3863.60      -7.4149      71.8755
 3864.64       3.3824      68.5374
 3865.68      -0.9863      66.2683
 3866.72       6.2576      69.6581
 3867.75       7.3635      60.0709
 3868.79      11.8932      72.7890
 3869.83     -12.5130      51.9922
 3870.87       5.1497      61.3270
 3871.91       8.3958      62.1640
 3872.94      -0.7890      56.5543
 3873.98      -9.2189      51.9466
 3875.02       8.1110      67.6390
 3876.06      -7.3915      52.0816
 3877.09       8.7939      59.8381
 3878.13       6.8716      58.4053
 3879.17      18.3993      64.8983
 3880.21     -11.0742      49.4102
 3881.24       9.8192      57.3877
 3882.28       0.0046      51.2467
 3883.32      13.9181      69.2825
 3884.36      -3.6891      56.9107
 3885.40      -1.9737      52.3917
 3886.43       1.0580      54.5221
 3887.47       1.2450      53.6085
 3888.51      -4.4106      50.6949
 3889.55      11.7040      55.8357
 3890.58      15.9239      63.8334
 3891.62       4.5652      56.9810
 3892.66       5.5229      57.0333
 3893.70       0.1294      51.2801
 3894.74       4.2632      57.9814
 3895.77       4.8603      54.5856
 3896.81       6.2726      56.3125
 3897.85       6.5018      52.2260
 3898.89      12.4020      54.6742
 3899.92       2.8444      48.3116
 3900.96       0.5050      49.9945
 3902.00       1.3759      47.8914
 3903.04      -3.2986      52.2223
 3904.07       2.7232      55.2568
 3905.11       1.4790      58.1551
 3906.15       6.6671      58.5481
 3907.19       7.6969      62.8450
 3908.23       0.4304      56.9411
 3909.26       2.7084      55.7794
 3910.30      14.4917      63.0492
 3911.34       3.4928      51.8235
 3912.38      -2.4311      47.7149
 3913.41      -6.8681      46.2789
 3914.45      -7.1767      46.4373
 3915.49      -0.4519      51.6217
 3916.53       4.5450      49.3026
 3917.57       1.1213      44.2143
 3918.60       7.6976      51.5350
 3919.64      13.1137      54.0321
 3920.68       4.6809      46.4582
 3921.72       1.8927      41.4456
 3922.75       1.9432      40.9864
 3923.79       6.7224      44.4742
 3924.83       4.6425      43.9701
 3925.87      -1.7651      38.0996
 3926.91      -3.5344      36.3522
 3927.94      -4.2864      34.1390
 3928.98      -1.0092      39.1897
 3930.02       9.7316      44.1111
 3931.06      -3.9816      35.1828
 3932.09     -10.1266      31.2734
 3933.13      -6.9520      32.9235
 3934.17      -0.4167      34.0476
 3935.21       5.4374      37.8802
 3936.24       8.5679      40.9476
 3937.28       3.6487      40.0208
 3938.32      -6.2721      34.3262
 3939.36      -2.3937      36.3684
 3940.40       0.4856      38.5359
 3941.43       1.3726      40.5273
 3942.47       3.6098      41.8532
 3943.51       2.2894      41.6125
 3944.55       3.5672      41.8049
 3945.58       4.5002      39.5398
 3946.62       2.8070      37.5294
 3947.66      11.5596      42.7273
 3948.70       7.6755      40.8114
 3949.74      -2.5576      34.8451
 3950.77      -2.7106      33.6347
 3951.81       6.2367      39.8450
 3952.85       5.2644      40.0839
 3953.89       3.7926      35.1618
 3954.92      -1.2745      30.7804
 3955.96      -2.2688      33.7778
 3957.00       4.1581      37.4347
 3958.04       0.3072      34.5026
 3959.08       1.0041      33.9134
 3960.11       2.5069      35.0924
 3961.15       1.2686      33.0476
 3962.19       2.7655      32.6341
 3963.23       0.8447      31.7209
 3964.26      -3.0154      29.2223
 3965.30      -3.0902      29.9839
 3966.34      -2.4351      27.6169
 3967.38      -0.9099      29.1861
 3968.41       1.1651      28.3141
 3969.45       3.7251      31.0720
 3970.49      11.9446      35.5344
 3971.53       3.0286      28.8426
 3972.57       7.1961      33.6845
 3973.60       7.8101      36.9279
 3974.64       4.0911      33.9144
 3975.68      -0.4208      32.1741
 3976.72       3.5363      33.4533
 3977.75       3.4993      33.4279
 3978.79      -3.9272      27.6583
 3979.83       2.8133      32.0581
 3980.87       1.8531      33.5739
 3981.91       0.9901      32.4978
 3982.94       1.8958      31.3163
 3983.98       4.9876      34.3173
 3985.02       0.4765      32.5565
 3986.06      -1.2489      31.2330
 3987.09      -0.6520      31.3860
 3988.13       0.9024      30.7522
 3989.17       2.6383      31.2761
 3990.21      -3.4998      27.6115
 3991.25       4.2249      33.6548
 3992.28       6.2931      33.9415
 3993.32       4.1238      32.1906
 3994.36       5.4740      31.1017
 3995.40       5.1296      31.5053
 3996.43       0.8786      28.3351
 3997.47       0.6326      30.3626
 3998.51      -2.0609      29.7584
 3999.55      -4.1834      29.2135
 4000.58      -0.4767      29.2161
 4001.62      -3.8820      25.4923
 4012.00       2.0828      31.2615
 4013.04       9.7563      38.4090
 4014.08       2.3737      32.4609
 4015.11      11.8562      36.8910
 4016.15      -8.6565      25.2972
 4017.19      -0.9687      31.0589
 4018.23       3.4242      29.7118
 4019.26       1.5484      29.7946
 4020.30      10.9571      35.4069
 4021.34       4.4262      32.9006
 4022.38      16.4512      37.0913
 4023.42       6.1458      33.6385
 4024.45       8.1252      31.7713
 4025.49      -0.1868      27.8887
 4026.53      -0.0249      28.0774
 4027.57     -14.7147      21.3671
 4028.60      -6.5366      23.2129
 4029.64       0.8928      27.3890
 4030.68      -4.9894      27.2604
 4031.72       0.1476      30.5548
 4032.75       0.0966      27.8880
 4033.79      13.3204      33.8666
 4034.83       9.4593      30.7488
 4035.87       7.1562      29.1646
 4036.91       2.6914      25.9308
 4037.94       4.1185      30.2368
 4038.98       1.0252      25.8672
 4040.02      -0.4870      27.1617
 4041.06      -2.2766      27.2274
 4042.09      -1.3680      28.7890
 4043.13       4.7218      30.7768
 4044.17      -3.1400      27.1843
 4045.21      -1.1502      28.0788
 4046.25       0.2411      28.7705
 4047.28       8.2173      31.6690
 4048.32      -6.9205      24.7851
 4049.36       2.9396      30.7961
 4050.40       1.3643      29.4087
 4051.43      11.9085      33.4012
 4052.47       1.4111      25.9324
 4053.51      -0.0207      27.4827
 4054.55      -3.1087      28.3637
 4055.58       3.6384      25.1622
 4056.62       5.6011      26.1329
 4057.66       1.6443      24.3947
 4058.70      -4.1809      20.8213
 4059.74      -0.8154      26.1492
 4060.77      -3.7792      25.4120
 4061.81       8.2039      29.6632
 4062.85       5.5730      28.8592
 4063.89       4.5434      30.3154
 4064.92       4.9550      31.3192
 4065.96       1.7345      29.3734
 4067.00      -1.3015      26.8207
 4068.04       6.4616      28.6187
 4069.08       0.8403      26.1308
 4070.11       2.9974      25.3514
 4071.15      -3.2254      23.4249
 4072.19      -4.5749      22.1457
 4073.23       2.3665      24.1322
 4074.26       7.7565      26.9129
 4075.30       1.2968      27.1936
 4076.34      -2.6916      26.1229
 4077.38       4.1289      27.7144
 4078.42       3.9629      27.3029
 4079.45       9.2415      29.0131
 4080.49      -0.6571      24.6465
 4081.53      -7.0704      22.3512
 4082.57       2.7167      26.0149
 4083.60       5.3520      25.4681
 4084.64      -4.0960      23.2890
 4085.68       2.0577      24.4783
 4086.72      -0.9149      23.6307
 4087.75      -0.1887      23.3155
 4088.79      -0.1686      21.9951
 4089.83       8.0142      25.3923
 4090.87      -1.2761      21.4871
 4091.91       3.9543      23.9690
