 
TRANSIENT_NAME:     DES13C3absw
SNID:               1271446    
OBS_DATE:           2014-01-26
MJD:                56683. 
PHASE_EXP:          +23.   
MJD_EXP:            56658.6 (derived from r-band light-curve)
TYPE:               33 
SPEC_EVAL:          SNIc
REDSHIFT:           0.0699  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          SALT
INSTRUMENT:         RSS
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3839.13   8.6067e-19   4.6641e-19
 3842.21   9.1201e-19   4.6688e-19
 3845.30   6.3997e-19   4.9283e-19
 3848.38   6.9285e-19   4.5118e-19
 3851.46   8.7622e-19   4.5533e-19
 3854.54   6.6053e-19   4.3449e-19
 3857.62   3.4634e-19   4.2347e-19
 3860.70   7.4159e-19   4.3090e-19
 3863.78   1.1771e-18   4.3718e-19
 3866.86   1.3669e-18   4.3887e-19
 3869.94   1.0336e-18   4.2403e-19
 3873.03   7.3032e-19   4.3073e-19
 3876.11   9.3440e-19   4.5530e-19
 3879.19   9.5712e-19   4.6797e-19
 3882.27   9.3371e-19   5.6038e-19
 3885.35   1.0746e-18   5.6361e-19
 3888.43   1.0276e-18   4.7090e-19
 3891.51   1.3552e-18   4.8158e-19
 3894.59   1.2996e-18   5.1327e-19
 3897.67   1.3187e-18   5.4105e-19
 3900.76   1.4180e-18   5.5732e-19
 3903.84   1.1260e-18   4.8709e-19
 3906.92   8.7845e-19   4.8802e-19
 3910.00   1.1127e-18   4.7345e-19
 3913.08   9.8593e-19   4.5194e-19
 3916.16   1.1771e-18   4.5860e-19
 3919.24   1.1286e-18   4.7054e-19
 3922.32   1.5000e-18   4.6492e-19
 3925.40   1.0891e-18   4.6970e-19
 3928.48   1.0175e-18   4.7814e-19
 3931.57   1.3067e-18   4.7515e-19
 3934.65   9.1201e-19   4.7386e-19
 3937.73   8.6551e-19   4.7147e-19
 3940.81   1.1514e-18   4.9093e-19
 3943.89   1.1750e-18   4.7332e-19
 3946.97   9.7431e-19   4.8828e-19
 3950.05   9.3360e-19   4.7554e-19
 3953.13   1.1330e-18   4.8053e-19
 3956.21   1.2708e-18   4.5602e-19
 3959.30   1.1012e-18   4.4236e-19
 3962.38   1.7122e-18   4.6647e-19
 3965.46   1.5704e-18   4.3765e-19
 3968.54   1.8077e-18   4.9120e-19
 3971.62   2.1281e-18   4.4648e-19
 3974.70   2.2714e-18   4.5487e-19
 3977.78   2.5736e-18   4.6301e-19
 3980.86   2.6660e-18   4.5931e-19
 3983.94   2.2398e-18   4.5764e-19
 3987.03   2.3871e-18   4.6872e-19
 3990.11   1.6008e-18   4.4204e-19
 3993.19   1.3845e-18   4.4919e-19
 3996.27   1.6669e-18   4.5491e-19
 3999.35   1.7500e-18   4.6718e-19
 4002.43   1.4405e-18   4.7793e-19
 4005.51   1.4281e-18   4.6247e-19
 4008.59   1.2373e-18   5.2298e-19
 4011.67   1.6400e-18   4.8901e-19
 4014.75   1.9486e-18   4.5805e-19
 4017.84   2.0525e-18   4.5650e-19
 4020.92   2.0383e-18   4.6978e-19
 4024.00   1.6623e-18   4.7265e-19
 4027.08   2.4748e-18   5.1446e-19
 4030.16   1.4704e-18   4.6350e-19
 4033.24   1.7008e-18   4.8032e-19
 4036.32   1.7994e-18   4.8730e-19
 4039.40   1.9140e-18   4.9760e-19
 4042.48   1.9100e-18   4.8810e-19
 4045.57   1.8363e-18   4.8469e-19
 4048.65   1.6622e-18   4.7523e-19
 4051.73   1.7008e-18   4.9259e-19
 4054.81   1.6703e-18   4.8436e-19
 4057.89   1.8142e-18   4.9895e-19
 4060.97   1.7583e-18   5.1536e-19
 4064.05   2.1399e-18   5.0798e-19
 4067.13   2.4632e-18   5.1518e-19
 4070.21   2.3369e-18   5.0628e-19
 4073.30   2.1969e-18   4.8942e-19
 4076.38   1.7783e-18   4.8588e-19
 4079.46   1.6750e-18   4.6602e-19
 4082.54   1.9797e-18   4.6953e-19
 4085.62   2.0634e-18   4.6059e-19
 4088.70   1.6621e-18   4.4682e-19
 4091.78   1.7501e-18   4.4010e-19
 4094.86   1.9384e-18   4.3804e-19
 4097.94   1.9306e-18   4.3308e-19
 4101.02   2.3961e-18   4.5533e-19
 4104.11   2.1050e-18   4.5191e-19
 4107.19   2.0267e-18   4.4661e-19
 4110.27   2.3997e-18   4.5176e-19
 4113.35   1.8552e-18   4.4883e-19
 4116.43   1.7684e-18   4.5249e-19
 4119.51   2.0909e-18   4.6479e-19
 4122.59   2.1220e-18   4.5717e-19
 4125.67   2.1171e-18   4.5622e-19
 4128.75   2.4203e-18   4.5884e-19
 4131.84   2.2715e-18   4.7395e-19
 4134.92   2.3422e-18   4.5441e-19
 4138.00   2.3244e-18   4.3825e-19
 4141.08   2.4666e-18   4.4483e-19
