 
TRANSIENT_NAME:     DES13C3ui  
SNID:               1248844    
OBS_DATE:           2013-11-28
MJD:                56624. 
PHASE_EXP:          post-max (based on r-band light-curve)
MJD_EXP:            ---
TYPE:               29 
SPEC_EVAL:          SNII
REDSHIFT:           0.0665  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3742.19     -46.3313    1051.3300
 3743.23     -14.4215    1131.1000
 3744.26     -45.7316     982.4720
 3745.30     -36.8308     966.2620
 3746.34     -21.8210    1181.5500
 3747.38     -26.4314    1363.3800
 3748.41     -42.7075    1284.0400
 3749.45     -30.9519    1203.3700
 3750.49     -32.5633    1301.2000
 3751.53      -6.6014    1557.3800
 3752.56     -27.6654    1850.4000
 3753.60     -26.9653    1114.9000
 3754.64      17.7665    1256.8500
 3755.68      14.6171    1515.7700
 3756.72      -6.7846    1199.5400
 3757.75     -35.8101    1127.8900
 3758.79     -56.1861    1389.1600
 3759.83     -20.2279    1479.5000
 3760.87       7.1093    1531.5100
 3761.90       9.5479    1283.0400
 3762.94      11.3390    1093.8101
 3763.98       3.1586    1206.2700
 3765.02     -74.4921    1272.0000
 3766.06     -16.1820    1160.1700
 3767.09      29.1053    1324.0400
 3768.13     -19.4064    1113.1801
 3769.17      27.9858    1293.8101
 3770.21     -24.3472    1262.1899
 3771.24      21.4760    1153.8400
 3772.28      -0.6826    1240.0200
 3773.32       2.2494    1201.4301
 3774.36      18.5520    1032.4900
 3775.40      16.0713    1039.0500
 3776.43     -28.9369     910.3670
 3777.47      -7.7086    1107.7500
 3778.51      18.4569     999.3330
 3779.55     -16.5362     851.5790
 3780.58     -27.4583     871.3260
 3781.62      17.5760     921.3440
 3782.66      13.2711     967.4810
 3783.70     -15.7450     961.5670
 3784.73      -2.2841    1002.2200
 3785.77      68.2095    1061.4700
 3786.81      20.4716     958.9360
 3787.85       5.0965    1091.4399
 3788.89      10.8250     999.0490
 3789.92      -9.0415     774.1790
 3790.96       6.2153     888.6250
 3792.00      -1.2960     826.9780
 3793.04      -7.3508     775.9870
 3794.07      15.6662     917.9660
 3795.11      56.2359    1271.5900
 3796.15      47.0845     817.6730
 3797.19     -10.7372     732.8100
 3798.23     -12.4023     711.5290
 3799.26     -24.1330     774.9370
 3800.30     -33.0265     860.0040
 3801.34     -19.3794     914.3900
 3802.38      -7.2736     879.9620
 3803.41     -25.9358     681.1690
 3804.45      17.8034     856.7520
 3805.49      10.1556     802.8890
 3806.53     -16.2348     748.8170
 3807.57     -28.3280     631.9830
 3808.60     -40.9506     572.6000
 3809.64      -0.6328     701.2450
 3810.68      22.0511     690.9940
 3811.72      48.5049     752.1030
 3812.75      13.6187     640.0020
 3813.79     -25.5346     624.6600
 3814.83       1.6235     997.0320
 3815.87     -12.3574     513.8520
 3816.90     -26.9490     610.3620
 3817.94      38.9228     658.2430
 3818.98       2.3763     544.9070
 3820.02      -2.9398     631.2750
 3821.06      -3.8736     502.8350
 3822.09      -7.3766     590.1580
 3823.13     -10.1849     518.3560
 3824.17      -3.0993     584.0160
 3825.21     -13.6899     488.5310
 3826.24     -19.8836     470.4540
 3827.28     -23.7397     447.5950
 3828.32      31.0859     563.0640
 3829.36      -7.0020     533.8850
 3830.40      32.4422     647.8010
 3831.43      45.3985     717.0390
 3832.47      -5.6997     507.9320
 3833.51       8.1590     489.0700
 3834.55      10.0272     507.5720
 3835.58       4.6380     515.2760
 3836.62     -56.9050     474.9880
 3837.66      -0.6727     443.8590
 3838.70     -19.7821     380.4920
 3839.74     -22.2016     403.5710
 3840.77      -8.6699     438.5490
 3841.81      24.2915     517.0370
 3842.85     -29.2010     365.5830
 3843.89      14.1261     454.9240
 3844.92       4.8193     497.6120
 3845.96      34.1215     499.8980
 3847.00     -37.4209     433.1480
 3848.04     -36.4604     613.7050
 3849.07      -0.1048     438.0400
 3850.11      31.9037     445.2050
 3851.15      27.0272     482.3020
 3852.19      32.0239     481.4740
 3853.23      49.3707     544.0570
 3854.26      22.8334     433.2710
 3855.30      10.0641     398.6810
 3856.34     -26.8255     354.3470
 3857.38       9.7585     385.5760
 3858.41     -16.9803     353.3440
 3859.45     -20.7487     364.6280
 3860.49      22.3533     416.5340
 3861.53      -0.3723     338.4910
 3862.57      18.7254     394.8310
 3863.60      10.0050     344.2100
 3864.64      12.6769     359.4820
 3865.68      17.6504     369.4360
 3866.72      15.8155     369.7440
 3867.75     -15.9797     285.8080
 3868.79     -36.7255     262.4300
 3869.83      10.7334     322.4460
 3870.87      -8.4938     316.4220
 3871.91       9.6839     315.3030
 3872.94      24.6989     344.6350
 3873.98     -13.6152     289.8510
 3875.02     -11.5276     293.6690
 3876.06      11.0702     313.1760
 3877.09       2.1291     308.9300
 3878.13       7.9882     264.6330
 3879.17      16.8848     317.9010
 3880.21     -38.7190     264.4410
 3881.24       9.8599     317.8730
 3882.28      -2.2454     254.9960
 3883.32       1.0856     254.7260
 3884.36     -17.5756     243.7610
 3885.40      10.3176     285.6380
 3886.43      20.9206     306.5140
 3887.47      23.3794     290.3590
 3888.51      -1.4373     272.5290
 3889.55      -3.7322     272.9580
 3890.58      38.0509     332.3520
 3891.62     -16.1362     214.4630
 3892.66       3.8019     262.3430
 3893.70     -13.0775     222.4310
 3894.74     -15.7486     213.3060
 3895.77      16.0147     246.4520
 3896.81      21.4672     234.5440
 3897.85       9.6108     248.8170
 3898.89      20.0606     279.4480
 3899.92       2.2901     246.5600
 3900.96     -15.3025     206.6300
 3902.00     -14.1339     211.6820
 3903.04      14.1465     231.0170
 3904.07      -7.1526     242.6530
 3905.11      20.5651     244.6180
 3906.15      -4.5534     202.3280
 3907.19     -16.3957     200.6070
 3908.23     -14.6781     212.7890
 3909.26      13.5861     247.5480
