 
TRANSIENT_NAME:     DES13X3abaw
SNID:               1264419    
OBS_DATE:           2014-01-23
MJD:                56680. 
PHASE_EXP:          +28.   
MJD_EXP:            56650.1 (derived from r-band light-curve)
TYPE:               39 
SPEC_EVAL:          SNIb/c
REDSHIFT:           0.0700  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          SALT
INSTRUMENT:         RSS
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3803.23   3.2517e-18   1.8197e-20
 3806.23   1.6343e-17   1.8107e-20
 3809.23   6.2909e-18   1.8018e-20
 3812.24   5.7684e-18   1.7929e-20
 3815.24   3.4822e-18   1.7841e-20
 3818.25   1.7807e-17   1.7754e-20
 3821.25   2.4982e-17   1.7667e-20
 3824.25   2.2185e-17   1.7581e-20
 3827.26   1.4898e-17   1.7495e-20
 3830.26   1.8995e-17   1.7410e-20
 3833.26   2.7746e-17   1.7325e-20
 3836.27   3.1073e-17   1.7241e-20
 3839.27   3.7654e-17   1.7158e-20
 3842.28   3.9484e-17   1.7075e-20
 3845.28   4.6861e-17   1.6993e-20
 3848.28   4.6631e-17   1.6911e-20
 3851.29   3.9804e-17   1.6830e-20
 3854.29   3.0611e-17   1.6749e-20
 3857.30   2.1151e-17   1.6668e-20
 3860.30   3.6421e-17   1.6589e-20
 3863.30   4.3349e-17   1.6509e-20
 3866.31   4.5877e-17   1.6431e-20
 3869.31   4.4339e-17   1.6352e-20
 3872.31   3.0895e-17   1.6275e-20
 3875.32   3.2981e-17   1.6197e-20
 3878.32   4.1964e-17   1.6121e-20
 3881.33   5.3712e-17   1.6044e-20
 3884.33   7.1125e-17   1.5969e-20
 3887.33   6.3046e-17   1.5893e-20
 3890.34   6.2219e-17   1.5818e-20
 3893.34   6.0514e-17   1.5744e-20
 3896.35   3.7758e-17   1.5670e-20
 3899.35   5.8837e-17   1.5597e-20
 3902.35   6.6968e-17   1.5524e-20
 3905.36   6.7160e-17   1.5451e-20
 3908.36   6.0520e-17   1.5379e-20
 3911.37   5.8646e-17   1.5307e-20
 3914.37   6.3674e-17   1.5236e-20
 3917.37   6.1552e-17   1.5165e-20
 3920.38   4.6649e-17   1.5095e-20
 3923.38   6.3867e-17   1.5025e-20
 3926.39   6.5529e-17   1.4956e-20
 3929.39   6.3968e-17   1.4887e-20
 3932.39   6.2199e-17   1.4818e-20
 3935.40   7.4948e-17   1.4750e-20
 3938.40   6.7593e-17   1.4682e-20
 3941.41   6.4280e-17   1.4615e-20
 3944.41   6.4870e-17   1.4548e-20
 3947.41   6.8761e-17   1.4481e-20
 3950.42   6.5138e-17   1.4415e-20
 3953.42   6.3451e-17   1.4349e-20
 3956.43   6.2827e-17   1.4284e-20
 3959.43   8.0110e-17   1.4219e-20
 3962.43   7.8879e-17   1.4154e-20
 3965.44   7.1743e-17   1.4090e-20
 3968.44   7.6642e-17   1.4026e-20
 3971.45   8.1529e-17   1.3963e-20
 3974.45   9.9486e-17   1.3900e-20
 3977.45   1.1934e-16   1.3837e-20
 3980.46   1.1639e-16   1.3775e-20
 3983.46   1.0469e-16   1.3713e-20
 3986.47   8.5401e-17   1.3652e-20
 3989.47   8.7499e-17   1.3590e-20
 3992.47   8.9445e-17   1.3529e-20
 3995.48   7.9509e-17   1.3469e-20
 3998.48   6.5457e-17   1.3409e-20
 4001.49   7.8956e-17   1.3355e-20
 4004.49   7.9486e-17   1.3307e-20
 4007.49   7.8476e-17   1.3260e-20
 4010.50   8.2554e-17   1.3213e-20
 4013.50   8.4963e-17   1.3166e-20
 4016.50   8.2532e-17   1.3119e-20
 4019.51   7.1501e-17   1.3072e-20
 4022.51   9.4323e-17   1.3026e-20
 4025.52   9.1106e-17   1.2980e-20
 4028.52   9.1155e-17   1.2934e-20
 4031.52   6.8780e-17   1.2889e-20
 4034.53   7.5280e-17   1.2844e-20
 4037.53   8.0117e-17   1.2799e-20
 4040.54   8.8920e-17   1.2754e-20
 4043.54   8.5202e-17   1.2709e-20
 4046.54   9.4851e-17   1.2665e-20
 4049.55   1.0283e-16   1.2621e-20
 4052.55   8.9526e-17   1.2577e-20
 4055.55   8.7642e-17   1.2533e-20
 4058.56   8.7652e-17   1.2490e-20
 4061.56   9.1664e-17   1.2447e-20
 4064.57   9.1010e-17   1.2404e-20
 4067.57   9.9111e-17   1.2361e-20
 4070.57   9.6023e-17   1.2318e-20
 4073.58   1.0659e-16   1.2276e-20
 4076.58   1.0369e-16   1.2234e-20
 4079.59   9.8517e-17   1.2192e-20
 4082.59   9.7698e-17   1.2150e-20
 4085.59   9.6062e-17   1.2109e-20
 4088.60   8.6767e-17   1.2068e-20
 4091.60   7.9185e-17   1.2027e-20
 4094.61   7.9603e-17   1.1986e-20
 4097.61   8.5500e-17   1.1945e-20
 4100.62   8.4833e-17   1.1905e-20
 4103.62   9.2357e-17   1.1864e-20
 4106.62   1.0119e-16   1.1824e-20
 4109.63   9.9678e-17   1.1785e-20
 4112.63   1.0341e-16   1.1745e-20
 4115.63   9.8758e-17   1.1706e-20
 4118.64   9.5153e-17   1.1666e-20
 4121.64   1.0231e-16   1.1627e-20
 4124.65   1.0927e-16   1.1588e-20
 4127.65   1.1430e-16   1.1550e-20
 4130.65   1.1497e-16   1.1511e-20
 4133.66   1.1132e-16   1.1473e-20
 4136.66   1.1082e-16   1.1435e-20
 4139.67   1.0223e-16   1.1397e-20
 4142.67   1.0431e-16   1.1359e-20
 4145.67   1.0294e-16   1.1322e-20
 4148.68   1.1620e-16   1.1284e-20
 4151.68   9.6543e-17   1.1247e-20
 4154.69   1.0871e-16   1.1210e-20
 4157.69   1.0814e-16   1.1173e-20
 4160.69   1.0512e-16   1.1137e-20
 4163.70   9.6316e-17   1.1100e-20
 4166.70   1.0185e-16   1.1064e-20
 4169.71   1.0962e-16   1.1028e-20
 4172.71   1.0607e-16   1.0992e-20
 4175.71   1.0816e-16   1.0956e-20
 4178.72   1.1364e-16   1.0920e-20
 4181.72   1.2021e-16   1.0885e-20
 4184.73   1.2437e-16   1.0850e-20
 4187.73   1.1617e-16   1.0815e-20
 4190.73   1.3119e-16   1.0780e-20
 4193.74   1.0371e-16   1.0745e-20
 4196.74   9.8480e-17   1.0710e-20
 4199.75   1.0515e-16   1.0676e-20
 4202.75   1.0473e-16   1.0642e-20
 4205.75   1.0178e-16   1.0608e-20
 4208.76   9.6320e-17   1.0574e-20
 4211.76   1.1007e-16   1.0540e-20
 4214.76   1.1524e-16   1.0506e-20
 4217.77   1.0629e-16   1.0473e-20
 4220.77   1.0066e-16   1.0439e-20
 4223.78   9.9206e-17   1.0406e-20
 4226.78   1.1250e-16   1.0373e-20
 4229.78   1.1094e-16   1.0340e-20
 4232.79   1.0578e-16   1.0308e-20
 4235.79   9.6364e-17   1.0275e-20
 4238.80   7.8963e-17   1.0243e-20
 4241.80   8.7361e-17   1.0211e-20
 4244.80   8.5574e-17   1.0179e-20
 4247.81   9.4499e-17   1.0147e-20
 4250.81   1.1789e-16   1.0115e-20
 4253.81   1.1759e-16   1.0083e-20
 4256.82   1.1977e-16   1.0052e-20
 4259.82   1.2402e-16   1.0020e-20
 4262.83   1.2162e-16   9.9890e-21
 4265.83   1.3946e-16   9.9579e-21
 4268.83   1.3939e-16   9.9270e-21
 4271.84   1.2582e-16   9.8962e-21
 4274.84   1.3932e-16   9.8655e-21
 4277.85   1.4560e-16   9.8350e-21
 4280.85   1.4288e-16   9.8046e-21
 4283.85   1.3872e-16   9.7744e-21
 4286.86   1.4401e-16   9.7443e-21
 4289.86   1.4103e-16   9.7143e-21
 4292.87   1.2580e-16   9.6845e-21
 4295.87   1.1765e-16   9.6548e-21
 4298.88   1.3432e-16   9.6252e-21
 4301.88   1.3755e-16   9.5958e-21
 4304.88   1.3854e-16   9.5665e-21
 4307.89   1.3357e-16   9.5373e-21
 4310.89   1.3432e-16   9.5083e-21
 4313.89   1.3637e-16   9.4793e-21
 4316.90   1.4650e-16   9.4506e-21
 4319.90   1.2124e-16   9.4219e-21
 4322.91   1.3488e-16   9.3934e-21
 4325.91   1.4672e-16   9.3650e-21
 4328.91   1.3915e-16   9.3367e-21
 4331.92   1.2317e-16   9.3085e-21
 4334.92   1.1302e-16   9.2805e-21
 4337.93   1.2220e-16   9.2526e-21
 4340.93   1.3131e-16   9.2248e-21
 4343.93   1.3433e-16   9.1971e-21
 4346.94   1.2789e-16   9.1696e-21
 4349.94   1.2987e-16   9.1422e-21
 4352.95   1.2387e-16   9.1149e-21
 4355.95   1.1615e-16   9.0877e-21
 4358.95   1.3799e-16   9.0606e-21
 4361.96   1.4240e-16   9.0337e-21
 4364.96   1.4155e-16   9.0068e-21
 4367.96   1.2064e-16   8.9801e-21
 4370.97   1.0850e-16   8.9535e-21
 4373.97   1.1574e-16   8.9270e-21
 4376.98   1.2108e-16   8.9007e-21
 4379.98   1.2287e-16   8.8744e-21
 4382.98   1.2329e-16   8.8483e-21
 4385.99   1.1946e-16   8.8222e-21
 4388.99   1.1887e-16   8.7963e-21
 4392.00   1.1767e-16   8.7705e-21
 4395.00   1.2529e-16   8.7448e-21
 4398.00   1.2935e-16   8.7192e-21
 4401.01   1.2815e-16   8.6937e-21
 4404.01   1.3457e-16   8.6684e-21
 4407.02   1.3105e-16   8.6431e-21
 4410.02   1.3531e-16   8.6179e-21
 4413.02   1.3148e-16   8.5929e-21
 4416.03   1.2780e-16   8.5679e-21
 4419.03   1.3535e-16   8.5431e-21
 4422.04   1.3256e-16   8.5184e-21
 4425.04   1.3900e-16   8.4937e-21
 4428.04   1.3268e-16   8.4692e-21
 4431.05   1.3759e-16   8.4448e-21
 4434.05   1.3985e-16   8.4205e-21
 4437.06   1.3909e-16   8.3962e-21
 4440.06   1.4451e-16   8.3721e-21
 4443.06   1.4465e-16   8.3481e-21
 4446.07   1.2501e-16   8.3242e-21
 4449.07   1.3439e-16   8.3004e-21
 4452.08   1.3544e-16   8.2767e-21
 4455.08   1.3385e-16   8.2530e-21
 4458.08   1.3017e-16   8.2295e-21
 4461.09   1.1868e-16   8.2061e-21
 4464.09   1.3029e-16   8.1828e-21
 4467.10   1.2375e-16   8.1595e-21
 4470.10   1.2484e-16   8.1364e-21
 4473.10   1.2255e-16   8.1134e-21
 4476.11   1.3003e-16   8.0904e-21
 4479.11   1.3473e-16   8.0676e-21
 4482.12   1.3094e-16   8.0448e-21
 4485.12   1.3615e-16   8.0221e-21
 4488.12   1.2088e-16   7.9996e-21
 4491.13   1.2553e-16   7.9771e-21
 4494.13   1.2289e-16   7.9547e-21
 4497.13   1.1594e-16   7.9324e-21
 4500.14   1.3006e-16   7.9104e-21
 4503.14   1.2685e-16   7.8921e-21
 4506.15   1.3615e-16   7.8738e-21
 4509.15   1.3340e-16   7.8557e-21
 4512.15   1.4148e-16   7.8376e-21
 4515.16   1.2905e-16   7.8195e-21
 4518.16   1.3361e-16   7.8016e-21
 4521.17   1.3743e-16   7.7837e-21
 4524.17   1.3649e-16   7.7659e-21
 4527.17   1.3912e-16   7.7481e-21
 4530.18   1.3538e-16   7.7304e-21
 4533.18   1.4044e-16   7.7128e-21
 4536.19   1.4264e-16   7.6953e-21
 4539.19   1.2868e-16   7.6778e-21
 4542.19   1.1971e-16   7.6603e-21
 4545.20   1.2784e-16   7.6430e-21
 4548.20   1.4086e-16   7.6257e-21
 4551.21   1.3616e-16   7.6085e-21
 4554.21   1.3139e-16   7.5913e-21
 4557.21   1.3606e-16   7.5742e-21
 4560.22   1.3484e-16   7.5572e-21
 4563.22   1.3799e-16   7.5402e-21
 4566.23   1.3822e-16   7.5233e-21
 4569.23   1.3017e-16   7.5065e-21
 4572.23   1.3020e-16   7.4897e-21
 4575.24   1.2467e-16   7.4730e-21
 4578.24   1.2836e-16   7.4563e-21
 4581.25   1.3667e-16   7.4397e-21
 4584.25   1.3498e-16   7.4232e-21
 4587.25   1.1995e-16   7.4067e-21
 4590.26   1.2115e-16   7.3903e-21
 4593.26   1.3149e-16   7.3740e-21
 4596.27   1.2124e-16   7.3577e-21
 4599.27   1.2038e-16   7.3415e-21
 4602.27   1.2903e-16   7.3253e-21
 4605.28   1.3230e-16   7.3092e-21
 4608.28   1.1558e-16   7.2931e-21
 4611.29   1.1598e-16   7.2771e-21
 4614.29   1.3148e-16   7.2612e-21
 4617.29   1.2865e-16   7.2453e-21
 4620.30   1.2162e-16   7.2295e-21
 4623.30   1.2738e-16   7.2138e-21
 4626.30   1.1678e-16   7.1981e-21
 4629.31   1.3145e-16   7.1824e-21
 4632.31   1.2858e-16   7.1668e-21
 4635.32   1.1549e-16   7.1513e-21
 4638.32   1.2666e-16   7.1358e-21
 4641.32   1.1680e-16   7.1204e-21
 4644.33   1.2422e-16   7.1050e-21
 4647.33   1.2838e-16   7.0897e-21
 4650.34   1.3083e-16   7.0745e-21
 4653.34   1.2595e-16   7.0593e-21
 4656.34   1.2864e-16   7.0441e-21
 4659.35   1.4471e-16   7.0290e-21
 4662.35   1.3240e-16   7.0140e-21
 4665.36   1.3699e-16   6.9990e-21
 4668.36   1.2494e-16   6.9841e-21
 4671.36   1.2455e-16   6.9692e-21
 4674.37   1.3654e-16   6.9544e-21
 4677.37   1.2732e-16   6.9396e-21
 4680.38   1.3280e-16   6.9249e-21
 4683.38   1.3370e-16   6.9102e-21
 4686.38   1.3193e-16   6.8956e-21
 4689.39   1.3105e-16   6.8810e-21
 4692.39   1.3823e-16   6.8665e-21
 4695.40   1.3141e-16   6.8521e-21
 4698.40   1.2982e-16   6.8377e-21
 4701.40   1.3103e-16   6.8233e-21
 4704.41   1.3627e-16   6.8090e-21
 4707.41   1.4040e-16   6.7947e-21
 4710.42   1.5099e-16   6.7805e-21
 4713.42   1.3373e-16   6.7664e-21
 4716.42   1.2546e-16   6.7523e-21
 4719.43   1.3133e-16   6.7382e-21
 4722.43   1.3450e-16   6.7242e-21
 4725.44   1.4015e-16   6.7102e-21
 4728.44   1.4112e-16   6.6963e-21
 4731.44   1.2699e-16   6.6825e-21
 4734.45   1.2042e-16   6.6687e-21
 4737.45   1.2748e-16   6.6549e-21
 4740.45   1.3582e-16   6.6412e-21
 4743.46   1.3444e-16   6.6275e-21
 4746.46   1.3163e-16   6.6139e-21
 4749.47   1.3513e-16   6.6003e-21
 4752.47   1.3332e-16   6.5868e-21
 4755.47   1.2839e-16   6.5733e-21
 4758.48   1.3313e-16   6.5598e-21
 4761.48   1.3353e-16   6.5465e-21
 4764.49   1.2869e-16   6.5331e-21
 4767.49   1.2930e-16   6.5198e-21
 4770.49   1.2843e-16   6.5066e-21
 4773.50   1.3591e-16   6.4933e-21
 4776.50   1.3428e-16   6.4802e-21
 4779.51   1.2534e-16   6.4671e-21
 4782.51   1.2224e-16   6.4540e-21
 4785.51   1.3173e-16   6.4410e-21
 4788.52   1.3996e-16   6.4280e-21
 4791.52   1.2956e-16   6.4150e-21
 4794.53   1.4700e-16   6.4021e-21
 4797.53   1.3988e-16   6.3893e-21
 4800.53   1.1908e-16   6.3765e-21
 4803.54   1.3133e-16   6.3637e-21
 4806.54   1.3103e-16   6.3510e-21
 4809.54   1.2683e-16   6.3383e-21
 4812.55   1.3520e-16   6.3257e-21
 4815.55   1.3153e-16   6.3131e-21
 4818.56   1.3365e-16   6.3005e-21
 4821.56   1.4015e-16   6.2880e-21
 4824.56   1.3999e-16   6.2755e-21
 4827.57   1.5082e-16   6.2631e-21
 4830.57   1.3654e-16   6.2507e-21
 4833.58   1.2908e-16   6.2384e-21
 4836.58   1.2952e-16   6.2261e-21
 4839.58   1.2842e-16   6.2138e-21
 4842.59   1.3385e-16   6.2016e-21
 4845.59   1.3463e-16   6.1894e-21
 4848.60   1.2741e-16   6.1772e-21
 4851.60   1.2671e-16   6.1651e-21
 4854.60   1.3293e-16   6.1531e-21
 4857.61   1.3185e-16   6.1411e-21
 4860.61   1.2699e-16   6.1291e-21
 4863.62   1.3673e-16   6.1171e-21
 4866.62   1.3736e-16   6.1052e-21
 4869.62   1.2991e-16   6.0934e-21
 4872.63   1.2843e-16   6.0816e-21
 4875.63   1.3486e-16   6.0698e-21
 4878.64   1.3481e-16   6.0580e-21
 4881.64   1.2692e-16   6.0463e-21
 4884.64   1.3933e-16   6.0346e-21
 4887.65   1.3652e-16   6.0230e-21
 4890.65   1.3983e-16   6.0114e-21
 4893.66   1.3587e-16   5.9999e-21
 4896.66   1.2829e-16   5.9883e-21
 4899.66   1.2765e-16   5.9769e-21
 4902.67   1.2822e-16   5.9654e-21
 4905.67   1.2633e-16   5.9540e-21
 4908.68   1.2905e-16   5.9426e-21
 4911.68   1.2997e-16   5.9313e-21
 4914.68   1.3252e-16   5.9200e-21
 4917.69   1.3059e-16   5.9088e-21
 4920.69   1.3491e-16   5.8975e-21
 4923.69   1.2728e-16   5.8864e-21
 4926.70   1.3020e-16   5.8752e-21
 4929.70   1.3425e-16   5.8641e-21
 5121.96   1.2744e-16   5.2799e-21
 5124.96   1.2596e-16   5.2722e-21
 5127.96   1.2305e-16   5.2645e-21
 5130.97   1.2356e-16   5.2568e-21
 5133.97   1.2461e-16   5.2491e-21
 5136.98   1.2292e-16   5.2415e-21
 5139.98   1.1862e-16   5.2339e-21
 5142.98   1.2436e-16   5.2263e-21
 5145.99   1.2678e-16   5.2187e-21
 5148.99   1.2496e-16   5.2112e-21
 5152.00   1.1609e-16   5.2037e-21
 5155.00   1.2407e-16   5.1962e-21
 5158.00   1.2575e-16   5.1887e-21
 5161.01   1.1804e-16   5.1813e-21
 5164.01   1.2028e-16   5.1738e-21
 5167.02   1.2635e-16   5.1664e-21
 5170.02   1.2023e-16   5.1590e-21
 5173.02   1.2852e-16   5.1517e-21
 5176.03   1.3323e-16   5.1443e-21
 5179.03   1.3232e-16   5.1370e-21
 5182.04   1.2660e-16   5.1297e-21
 5185.04   1.2037e-16   5.1224e-21
 5188.04   1.1269e-16   5.1152e-21
 5191.05   1.3031e-16   5.1080e-21
 5194.05   1.3286e-16   5.1007e-21
 5197.06   1.2855e-16   5.0935e-21
 5200.06   1.3601e-16   5.0864e-21
 5203.06   1.1693e-16   5.0792e-21
 5206.07   1.2500e-16   5.0721e-21
 5209.07   1.2552e-16   5.0650e-21
 5212.08   1.2132e-16   5.0579e-21
 5215.08   1.1950e-16   5.0508e-21
 5218.08   1.2088e-16   5.0438e-21
 5221.09   1.1734e-16   5.0368e-21
 5224.09   1.2097e-16   5.0297e-21
 5227.09   1.2103e-16   5.0228e-21
 5230.10   1.1182e-16   5.0158e-21
 5233.10   1.2355e-16   5.0089e-21
 5236.11   1.3163e-16   5.0019e-21
 5239.11   1.2815e-16   4.9950e-21
 5242.11   1.2858e-16   4.9881e-21
 5245.12   1.3088e-16   4.9813e-21
 5248.12   1.2481e-16   4.9744e-21
 5251.13   1.3833e-16   4.9676e-21
 5254.13   1.2670e-16   4.9608e-21
 5257.13   1.2823e-16   4.9540e-21
 5260.14   1.2906e-16   4.9472e-21
 5263.14   1.2183e-16   4.9405e-21
 5266.15   1.2725e-16   4.9338e-21
 5269.15   1.1963e-16   4.9271e-21
 5272.15   1.2029e-16   4.9204e-21
 5275.16   1.2874e-16   4.9137e-21
 5278.16   1.3151e-16   4.9070e-21
 5281.17   1.3358e-16   4.9004e-21
 5284.17   1.3421e-16   4.8938e-21
 5287.17   1.3016e-16   4.8872e-21
 5290.18   1.2828e-16   4.8806e-21
 5293.18   1.2668e-16   4.8741e-21
 5296.19   1.3683e-16   4.8675e-21
 5299.19   1.2625e-16   4.8610e-21
 5302.19   1.2813e-16   4.8545e-21
 5305.20   1.3384e-16   4.8480e-21
 5308.20   1.2966e-16   4.8416e-21
 5311.21   1.3547e-16   4.8351e-21
 5314.21   1.4009e-16   4.8287e-21
 5317.21   1.3986e-16   4.8223e-21
 5320.22   1.3415e-16   4.8159e-21
