 
TRANSIENT_NAME:     DES13X3fca 
SNID:               1251622    
OBS_DATE:           2013-11-03
MJD:                56599. 
PHASE_EXP:          +52.   
MJD_EXP:            56542.0 (De Jaeger et. al.: MNRAS, 495, 4860D, 2020)
TYPE:               29 
SPEC_EVAL:          SNII
REDSHIFT:           0.0959  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3743.23       0.1577      22.0268
 3744.26      -5.3377      21.6665
 3745.30      -5.0010      20.7570
 3746.34       3.9397      20.9189
 3747.38       1.5201      19.8606
 3748.41       2.4434      21.5233
 3749.45       0.6833      21.7994
 3750.49       1.1312      22.5724
 3751.53       0.0933      27.2399
 3752.56       2.4742      23.6322
 3753.60       3.2413      27.7585
 3754.64       4.7003      27.5258
 3755.68      -0.6223      23.9121
 3756.72      -2.7932      17.5816
 3757.75       3.5411      21.2493
 3758.79       3.0473      27.3317
 3759.83       6.5713      27.4459
 3760.87       4.7175      21.3492
 3761.90      -2.8119      18.3816
 3762.94      -1.0803      20.2846
 3763.98      -1.1035      22.3563
 3765.02      -2.6489      17.8723
 3766.06      -1.4505      17.5684
 3767.09       2.9458      18.6758
 3768.13       2.3498      25.4860
 3769.17      -0.6468      20.9669
 3770.21      -1.8132      18.4019
 3771.24       6.0212      24.5660
 3772.28      -0.5834      20.7851
 3773.32       1.1785      17.6452
 3774.36       0.6726      18.9374
 3775.40       2.2552      21.2023
 3776.43       0.7634      20.1249
 3777.47      -3.1816      16.0396
 3778.51      -1.9581      16.1429
 3779.55      -0.7729      17.2115
 3780.58       0.0201      18.1038
 3781.62       3.1792      17.0055
 3782.66       1.7773      17.0389
 3783.70      -2.3400      15.5015
 3784.73      -2.9769      16.4708
 3785.77       5.0258      19.4467
 3786.81       4.7298      16.3065
 3787.85      -1.0880      14.7282
 3788.89      -2.5516      14.8887
 3789.92      -0.7787      14.5818
 3790.96      -0.5004      13.5145
 3792.00       2.9642      14.9971
 3793.04      -2.3691      14.3460
 3794.07      -1.4526      15.3239
 3795.11       4.7546      19.4756
 3796.15       0.4717      15.8595
 3797.19       0.3968      13.5790
 3798.23      -6.6165      11.7539
 3799.26      -4.4364      11.4643
 3800.30       2.8965      14.6213
 3801.34       1.0699      12.6492
 3802.38      -1.3054      11.7394
 3803.41       0.7219      11.6433
 3804.45       1.4175      12.3226
 3805.49       1.5671      12.5565
 3806.53       2.2675      12.0047
 3807.57       2.0182      11.9927
 3808.60       2.7103      10.4583
 3809.64       1.1688      10.7510
 3810.68       3.1714      11.7518
 3811.72       2.9562      12.3524
 3812.75       0.4960      11.2709
 3813.79      -0.4436      10.9712
 3814.83       2.4420      10.4840
 3815.87      -1.1154       9.5819
 3816.90      -1.6482       9.9788
 3817.94       3.7952      11.0130
 3818.98       3.9563      10.5299
 3820.02       1.6888      10.0271
 3821.06       2.8342      10.8975
 3822.09       2.3252      10.3193
 3823.13       0.4973       9.1138
 3824.17       0.4390       8.3692
 3825.21       1.2451       8.5893
 3826.24       1.7335       9.0663
 3827.28      -0.8367       8.7858
 3828.32      -2.3646       9.8075
 3829.36       0.7863      10.6321
 3830.40      -0.6403       9.7942
 3831.43      -0.6242       9.4070
 3832.47       1.2412       9.2299
 3833.51       3.1904       9.6444
 3834.55       1.3230       9.0822
 3835.58       1.8434       8.9533
 3836.62      -0.0184       9.1691
 3837.66      -1.4572       8.4193
 3838.70       0.4681       7.5803
 3839.74      -0.7619       6.8835
 3840.77      -0.7482       7.0974
 3841.81       1.2030       8.3042
 3842.85      -3.8021       7.4464
 3843.89      -1.7050       7.6919
 3844.92       1.9377       8.5349
 3845.96       1.7579       7.5669
 3847.00       1.4243       6.7738
 3848.04      -0.2066       6.8721
 3849.07      -2.5197       6.4604
 3850.11      -1.3103       5.9756
 3851.15      -2.2683       6.0947
