 
TRANSIENT_NAME:     DES14C2apq 
SNID:               1294948    
OBS_DATE:           2014-09-24
MJD:                56924. 
PHASE_EXP:          +19.   
MJD_EXP:            56899.3 (derived from r-band light-curve)
TYPE:               29 
SPEC_EVAL:          SNII
REDSHIFT:           0.3030  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          MAGELLAN/CLAY
INSTRUMENT:         LDSS3-C
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 4200.00   1.4946e-01  ---
 4202.00   9.6721e-02  ---
 4204.00   3.0894e-03  ---
 4206.00  -4.2962e-02  ---
 4208.00   4.9996e-04  ---
 4210.00   5.9418e-02  ---
 4212.00   1.3557e-01  ---
 4214.00   1.4644e-01  ---
 4216.00   6.6412e-02  ---
 4218.00  -2.8528e-02  ---
 4220.00  -8.4964e-02  ---
 4222.00  -4.8257e-02  ---
 4224.00   5.6141e-02  ---
 4226.00   1.7177e-01  ---
 4228.00   2.1301e-01  ---
 4230.00   1.0787e-01  ---
 4232.00   2.6032e-04  ---
 4234.00  -4.8938e-02  ---
 4236.00  -5.1184e-02  ---
 4238.00   6.5995e-02  ---
 4240.00   1.1172e-01  ---
 4242.00   4.2948e-02  ---
 4244.00  -3.8640e-03  ---
 4246.00   3.1603e-02  ---
 4248.00   8.8277e-02  ---
 4250.00   8.4320e-02  ---
 4252.00   7.1989e-02  ---
 4254.00   3.1904e-02  ---
 4256.00  -9.7306e-04  ---
 4258.00   6.5715e-03  ---
 4260.00   3.1945e-02  ---
 4262.00  -5.1760e-03  ---
 4264.00  -3.6068e-02  ---
 4266.00   1.9221e-02  ---
 4268.00   5.0384e-02  ---
 4270.00   3.6327e-02  ---
 4272.00   1.1771e-02  ---
 4274.00  -3.0520e-02  ---
 4276.00  -2.7309e-02  ---
 4278.00   2.9753e-02  ---
 4280.00   5.5989e-02  ---
 4282.00   5.8548e-02  ---
 4284.00   7.8343e-02  ---
 4286.00   6.8105e-02  ---
 4288.00   1.8570e-02  ---
 4290.00   5.4032e-02  ---
 4292.00   8.4250e-02  ---
 4294.00   4.8729e-02  ---
 4296.00   7.5257e-02  ---
 4298.00   9.1924e-02  ---
 4300.00   3.3176e-02  ---
 4302.00   3.7948e-04  ---
 4304.00   1.9065e-02  ---
 4306.00   3.5436e-02  ---
 4308.00   6.0385e-02  ---
 4310.00   7.1726e-02  ---
 4312.00   4.0942e-02  ---
 4314.00   2.2988e-02  ---
 4316.00   3.3221e-02  ---
 4318.00   2.9933e-02  ---
 4320.00   9.6211e-03  ---
 4322.00   4.2187e-02  ---
 4324.00   8.5085e-02  ---
 4326.00   6.2645e-02  ---
 4328.00   2.5976e-02  ---
 4330.00   3.2794e-02  ---
 4332.00   5.5143e-02  ---
 4334.00   7.0074e-02  ---
 4336.00   7.5009e-02  ---
 4338.00   4.5100e-02  ---
 4340.00   1.9986e-02  ---
 4342.00   2.5149e-02  ---
 4344.00   4.8440e-02  ---
 4346.00   6.3783e-02  ---
 4348.00   3.2788e-02  ---
 4350.00   3.1530e-02  ---
 4352.00   4.1277e-02  ---
 4354.00   3.3931e-02  ---
 4356.00   3.8055e-02  ---
 4358.00   2.4300e-02  ---
 4360.00   3.7609e-02  ---
 4362.00   5.9790e-02  ---
 4364.00   4.9492e-02  ---
 4366.00   3.9295e-02  ---
 4368.00   2.3933e-02  ---
 4370.00   2.4833e-03  ---
 4372.00  -5.9950e-03  ---
 4374.00   8.0895e-03  ---
 4376.00   3.1691e-02  ---
 4378.00   3.0521e-02  ---
 4380.00   1.4464e-02  ---
 4382.00   1.1085e-02  ---
 4384.00   1.1916e-02  ---
 4386.00   5.1291e-04  ---
 4388.00   1.9614e-02  ---
 4390.00   4.2685e-02  ---
 4392.00   3.1016e-02  ---
 4394.00   2.9667e-02  ---
 4396.00   2.8618e-02  ---
 4398.00   1.2303e-02  ---
 4400.00   1.9312e-02  ---
 4402.00   4.9640e-02  ---
 4404.00   4.1348e-02  ---
 4406.00   2.3523e-02  ---
 4408.00   3.2504e-02  ---
 4410.00   1.5244e-02  ---
 4412.00   1.2237e-02  ---
 4414.00   3.4507e-02  ---
 4416.00   3.7371e-02  ---
 4418.00   4.0987e-02  ---
 4420.00   4.8391e-02  ---
 4422.00   3.3566e-02  ---
 4424.00   1.4267e-02  ---
 4426.00   1.8750e-02  ---
 4428.00   3.0370e-02  ---
 4430.00   2.4138e-02  ---
 4432.00   1.0020e-02  ---
 4434.00   6.4174e-03  ---
 4436.00   1.4580e-02  ---
 4438.00   2.6755e-02  ---
 4440.00   2.8350e-02  ---
 4442.00   3.1981e-02  ---
