 
TRANSIENT_NAME:     DES14C3rhw 
SNID:               1319965    
OBS_DATE:           2015-01-28
MJD:                57050. 
PHASE_EXP:          +35.   
MJD_EXP:            57003.0 (De Jaeger et. al.: MNRAS, 495, 4860D, 2020)
TYPE:               29 
SPEC_EVAL:          SNII
REDSHIFT:           0.3407  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          VLT
INSTRUMENT:         X-SHOOTER
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3400.00  -2.0785e-18   9.9999e+04
 3405.00  -2.0785e-18   1.1041e-18
 3410.00   1.3788e-18   1.1066e-18
 3415.00  -6.5696e-20   1.0699e-18
 3420.00  -6.9513e-19   1.1710e-18
 3425.00  -2.2587e-18   1.1454e-18
 3430.00   2.7460e-18   1.2257e-18
 3435.00   4.2866e-19   1.2088e-18
 3440.00   1.4509e-18   1.1594e-18
 3445.00   4.9007e-18   1.1820e-18
 3450.00   2.3264e-19   1.2758e-18
 3455.00  -4.1939e-18   1.2868e-18
 3460.00  -1.0524e-20   1.2460e-18
 3465.00   5.7980e-19   1.2725e-18
 3470.00  -6.2453e-19   1.2843e-18
 3475.00  -3.2936e-18   1.1721e-18
 3480.00   1.7718e-18   1.2467e-18
 3485.00   6.7797e-20   1.1987e-18
 3490.00   2.6740e-18   1.1393e-18
 3495.00   4.3352e-19   1.0650e-18
 3500.00  -7.6534e-19   1.0688e-18
 3505.00  -2.9428e-19   1.0499e-18
 3510.00   1.4152e-18   1.0306e-18
 3515.00  -1.1342e-18   9.3452e-19
 3520.00  -1.6212e-18   9.3903e-19
 3525.00   9.6189e-19   8.2382e-19
 3530.00  -7.7043e-19   8.8072e-19
 3535.00   4.1318e-19   8.5221e-19
 3540.00   4.6636e-19   8.5445e-19
 3545.00  -8.2884e-19   8.8689e-19
 3550.00   1.4952e-18   8.4972e-19
 3555.00   2.6854e-18   8.1326e-19
 3560.00   1.2291e-19   7.8862e-19
 3565.00  -9.4077e-19   7.1170e-19
 3570.00   4.0805e-20   6.6408e-19
 3575.00   6.4753e-19   7.1556e-19
 3580.00  -4.2595e-19   6.3561e-19
 3585.00   1.9997e-18   6.5196e-19
 3590.00  -6.3190e-19   7.3538e-19
 3595.00  -2.0256e-19   8.2075e-19
 3600.00   3.2312e-18   8.7223e-19
 3605.00  -7.1936e-19   8.3948e-19
 3610.00  -2.0506e-18   8.3618e-19
 3615.00   2.1650e-18   9.1352e-19
 3620.00   1.7547e-20   8.7623e-19
