 
TRANSIENT_NAME:     DES14E2ar  
SNID:               1291133    
OBS_DATE:           2014-09-19
MJD:                56919. 
PHASE_EXP:          unknown (no firm constraint on t_exp)
MJD_EXP:            ---
TYPE:               129
SPEC_EVAL:          SNII?
REDSHIFT:           0.1217  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3743.23       8.7336     129.9680
 3744.26      13.4464     142.9350
 3745.30      -3.9789     111.1610
 3746.34      -8.5262     100.4390
 3747.38      -0.6746     104.7750
 3748.41      -6.4938      94.6470
 3749.45     -15.1048      86.6580
 3750.49     -10.1553      88.5800
 3751.53      13.0005      93.8670
 3752.56       6.6789      89.3015
 3753.60      -5.5335      73.3558
 3754.64      -5.4271      67.2656
 3755.68     -10.1451      67.7399
 3756.72       0.2870      78.1891
 3757.75       1.1740      79.1015
 3758.79      -2.2682      76.3902
 3759.83       3.4051      78.1486
 3760.87      -9.6428      65.8537
 3761.90     -13.6638      61.2426
 3762.94      -5.0330      70.6579
 3763.98       2.2802      74.1259
 3765.02       0.4464      71.4608
 3766.06      -4.3682      64.9561
 3767.09       6.2825      78.3147
 3768.13      12.0516      79.7455
 3769.17       8.0339      72.1602
 3770.21      -0.4122      68.8207
 3771.24       1.4306      70.3668
 3772.28      -0.5893      77.2051
 3773.32      -7.3960      64.2101
 3774.36       2.4034      67.8597
 3775.40       2.2103      68.3010
 3776.43      -5.2733      64.7992
 3777.47       0.1216      76.3024
 3778.51      10.7558      80.8965
 3779.55       9.9040      70.8126
 3780.58      -0.3297      65.0962
 3781.62      -4.2458      65.2486
 3782.66      -4.0402      61.1261
 3783.70       4.9662      71.5013
 3784.73       5.6521      79.2077
 3785.77       4.2578      61.6776
 3786.81      -2.0491      58.3181
 3787.85     -10.9746      55.0001
 3788.89      -5.3702      49.6612
 3789.92      -3.1056      59.4370
 3790.96      -0.1812      59.8108
 3792.00       2.4464      53.8577
 3793.04      -3.3584      60.7995
 3794.07      -2.8692      62.9553
 3795.11      -8.3131      47.8982
 3796.15      -4.7734      48.4350
 3797.19      -2.0305      55.8880
 3798.23      -6.0110      52.0045
 3799.26       3.1507      50.1016
 3800.30       2.3946      50.1561
 3801.34      -1.5444      49.5300
 3802.38       2.5199      54.7487
 3803.41       2.4028      58.3040
 3804.45       6.1447      57.0414
 3805.49      10.4026      54.0953
 3806.53      -0.6938      44.5202
 3807.57      -1.8372      39.5179
 3808.60       3.6782      44.0690
 3809.64      -1.7386      44.0664
 3810.68       4.8566      44.5311
 3811.72       7.1872      47.2578
 3812.75      -0.3684      46.6917
 3813.79       0.4801      51.2086
 3814.83       0.9667      46.4920
 3815.87      -8.2145      35.1958
 3816.90      -6.6620      37.4081
 3817.94      -2.4622      40.1534
 3818.98       3.7186      40.7822
 3820.02      10.2919      43.4379
 3821.06      -0.4746      33.3538
 3822.09      -3.1513      33.4102
 3823.13       8.9217      43.8726
 3824.17       5.6121      37.4691
 3825.21       2.4680      32.9452
 3826.24       6.5312      38.3749
 3827.28       9.5287      40.0639
 3828.32      -1.1555      34.8365
 3829.36      -9.1882      33.5973
 3830.40      -6.9949      35.0862
 3831.43      -7.2722      32.1074
 3832.47      -5.1238      29.2333
 3833.51      -4.7413      30.9194
 3834.55      -0.1493      33.9700
 3835.58       3.1538      33.7856
 3836.62      -2.1614      30.1917
 3837.66      -2.9253      27.4304
 3838.70       2.4003      28.1993
 3839.74       3.0693      28.3729
 3840.77      -0.0774      27.5044
 3841.81       0.7462      28.0058
 3842.85       3.3856      28.9870
 3843.89       3.9118      30.2521
 3844.92       2.6612      28.6537
 3845.96       4.2068      27.6604
 3847.00      -3.3076      25.0269
 3848.04       0.3326      26.3833
 3849.07       2.5387      26.9886
 3850.11       1.0632      26.2776
 3851.15       1.6879      27.2820
 3852.19      -2.1024      25.3623
 3853.23      -3.5071      25.1326
 3854.26      -2.2081      25.7523
 3855.30      -1.1489      22.8450
 3856.34      -4.1728      21.5656
 3857.38      -0.8535      22.4311
 3858.41       5.9733      24.2287
 3859.45      -0.3765      23.7223
 3860.49      -3.1057      20.9387
 3861.53       2.0750      23.7785
 3862.57      -1.7369      22.5389
 3863.60       0.6859      22.5428
 3864.64       6.3800      25.4948
 3865.68      -0.6320      23.6091
 3866.72      -6.5975      20.6021
 3867.75      -2.5403      20.8713
 3868.79       4.7633      24.0632
 3869.83       1.2750      22.5927
 3870.87      -7.5788      18.5842
 3871.91      -7.5539      18.3603
 3872.94      -1.9571      20.8273
 3873.98       4.3784      22.1977
 3875.02       4.8651      22.8519
 3876.06      -1.1975      19.2390
 3877.09       1.2867      20.9305
 3878.13       1.0080      21.1145
 3879.17      -1.0547      18.6798
 3880.21       1.3012      20.7876
 3881.24       0.6362      19.8284
 3882.28       5.4983      21.7012
 3883.32      -0.9479      19.2143
 3884.36      -2.4747      16.3521
 3885.40      -0.3330      16.4171
 3886.43       1.1926      17.8901
 3887.47       9.3147      20.4662
 3888.51      -2.4988      16.8734
 3889.55       1.0211      19.0029
 3890.58       3.4547      19.9823
 3891.62      -0.0743      19.0155
 3892.66       0.1603      17.2176
 3893.70      -2.4491      15.4567
 3894.74      -3.0117      15.0712
 3895.77      -1.2883      15.6958
 3896.81      -0.7204      15.2795
 3897.85      -1.4789      14.5682
 3898.89       5.3191      16.9799
 3899.92       4.7713      16.6182
 3900.96       2.7422      16.7708
 3902.00       1.4214      16.1232
 3903.04      -0.3727      15.2078
 3904.07       1.7671      16.5552
 3905.11       4.0220      17.2752
 3906.15       5.9668      18.0661
 3907.19       4.0177      16.7009
 3908.23       0.8525      15.4297
 3909.26       1.1989      16.0680
 3910.30       2.5424      16.0276
 3911.34       3.2094      16.1508
 3912.38      -1.1047      15.1014
 3913.41      -2.4121      14.5566
 3914.45      -0.9734      14.3066
 3915.49       1.4724      14.9785
 3916.53       0.2110      14.6289
 3917.57      -2.6356      13.1346
 3918.60      -1.0115      13.0146
 3919.64      -0.5481      12.6019
 3920.68      -1.5481      11.9156
