 
TRANSIENT_NAME:     DES14X1qt  
SNID:               1302929    
OBS_DATE:           2014-09-19
MJD:                56919. 
PHASE_EXP:          post-max (based on r-band light-curve)
MJD_EXP:            ---
TYPE:               29 
SPEC_EVAL:          SNII
REDSHIFT:           0.1388  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3743.23       2.2512      16.3304
 3744.26       1.9941      16.3386
 3745.30       3.3720      15.3635
 3746.34       3.6158      16.6116
 3747.38       2.8668      14.7806
 3748.41      -1.4732      14.6788
 3749.45      -4.1445      12.2636
 3750.49      -5.5606      10.0685
 3751.53      -5.0574      10.3982
 3752.56      -1.2006      12.2026
 3753.60       0.1304      12.6166
 3754.64      -2.0953      11.1285
 3755.68      -1.5728      10.8824
 3756.72       2.2372      11.8684
 3757.75       5.7348      11.8767
 3758.79       4.0998      11.2526
 3759.83      -1.0134      10.2531
 3760.87      -3.8295       9.5192
 3761.90       0.9576       9.8010
 3762.94       2.0177       9.3658
 3763.98      -0.8479       8.9291
 3765.02      -0.4129       9.5840
 3766.06       2.6156      10.3831
 3767.09       1.9652      10.0045
 3768.13      -0.2242       9.1865
 3769.17       0.9639       8.6303
 3770.21       3.6389       9.8890
 3771.24       1.6166       9.4114
 3772.28      -0.6396       8.9775
 3773.32       0.2891       9.5941
 3774.36       3.1165       9.9572
 3775.40       0.3679       9.1491
 3776.43       0.1536       9.2474
 3777.47       0.2221       9.1227
 3778.51      -3.7028       7.9829
 3779.55      -2.4044       8.3881
 3780.58      -2.4243       8.3371
 3781.62       2.5058       9.0908
 3782.66       0.9493       8.9955
 3783.70       1.9225       9.2046
 3784.73       3.7480       9.2516
 3785.77       0.5054       8.2131
 3786.81      -0.4461       8.1132
 3787.85       1.6315       8.2669
 3788.89      -1.6300       7.7418
 3789.92      -4.0578       7.6855
 3790.96      -2.8276       7.2996
 3792.00       1.1680       7.7493
 3793.04       0.3019       8.0609
 3794.07       1.0424       7.9901
 3795.11      -1.2390       7.3352
 3796.15       1.6947       8.0894
 3797.19       0.2641       7.2036
 3798.23      -1.5912       6.6927
 3799.26       2.1679       7.3641
 3800.30      -0.6951       6.9411
 3801.34      -0.5056       7.0084
 3802.38       2.6572       7.2578
 3803.41       1.5096       7.0192
 3804.45      -1.1083       6.4667
 3805.49      -2.1728       5.8402
 3806.53       0.0947       6.0174
 3807.57      -0.0881       6.4392
 3808.60      -0.2202       6.1310
 3809.64       0.4724       6.0349
 3810.68       1.1050       6.3003
 3811.72       0.8622       6.1823
 3812.75      -0.7392       5.9289
 3813.79      -0.2311       6.4285
 3814.83       1.8400       6.6906
 3815.87       3.1196       6.7970
 3816.90       2.2892       6.5919
 3817.94       1.9566       6.0672
 3818.98       1.2558       5.4434
 3820.02       0.1404       5.5594
 3821.06      -0.2513       5.5293
 3822.09      -2.9153       4.9243
 3823.13      -1.3089       5.0649
 3824.17       0.5045       5.1711
 3825.21       1.2774       5.0510
 3826.24       0.4511       4.7718
 3827.28      -1.8438       4.5865
 3828.32      -0.9693       5.3302
 3829.36      -0.4104       5.5288
 3830.40      -1.0728       5.3948
 3831.43       0.7985       5.6751
 3832.47       0.4167       5.5023
 3833.51      -0.4020       5.2000
 3834.55       0.5932       5.0008
 3835.58       0.5827       4.8472
 3836.62       0.4447       4.7866
 3837.66       1.9664       4.7940
 3838.70       2.5682       4.6254
 3839.74      -1.2984       3.9643
 3840.77      -1.3970       3.9907
 3841.81       1.0590       4.3434
 3842.85       1.9957       4.4251
 3843.89       2.9693       4.4641
 3844.92      -0.1178       3.9555
 3845.96      -0.7658       3.8071
 3847.00       1.2354       4.1315
 3848.04       2.1995       4.1129
 3849.07       0.9469       3.8506
 3850.11       1.5442       4.2512
 3851.15       0.6819       4.1844
 3852.19      -0.7046       3.6582
 3853.23       0.8054       3.7126
 3854.26       1.6887       4.0082
 3855.30       1.3479       3.8279
 3856.34       1.6394       3.6297
 3857.38       2.4267       3.7236
 3858.41       2.8953       3.7149
 3859.45       0.9987       3.3310
 3860.49       0.1021       3.2734
 3861.53       0.0505       3.3061
 3862.57       1.9095       3.6892
 3863.60       1.5396       3.7288
 3864.64      -1.6748       3.3792
 3865.68      -0.1831       3.5878
 3866.72       0.5503       3.3602
 3867.75      -2.0348       3.1084
 3868.79      -1.2639       3.2503
 3869.83       2.5266       3.5496
 3870.87       1.9204       3.3879
 3871.91       0.1680       3.1345
 3872.94       1.8536       3.3014
 3873.98       1.4065       3.1105
 3875.02      -0.9541       2.8697
 3876.06       0.0249       3.1064
 3877.09       1.3022       3.1493
 3878.13       1.7455       3.0818
 3879.17       0.3170       2.8930
 3880.21      -0.8845       2.7675
 3881.24      -0.9156       2.7039
 3882.28      -1.2518       2.6064
 3883.32       0.3174       2.8540
 3884.36       1.0638       2.8359
 3885.40       1.0368       2.8098
 3886.43       0.8322       2.8422
 3887.47       1.0456       2.7173
 3888.51       0.5144       2.5147
 3889.55       1.4696       2.5964
 3890.58       1.3610       2.6791
 3891.62       2.2527       2.7541
 3892.66       2.8665       2.8071
 3893.70       3.4259       2.8668
 3894.74      -0.0704       2.4214
 3895.77      -0.9519       2.3422
 3896.81       2.0506       2.6963
 3897.85       0.9688       2.5829
 3898.89      -0.6391       2.4151
 3899.92       0.8374       2.4920
 3900.96       1.7526       2.5801
 3902.00       1.5113       2.5492
 3903.04       1.3088       2.5525
 3904.07       1.6796       2.7251
 3905.11       2.4090       2.9152
 3906.15      -0.0708       2.6637
 3907.19      -0.4094       2.5925
 3908.23       1.6798       2.8410
 3909.26       1.2540       2.8211
 3910.30       0.1719       2.6353
 3911.34       0.6770       2.7333
 3912.38       1.4995       2.8815
 3913.41       3.4414       2.9983
 3914.45       0.6628       2.6132
 3915.49       0.7678       2.4829
 3916.53       2.0092       2.5231
 3917.57      -0.2339       2.2916
 3918.60      -0.1783       2.1713
 3919.64       1.4355       2.3541
 3920.68       3.0255       2.3692
 3921.72       1.1135       2.0503
 3922.75      -0.0886       1.9601
 3923.79       0.1081       1.9311
 3924.83      -0.4703       1.7247
 3925.87       1.4146       1.9924
 3926.91       0.0332       1.9312
 3927.94       0.7794       1.7832
 3928.98       0.9645       1.6608
 3930.02       1.2961       1.6082
 3931.06       1.1014       1.6509
 3932.09       1.8233       1.7438
 3933.13       1.1005       1.5297
 3934.17       0.7463       1.4602
 3935.21       1.1951       1.4682
 3936.24       1.0288       1.3508
 3937.28       0.5591       1.3600
 3938.32       0.2841       1.4957
 3939.36       0.9695       1.5826
 3940.40       1.3262       1.6257
 3941.43      -0.5653       1.5459
 3942.47      -1.2347       1.4568
 3943.51      -0.0130       1.5551
 3944.55       0.9830       1.5487
 3945.58      -0.1344       1.4469
 3946.62       0.8988       1.5285
 3947.66       0.7275       1.5693
 3948.70       0.8204       1.5498
 3949.74       0.8091       1.4852
 3950.77       0.6455       1.4694
 3951.81      -0.5242       1.3832
 3952.85       0.1311       1.4092
 3953.89      -0.0880       1.4127
 3954.92      -0.1797       1.4418
 3955.96      -0.2669       1.4192
 3957.00       0.7325       1.4100
 3958.04       0.1174       1.3219
 3959.08       0.5812       1.4128
 3960.11      -0.2947       1.3149
 3961.15       0.2277       1.3234
 3962.19       1.1516       1.3596
 3963.23       0.6177       1.2389
 3964.26       1.1703       1.3140
 3965.30       1.4728       1.2813
 3966.34       1.4085       1.2343
 3967.38       1.1305       1.1666
 3968.41       0.6212       1.0937
 3969.45       1.1661       1.1217
 3970.49       0.8456       1.1565
 3971.53       0.2263       1.1512
 3972.57       0.2359       1.1710
 3973.60       1.2540       1.3073
 3974.64       0.8402       1.3605
 3975.68      -0.3652       1.3059
 3976.72       0.4968       1.3332
 3977.75       1.7203       1.4526
 3978.79       1.4355       1.4095
 3979.83       0.8236       1.3652
 3980.87      -0.1550       1.2796
 3981.91      -1.4027       1.1829
 3982.94      -1.5714       1.2266
 3983.98      -0.1969       1.3573
 3985.02      -0.1263       1.3080
 3986.06       0.7237       1.3515
 3987.09       0.6080       1.3398
 3988.13       0.1014       1.3182
 3989.17       0.9141       1.4316
 3990.21       1.2015       1.4199
 3991.25       1.2381       1.4531
 3992.28       0.2388       1.3780
 3993.32       0.8593       1.4376
 3994.36       1.0757       1.4104
 3995.40      -0.1958       1.2526
 3996.43       0.1904       1.2706
 3997.47       0.5989       1.3902
 3998.51       0.7627       1.4789
