 
TRANSIENT_NAME:     DES14X2fna 
SNID:               1300640    
OBS_DATE:           2014-11-21
MJD:                56982. 
PHASE_EXP:          +52.   
MJD_EXP:            56927.7 (derived from r-band light-curve)
TYPE:               23 
SPEC_EVAL:          SNIIb
REDSHIFT:           0.0449  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3743.23       1.7077       4.8546
 3744.26       2.5443       5.2150
 3745.30       3.5368       5.4052
 3746.34       4.8018       5.3562
 3747.38      -0.0567       4.3369
 3748.41      -0.1471       4.0618
 3749.45       1.1055       4.2284
 3750.49       1.3526       4.0556
 3751.53       1.6069       3.9353
 3752.56      -0.0121       3.6232
 3753.60       0.8114       3.7793
 3754.64       2.9282       3.8788
 3755.68       0.4010       3.5344
 3756.72      -2.0729       3.1339
 3757.75       1.5227       3.6166
 3758.79       0.3941       3.3201
 3759.83      -1.3493       3.3087
 3760.87      -2.9914       3.2557
 3761.90      -1.4581       3.0220
 3762.94      -0.2533       3.1985
 3763.98      -0.2757       3.2014
 3765.02      -1.8731       2.8645
 3766.06       0.4562       3.1542
 3767.09       1.6423       3.1346
 3768.13       0.3662       2.8920
 3769.17       1.2659       3.1486
 3770.21       0.9762       3.2275
 3771.24      -1.5615       3.0055
 3772.28      -1.8934       3.0056
 3773.32       0.6596       3.0755
 3774.36       0.8756       3.1821
 3775.40      -0.9555       2.9066
 3776.43       1.0318       3.0322
 3777.47       2.2563       3.2403
 3778.51       0.9531       3.1070
 3779.55       1.2673       3.1437
 3780.58       0.0210       2.9076
 3781.62       0.9482       3.0750
 3782.66       1.9961       3.3052
 3783.70       2.5682       3.2307
 3784.73       2.0222       3.0734
 3785.77       0.2845       2.7919
 3786.81      -0.6012       2.6047
 3787.85      -0.2730       2.6200
 3788.89       1.7462       2.8640
 3789.92       1.3135       2.9009
 3790.96       0.1747       2.7736
 3792.00       0.1308       2.7936
 3793.04       0.5570       2.8382
 3794.07       0.7404       2.7113
 3795.11       1.3785       2.7724
 3796.15       0.3451       2.6296
 3797.19       1.4477       2.5951
 3798.23       1.5150       2.5180
 3799.26       0.5822       2.4410
 3800.30       2.4498       2.6462
 3801.34       1.7999       2.5320
 3802.38      -1.2119       2.1373
 3803.41       1.2374       2.3148
 3804.45       1.7414       2.6156
 3805.49       0.5664       2.6050
 3806.53       0.0723       2.2227
 3807.57      -0.5980       2.0454
 3808.60       1.9997       2.2238
 3809.64       2.4389       2.2904
 3810.68       1.2048       2.1015
 3811.72       0.6947       2.0655
 3812.75       0.3369       2.0539
 3813.79       1.6160       2.2723
 3814.83       1.3706       2.2064
 3815.87       0.5515       2.0113
 3816.90       0.2962       1.9659
 3817.94      -0.2269       1.9205
 3818.98      -0.0447       1.8199
 3820.02      -0.5922       1.7661
 3821.06      -0.1326       1.8609
 3822.09       0.3515       1.8003
 3823.13      -0.4956       1.6373
 3824.17       0.6667       1.6647
 3825.21       0.7963       1.6164
 3826.24       0.0143       1.5338
 3827.28       1.3341       1.7560
 3828.32       2.1375       1.9544
 3829.36       0.5208       1.8826
 3830.40      -1.8292       1.6863
 3831.43      -0.8316       1.7143
 3832.47       0.9519       1.7607
 3833.51       0.1723       1.6382
 3834.55       0.4324       1.5565
 3835.58      -0.0156       1.5255
 3836.62      -1.5194       1.4889
 3837.66       0.1255       1.5433
 3838.70       1.7743       1.5075
 3839.74       1.1065       1.4047
 3840.77       0.2969       1.3303
 3841.81      -0.6995       1.2596
 3842.85      -0.1353       1.2631
 3843.89       0.9214       1.3993
 3844.92       0.2879       1.3188
 3845.96       0.3235       1.2813
 3847.00       0.1587       1.2562
 3848.04      -0.0551       1.2350
 3849.07      -0.6359       1.2431
 3850.11      -0.6429       1.2147
 3851.15       1.7109       1.3262
 3852.19       1.6083       1.2832
 3853.23       0.3804       1.1835
 3854.26       1.0356       1.2631
 3855.30       0.3205       1.2026
 3856.34      -0.6341       1.0375
 3857.38       0.6888       1.0960
 3858.41       1.2043       1.1862
 3859.45       1.4404       1.1867
 3860.49       0.9261       1.1351
 3861.53       1.4821       1.2024
 3862.57       1.0750       1.2297
 3863.60       0.2399       1.1269
 3864.64      -0.0924       1.0674
 3865.68       0.3527       1.1395
 3866.72       2.3531       1.3018
 3867.75       3.5483       1.4257
 3868.79       1.7278       1.2205
 3869.83       0.8451       1.0878
 3870.87       0.7415       1.1052
 3871.91       0.7962       1.0978
 3872.94       1.0128       1.1254
 3873.98       0.6768       1.0794
 3875.02       0.5367       1.1011
 3876.06      -0.5677       1.0295
 3877.09      -0.3348       0.9954
 3878.13       1.4241       1.0627
 3879.17       0.9671       1.0258
 3880.21       0.2915       0.9808
 3881.24       1.9962       1.0769
 3882.28       1.6504       1.0406
 3883.32       0.2087       0.9134
 3884.36       0.1083       0.9267
 3885.40       0.9413       1.0012
 3886.43       1.8223       1.0177
 3887.47       0.9405       0.9574
 3888.51       0.2812       0.9194
 3889.55       0.2563       0.8996
 3890.58       0.3427       0.9051
 3891.62       0.8749       0.9335
 3892.66       2.3752       1.0129
 3893.70       2.2916       1.0087
 3894.74       2.7570       1.1198
 3895.77       4.0068       1.1880
 3896.81       3.7393       1.1133
 3897.85       4.4157       1.1675
 3898.89       3.3329       1.0708
 3899.92       1.2778       0.8777
 3900.96       0.8139       0.8901
 3902.00       0.7294       0.9058
 3903.04       0.4920       0.8687
 3904.07      -1.6314       0.7582
 3905.11      -0.6005       0.9053
 3906.15       1.8053       1.0357
 3907.19       1.5096       0.9853
 3908.23       1.1937       0.9653
 3909.26       2.3876       1.0406
 3910.30       2.7233       1.0463
 3911.34       1.7549       0.9946
 3912.38       0.9820       0.9746
 3913.41       0.0174       0.9134
 3914.45      -0.4815       0.8474
 3915.49      -0.0030       0.7993
 3916.53       1.3576       0.8404
 3917.57       1.9278       0.8496
 3918.60       1.7983       0.7832
 3919.64       1.2283       0.7219
 3920.68       0.3275       0.6674
 3921.72       0.9940       0.6874
 3922.75       0.7543       0.6730
 3923.79       0.6767       0.6698
 3924.83       2.0133       0.7281
 3925.87       1.3238       0.6619
 3926.91       0.9215       0.6081
 3927.94       1.3237       0.6218
 3928.98       0.7781       0.5323
 3930.02       0.1942       0.5195
 3931.06       1.0142       0.5664
 3932.09       0.9358       0.4980
 3933.13       0.8974       0.5137
 3934.17       1.1961       0.5046
 3935.21       0.7334       0.4803
 3936.24       0.5589       0.4673
 3937.28       0.6787       0.4676
 3938.32       1.4272       0.5160
 3939.36       0.8974       0.5135
 3940.40       0.5258       0.5083
 3941.43       1.2625       0.5403
 3942.47       0.9535       0.5234
 3943.51       1.1540       0.5482
 3944.55       0.8313       0.5560
 3945.58       0.4892       0.5299
 3946.62       1.0026       0.5559
 3947.66       1.1990       0.5616
 3948.70       0.7621       0.4889
 3949.74       1.5416       0.5196
 3950.77       1.5069       0.5313
 3951.81      -0.0193       0.4537
 3952.85       0.7975       0.5009
 3953.89       0.6144       0.4887
 3954.92       0.7858       0.5033
 3955.96       1.3000       0.5218
 3957.00       0.9079       0.5068
 3958.04       0.8921       0.5161
 3959.08       1.0767       0.4951
 3960.11       2.1122       0.5309
 3961.15       1.6203       0.5101
 3962.19       0.7725       0.4615
 3963.23       1.1241       0.4852
 3964.26       0.0905       0.4097
 3965.30       0.4982       0.4194
 3966.34       0.3189       0.4033
 3967.38       0.9699       0.3928
 3968.41       0.9950       0.4058
 3969.45       0.0993       0.3750
 3970.49       0.7209       0.4051
 3971.53       0.3369       0.4142
 3972.57       0.4903       0.4105
 3973.60       0.9528       0.4443
 3974.64       1.2868       0.4716
 3975.68       1.3612       0.4792
 3976.72       0.9777       0.4565
 3977.75      -0.1689       0.3937
 3978.79       0.7176       0.4420
 3979.83       0.8119       0.4643
 3980.87      -0.3633       0.4066
 3981.91       0.8020       0.4701
 3982.94       1.3546       0.4851
 3983.98       0.4074       0.4317
 3985.02       1.3107       0.4871
 3986.06       1.2353       0.4709
 3987.09       0.5436       0.4415
 3988.13       0.0406       0.4312
 3989.17       0.1793       0.4518
 3990.21       1.0002       0.4901
 3991.25       0.9529       0.4576
 3992.28       0.4670       0.4405
 3993.32       0.8945       0.4482
 3994.36       0.9053       0.4577
 3995.40       0.6881       0.4401
 3996.43       1.2229       0.4662
 3997.47       0.6414       0.4547
 3998.51       0.7066       0.4673
 3999.55       0.8942       0.4966
 4000.58       1.4599       0.5215
 4001.62       1.7174       0.5379
 4002.66       0.6734       0.4961
 4003.70       0.5969       0.4833
 4004.74       0.0379       0.4826
 4005.77       0.3228       0.5066
 4006.81       0.4091       0.5203
 4007.85       1.3246       0.6155
 4008.89       1.3380       0.6076
 4009.92       0.0959       0.5427
 4010.96       0.5805       0.5657
 4012.00       0.9433       0.5654
 4013.04       1.5372       0.5879
 4014.08       0.8580       0.5574
 4015.11      -0.1065       0.5122
 4016.15       0.4511       0.5104
 4017.19       1.0017       0.5250
 4018.23       1.5821       0.5708
 4019.26       1.7531       0.5669
 4020.30       0.9694       0.5200
 4021.34       1.0633       0.5367
 4022.38       0.9746       0.5367
 4023.42       0.2461       0.4658
 4024.45       0.2265       0.4529
 4025.49       1.3804       0.5077
 4026.53       1.5519       0.5220
 4027.57       0.2981       0.4767
 4028.60      -0.1554       0.4504
 4029.64       0.8083       0.4799
 4030.68       1.2914       0.4851
 4031.72       0.7101       0.4515
 4032.75       0.7689       0.4520
 4033.79       1.5692       0.4921
 4034.83       1.1220       0.4743
 4035.87       0.6881       0.4452
 4036.91       1.2305       0.4827
 4037.94       1.1292       0.4910
 4038.98       0.7601       0.4739
 4040.02       0.9703       0.4906
 4041.06       0.7842       0.4882
 4042.09       0.9819       0.5108
 4043.13       1.7751       0.5479
 4044.17       1.5545       0.5316
 4045.21       1.1040       0.4982
 4046.25       1.1194       0.4842
 4047.28       0.9268       0.4775
 4048.32       1.0662       0.4828
 4049.36       1.4523       0.5053
 4050.40       1.1107       0.4847
 4051.43       1.1832       0.4648
 4052.47       0.9370       0.4512
 4053.51       0.6528       0.4288
 4054.55       0.7187       0.4182
