 
TRANSIENT_NAME:     DES14X2fna 
SNID:               1300640    
OBS_DATE:           2014-10-16
MJD:                56946. 
PHASE_EXP:          +18.   
MJD_EXP:            56927.7 (derived from r-band light-curve)
TYPE:               29 
SPEC_EVAL:          SNII
REDSHIFT:           0.0452  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          LICK/SHANE
INSTRUMENT:         Kast
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3700.00       1.7505       0.1968
 3702.00       1.8677       0.1949
 3704.00       1.8274       0.1956
 3706.00       1.8091       0.1920
 3708.00       1.7527       0.1913
 3710.00       1.6670       0.1934
 3712.00       1.5840       0.1939
 3714.00       1.7499       0.1929
 3716.00       1.7805       0.1901
 3718.00       1.8067       0.1903
 3720.00       1.7824       0.1893
 3722.00       1.7539       0.1873
 3724.00       1.7851       0.1878
 3726.00       1.7848       0.1850
 3728.00       1.9293       0.1858
 3730.00       1.9117       0.1849
 3732.00       1.7570       0.1848
 3734.00       1.7325       0.1837
 3736.00       1.7388       0.1822
 3738.00       1.8571       0.1822
 3740.00       1.8111       0.1839
 3742.00       1.8148       0.1865
 3744.00       1.8882       0.1885
 3746.00       1.7707       0.1876
 3748.00       1.8112       0.1834
 3750.00       1.7273       0.1824
 3752.00       1.7298       0.1836
 3754.00       1.8501       0.1830
 3756.00       1.8052       0.1825
 3758.00       1.7420       0.1787
 3760.00       1.7833       0.1788
 3762.00       1.8556       0.1751
 3764.00       1.7459       0.1732
 3766.00       1.7463       0.1716
 3768.00       1.8585       0.1698
 3770.00       1.7451       0.1687
 3772.00       1.7438       0.1666
 3774.00       1.7794       0.1656
 3776.00       1.8108       0.1641
 3778.00       1.8595       0.1629
 3780.00       1.8295       0.1607
 3782.00       1.6604       0.1599
 3784.00       1.8037       0.1573
 3786.00       1.7714       0.1569
 3788.00       1.7526       0.1557
 3790.00       1.7325       0.1568
 3792.00       1.7551       0.1539
 3794.00       1.7922       0.1509
 3796.00       1.7563       0.1503
 3798.00       1.8257       0.1492
 3800.00       1.8700       0.1486
 3802.00       1.7969       0.1471
 3804.00       1.7551       0.1450
 3806.00       1.6835       0.1428
 3808.00       1.8019       0.1424
 3810.00       1.6858       0.1405
 3812.00       1.7084       0.1415
 3814.00       1.7233       0.1411
 3816.00       1.6794       0.1412
 3818.00       1.8019       0.1392
 3820.00       1.7716       0.1391
 3822.00       1.7049       0.1375
 3824.00       1.6950       0.1373
 3826.00       1.7000       0.1339
 3828.00       1.6441       0.1335
 3830.00       1.7552       0.1341
 3832.00       1.7513       0.1340
 3834.00       1.7091       0.1329
 3836.00       1.6872       0.1330
 3838.00       1.7532       0.1313
 3840.00       1.8373       0.1299
 3842.00       1.6921       0.1309
 3844.00       1.7597       0.1297
 3846.00       1.7740       0.1289
 3848.00       1.7363       0.1358
 3850.00       1.6628       0.1455
 3852.00       1.6382       0.1431
 3854.00       1.7848       0.1348
 3856.00       1.8235       0.1306
 3858.00       1.7467       0.1242
 3860.00       1.6609       0.1216
 3862.00       1.6763       0.1265
 3864.00       1.7685       0.1250
 3866.00       1.7450       0.1196
 3868.00       1.7753       0.1150
 3870.00       1.6706       0.1151
 3872.00       1.6993       0.1133
 3874.00       1.7467       0.1121
 3876.00       1.7390       0.1112
 3878.00       1.7486       0.1097
 3880.00       1.6547       0.1092
 3882.00       1.6121       0.1080
 3884.00       1.7105       0.1077
 3886.00       1.7159       0.1072
 3888.00       1.7283       0.1060
 3890.00       1.6686       0.1051
 3892.00       1.7246       0.1057
 3894.00       1.6930       0.1047
 3896.00       1.7665       0.1046
 3898.00       1.7243       0.1051
 3900.00       1.6643       0.1048
 3902.00       1.6048       0.1053
 3904.00       1.6030       0.1045
 3906.00       1.6158       0.1034
 3908.00       1.7010       0.1019
 3910.00       1.6618       0.1002
 3912.00       1.5850       0.0991
 3914.00       1.4765       0.0996
 3916.00       1.6179       0.0988
 3918.00       1.5814       0.0985
 3920.00       1.6095       0.0976
 3922.00       1.6652       0.0970
 3924.00       1.6218       0.0963
 3926.00       1.6223       0.0962
 3928.00       1.6186       0.0971
 3930.00       1.5694       0.0970
 3932.00       1.6296       0.0967
 3934.00       1.5802       0.0964
 3936.00       1.6056       0.0962
 3938.00       1.6066       0.0972
 3940.00       1.6005       0.0971
 3942.00       1.5874       0.0962
 3944.00       1.6748       0.0955
 3946.00       1.5359       0.0935
 3948.00       1.5835       0.0930
 3950.00       1.5537       0.0918
 3952.00       1.6086       0.0912
