 
TRANSIENT_NAME:     DES14X2fna 
SNID:               1300640    
OBS_DATE:           2014-10-16
MJD:                56946. 
PHASE_EXP:          +17.   
MJD_EXP:            56927.7 (derived from r-band light-curve)
TYPE:               29 
SPEC_EVAL:          SNII
REDSHIFT:           0.0520  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          MMT
INSTRUMENT:         BCS
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3338.00   1.2333e+00  ---
 3339.95   1.2337e+00  ---
 3341.90   1.2170e+00  ---
 3343.85   1.1212e+00  ---
 3345.80   1.0588e+00  ---
 3347.75   1.1052e+00  ---
 3349.70   1.1240e+00  ---
 3351.65   9.7508e-01  ---
 3353.60   1.1068e+00  ---
 3355.55   1.1334e+00  ---
 3357.50   1.0499e+00  ---
 3359.45   1.1271e+00  ---
 3361.40   1.0409e+00  ---
 3363.35   1.0465e+00  ---
 3365.30   1.1252e+00  ---
 3367.25   1.0256e+00  ---
 3369.20   1.0262e+00  ---
 3371.15   1.0418e+00  ---
 3373.10   1.0913e+00  ---
 3375.05   1.0417e+00  ---
 3377.00   1.0182e+00  ---
 3378.95   1.0157e+00  ---
 3380.90   9.9623e-01  ---
 3382.85   9.8891e-01  ---
 3384.80   9.8406e-01  ---
 3386.75   9.4791e-01  ---
 3388.70   9.8652e-01  ---
 3390.65   1.0269e+00  ---
 3392.60   9.9965e-01  ---
 3394.55   1.0263e+00  ---
 3396.50   1.0251e+00  ---
 3398.45   9.6705e-01  ---
 3400.40   1.0359e+00  ---
 3402.35   1.0066e+00  ---
 3404.30   1.0114e+00  ---
 3406.25   9.7173e-01  ---
 3408.20   9.9860e-01  ---
 3410.15   1.0097e+00  ---
 3412.10   1.0439e+00  ---
 3414.05   1.0748e+00  ---
 3416.00   1.0495e+00  ---
 3417.95   1.0323e+00  ---
 3419.90   9.8353e-01  ---
 3421.85   9.2792e-01  ---
 3423.80   9.9950e-01  ---
 3425.75   1.0046e+00  ---
 3427.70   9.7922e-01  ---
 3429.65   9.4699e-01  ---
 3431.60   9.9161e-01  ---
 3433.55   1.0049e+00  ---
 3435.50   9.7115e-01  ---
 3437.45   9.6581e-01  ---
 3439.40   9.6832e-01  ---
 3441.35   9.1962e-01  ---
 3443.30   9.5138e-01  ---
 3445.25   9.4218e-01  ---
 3447.20   9.8687e-01  ---
 3449.15   9.7965e-01  ---
 3451.10   9.3840e-01  ---
