 
TRANSIENT_NAME:     DES15C2eaz 
SNID:               1306318    
OBS_DATE:           2015-09-16
MJD:                57281. 
PHASE_EXP:          +9.    
MJD_EXP:            57271.0 (De Jaeger et. al.: MNRAS, 495, 4860D, 2020)
TYPE:               29 
SPEC_EVAL:          SNII
REDSHIFT:           0.0620  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3756.72       9.1411      15.6039
 3757.75       3.7424      13.3494
 3758.79      -1.4327      11.0292
 3759.83       7.7304      13.8748
 3760.87       6.3148      13.9477
 3761.90      -0.0744      11.8154
 3762.94       6.3024      13.7387
 3763.98      10.2547      15.0711
 3765.02       2.2945      11.7468
 3766.06       0.5479      10.5860
 3767.09       6.7089      12.5257
 3768.13       3.4668      11.5101
 3769.17       7.2960      12.4569
 3770.21      10.8513      14.6809
 3771.24      10.6097      15.1510
 3772.28       8.8256      14.2022
 3773.32       7.1463      12.6964
 3774.36       6.9048      13.2593
 3775.40      10.2471      15.0397
 3776.43       8.4228      13.6348
 3777.47       8.9085      13.7752
 3778.51       4.9670      11.9230
 3779.55       7.1246      12.2075
 3780.58       9.4324      13.2415
 3781.62       0.8633      10.5902
 3782.66       1.7735      10.6583
 3783.70       5.3218      11.7818
 3784.73       4.8129      12.1443
 3785.77       3.3844      11.3192
 3786.81       4.8845      10.8693
 3787.85       7.1039      11.5538
 3788.89       3.6328      10.7095
 3789.92       3.2027      11.2803
 3790.96       2.7073      10.5927
 3792.00       2.8435      10.0824
 3793.04       4.7905      10.9595
 3794.07       7.3455      11.2924
 3795.11       8.2185      10.9188
 3796.15       6.1620      10.4066
 3797.19       4.1032       9.6840
 3798.23       7.5342      10.7444
 3799.26       5.4464      10.2279
 3800.30       2.2040       8.9594
 3801.34       2.6592       8.8422
 3802.38       5.5941       9.4130
 3803.41       5.0082       9.2610
 3804.45       2.3489       8.7280
 3805.49       4.7123       9.5471
 3806.53       5.4644       9.1293
 3807.57       5.0205       8.8607
 3808.60       5.8190       8.6870
 3809.64       2.3451       7.6317
 3810.68       1.5837       7.9544
 3811.72       0.2567       7.1135
 3812.75       5.4022       8.3438
 3813.79      13.1741      10.5771
 3814.83       6.8416       8.5351
 3815.87       3.7026       7.4486
 3816.90       5.2493       7.7685
 3817.94       3.3464       7.1191
 3818.98       0.4442       6.9162
 3820.02       2.3701       7.7806
 3821.06       7.1858       8.0587
 3822.09       4.3796       7.1997
 3823.13       3.7107       6.5381
 3824.17       6.2179       7.1476
 3825.21       5.3774       6.5463
 3826.24       6.4117       6.9431
 3827.28       7.0288       7.2140
 3828.32       3.3960       6.8175
 3829.36       4.1708       7.0356
 3830.40       8.0150       7.5338
 3831.43       4.7105       6.7991
 3832.47       1.7017       6.1646
 3833.51       1.7380       5.8054
 3834.55       1.5441       5.8273
 3835.58       0.6520       5.7431
 3836.62      -1.7008       4.3408
 3837.66      -1.5994       4.0725
 3838.70       3.5651       5.3749
 3839.74       5.8337       6.0304
 3840.77       7.8517       6.5281
 3841.81       5.9756       6.0783
 3842.85       6.6820       6.0029
 3843.89      13.1489       7.0243
 3844.92       5.4022       5.4881
 3845.96      -3.4595       3.8542
 3847.00       1.5507       4.8299
 3848.04       7.5463       5.9737
 3849.07       5.4881       5.3548
 3850.11       4.2558       5.2140
 3851.15       5.2025       5.0792
 3852.19       8.6346       5.8628
 3853.23       4.1290       4.9151
 3854.26       3.6268       4.6192
 3855.30       6.0117       5.3612
 3856.34       4.3061       5.0836
 3857.38       3.8248       4.6287
 3858.41       8.1482       5.4972
 3859.45       5.4896       4.6570
 3860.49       4.1423       4.5628
 3861.53       4.8092       4.9263
 3862.57       3.3781       4.7638
 3863.60       4.9527       4.8903
 3864.64       5.3472       5.0618
 3865.68       5.7631       5.1089
 3866.72       7.1119       5.2115
 3867.75       4.6319       4.9796
 3868.79       8.6205       5.7363
 3869.83       8.9267       5.4893
 3870.87       9.9117       5.4974
 3871.91       6.8605       4.9125
 3872.94       1.6842       3.8505
 3873.98      -2.3674       3.7513
 3875.02       1.0321       4.5828
 3876.06       5.9719       4.8863
 3877.09       4.8045       4.6945
 3878.13       2.2170       4.3307
 3879.17       2.0327       4.1308
 3880.21       1.2684       3.8713
 3881.24       3.8309       4.3491
 3882.28       7.0722       4.9509
 3883.32       5.4703       4.7608
 3884.36       5.3797       4.8978
 3885.40       6.9984       5.0121
 3886.43       6.4150       4.7856
 3887.47       4.0385       4.4321
 3888.51       5.3194       4.7645
 3889.55       5.3936       5.0165
 3890.58       2.2188       4.0361
 3891.62       1.7797       3.7349
 3892.66       4.8231       4.2851
 3893.70       7.6429       4.6727
 3894.74       6.7649       4.5057
 3895.77       4.9987       4.0926
 3896.81       3.1497       3.5075
 3897.85       0.2052       3.1783
 3898.89       2.1470       3.5303
 3899.92       3.3947       3.4615
 3900.96       1.1333       2.9985
 3902.00       1.7697       3.3559
 3903.04       3.5501       3.7278
 3904.07       3.9184       3.7301
 3905.11       3.2889       3.8010
 3906.15       3.0513       4.0374
 3907.19       4.4196       4.2855
 3908.23       3.8809       4.1514
 3909.26       3.1173       3.9022
 3910.30       2.6404       3.7245
 3911.34       3.8443       4.2709
 3912.38       5.2235       4.7590
 3913.41       4.9098       4.9368
 3914.45       5.7790       4.8370
 3915.49       6.2198       4.2917
 3916.53       4.8673       3.3797
 3917.57       2.1623       2.6427
 3918.60       3.0761       2.7031
 3919.64       2.9661       2.6781
 3920.68       2.7022       2.5426
 3921.72       4.2308       2.9057
 3922.75       7.8078       3.2912
 3923.79       6.7637       3.1627
 3924.83       5.6147       2.9244
 3925.87       4.2635       2.5387
 3926.91       3.9935       2.5421
 3927.94       4.4289       2.6097
 3928.98       5.9411       2.6694
 3930.02       3.5332       2.0762
 3931.06       3.8859       2.0580
 3932.09       5.3756       2.2266
 3933.13       2.7017       1.8602
 3934.17       3.2161       1.8708
 3935.21       5.9223       2.1940
 3936.24       4.4383       2.0214
 3937.28       3.4190       1.9344
 3938.32       4.3636       2.0549
 3939.36       1.3249       1.8218
 3940.40       2.0403       1.8553
 3941.43       3.3714       1.9986
 3942.47       0.2624       1.7565
 3943.51       1.3884       1.9137
 3944.55       3.2418       1.9179
 3945.58       4.0915       2.0246
 3946.62       0.9409       1.7714
 3947.66       0.7850       1.6612
 3948.70       4.4304       2.0872
 3949.74       4.7994       2.1839
 3950.77       4.0678       2.0676
 3951.81       2.2672       1.8204
 3952.85       3.8661       1.9099
 3953.89       4.6496       1.9923
 3954.92       6.0535       2.2666
 3955.96       5.1582       2.2159
 3957.00       1.4872       1.7523
 3958.04       3.1851       1.9880
 3959.08       8.0498       2.4095
 3960.11       6.7564       2.3276
 3961.15       6.6754       2.2067
 3962.19       6.5898       2.0343
 3963.23       4.2420       1.8008
 3964.26       5.3137       2.0038
 3965.30       6.4562       2.1119
 3966.34       3.2331       1.7634
 3967.38       1.9919       1.5604
 3968.41       3.7119       1.6412
 3969.45       5.7148       1.8192
 3970.49       4.1851       1.6989
 3971.53       5.6942       1.9500
 3972.57       4.8247       1.9434
 3973.60       5.6684       2.0353
 3974.64       4.4100       1.9056
 3975.68       1.6968       1.6297
 3976.72       4.1707       1.8903
 3977.75       4.2333       1.9854
 3978.79       1.9720       1.7173
 3979.83       2.0874       1.6990
 3980.87       3.7502       1.8775
 3981.91       5.8162       2.1488
 3982.94       7.5398       2.2970
 3983.98       4.6319       1.9086
 3985.02       4.9881       1.9989
 3986.06       4.8092       1.9382
 3987.09       4.8158       1.8562
 3988.13       4.1658       1.8269
 3989.17       4.2535       1.9286
 3990.21       3.6050       1.8199
 3991.25       4.1029       1.8882
 3992.28       4.8610       2.0606
 3993.32       5.5823       2.0856
 3994.36       4.4798       2.0653
 3995.40       4.4287       2.0183
 3996.43       2.8991       1.7558
 3997.47       2.1418       1.7113
 3998.51       3.7216       1.9108
 3999.55       2.7822       1.9445
 4000.58       3.3677       2.0966
 4001.62       3.2274       2.0206
 4002.66       3.1838       1.9794
 4003.70       2.9846       2.0278
 4004.74       5.1135       2.2322
 4005.77       6.0970       2.4002
 4006.81       4.1931       2.4492
 4007.85       1.8111       2.1558
 4008.89       3.3740       2.0684
 4009.92       4.4340       2.2154
 4010.96       4.1850       2.2610
 4012.00       2.9587       2.1803
 4013.04       4.6500       2.2853
 4014.08       6.5206       2.5326
 4015.11       4.8259       2.4172
 4016.15       2.1101       2.0638
 4017.19       2.5032       1.9729
 4018.23       5.2771       2.2662
 4019.26       4.7457       2.2880
 4020.30       5.0061       2.2892
 4021.34       5.9235       2.3401
 4022.38       4.2669       2.1371
 4023.42       4.6375       2.1592
 4024.45       6.5797       2.3705
 4025.49       4.8247       2.1707
 4026.53       2.2517       1.9200
 4027.57       2.7183       1.9737
 4028.60       1.2731       1.9314
 4029.64       1.2273       1.8249
 4030.68       4.5083       2.0355
 4041.06       4.6665       2.0574
 4042.09       4.2620       2.0458
 4043.13       7.7341       2.3852
 4044.17       5.8878       2.2957
 4045.21       2.2725       1.8378
 4046.25       3.7898       1.9440
 4047.28       5.7925       2.0445
 4048.32       3.9311       1.9372
 4049.36       4.4128       2.0511
 4050.40       4.6828       1.9809
 4051.43       5.1909       2.0763
 4052.47       6.5104       2.1478
 4053.51       6.2727       2.0884
 4054.55       5.4148       1.9618
 4055.58       5.7883       1.9541
 4056.62       3.1137       1.6767
 4057.66       3.7116       1.7518
 4058.70       4.4977       1.8919
 4059.74       3.7596       1.8711
 4060.77       4.8606       1.9984
 4061.81       3.0234       1.7996
 4062.85       3.0112       1.7625
 4063.89       3.7532       1.8631
 4064.92       5.4669       2.0060
 4065.96       5.0607       1.9889
 4067.00       5.6950       1.9678
