 
TRANSIENT_NAME:     DES15C2eaz 
SNID:               1306318    
OBS_DATE:           2015-09-17
MJD:                57282. 
PHASE_EXP:          +10.   
MJD_EXP:            57271.0 (De Jaeger et. al.: MNRAS, 495, 4860D, 2020)
TYPE:               29 
SPEC_EVAL:          SNII
REDSHIFT:           0.0620  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3756.72       1.5905      10.9880
 3757.75      -2.7507       9.5558
 3758.79      -0.0442       9.1690
 3759.83      -0.2801      10.0650
 3760.87      -3.1348       9.3865
 3761.90       1.4777      10.0057
 3762.94      -0.7331       9.5280
 3763.98       7.9530      12.6590
 3765.02       1.2881       9.8042
 3766.06       2.6511      10.2872
 3767.09       3.0080      10.2501
 3768.13       2.9437      10.1669
 3769.17       2.5958       9.6885
 3770.21       5.8269      11.0032
 3771.24       6.6297      11.1660
 3772.28      -1.3248       7.8590
 3773.32       2.9676       9.6073
 3774.36       3.8251       9.9607
 3775.40       0.1614       8.5478
 3776.43       2.0395       9.4629
 3777.47       0.5086       8.7647
 3778.51       1.4710       9.4103
 3779.55       1.8395       9.0246
 3780.58      -2.0635       8.0949
 3781.62       3.3337       9.7763
 3782.66       4.8641       9.5433
 3783.70       1.8250       8.7481
 3784.73       1.8705       8.2360
 3785.77       0.6489       7.9510
 3786.81       0.8517       8.7937
 3787.85       3.6988       9.4250
 3788.89      -0.5817       7.8422
 3789.92      -1.6377       7.7333
 3790.96      -1.6805       7.8036
 3792.00       2.0694       8.2793
 3793.04       4.5373       8.2512
 3794.07       4.0248       8.3702
 3795.11       5.6178       8.5772
 3796.15       5.5816       8.6918
 3797.19       3.9215       8.2227
 3798.23       4.8404       8.2735
 3799.26       3.5405       7.9668
 3800.30       2.4360       7.6578
 3801.34       1.7274       7.0271
 3802.38       3.6864       7.9064
 3803.41       4.5472       8.0402
 3804.45       2.8473       7.0715
 3805.49       7.0310       8.0631
 3806.53      12.4214       9.7534
 3807.57      10.1248       8.8644
 3808.60       6.1095       7.6380
 3809.64       3.5995       7.1950
 3810.68       4.0721       7.3022
 3811.72       4.2350       7.5163
 3812.75       4.8848       7.4496
 3813.79       3.2381       6.4214
 3814.83       4.2576       7.1048
 3815.87       5.8830       7.4016
 3816.90       2.3247       5.9266
 3817.94       0.9304       5.6262
 3818.98      -0.2380       5.2566
