 
TRANSIENT_NAME:     DES15C2lpp 
SNID:               1332276    
OBS_DATE:           2015-11-13
MJD:                57339. 
PHASE_EXP:          +28.   
MJD_EXP:            57306.5 (De Jaeger et. al.: MNRAS, 495, 4860D, 2020)
TYPE:               129
SPEC_EVAL:          SNII?
REDSHIFT:           0.1810  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3757.75       5.3170      74.1461
 3758.79       1.5172      72.0671
 3759.83      -6.6862      68.5889
 3760.87      -2.9630      67.0002
 3761.90       0.7138      65.4195
 3762.94      -5.0444      71.6801
 3763.98      -4.7659      66.8000
 3765.02      -5.5773      62.2798
 3766.06       0.8575      66.7815
 3767.09       3.2999      64.2277
 3768.13       9.1921      66.7641
 3769.17       7.1918      66.7777
 3770.21       2.8265      64.7560
 3771.24       4.9425      66.5487
 3772.28       4.3336      63.9092
 3773.32      -0.1104      60.6399
 3774.36      -1.0300      58.0608
 3775.40       0.4144      58.2174
 3776.43       1.0269      61.8494
 3777.47       1.5459      61.9274
 3778.51       5.9713      65.2110
 3779.55      -0.4209      64.9269
 3780.58      -5.4802      61.2369
 3781.62      -0.1383      60.4427
 3782.66      -3.1363      57.9486
 3783.70       4.8420      59.6012
 3784.73       3.0944      59.6573
 3785.77       0.9914      57.8440
 3786.81       7.1892      62.1135
 3787.85       1.4043      58.3780
 3788.89      -7.1988      54.3244
 3789.92       0.5421      57.0316
 3790.96      -1.6919      53.8119
 3792.00      -7.8579      51.9804
 3793.04       3.5668      56.9097
 3794.07       1.6806      53.5168
 3795.11      -3.9120      49.7693
 3796.15       5.8019      55.3298
 3797.19       9.9798      57.4454
 3798.23       1.4597      50.5021
 3799.26       0.3771      48.8233
 3800.30       9.8451      53.2743
 3801.34       7.2612      51.2935
 3802.38      -7.0386      45.2392
 3803.41       1.3865      49.6111
 3804.45      14.3756      52.7899
 3805.49      10.9247      49.0901
 3806.53       2.5177      46.2189
 3807.57       4.9571      46.5601
 3808.60       6.6557      46.6021
 3809.64       3.0155      41.7695
 3810.68       4.5097      46.4311
 3811.72       5.0056      46.5265
 3812.75       1.8692      41.4877
 3813.79       2.1314      40.3888
 3814.83       9.2224      44.8106
 3815.87       4.2177      42.7341
 3816.90      -0.4986      39.2946
 3817.94       1.2952      38.4382
 3818.98      -3.2266      35.6566
 3820.02      -3.6028      34.6932
 3821.06       0.8677      36.5262
 3822.09      -2.1959      33.8020
 3823.13       1.9745      35.3047
 3824.17      11.4823      38.5927
 3825.21       4.3767      33.4336
 3826.24       6.3548      36.1839
 3827.28      -2.7497      32.7597
 3828.32       0.6906      34.2171
 3829.36       6.6178      36.9426
 3830.40       3.8767      36.5333
 3831.43      -4.6329      31.6666
 3832.47      -1.8379      30.4696
 3833.51      -0.4025      30.5408
 3834.55      -2.3152      28.6065
 3835.58       5.6714      31.2589
 3836.62       1.3831      28.9866
 3837.66      -2.8481      26.9036
 3838.70      -3.0331      26.9841
 3839.74       5.9979      29.7242
 3840.77       4.9184      28.3700
 3841.81       3.3325      27.4977
 3842.85       3.6225      26.1227
 3843.89       0.8498      25.3639
 3844.92       1.8530      25.4834
 3845.96       4.2928      26.5658
 3847.00       5.7836      26.9616
 3848.04       3.4055      25.0612
 3849.07       7.8819      27.6819
 3850.11       1.9175      25.6946
 3851.15      -0.0210      23.8721
 3852.19      -3.6588      21.7804
 3853.23       2.7505      23.5161
 3854.26       4.2049      25.0531
 3855.30       7.5669      28.1598
 3856.34       4.9376      25.5802
 3857.38       1.6384      22.2619
 3858.41      -2.3886      21.2596
 3859.45      -5.0532      19.5126
 3860.49       1.1986      22.6564
 3861.53       5.2538      24.5311
 3862.57       5.2556      24.1428
 3863.60       5.0758      23.9783
 3864.64       3.4405      22.8241
 3865.68       3.0657      22.3410
 3866.72       4.8136      23.6529
 3867.75       7.3703      25.2142
 3868.79       3.7334      23.6611
 3869.83       1.2399      21.0271
 3870.87      -5.1084      19.4737
 3871.91      -6.2743      18.4549
 3872.94       1.4389      20.1400
 3873.98       2.1871      21.0342
 3875.02      -1.8218      19.7532
 3876.06       2.5217      20.4801
 3877.09       9.0934      23.2353
 3878.13       5.4735      22.3141
 3879.17       1.0979      19.8930
 3880.21       1.1374      19.1621
 3881.24      -1.2896      18.2525
 3882.28      -0.7655      18.6682
 3883.32       0.4247      18.3420
 3884.36       0.8559      18.2813
 3885.40       2.2808      18.8013
 3886.43       5.6621      18.7932
 3887.47       7.4497      18.4439
 3888.51       5.2296      18.6969
 3889.55       6.9239      20.6960
 3890.58       6.3947      20.4412
 3891.62       1.0928      17.0239
 3892.66      -1.0764      15.7339
 3893.70       3.3561      17.2777
 3894.74       1.2893      17.1353
 3895.77       0.8900      16.7692
 3896.81       2.3881      16.7572
 3897.85       2.8476      16.3727
 3898.89       4.7475      17.2857
 3899.92       3.8781      16.8565
 3900.96       0.2698      15.7937
 3902.00       1.4836      15.9852
 3903.04       2.3664      16.2178
 3904.07      -0.7198      16.4774
 3905.11      -1.2687      16.3555
 3906.15      -0.0417      16.7816
 3907.19       3.6672      18.1740
 3908.23       3.0256      18.1208
 3909.26       2.3456      17.8402
 3910.30       2.5228      17.2717
 3911.34       1.9216      17.3089
 3912.38       2.0161      17.1072
 3913.41       4.7310      17.2508
 3914.45      -1.0595      15.4086
 3915.49      -1.7233      14.1574
 3916.53       7.8823      15.9706
 3917.57       7.1325      16.1412
 3918.60       0.8495      14.1250
 3919.64      -2.2371      12.3964
 3920.68      -1.1120      12.6863
 3921.72       1.7611      13.0521
 3922.75       1.0843      12.4820
 3923.79       2.3977      13.0514
 3924.83       3.8096      12.9030
 3925.87       1.5924      11.7104
 3926.91       7.3035      12.9402
 3927.94       6.2332      12.1997
 3928.98       2.5681      11.1165
 3930.02       5.3706      11.7376
 3931.06       2.4944      11.0887
 3932.09       0.4795      10.1475
 3933.13      -2.3613       9.0971
 3934.17      -1.0840       8.8383
 3935.21       1.5322       9.1749
