 
TRANSIENT_NAME:     DES15C2npz 
SNID:               1341010    
OBS_DATE:           2016-01-12
MJD:                57399. 
PHASE_EXP:          +35.   
MJD_EXP:            57360.0 (De Jaeger et. al.: MNRAS, 495, 4860D, 2020)
TYPE:               29 
SPEC_EVAL:          SNII
REDSHIFT:           0.1230  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          MAGELLAN/CLAY
INSTRUMENT:         LDSS3-C
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 4251.90   2.3967e-17  ---
 4253.91   3.2607e-18  ---
 4255.91   8.8222e-18  ---
 4257.91   1.2064e-17  ---
 4259.92   1.0440e-17  ---
 4261.92   9.3690e-18  ---
 4263.92   2.9809e-18  ---
 4265.93   1.0128e-17  ---
 4267.93   7.3533e-19  ---
 4269.94   2.6315e-18  ---
 4271.94   1.8162e-17  ---
 4273.94   1.6181e-17  ---
 4275.95   9.8927e-18  ---
 4277.95   1.5621e-17  ---
 4279.95   1.5871e-17  ---
 4281.96   2.0213e-17  ---
 4283.96   1.0693e-17  ---
 4285.96   1.1120e-17  ---
 4287.97   5.1432e-18  ---
 4289.97   1.3102e-17  ---
 4291.97   1.3802e-17  ---
 4293.98   8.0021e-18  ---
 4295.98   5.2744e-18  ---
 4297.98   7.3886e-18  ---
 4299.99   1.1943e-17  ---
 4301.99   1.5160e-18  ---
 4303.99   8.6999e-18  ---
 4306.00   6.5112e-18  ---
 4308.00   6.7192e-18  ---
 4310.00   1.2780e-17  ---
 4312.01   1.2896e-17  ---
 4314.01   1.5902e-17  ---
 4316.01   1.5430e-17  ---
 4318.02   1.3742e-17  ---
 4320.02   8.1319e-18  ---
 4322.02   1.9210e-17  ---
 4324.03   1.3981e-17  ---
 4326.03   7.1612e-18  ---
 4328.04   5.0574e-18  ---
 4330.04   8.6505e-18  ---
 4332.04   3.7665e-18  ---
 4334.05   2.4924e-18  ---
 4336.05   1.5890e-17  ---
 4338.05   1.3139e-17  ---
 4340.06   1.6603e-17  ---
 4342.06   1.6593e-17  ---
 4344.06   1.7714e-17  ---
 4346.07   1.2985e-17  ---
 4348.07   9.6261e-18  ---
 4350.07   1.4179e-17  ---
 4352.08   1.2640e-17  ---
 4354.08   2.2189e-17  ---
 4356.08   1.6504e-17  ---
 4358.09  -7.8223e-19  ---
 4360.09   1.1153e-17  ---
 4362.09   5.6890e-18  ---
 4364.10   8.0323e-18  ---
 4366.10   1.6314e-17  ---
 4368.10   1.9260e-17  ---
 4370.11   9.9674e-18  ---
 4372.11   1.3456e-17  ---
 4374.11   1.1405e-17  ---
 4376.12   8.9476e-18  ---
 4378.12   1.9548e-17  ---
 4380.12   1.7673e-17  ---
 4382.13   5.2513e-18  ---
 4384.13   8.4722e-18  ---
 4386.14   6.4051e-18  ---
 4388.14   7.1493e-18  ---
 4390.14   7.8801e-18  ---
 4392.15   8.7042e-18  ---
 4394.15   1.3746e-17  ---
 4396.15   1.4087e-17  ---
 4398.16   1.6304e-17  ---
 4400.16   2.4212e-17  ---
 4402.16   1.4654e-17  ---
 4404.17   1.0746e-17  ---
 4406.17   1.3330e-17  ---
 4408.17   1.5739e-17  ---
 4410.18   1.3179e-17  ---
 4412.18   1.8697e-17  ---
 4414.18   2.4064e-17  ---
 4416.19   2.0073e-17  ---
 4418.19   1.6323e-17  ---
 4420.19   1.6889e-17  ---
 4422.20   8.1420e-18  ---
 4424.20   1.8067e-17  ---
 4426.20   1.5427e-17  ---
 4428.21   9.9120e-18  ---
 4430.21   1.3539e-17  ---
 4432.21   1.0473e-17  ---
 4434.22   1.5024e-17  ---
 4436.22   1.9092e-17  ---
 4438.23   1.5012e-17  ---
 4440.23   1.0983e-17  ---
 4442.23   1.7700e-17  ---
 4444.24   2.0467e-17  ---
 4446.24   1.5498e-17  ---
 4448.24   1.3670e-17  ---
 4450.25   1.0374e-17  ---
 4452.25   1.7031e-17  ---
 4454.25   9.4955e-18  ---
 4456.26   9.8659e-18  ---
 4458.26   1.3670e-17  ---
 4460.26   1.8760e-17  ---
 4462.27   1.2762e-17  ---
 4464.27   1.6910e-17  ---
 4466.27   1.3310e-17  ---
 4468.28   6.8476e-18  ---
 4470.28   8.9937e-18  ---
 4472.28   1.4215e-17  ---
 4474.29   1.9324e-17  ---
 4476.29   2.0524e-17  ---
 4478.29   1.8608e-17  ---
 4480.30   2.0446e-17  ---
 4482.30   1.8936e-17  ---
 4484.31   1.5563e-17  ---
 4486.31   1.6076e-17  ---
 4488.31   2.1558e-17  ---
 4490.32   1.3404e-17  ---
 4492.32   1.6226e-17  ---
 4494.32   1.6589e-17  ---
 4496.33   1.2438e-17  ---
 4498.33   1.6458e-17  ---
 4500.33   1.4110e-17  ---
 4502.34   2.0807e-17  ---
 4504.34   2.1877e-17  ---
 4506.34   2.3632e-17  ---
 4508.35   2.0565e-17  ---
 4510.35   1.4108e-17  ---
 4512.35   1.5907e-17  ---
 4514.36   2.2063e-17  ---
 4516.36   1.6499e-17  ---
 4518.36   1.3110e-17  ---
 4520.37   2.2529e-17  ---
 4522.37   1.6874e-17  ---
 4524.37   1.3995e-17  ---
 4526.38   1.6674e-17  ---
 4528.38   1.4980e-17  ---
 4530.38   2.5088e-17  ---
 4532.39   1.7924e-17  ---
 4534.39   1.9364e-17  ---
 4536.40   1.3430e-17  ---
 4538.40   2.1662e-17  ---
 4540.40   2.1188e-17  ---
 4542.41   2.1115e-17  ---
 4544.41   2.2682e-17  ---
 4546.41   1.8996e-17  ---
 4548.42   1.7958e-17  ---
 4550.42   1.7804e-17  ---
 4552.42   1.7016e-17  ---
 4554.43   1.8970e-17  ---
 4556.43   1.3823e-17  ---
 4558.43   1.4565e-17  ---
 4560.44   1.4453e-17  ---
 4562.44   1.9000e-17  ---
 4564.44   1.1448e-17  ---
 4566.45   1.4135e-17  ---
 4568.45   2.3088e-17  ---
 4570.45   1.7660e-17  ---
 4572.46   2.4307e-17  ---
 4574.46   1.8007e-17  ---
 4576.46   1.9482e-17  ---
 4578.47   1.5201e-17  ---
 4580.47   1.5080e-17  ---
 4582.47   1.4743e-17  ---
 4584.48   2.1446e-17  ---
 4586.48   2.2239e-17  ---
 4588.48   1.8347e-17  ---
 4590.49   1.5559e-17  ---
 4592.49   1.5488e-17  ---
 4594.50   2.2786e-17  ---
 4596.50   2.2545e-17  ---
 4598.50   2.5969e-17  ---
 4600.51   2.3277e-17  ---
 4602.51   1.9081e-17  ---
 4604.51   1.2921e-17  ---
 4606.52   1.2742e-17  ---
 4608.52   1.2843e-17  ---
 4610.52   1.2487e-17  ---
 4612.53   1.7235e-17  ---
 4614.53   1.8514e-17  ---
 4616.53   1.3695e-17  ---
 4618.54   1.9302e-17  ---
 4620.54   1.3353e-17  ---
 4622.54   1.6377e-17  ---
 4624.55   2.1870e-17  ---
 4626.55   1.4420e-17  ---
 4628.55   1.1406e-17  ---
 4630.56   1.8658e-17  ---
 4632.56   1.6698e-17  ---
 4634.56   1.8895e-17  ---
 4636.57   1.5721e-17  ---
 4638.57   1.0696e-17  ---
 4640.57   2.1572e-17  ---
 4642.58   1.6467e-17  ---
 4644.58   1.9560e-17  ---
 4646.58   1.9937e-17  ---
 4648.59   1.8227e-17  ---
 4650.59   2.0982e-17  ---
 4652.60   2.0727e-17  ---
 4654.60   2.3990e-17  ---
 4656.60   2.2322e-17  ---
 4658.61   1.7632e-17  ---
 4660.61   2.3955e-17  ---
 4662.61   2.1190e-17  ---
 4664.62   1.5306e-17  ---
 4666.62   1.7737e-17  ---
 4668.62   1.9609e-17  ---
 4670.63   1.6411e-17  ---
 4672.63   1.7946e-17  ---
 4674.63   1.8239e-17  ---
 4676.64   1.6563e-17  ---
 4678.64   1.5219e-17  ---
 4680.64   2.1176e-17  ---
 4682.65   1.7502e-17  ---
 4684.65   1.1846e-17  ---
 4686.65   1.6876e-17  ---
 4688.66   2.1160e-17  ---
 4690.66   2.0915e-17  ---
 4692.66   2.0915e-17  ---
 4694.67   1.1687e-17  ---
 4696.67   1.4900e-17  ---
 4698.67   2.2464e-17  ---
 4700.68   2.1055e-17  ---
 4702.68   1.3527e-17  ---
 4704.69   1.3400e-17  ---
 4706.69   1.8384e-17  ---
 4708.69   2.2441e-17  ---
 4710.70   2.1953e-17  ---
 4712.70   1.9804e-17  ---
 4714.70   2.0096e-17  ---
 4716.71   1.7829e-17  ---
 4718.71   1.0996e-17  ---
 4720.71   1.4625e-17  ---
 4722.72   1.9663e-17  ---
 4724.72   1.9149e-17  ---
 4726.72   1.6110e-17  ---
 4728.73   1.0818e-17  ---
 4730.73   1.2577e-17  ---
 4732.73   1.1950e-17  ---
 4734.74   1.7203e-17  ---
 4736.74   1.3645e-17  ---
 4738.74   1.5519e-17  ---
 4740.75   2.0458e-17  ---
 4742.75   2.3423e-17  ---
 4744.75   1.4122e-17  ---
 4746.76   1.5943e-17  ---
 4748.76   2.1484e-17  ---
 4750.76   1.8658e-17  ---
 4752.77   1.8995e-17  ---
 4754.77   1.3294e-17  ---
 4756.77   1.3557e-17  ---
 4758.78   1.7177e-17  ---
 4760.78   1.8180e-17  ---
 4762.79   1.5205e-17  ---
 4764.79   1.7048e-17  ---
 4766.79   2.2084e-17  ---
 4768.80   1.5420e-17  ---
 4770.80   1.3068e-17  ---
 4772.80   1.4618e-17  ---
 4774.81   1.9491e-17  ---
 4776.81   2.0389e-17  ---
 4778.81   2.6469e-17  ---
 4780.82   2.1206e-17  ---
 4782.82   2.0315e-17  ---
 4784.82   2.0737e-17  ---
 4786.83   2.2775e-17  ---
 4788.83   2.3287e-17  ---
 4790.83   2.0249e-17  ---
 4792.84   1.6875e-17  ---
 4794.84   2.5215e-17  ---
 4796.84   1.9707e-17  ---
 4798.85   2.3135e-17  ---
 4800.85   1.9657e-17  ---
 4802.85   2.2741e-17  ---
 4804.86   2.2484e-17  ---
 4806.86   1.7555e-17  ---
 4808.86   2.4892e-17  ---
 4810.87   2.6482e-17  ---
 4812.87   2.2043e-17  ---
 4814.88   1.4002e-17  ---
 4816.88   1.6813e-17  ---
 4818.88   2.0297e-17  ---
 4820.89   1.3302e-17  ---
 4822.89   1.5453e-17  ---
 4824.89   1.8655e-17  ---
 4826.90   1.8241e-17  ---
 4828.90   1.0590e-17  ---
 4830.90   1.4022e-17  ---
 4832.91   1.5358e-17  ---
 4834.91   1.3906e-17  ---
 4836.91   1.1217e-17  ---
 4838.92   1.2134e-17  ---
 4840.92   1.4808e-17  ---
 4842.92   1.8870e-17  ---
 4844.93   1.9476e-17  ---
 4846.93   2.0591e-17  ---
 4848.93   1.6163e-17  ---
 4850.94   1.5800e-17  ---
 4852.94   1.9348e-17  ---
 4854.94   2.3694e-17  ---
 4856.95   3.0571e-17  ---
 4858.95   2.0188e-17  ---
 4860.95   1.4535e-17  ---
 4862.96   6.0635e-18  ---
 4864.96   1.1181e-17  ---
 4866.97   1.4640e-17  ---
 4868.97   1.3701e-17  ---
 4870.97   1.6545e-17  ---
 4872.98   1.9083e-17  ---
 4874.98   2.8606e-17  ---
 4876.98   2.7051e-17  ---
 4878.99   2.0814e-17  ---
 4880.99   1.8455e-17  ---
 4882.99   1.5879e-17  ---
 4885.00   1.5231e-17  ---
