 
TRANSIENT_NAME:     DES15C3oeb 
SNID:               1343756    
OBS_DATE:           2016-01-08
MJD:                57395. 
PHASE_EXP:          +15.   
MJD_EXP:            57375.1 (derived from r-band light-curve)
TYPE:               39 
SPEC_EVAL:          SNIb/c
REDSHIFT:           0.3260  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          GEMINI-N
INSTRUMENT:         GMOS-N
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 5420.00   1.7483e-18  ---
 5421.50   4.3867e-20  ---
 5423.00  -7.5343e-19  ---
 5424.50  -5.0163e-19  ---
 5426.00  -4.0027e-19  ---
 5427.50  -6.4311e-20  ---
 5429.00  -4.8423e-19  ---
 5430.50  -1.0355e-18  ---
 5432.00  -4.2328e-19  ---
 5433.50  -3.2531e-19  ---
 5435.00  -6.4104e-19  ---
 5436.50   9.0636e-19  ---
 5438.00   1.8602e-18  ---
 5439.50   3.8031e-19  ---
 5441.00   1.6671e-18  ---
 5442.50   5.9607e-19  ---
 5444.00   7.0630e-19  ---
 5445.50   9.6869e-19  ---
 5447.00   9.1512e-19  ---
 5448.50   5.1042e-19  ---
 5450.00   9.6912e-19  ---
 5451.50   3.4322e-19  ---
 5453.00  -4.1031e-19  ---
 5454.50   3.4488e-19  ---
 5456.00   1.5965e-19  ---
 5457.50   8.0666e-19  ---
 5459.00   1.3827e-19  ---
 5460.50  -7.1173e-19  ---
 5462.00  -4.9026e-19  ---
 5463.50   3.2779e-19  ---
 5465.00   1.3057e-18  ---
 5466.50   6.2717e-19  ---
 5468.00   9.0003e-19  ---
 5469.50   1.2642e-18  ---
 5471.00   3.8956e-19  ---
 5472.50   9.6847e-19  ---
 5474.00   6.9507e-19  ---
 5475.50  -6.5757e-19  ---
 5477.00  -6.3984e-20  ---
 5478.50   9.5493e-19  ---
 5480.00  -3.1007e-19  ---
 5481.50   9.5663e-20  ---
 5483.00   1.2402e-18  ---
 5484.50   8.5387e-19  ---
 5486.00   8.9832e-19  ---
 5487.50   5.2863e-19  ---
 5489.00  -9.9707e-19  ---
 5490.50  -1.0086e-18  ---
 5492.00  -2.9062e-20  ---
 5493.50   6.2473e-19  ---
 5495.00   8.2618e-19  ---
 5496.50   2.9032e-19  ---
 5498.00   2.8193e-19  ---
 5499.50   7.6799e-19  ---
 5501.00   1.3256e-19  ---
 5502.50  -4.2740e-19  ---
 5504.00  -3.5908e-19  ---
 5505.50  -1.0042e-18  ---
 5507.00  -1.1750e-19  ---
 5508.50   4.7430e-19  ---
 5510.00   4.6366e-19  ---
 5511.50   3.4951e-19  ---
 5513.00   5.7158e-19  ---
 5514.50   5.4045e-19  ---
 5516.00   1.7226e-18  ---
 5517.50   2.3028e-18  ---
 5519.00   7.9322e-19  ---
 5520.50  -1.4017e-19  ---
 5522.00   3.7974e-19  ---
 5523.50   5.2666e-19  ---
 5525.00   2.5422e-19  ---
 5526.50   1.4459e-19  ---
 5528.00  -3.4954e-19  ---
 5529.50  -3.0676e-19  ---
 5531.00   1.1358e-18  ---
 5532.50   1.1651e-18  ---
 5534.00   1.6654e-19  ---
 5535.50   1.6116e-18  ---
 5537.00   2.1077e-18  ---
 5538.50   1.1458e-18  ---
 5540.00   6.7053e-20  ---
 5541.50  -5.4966e-19  ---
 5543.00   7.0252e-19  ---
 5544.50   6.1041e-19  ---
 5546.00   3.0497e-19  ---
 5547.50   1.5894e-18  ---
 5549.00   9.8400e-19  ---
 5550.50   6.1894e-19  ---
 5552.00   7.2921e-19  ---
 5553.50   9.6652e-19  ---
 5555.00   2.4662e-19  ---
 5556.50  -6.9145e-19  ---
 5558.00  -8.5406e-19  ---
 5559.50  -3.9806e-19  ---
 5561.00  -7.4606e-20  ---
 5562.50   1.7832e-18  ---
 5564.00   1.2088e-18  ---
 5565.50  -1.2742e-19  ---
 5567.00   4.0220e-19  ---
 5568.50   7.4277e-19  ---
 5570.00   2.0025e-18  ---
 5571.50   2.2675e-18  ---
 5573.00   2.7329e-18  ---
 5574.50   2.2522e-18  ---
 5576.00   2.6755e-18  ---
 5577.50   2.8902e-18  ---
 5579.00   2.9281e-19  ---
 5580.50   1.9518e-19  ---
 5582.00   1.0772e-18  ---
 5583.50   2.6343e-19  ---
 5585.00  -1.0921e-19  ---
 5586.50  -1.8561e-20  ---
 5588.00   3.9446e-19  ---
 5589.50   8.7267e-19  ---
 5591.00   9.7224e-19  ---
 5592.50   4.3809e-19  ---
 5594.00  -6.6449e-19  ---
 5595.50   5.4097e-19  ---
 5597.00  -6.1348e-19  ---
 5598.50  -5.7299e-19  ---
 5600.00  -2.2529e-19  ---
 5601.50   3.4334e-19  ---
 5603.00  -7.1550e-20  ---
 5604.50  -1.2383e-18  ---
 5606.00  -1.0278e-18  ---
 5607.50  -4.5252e-19  ---
 5609.00   5.4851e-19  ---
 5610.50   6.1229e-19  ---
 5612.00  -9.1135e-19  ---
 5613.50   3.2910e-19  ---
 5615.00   1.6403e-19  ---
 5616.50   7.5480e-19  ---
 5618.00   6.4290e-19  ---
 5619.50  -1.5844e-19  ---
 5621.00  -1.2061e-19  ---
 5622.50   1.0731e-19  ---
 5624.00  -1.4794e-19  ---
 5625.50  -5.3527e-19  ---
 5627.00   1.6547e-19  ---
 5628.50   1.9734e-19  ---
 5630.00  -9.0151e-20  ---
 5631.50  -7.5878e-19  ---
 5633.00  -1.0539e-18  ---
 5634.50  -7.4182e-19  ---
 5636.00  -1.8720e-19  ---
 5637.50  -4.7884e-19  ---
 5639.00  -1.6661e-19  ---
 5640.50   7.5926e-19  ---
 5642.00   2.2347e-19  ---
 5643.50   1.3559e-19  ---
 5645.00  -6.3262e-19  ---
 5646.50  -2.6442e-19  ---
 5648.00   3.7236e-19  ---
 5649.50   3.4727e-19  ---
 5651.00   3.0261e-19  ---
 5652.50   2.0840e-19  ---
 5654.00   1.0492e-19  ---
 5655.50   3.6460e-19  ---
 5657.00   6.9679e-19  ---
 5658.50   7.7866e-19  ---
 5660.00   1.4061e-18  ---
 5661.50   1.0166e-18  ---
 5663.00   1.3843e-18  ---
 5664.50   8.3103e-19  ---
 5666.00   4.8557e-19  ---
 5667.50   2.3670e-19  ---
 5669.00  -2.5822e-19  ---
 5670.50  -1.7948e-19  ---
 5672.00   5.0170e-19  ---
 5673.50   1.3410e-18  ---
 5675.00   5.4930e-19  ---
 5676.50   1.7606e-19  ---
 5678.00   3.7527e-19  ---
 5679.50   6.2608e-19  ---
 5681.00   1.4488e-19  ---
 5682.50  -3.3749e-19  ---
 5684.00   4.5226e-19  ---
 5685.50   8.2280e-19  ---
 5687.00   5.3275e-19  ---
 5688.50   1.1776e-19  ---
 5690.00   3.6388e-19  ---
 5691.50  -2.0539e-19  ---
 5693.00   1.3035e-19  ---
 5694.50   1.4715e-19  ---
 5696.00   1.1812e-19  ---
 5697.50  -2.4131e-19  ---
 5699.00  -5.5017e-19  ---
 5700.50   5.6890e-19  ---
 5702.00   1.0135e-18  ---
 5703.50   2.5567e-19  ---
 5705.00   1.6178e-19  ---
 5706.50   3.5785e-19  ---
 5708.00   1.0412e-18  ---
 5709.50   1.1996e-18  ---
 5711.00   7.4893e-19  ---
 5712.50   3.7047e-19  ---
 5714.00  -3.1134e-20  ---
 5715.50   6.2341e-21  ---
 5717.00  -2.3837e-19  ---
 5718.50   4.0200e-19  ---
 5720.00   6.9378e-19  ---
 5721.50   1.7424e-19  ---
 5723.00   5.7994e-19  ---
 5724.50  -9.8472e-21  ---
 5726.00   7.8646e-19  ---
 5727.50   4.6533e-20  ---
 5729.00   8.2632e-20  ---
 5730.50  -5.9632e-20  ---
 5732.00   4.6117e-19  ---
 5733.50   5.3447e-19  ---
 5735.00   1.2022e-19  ---
 5736.50   9.1120e-19  ---
 5738.00   1.8181e-19  ---
 5739.50   6.4283e-19  ---
 5741.00   6.4077e-19  ---
 5742.50   8.4969e-19  ---
 5744.00  -2.2071e-19  ---
 5745.50  -2.8997e-19  ---
 5747.00   1.7385e-20  ---
 5748.50   1.4393e-19  ---
 5750.00   3.6535e-19  ---
 5751.50   1.2196e-18  ---
 5753.00   4.3434e-19  ---
 5754.50   6.7577e-19  ---
 5756.00   4.7930e-19  ---
 5757.50   1.9433e-19  ---
 5759.00   7.2865e-19  ---
 5760.50   3.3183e-19  ---
 5762.00   6.5649e-19  ---
 5763.50   7.6491e-19  ---
 5765.00   5.4134e-19  ---
 5766.50   3.4749e-19  ---
 5768.00   4.0590e-19  ---
 5769.50  -8.9856e-21  ---
 5771.00   1.2605e-19  ---
 5772.50   3.1388e-19  ---
 5774.00   5.5367e-19  ---
 5775.50   3.5144e-19  ---
 5777.00  -3.1784e-19  ---
 5778.50   3.8325e-19  ---
 5780.00   4.8414e-19  ---
 5781.50   5.4429e-19  ---
 5783.00   1.0805e-18  ---
 5784.50   8.4684e-19  ---
 5786.00   6.5484e-19  ---
 5787.50   1.4530e-19  ---
 5789.00  -5.9773e-19  ---
 5790.50  -1.9867e-19  ---
 5792.00   6.4949e-19  ---
 5793.50   7.9871e-19  ---
 5795.00   6.8814e-19  ---
 5796.50   8.8018e-20  ---
 5798.00  -1.5746e-19  ---
 5799.50  -3.6477e-19  ---
 5801.00   3.4018e-20  ---
 5802.50   5.6095e-19  ---
 5804.00   6.9787e-19  ---
 5805.50   4.1551e-19  ---
 5807.00   1.2600e-19  ---
 5808.50   6.1711e-19  ---
 5810.00   7.5693e-19  ---
 5811.50   3.5593e-19  ---
 5813.00  -1.5848e-19  ---
 5814.50   3.2633e-19  ---
 5816.00   1.3284e-18  ---
 5817.50   8.4440e-19  ---
 5819.00  -1.2227e-19  ---
 5820.50  -3.6749e-19  ---
 5822.00   2.2298e-19  ---
 5823.50   9.0624e-19  ---
 5825.00  -2.7482e-20  ---
 5826.50   2.1114e-19  ---
 5828.00   6.1683e-19  ---
 5829.50   2.6938e-19  ---
 5831.00  -1.6008e-19  ---
 5832.50  -1.0654e-19  ---
 5834.00   5.4204e-19  ---
 5835.50   2.4417e-19  ---
 5837.00   4.7415e-19  ---
 5838.50   4.2496e-19  ---
 5840.00   6.7131e-19  ---
 5841.50   8.5722e-19  ---
 5843.00   8.2748e-19  ---
 5844.50   4.2300e-19  ---
 5846.00   4.2836e-19  ---
 5847.50   2.3148e-21  ---
 5849.00  -6.8095e-22  ---
 5850.50  -8.2271e-20  ---
 5852.00   1.6438e-20  ---
 5853.50   7.7341e-19  ---
 5855.00   7.0706e-19  ---
 5856.50   8.6026e-19  ---
 5858.00   8.1433e-19  ---
 5859.50   1.5155e-19  ---
 5861.00   2.7704e-19  ---
 5862.50   6.4215e-19  ---
 5864.00   1.2198e-18  ---
 5865.50   1.9213e-19  ---
 5867.00  -4.1697e-20  ---
 5868.50  -1.8926e-20  ---
 5870.00   2.8498e-20  ---
 5871.50  -5.7709e-20  ---
 5873.00  -4.2967e-19  ---
 5874.50   8.4515e-20  ---
 5876.00   2.9593e-19  ---
 5877.50   8.4450e-19  ---
 5879.00   7.2966e-19  ---
 5880.50   4.6981e-19  ---
 5882.00  -6.6963e-19  ---
 5883.50  -9.8498e-19  ---
 5885.00  -9.4828e-19  ---
 5886.50   2.9615e-20  ---
 5888.00   7.5123e-21  ---
 5889.50  -3.4193e-19  ---
 5891.00   2.8629e-19  ---
 5892.50   5.9852e-19  ---
 5894.00  -4.9312e-19  ---
 5895.50  -4.1254e-19  ---
 5897.00  -5.7056e-19  ---
 5898.50  -3.6985e-19  ---
 5900.00   3.9936e-19  ---
 5901.50   7.9981e-19  ---
 5903.00   3.1266e-19  ---
 5904.50  -2.2537e-19  ---
 5906.00   5.4819e-19  ---
 5907.50   1.1506e-18  ---
 5909.00   4.8404e-19  ---
 5910.50   6.6880e-19  ---
 5912.00   1.5334e-18  ---
 5913.50   7.8480e-19  ---
 5915.00  -3.7282e-19  ---
 5916.50   7.5760e-19  ---
 5918.00   1.1315e-18  ---
 5919.50   1.0127e-18  ---
 5921.00   7.1524e-19  ---
 5922.50   3.8735e-19  ---
 5924.00   2.7531e-19  ---
 5925.50   2.8381e-19  ---
 5927.00  -1.8377e-19  ---
 5928.50  -5.9261e-19  ---
 5930.00   3.8031e-19  ---
 5931.50   4.5038e-19  ---
 5933.00   3.2496e-19  ---
 5934.50   8.9769e-19  ---
 5936.00   2.4567e-19  ---
 5937.50   1.7396e-19  ---
 5939.00   9.7871e-20  ---
 5940.50  -3.8499e-20  ---
 5942.00   8.2474e-22  ---
 5943.50   5.3094e-19  ---
 5945.00   7.8348e-19  ---
 5946.50   3.6766e-19  ---
 5948.00  -1.3845e-19  ---
 5949.50  -2.2408e-20  ---
 5951.00   5.4154e-19  ---
 5952.50   1.2045e-18  ---
 5954.00   4.7267e-19  ---
 5955.50   4.7636e-19  ---
 5957.00   5.0867e-19  ---
 5958.50   2.5595e-19  ---
 5960.00  -2.5264e-20  ---
 5961.50   4.7384e-19  ---
 5963.00   1.3916e-19  ---
 5964.50   3.7246e-19  ---
 5966.00   5.7300e-19  ---
 5967.50  -6.2592e-20  ---
 5969.00   1.6684e-19  ---
 5970.50   4.2237e-19  ---
 5972.00   3.6926e-19  ---
 5973.50   9.6798e-19  ---
 5975.00   4.1466e-19  ---
 5976.50  -3.5162e-19  ---
 5978.00  -3.6281e-19  ---
 5979.50   1.5774e-19  ---
 5981.00   3.1936e-19  ---
 5982.50   8.3415e-19  ---
 5984.00   1.0316e-18  ---
 5985.50   9.6965e-19  ---
 5987.00   8.0449e-19  ---
 5988.50   7.8903e-19  ---
 5990.00   1.5861e-19  ---
 5991.50   1.8026e-19  ---
 5993.00   3.9839e-19  ---
 5994.50   6.0326e-21  ---
 5996.00   1.1927e-19  ---
 5997.50   2.6199e-19  ---
 5999.00   4.3344e-19  ---
 6000.50   4.0540e-19  ---
 6002.00   7.4927e-19  ---
 6003.50   7.1402e-19  ---
 6005.00   5.6625e-19  ---
 6006.50   5.8597e-19  ---
 6008.00   4.7330e-19  ---
 6009.50   1.8960e-19  ---
 6011.00   5.1865e-19  ---
 6012.50   1.0505e-18  ---
 6014.00   1.4852e-18  ---
 6015.50   5.4797e-19  ---
 6017.00  -1.3131e-19  ---
 6018.50  -1.0074e-20  ---
 6020.00   9.3600e-19  ---
 6021.50   6.2957e-19  ---
 6023.00   4.5018e-19  ---
 6024.50   8.6688e-19  ---
 6026.00   3.6158e-19  ---
 6027.50   9.1495e-19  ---
 6029.00   6.2615e-19  ---
 6030.50   8.2734e-20  ---
 6032.00   3.0761e-19  ---
 6033.50   6.6551e-19  ---
 6035.00   4.3955e-19  ---
 6036.50   3.2247e-19  ---
 6038.00   5.2579e-19  ---
 6039.50   7.6463e-19  ---
 6041.00   6.5305e-19  ---
 6042.50   7.1772e-19  ---
 6044.00  -6.0659e-20  ---
 6045.50   1.6297e-19  ---
 6047.00   1.0595e-19  ---
 6048.50   3.2409e-19  ---
 6050.00   4.6461e-19  ---
 6051.50   1.5124e-19  ---
 6053.00   1.9640e-19  ---
 6054.50   4.9800e-19  ---
 6056.00   4.5557e-19  ---
 6057.50   8.4472e-19  ---
 6059.00   1.0864e-18  ---
 6060.50   1.1883e-18  ---
 6062.00   5.2590e-19  ---
 6063.50   3.8781e-19  ---
 6065.00   7.4255e-19  ---
 6066.50   8.1203e-19  ---
 6068.00   8.8234e-19  ---
 6069.50   5.2909e-19  ---
 6071.00   5.6208e-19  ---
 6072.50   7.9065e-19  ---
 6074.00   7.3994e-19  ---
 6075.50   8.8834e-19  ---
 6077.00   4.3807e-19  ---
 6078.50   1.6030e-19  ---
 6080.00  -5.7576e-20  ---
 6081.50   4.8113e-19  ---
 6083.00   5.5433e-19  ---
 6084.50   9.9722e-19  ---
 6086.00   1.0553e-18  ---
 6087.50   5.8624e-19  ---
 6089.00   6.9002e-19  ---
 6090.50   3.1500e-19  ---
 6092.00   3.0056e-19  ---
 6093.50   4.6362e-19  ---
 6095.00   7.2759e-19  ---
 6096.50   2.6809e-19  ---
