 
TRANSIENT_NAME:     DES15E1iuh 
SNID:               1317523    
OBS_DATE:           2015-10-11
MJD:                57306. 
PHASE_EXP:          +23.   
MJD_EXP:            57281.1 (De Jaeger et. al.: MNRAS, 495, 4860D, 2020)
TYPE:               29 
SPEC_EVAL:          SNII
REDSHIFT:           0.1050  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3757.75       4.0638      71.3812
 3758.79       5.6638      73.4183
 3759.83      -1.0761      71.0876
 3760.87      -6.1157      66.4415
 3761.90      -4.5820      65.2807
 3762.94     -10.1658      61.3086
 3763.98      -6.6236      62.2446
 3765.02       6.0176      69.3562
 3766.06       7.5803      69.7227
 3767.09       0.6998      64.7122
 3768.13      -4.0007      59.7764
 3769.17      -0.5118      61.0811
 3770.21       9.9619      69.1047
 3771.24       7.1545      67.8299
 3772.28      -3.5971      61.4130
 3773.32      -5.3439      60.2548
 3774.36      -6.3144      60.5507
 3775.40      -4.2678      59.7661
 3776.43       4.1904      63.8716
 3777.47       8.1933      65.8928
 3778.51       1.7307      59.4164
 3779.55      -0.3370      57.9127
 3780.58       1.5612      62.9435
 3781.62      -3.8698      57.1072
 3782.66       0.9079      58.7949
 3783.70       4.7955      64.8175
 3784.73      -0.2269      61.6916
 3785.77      -1.4687      58.9470
 3786.81       1.6337      58.0446
 3787.85       2.5057      54.8091
 3788.89      -1.2005      54.6845
 3789.92      -2.7357      55.7042
 3790.96       3.6649      56.8326
 3792.00       6.6869      57.4974
 3793.04       4.1666      56.2999
 3794.07      -1.7947      52.3180
 3795.11      -1.2698      51.4534
 3796.15       5.4243      54.2772
 3797.19       5.4521      51.6004
 3798.23       0.8278      49.7951
 3799.26      -1.7651      47.4972
 3800.30       3.7460      50.8534
 3801.34       4.5915      51.3978
 3802.38       4.1955      53.1844
 3803.41       4.9530      54.3246
 3804.45      -1.8652      46.0103
 3805.49      -6.2457      40.0827
 3806.53      -1.4717      44.0313
 3807.57      -4.5003      44.6757
 3808.60      -8.3817      38.8075
 3809.64       1.2085      42.1639
 3810.68       9.8084      48.8890
 3811.72       4.4623      44.8414
 3812.75      -0.0688      41.1944
 3813.79       4.2493      44.2889
 3814.83       6.4728      41.5159
 3815.87      -3.7645      42.6097
 3816.90      -6.4943      43.6652
 3817.94      -2.3105      38.7703
 3818.98      -5.3925      34.0334
 3820.02      -1.7658      37.1859
 3821.06       9.4933      42.1365
 3822.09       6.5404      38.9506
 3823.13       0.2278      32.4270
 3824.17       1.8897      31.6663
 3825.21       3.0676      32.7493
 3826.24       1.5641      32.8854
 3827.28       3.6951      33.5821
 3828.32       7.2692      36.1536
 3829.36       7.4239      36.8849
 3830.40       2.6569      33.3901
 3831.43      -2.9853      29.9575
 3832.47       0.6734      30.8635
 3833.51       3.5153      31.8998
 3834.55       3.1846      30.9711
 3835.58       2.5832      30.0593
 3836.62       5.6337      31.6333
 3837.66       8.0465      31.4507
 3838.70       0.2158      27.4464
 3839.74      -4.5755      24.6983
 3840.77      -0.5186      25.0222
 3841.81       0.7749      25.2189
 3842.85       0.1418      25.7912
 3843.89      -0.6457      24.9018
 3844.92       5.2086      27.0129
 3845.96       3.8410      26.7885
 3847.00       6.2091      26.6416
 3848.04       6.2285      27.2549
 3849.07      -1.5035      23.8771
 3850.11      -3.6792      21.4538
 3851.15       1.6119      22.9825
 3852.19       3.2604      24.8152
 3853.23       0.1329      23.9106
 3854.26       2.7857      23.3751
