 
TRANSIENT_NAME:     DES15E1iuh 
SNID:               1317523    
OBS_DATE:           2015-10-01
MJD:                57296. 
PHASE_EXP:          +13.   
MJD_EXP:            57281.1 (De Jaeger et. al.: MNRAS, 495, 4860D, 2020)
TYPE:               29 
SPEC_EVAL:          SNII
REDSHIFT:           0.1050  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          VLT
INSTRUMENT:         X-SHOOTER
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3050.00   3.4735e-17   9.9999e+04
 3055.00   3.4735e-17   3.9708e-17
 3060.00   2.4614e-17   3.1927e-17
 3065.00   3.0444e-17   2.5753e-17
 3070.00  -7.1339e-18   2.0400e-17
 3075.00   9.0282e-18   1.6809e-17
 3080.00   1.8662e-17   1.4614e-17
 3085.00   2.0060e-17   1.2661e-17
 3090.00   4.4587e-18   1.0834e-17
 3095.00   1.0451e-17   9.4150e-18
 3100.00   1.8050e-17   8.4502e-18
 3105.00   1.2837e-17   7.7811e-18
 3110.00   1.4136e-17   7.2639e-18
 3115.00   2.6295e-17   6.7636e-18
 3120.00   1.5346e-17   6.3607e-18
 3125.00   1.1495e-17   5.9767e-18
 3130.00   1.4295e-17   5.8599e-18
 3135.00   2.4366e-17   5.7878e-18
 3140.00   1.8159e-17   5.7420e-18
 3145.00   2.0724e-17   5.6816e-18
 3150.00   9.8063e-18   5.7283e-18
 3155.00   1.2919e-17   5.6691e-18
 3160.00   1.2156e-17   5.6535e-18
 3165.00   2.1622e-17   5.6070e-18
 3170.00   1.9077e-17   5.5623e-18
 3175.00   1.6658e-17   5.4534e-18
 3180.00   1.3830e-17   5.2281e-18
 3185.00   2.0099e-17   4.9172e-18
 3190.00   2.4862e-17   4.6499e-18
 3195.00   1.0663e-17   4.4021e-18
 3200.00   1.8776e-17   4.2973e-18
 3205.00   1.7170e-17   4.0081e-18
 3210.00   2.0611e-17   3.8017e-18
 3215.00   2.2093e-17   3.4084e-18
 3220.00   1.8920e-17   3.2348e-18
 3225.00   1.7532e-17   3.0239e-18
 3230.00   2.4407e-17   2.8527e-18
 3235.00   2.6437e-17   2.6957e-18
 3240.00   2.5543e-17   2.6119e-18
 3245.00   2.2935e-17   2.5398e-18
 3250.00   2.4285e-17   2.4838e-18
 3255.00   2.2026e-17   2.4666e-18
 3260.00   2.2804e-17   2.5175e-18
 3265.00   1.8636e-17   2.4924e-18
 3270.00   2.6913e-17   2.5361e-18
 3275.00   2.3999e-17   2.5490e-18
 3280.00   2.4643e-17   2.5660e-18
 3285.00   2.4711e-17   2.6449e-18
 3290.00   1.8209e-17   2.6748e-18
 3295.00   2.7341e-17   2.8710e-18
 3300.00   2.6185e-17   2.8510e-18
 3305.00   2.0664e-17   2.8489e-18
 3310.00   1.9074e-17   2.8585e-18
 3315.00   2.0700e-17   2.8854e-18
 3320.00   1.9771e-17   2.8299e-18
 3325.00   2.0801e-17   2.7448e-18
 3330.00   2.1443e-17   2.6236e-18
 3335.00   2.0188e-17   2.4882e-18
 3340.00   2.1003e-17   2.3716e-18
 3345.00   1.8997e-17   2.2551e-18
 3350.00   1.6560e-17   2.1547e-18
 3355.00   1.8453e-17   2.0957e-18
 3360.00   1.8462e-17   1.9299e-18
 3365.00   2.3276e-17   1.9349e-18
 3370.00   2.0021e-17   1.9558e-18
 3375.00   2.3748e-17   1.8601e-18
 3380.00   2.2836e-17   1.7788e-18
 3385.00   2.0865e-17   1.7310e-18
 3390.00   2.1393e-17   1.7054e-18
 3395.00   2.1322e-17   1.6726e-18
 3400.00   1.9575e-17   1.6893e-18
 3405.00   2.4499e-17   1.6624e-18
 3410.00   1.8784e-17   1.6492e-18
 3415.00   2.3524e-17   1.6590e-18
 3420.00   2.0963e-17   1.7328e-18
 3425.00   2.3903e-17   1.8290e-18
 3430.00   2.0820e-17   1.8125e-18
 3435.00   2.1373e-17   1.8736e-18
 3440.00   1.7350e-17   1.8712e-18
 3445.00   2.0285e-17   1.9016e-18
 3450.00   2.4487e-17   2.0208e-18
 3455.00   1.7045e-17   2.0519e-18
 3460.00   2.1134e-17   2.0424e-18
 3465.00   1.8547e-17   2.0542e-18
 3470.00   2.5241e-17   2.0500e-18
 3475.00   2.1227e-17   1.9659e-18
 3480.00   2.4108e-17   1.9663e-18
 3485.00   2.1670e-17   1.8739e-18
 3490.00   1.9042e-17   1.8108e-18
 3495.00   2.2461e-17   1.6785e-18
 3500.00   2.1169e-17   1.6045e-18
 3505.00   2.2632e-17   1.5634e-18
