 
TRANSIENT_NAME:     DES15E2avs 
SNID:               1289346    
OBS_DATE:           2015-11-05
MJD:                57331. 
PHASE_EXP:          +38.   
MJD_EXP:            57275.8 (derived from r-band light-curve)
TYPE:               129
SPEC_EVAL:          SNII?
REDSHIFT:           0.4530  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          VLT
INSTRUMENT:         X-SHOOTER
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3800.00   1.1598e-18  ---
 3805.00  -2.8419e-19  ---
 3810.00   1.0385e-18  ---
 3815.00  -1.1001e-18  ---
 3820.00   6.8674e-19  ---
 3825.00   4.6957e-19  ---
 3830.00  -1.5428e-19  ---
 3835.00   8.0673e-19  ---
 3840.00   5.1637e-19  ---
 3845.00   2.3185e-18  ---
 3850.00  -3.2779e-19  ---
 3855.00   1.8545e-18  ---
 3860.00   1.1052e-18  ---
 3865.00   4.7565e-19  ---
 3870.00   1.4325e-18  ---
 3875.00   1.3264e-18  ---
 3880.00   8.7264e-19  ---
 3885.00   1.0356e-18  ---
 3890.00   1.5977e-18  ---
 3895.00   1.1402e-18  ---
 3900.00   1.4945e-18  ---
 3905.00   1.6801e-18  ---
 3910.00   1.9327e-18  ---
 3915.00   3.3399e-19  ---
 3920.00   1.5507e-18  ---
 3925.00   1.1392e-18  ---
 3930.00   7.6035e-19  ---
 3935.00   1.4600e-18  ---
 3940.00   1.1317e-18  ---
 3945.00  -5.1299e-19  ---
 3950.00   1.5212e-18  ---
 3955.00   1.2337e-18  ---
 3960.00   8.1129e-19  ---
 3965.00   1.0610e-18  ---
 3970.00   1.4013e-18  ---
 3975.00   1.4119e-18  ---
 3980.00   9.4410e-19  ---
 3985.00   8.2709e-19  ---
 3990.00   1.0244e-18  ---
 3995.00   9.1150e-19  ---
 4000.00   1.7845e-19  ---
 4005.00   1.4039e-18  ---
 4010.00   1.3628e-18  ---
 4015.00   1.9024e-18  ---
 4020.00   1.8907e-18  ---
 4025.00   8.8161e-19  ---
 4030.00   1.0881e-18  ---
