 
TRANSIENT_NAME:     DES15S1lrp 
SNID:               1333003    
OBS_DATE:           2015-11-13
MJD:                57339. 
PHASE_EXP:          +25.   
MJD_EXP:            57308.0 (De Jaeger et. al.: MNRAS, 495, 4860D, 2020)
TYPE:               129
SPEC_EVAL:          SNII?
REDSHIFT:           0.2230  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          MAGELLAN/CLAY
INSTRUMENT:         LDSS3-C
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 4250.12   6.6863e-18  ---
 4252.11   3.2453e-18  ---
 4254.10   5.0219e-18  ---
 4256.09   1.7211e-18  ---
 4258.07   2.6565e-18  ---
 4260.06   6.7667e-18  ---
 4262.05   6.9911e-18  ---
 4264.04   1.3100e-17  ---
 4266.03   9.6999e-18  ---
 4268.02   6.0971e-18  ---
 4270.01   2.6406e-18  ---
 4272.00   1.3052e-18  ---
 4273.99   4.8843e-18  ---
 4275.97   4.7627e-18  ---
 4277.96   8.0022e-18  ---
 4279.95   2.7965e-18  ---
 4281.94   1.4315e-18  ---
 4283.93   4.7182e-19  ---
 4285.92   3.1488e-18  ---
 4287.91   1.0423e-18  ---
 4289.90   7.7875e-18  ---
 4291.89   6.6634e-18  ---
 4293.87   4.7392e-18  ---
 4295.86   2.0066e-18  ---
 4297.85   7.8872e-18  ---
 4299.84   6.3237e-18  ---
 4301.83  -8.7784e-19  ---
 4303.82   1.8590e-18  ---
 4305.81  -1.7700e-18  ---
 4307.80   2.1602e-18  ---
 4309.79   6.5983e-18  ---
 4311.77   2.8855e-18  ---
 4313.76   5.0818e-18  ---
 4315.75   2.4999e-18  ---
 4317.74  -1.2200e-18  ---
 4319.73   4.0915e-18  ---
 4321.72   4.2457e-18  ---
 4323.71   8.4948e-18  ---
 4325.70   5.8703e-18  ---
 4327.68   4.1538e-18  ---
 4329.67   5.4361e-18  ---
 4331.66   8.7153e-18  ---
 4333.65   6.8645e-18  ---
 4335.64   2.5986e-18  ---
 4337.63   5.8605e-18  ---
 4339.62   9.5928e-18  ---
 4341.61   7.7089e-18  ---
 4343.60   4.5494e-18  ---
 4345.58   4.7004e-18  ---
 4347.57  -5.0087e-19  ---
 4349.56   2.5567e-18  ---
 4351.55   7.0824e-18  ---
 4353.54   5.5878e-18  ---
 4355.53   2.9638e-19  ---
 4357.52   4.0460e-18  ---
 4359.51   3.3403e-18  ---
 4361.50   3.6596e-18  ---
 4363.48   2.7017e-18  ---
 4365.47   5.3878e-18  ---
 4367.46   6.7032e-18  ---
 4369.45   2.8298e-18  ---
 4371.44   4.9073e-18  ---
 4373.43   9.1251e-18  ---
 4375.42   4.8226e-18  ---
 4377.41   5.7411e-18  ---
 4379.40   6.1552e-18  ---
 4381.38   7.6470e-18  ---
 4383.37   4.9569e-18  ---
 4385.36   6.3836e-18  ---
 4387.35   6.6574e-18  ---
 4389.34   5.4895e-18  ---
 4391.33   4.8500e-18  ---
 4393.32   8.7359e-18  ---
 4395.31   4.6602e-18  ---
 4397.29   3.7949e-18  ---
 4399.28   6.5234e-18  ---
 4401.27   5.9122e-18  ---
 4403.26   5.4943e-18  ---
 4405.25   3.9033e-18  ---
 4407.24   4.2323e-18  ---
 4409.23   3.7146e-18  ---
 4411.22   2.6234e-18  ---
 4413.21   6.8249e-18  ---
 4415.19   3.2591e-18  ---
 4417.18   7.4544e-19  ---
 4419.17   3.2527e-18  ---
 4421.16   2.1193e-18  ---
 4423.15   7.8769e-19  ---
 4425.14   4.5796e-18  ---
 4427.13   8.0715e-18  ---
 4429.12   2.4280e-18  ---
 4431.11   5.2177e-19  ---
 4433.09   3.2479e-18  ---
 4435.08   6.3359e-18  ---
 4437.07   2.2547e-18  ---
 4439.06   4.2906e-18  ---
 4441.05   2.4293e-18  ---
 4443.04   5.5393e-18  ---
 4445.03   6.2091e-18  ---
 4447.02   6.7939e-18  ---
 4449.00   4.4142e-18  ---
 4450.99  -4.5177e-19  ---
 4452.98   2.0347e-18  ---
 4454.97   2.7109e-18  ---
 4456.96   3.7042e-18  ---
 4458.95   2.3484e-18  ---
 4460.94   4.8295e-18  ---
 4462.93   7.3887e-18  ---
 4464.92   6.4148e-18  ---
 4466.90   4.7272e-18  ---
 4468.89   3.0500e-18  ---
 4470.88   2.8888e-18  ---
 4472.87   5.4719e-18  ---
 4474.86   2.8177e-18  ---
 4476.85   6.4901e-19  ---
 4478.84   5.1824e-18  ---
 4480.83   2.8169e-18  ---
 4482.82   2.3428e-18  ---
 4484.80   5.8135e-18  ---
 4486.79   3.8232e-18  ---
 4488.78   2.2834e-18  ---
 4490.77   3.7473e-18  ---
 4492.76   5.6874e-18  ---
 4494.75   8.1882e-18  ---
 4496.74   7.4363e-18  ---
 4498.73   6.9932e-18  ---
 4500.72   9.1918e-18  ---
 4502.70   6.9599e-18  ---
 4504.69   6.4867e-18  ---
 4506.68   7.9643e-18  ---
 4508.67   8.3427e-18  ---
 4510.66   4.7523e-18  ---
 4512.65   4.4491e-18  ---
 4514.64   3.6573e-18  ---
 4516.63   6.4858e-18  ---
 4518.61   5.7898e-18  ---
 4520.60   5.3720e-18  ---
 4522.59   3.8359e-18  ---
 4524.58   2.8368e-18  ---
 4526.57   4.4031e-18  ---
 4528.56   6.8876e-18  ---
 4530.55   6.6231e-18  ---
 4532.54   7.7937e-18  ---
 4534.53   7.2598e-18  ---
 4536.51   5.7106e-18  ---
 4538.50   6.6105e-18  ---
 4540.49   5.7846e-18  ---
 4542.48   5.0295e-18  ---
 4544.47   7.0023e-18  ---
 4546.46   5.6875e-18  ---
 4548.45   8.0764e-18  ---
 4550.44   6.7678e-18  ---
 4552.43   7.6584e-18  ---
 4554.41   6.4845e-18  ---
 4556.40   5.1447e-18  ---
 4558.39   3.1899e-18  ---
 4560.38   2.6896e-18  ---
 4562.37   4.6922e-18  ---
 4564.36   4.7023e-18  ---
 4566.35   2.0543e-18  ---
 4568.34   3.6148e-18  ---
 4570.33   4.6969e-18  ---
 4572.31   3.6759e-18  ---
 4574.30   4.7492e-18  ---
 4576.29   7.2085e-18  ---
 4578.28   3.2947e-18  ---
 4580.27   8.6381e-18  ---
 4582.26   4.4364e-18  ---
 4584.25   4.2739e-18  ---
 4586.24   4.4554e-18  ---
 4588.22   5.5825e-18  ---
 4590.21   4.1756e-18  ---
 4592.20   6.3705e-18  ---
 4594.19   5.9727e-18  ---
 4596.18   6.2380e-18  ---
 4598.17   6.9658e-18  ---
 4600.16   1.8112e-18  ---
 4602.15   1.9018e-18  ---
 4604.14   4.4402e-18  ---
 4606.12   5.6379e-18  ---
 4608.11   4.3539e-18  ---
 4610.10   4.5317e-18  ---
 4612.09   4.0431e-18  ---
 4614.08   5.7705e-18  ---
 4616.07   3.3665e-18  ---
 4618.06   3.4553e-18  ---
 4620.05   2.6908e-18  ---
 4622.04   3.9496e-18  ---
 4624.02   3.9392e-18  ---
 4626.01  -3.3406e-18  ---
 4628.00  -8.5084e-18  ---
 4629.99  -2.4842e-18  ---
 4631.98   3.0714e-18  ---
 4633.97   5.0350e-18  ---
 4635.96   4.3327e-18  ---
 4637.95   2.9689e-18  ---
 4639.94   4.2907e-18  ---
 4641.92   4.4294e-18  ---
 4643.91   4.3614e-18  ---
 4645.90   5.2304e-18  ---
 4647.89   4.2421e-18  ---
 4649.88   4.9822e-18  ---
 4651.87   6.1239e-18  ---
 4653.86   4.0481e-18  ---
 4655.85   3.5091e-18  ---
 4657.83   4.1602e-18  ---
 4659.82   6.1551e-18  ---
 4661.81   5.5882e-18  ---
 4663.80   5.8991e-18  ---
 4665.79   3.9939e-18  ---
 4667.78   2.6621e-18  ---
 4669.77   4.3621e-18  ---
 4671.76   6.9488e-18  ---
 4673.75   6.9961e-18  ---
 4675.73   6.3108e-18  ---
 4677.72   3.8908e-18  ---
 4679.71   5.4554e-18  ---
 4681.70   6.8630e-18  ---
 4683.69   5.8038e-18  ---
 4685.68   5.5856e-18  ---
 4687.67   4.0203e-18  ---
 4689.66   6.7480e-18  ---
