 
TRANSIENT_NAME:     DES15X2mku 
SNID:               1335573    
OBS_DATE:           2015-12-14
MJD:                57370. 
PHASE_EXP:          +38.   
MJD_EXP:            57329.0 (De Jaeger et. al.: MNRAS, 495, 4860D, 2020)
TYPE:               29 
SPEC_EVAL:          SNII
REDSHIFT:           0.0900  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3756.72       0.5023     119.8870
 3757.75       9.6343     125.0260
 3758.79      -0.9783     102.4010
 3759.83       2.6054     105.4130
 3760.87      -8.4115     104.0500
 3761.90     -13.5081      98.3273
 3762.94       3.6210     103.2820
 3763.98      -7.2776      97.1241
 3765.02       9.3467     111.4900
 3766.06      -0.9645     103.9010
 3767.09      -1.5798      96.2600
 3768.13      -0.7791      95.9942
 3769.17       0.9366     102.5130
 3770.21       1.9914      98.4533
 3771.24       7.2482     106.1320
 3772.28       2.4450     101.3110
 3773.32      -8.5702      93.1653
 3774.36       1.6049      98.8761
 3775.40      -4.2690      97.0019
 3776.43       2.8697      99.3986
 3777.47      -7.0862      93.6753
 3778.51      -9.4930      89.7444
 3779.55       0.5201      96.5980
 3780.58       3.8988      99.2645
 3781.62      -2.3142      95.5913
 3782.66      -4.6953      91.8934
 3783.70     -14.1509      86.3842
 3784.73       1.1194      98.4726
 3785.77       9.0070      99.4708
 3786.81       6.6110      93.3687
 3787.85       3.7973      93.5860
 3788.89       8.0569      97.1837
 3789.92       0.1448      93.3922
 3790.96      -1.5506      85.8915
 3792.00       4.9479      88.2424
 3793.04      10.0632      95.9134
 3794.07     -10.7351      77.0775
 3795.11      -9.5833      72.8345
 3796.15       6.4128      80.6893
 3797.19       0.1608      76.6251
 3798.23      -2.0961      77.5516
 3799.26       3.0492      80.9132
 3800.30      12.9070      85.9883
 3801.34       4.1232      84.3109
 3802.38      -8.9709      72.9744
 3803.41      -4.6651      71.3403
 3804.45       6.6640      79.4771
 3805.49       1.5132      76.9061
 3806.53       3.4060      72.4821
 3807.57      -3.9720      65.0352
 3808.60      -7.8600      67.3380
 3809.64      -5.2554      75.1466
 3810.68      -3.5796      69.0540
 3811.72       3.0635      65.7651
 3812.75      11.7205      79.1063
 3813.79       7.3048      87.0096
 3814.83       1.2489      66.2081
 3815.87      -5.5087      57.5074
 3816.90      -8.6130      58.6489
 3817.94       0.0328      60.1243
 3818.98       1.5972      57.6234
 3820.02       4.1673      59.6476
 3821.06       0.7959      60.9610
 3822.09       0.0282      57.8817
