 
TRANSIENT_NAME:     DES15X3kxq 
SNID:               1329266    
OBS_DATE:           2015-11-04
MJD:                57330. 
PHASE_EXP:          +25.   
MJD_EXP:            57294.2 (derived from r-band light-curve)
TYPE:               129
SPEC_EVAL:          SNII?
REDSHIFT:           0.4235  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          VLT
INSTRUMENT:         X-SHOOTER
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3800.00   5.7769e-20  ---
 3805.00  -4.3566e-20  ---
 3810.00  -2.1866e-19  ---
 3815.00  -2.4923e-20  ---
 3820.00  -2.2111e-20  ---
 3825.00   2.3231e-19  ---
 3830.00   1.3218e-19  ---
 3835.00  -2.0975e-19  ---
 3840.00   7.9274e-20  ---
 3845.00   3.9392e-19  ---
 3850.00  -1.9820e-19  ---
 3855.00  -3.8750e-19  ---
 3860.00   4.4365e-19  ---
 3865.00   4.8066e-19  ---
 3870.00  -4.9833e-19  ---
 3875.00  -1.1264e-18  ---
 3880.00  -4.1009e-19  ---
 3885.00   2.5537e-19  ---
 3890.00   1.1014e-19  ---
 3895.00   3.1379e-20  ---
 3900.00  -3.7451e-19  ---
 3905.00   2.0700e-19  ---
 3910.00   7.3911e-19  ---
 3915.00  -1.1634e-19  ---
 3920.00   6.7095e-19  ---
 3925.00   2.2639e-18  ---
 3930.00   1.0690e-19  ---
 3935.00  -2.6789e-19  ---
 3940.00  -2.9233e-20  ---
 3945.00  -4.3066e-19  ---
 3950.00  -4.2570e-19  ---
 3955.00   6.7515e-20  ---
 3960.00   5.8034e-19  ---
 3965.00   4.3732e-19  ---
 3970.00  -1.2610e-19  ---
 3975.00   4.6108e-19  ---
 3980.00  -1.3205e-19  ---
 3985.00  -7.6231e-19  ---
 3990.00   9.0722e-19  ---
 3995.00  -1.4614e-19  ---
 4000.00  -2.2520e-19  ---
 4005.00   3.7637e-19  ---
 4010.00  -1.3377e-18  ---
 4015.00  -2.6468e-19  ---
 4020.00   4.0609e-19  ---
 4025.00   3.6044e-19  ---
 4030.00  -1.6631e-19  ---
 4035.00  -5.1768e-19  ---
 4040.00  -2.2249e-19  ---
 4045.00   3.1619e-19  ---
 4050.00  -5.4861e-19  ---
 4055.00   4.3162e-19  ---
 4060.00  -2.3784e-19  ---
