 
TRANSIENT_NAME:     DES15X3nad 
SNID:               1338743    
OBS_DATE:           2015-12-12
MJD:                57368. 
PHASE_EXP:          +19.   
MJD_EXP:            57347.2 (derived from r-band light-curve)
TYPE:               29 
SPEC_EVAL:          SNII
REDSHIFT:           0.1000  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3756.72       6.0527      29.3464
 3757.75       6.1515      29.5577
 3758.79       5.9746      28.8432
 3759.83       9.4222      30.1800
 3760.87       9.6821      30.6929
 3761.90       1.4895      25.9116
 3762.94       1.2751      26.0137
 3763.98       6.2943      28.4523
 3765.02      -1.3843      25.1259
 3766.06       2.1099      24.6662
 3767.09       4.8512      26.0730
 3768.13      10.7681      28.0874
 3769.17       4.5405      26.4847
 3770.21       0.8979      24.6777
 3771.24       1.2769      25.2265
 3772.28       9.2316      28.0665
 3773.32       8.4559      27.8898
 3774.36       2.3927      24.4297
 3775.40       1.7344      25.8194
 3776.43       2.5649      26.0293
 3777.47       1.6268      22.8442
 3778.51       2.8502      25.2983
 3779.55       7.0399      28.8020
 3780.58      -1.5008      23.7168
 3781.62       5.0771      24.7448
 3782.66       3.1449      24.3630
 3783.70      -0.2901      23.2774
 3784.73       6.0946      25.1458
 3785.77       1.4834      23.4422
 3786.81       5.9671      24.2107
 3787.85      10.4259      25.4409
 3788.89       1.2601      22.0334
 3789.92       0.2813      21.3085
 3790.96       8.5312      23.8954
 3792.00       8.5735      24.9895
 3793.04       6.2908      22.8480
 3794.07       7.2418      23.4277
 3795.11       6.1942      22.8411
 3796.15       1.3200      20.3674
 3797.19       6.0798      20.8962
 3798.23       5.8916      20.5459
 3799.26       5.3172      20.4514
 3800.30       3.8878      19.9019
 3801.34       4.6209      20.4749
 3802.38       5.7793      19.8704
 3803.41       5.6750      19.5046
 3804.45       6.7892      20.8049
 3805.49       5.2896      19.3266
 3806.53       1.5408      17.1990
 3807.57       3.7476      17.3396
 3808.60       3.6027      18.4440
