 
TRANSIENT_NAME:     DES13C1juw 
SNID:               1253920    
OBS_DATE:           2013-10-30
MJD:                56595. 
PHASE:              +10.   
MJD_MAX:            56583.2
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.1990  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3743.23      -2.5768      24.0012
 3744.26      -6.4531      25.3027
 3745.30      -3.2328      27.0548
 3746.34       1.5749      22.7783
 3747.38      -1.4084      23.2104
 3748.41      -1.1290      22.6070
 3749.45       6.2890      29.1076
 3750.49       5.6465      30.3811
 3751.53      -2.8126      26.8620
 3752.56       3.1089      27.6749
 3753.60       6.3980      31.7917
 3754.64      -3.9837      23.4725
 3755.68      -8.5408      23.5278
 3756.72       1.3912      30.8739
 3757.75       1.1670      30.6088
 3758.79      -3.8735      26.8198
 3759.83       2.2432      28.8445
 3760.87      -1.6372      25.9225
 3761.90       0.8803      27.6639
 3762.94      -5.1988      22.7307
 3763.98      -2.0749      26.2144
 3765.02       0.3579      24.7780
 3766.06      -3.8486      21.4684
 3767.09      -0.5918      36.0507
 3768.13       1.4362      28.1861
 3769.17      -4.6581      20.2545
 3770.21      -0.4714      25.9105
 3771.24      -6.4970      21.6168
 3772.28      -4.8577      25.6981
 3773.32      -4.8807      21.9227
 3774.36       1.1711      26.9613
 3775.40      -1.6188      23.7505
 3776.43      -1.1727      23.7632
 3777.47      -9.7003      21.6400
 3778.51      -2.9211      25.4789
 3779.55      -1.3058      21.1368
 3780.58       2.2387      24.3791
 3781.62       6.6993      25.3248
 3782.66       3.5300      24.0023
 3783.70      -5.9776      18.7150
 3784.73      -0.2090      19.3800
 3785.77      -0.2132      18.6277
 3786.81       3.4987      23.6924
 3787.85       1.8350      22.3703
 3788.89       0.8179      16.4131
 3789.92       1.1211      17.4375
 3800.30      -1.3118      15.2822
 3801.34       3.5720      18.2954
 3802.38       4.0188      15.3328
 3803.41      -3.6344      13.5439
 3804.45      -6.7797      12.7019
 3805.49      -2.4636      14.6116
 3806.53      -7.9400      13.1610
 3807.57      -5.4048      11.9684
 3808.60       1.0443      14.3010
 3809.64      -2.7181      11.8754
 3810.68      -3.5926      10.8748
 3811.72      -4.2641      10.6460
 3812.75      -6.1034      12.3822
 3813.79       0.9928      13.3325
 3814.83      -4.4450      11.2556
 3815.87      -1.8408      12.3474
 3816.90      -3.7601      11.2179
 3817.94      -4.5997      10.4973
 3818.98      -0.0504      11.9194
 3820.02      -2.2143      11.3573
 3821.06      -2.8372      10.9067
 3822.09      -0.8438      11.1176
 3823.13      -0.7821      11.1280
 3824.17       0.8116      10.6620
 3825.21      -1.0065      10.2808
 3826.24      -0.6552      10.1051
 3827.28       3.5281      11.5705
 3828.32      -0.1019      11.6845
 3829.36      -4.2923      10.3394
 3830.40      -2.0298      10.4737
