 
TRANSIENT_NAME:     DES13C2dyc 
SNID:               1249851    
OBS_DATE:           2013-09-30
MJD:                56565. 
PHASE:              +12.   
MJD_MAX:            56550.7
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.2156  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3743.23      -0.6208       5.2426
 3744.26       0.8777       5.2349
 3745.30       1.9058       6.1592
 3746.34       0.8741       5.7782
 3747.38       1.8274       5.4597
 3748.41      -0.2210       4.8562
 3749.45      -0.8082       5.2604
 3750.49      -0.0752       5.0627
 3751.53      -0.3972       5.1325
 3752.56       0.3852       5.3034
 3753.60      -0.0150       5.1837
 3754.64       2.6444       5.5562
 3755.68       3.2920       5.7435
 3756.72      -2.2486       4.9435
 3757.75      -3.3690       4.3597
 3758.79       3.1742       5.2944
 3759.83       0.2401       4.9864
 3760.87       1.3122       5.0538
 3761.90       1.0974       4.8958
 3762.94      -1.1372       4.5834
 3763.98       0.8720       5.5878
 3765.02      -0.1399       5.5160
 3766.06      -0.0166       5.3311
 3767.09      -0.7931       5.2860
 3768.13       1.8077       5.6642
 3769.17       2.8133       5.4145
 3770.21       2.2534       5.3744
 3771.24       1.6038       5.5066
 3772.28      -1.3503       4.4807
 3773.32       1.1220       4.8069
 3774.36       3.2088       5.6556
 3775.40      -0.2030       4.9110
 3776.43      -2.2559       4.5239
 3777.47       1.7623       5.2399
 3778.51       2.0810       4.9941
 3779.55       0.0990       4.3990
 3780.58      -0.5524       4.3036
 3781.62       0.1297       4.5674
 3782.66       2.1087       4.6940
 3783.70       1.9114       4.5719
 3784.73       0.4760       4.0532
 3785.77       0.9742       4.4549
 3786.81       3.0227       5.1237
 3787.85       0.8957       4.1063
 3788.89       1.2466       4.1918
 3789.92       1.7323       4.5699
 3790.96      -0.5429       3.9064
 3792.00       0.5384       3.7463
 3793.04       0.5429       3.8663
 3794.07       0.1421       3.9003
 3795.11       0.4304       3.7415
 3796.15      -1.9512       3.1964
 3797.19      -1.9745       3.1682
 3798.23      -1.5747       3.2611
 3799.26       0.0651       3.4061
 3800.30       1.0316       3.4651
 3801.34       2.0317       3.6742
 3802.38       1.3501       3.4206
 3803.41      -0.0700       3.1740
 3804.45       0.9018       3.1030
 3805.49      -0.4331       2.9134
 3806.53      -0.7467       2.7802
 3807.57      -0.9901       2.8884
 3808.60      -0.3972       3.0185
 3809.64       2.8465       3.1970
 3810.68       0.6459       2.8861
 3811.72      -0.9363       2.4629
 3812.75       1.2355       3.1361
 3813.79      -0.0224       3.0513
 3814.83      -0.1813       2.6959
 3815.87       0.8028       2.7050
 3816.90      -0.5280       2.4854
 3817.94      -0.2544       2.3366
 3818.98      -0.3901       2.2058
 3820.02      -0.4237       2.2935
 3821.06       1.4532       2.4778
 3822.09       0.5897       2.4073
 3823.13      -0.7786       2.3151
 3824.17      -0.9841       2.1677
 3825.21       0.6406       2.1817
 3826.24       0.9050       2.2528
 3827.28       0.5394       2.3326
 3828.32       0.9726       2.3354
 3829.36      -0.5544       2.2947
 3830.40       0.4060       2.6171
 3831.43       0.2308       2.4434
 3832.47       0.2345       2.2746
 3833.51       1.3667       2.4644
 3834.55      -0.4703       2.1638
 3835.58       0.0786       2.0585
 3836.62       0.6287       2.1356
 3837.66      -0.6717       2.0307
 3838.70       0.6251       2.0362
 3839.74       0.4822       1.9445
 3840.77       0.4620       1.9264
 3841.81       0.4361       1.9194
 3842.85       0.9176       2.0252
 3843.89       2.8009       2.1414
 3844.92       1.3872       1.9475
 3845.96       0.7357       1.9109
 3847.00       1.4316       1.9465
 3848.04       0.6618       1.6857
 3849.07      -2.1374       1.4573
 3850.11      -0.4252       1.8082
 3851.15       0.8113       2.0538
 3852.19       0.3072       1.7644
 3853.23       1.1427       1.7162
 3854.26       1.3630       1.7253
 3855.30      -0.9640       1.4977
 3856.34       0.0273       1.5187
 3857.38       0.8998       1.5459
 3858.41       0.5862       1.4837
 3859.45      -0.1359       1.3910
 3860.49       0.6810       1.4968
 3861.53      -0.3403       1.3873
 3862.57      -0.4714       1.4038
 3863.60       0.7971       1.5178
 3864.64      -0.0824       1.3733
 3865.68      -0.3592       1.2953
 3866.72      -1.2094       1.1848
 3867.75      -1.5453       1.1670
 3868.79       0.0732       1.2862
 3869.83      -0.7470       1.2150
 3870.87       0.0722       1.2256
 3871.91       0.5602       1.2353
 3872.94      -0.3337       1.1641
 3873.98      -1.3425       1.1312
 3875.02      -0.7802       1.1686
 3876.06      -0.2468       1.1818
 3877.09       0.7596       1.2669
 3878.13       1.8049       1.2270
 3879.17       1.1363       1.3247
 3880.21       1.1690       1.5743
 3881.24      -0.8536       1.2032
 3882.28      -0.9590       0.9749
 3883.32       2.3442       1.1940
 3884.36       2.9727       1.2887
 3885.40       2.0918       1.2092
 3886.43       0.0868       1.0070
 3887.47       0.3939       1.0256
 3888.51       1.5321       1.1123
 3889.55       1.2485       1.1297
 3890.58       0.9272       1.0692
 3891.62       0.5612       1.0256
 3892.66       0.1901       1.0273
 3893.70       0.6375       1.0421
 3894.74       0.8527       1.0817
 3895.77       0.9263       1.0694
 3896.81       0.7441       1.0954
 3897.85       1.3296       1.1719
 3898.89       0.4589       1.0447
 3899.92      -0.9069       0.9184
 3900.96       0.4285       1.0226
 3902.00       1.7203       1.1530
 3903.04       1.6095       1.1234
 3904.07       1.1604       1.1157
 3905.11       0.6728       1.1189
 3906.15       0.7850       1.1326
 3907.19      -0.2084       1.0302
 3908.23      -0.1973       1.0189
 3909.26       1.0411       1.1349
 3910.30       0.4139       1.0560
 3911.34       0.1749       1.0432
 3912.38       0.0373       1.0480
 3913.41      -1.0627       1.0023
 3914.45       0.6316       1.0926
 3915.49       0.3675       0.9788
 3916.53      -0.5862       0.8630
 3917.57      -0.0580       0.8936
 3918.60      -1.0005       0.8337
 3919.64      -0.9956       0.7870
 3920.68       0.3231       0.8709
 3921.72       0.0256       0.8344
 3922.75      -0.3626       0.7732
 3923.79      -0.5488       0.7705
 3924.83      -0.3325       0.7795
 3925.87       0.0627       0.8023
 3926.91       0.5051       0.8092
 3927.94       1.1893       0.8104
 3928.98       1.7542       0.8429
 3930.02      -0.9133       0.6985
 3931.06      -1.1077       0.6468
 3932.09       0.8367       0.7411
 3933.13       1.0321       0.7885
 3934.17      -0.0905       0.6938
 3935.21       0.4588       0.7031
 3936.24       0.7496       0.7571
 3937.28       0.5573       0.7363
 3938.32       1.1873       0.7923
 3939.36       0.0058       0.7643
 3940.40      -0.1684       0.7860
 3941.43       0.1437       0.8266
 3942.47       0.3987       0.8196
 3943.51       0.1055       0.7697
 3944.55      -0.3302       0.7596
 3945.58      -0.4551       0.7142
 3946.62       0.1998       0.7164
 3947.66       1.1972       0.8015
 3948.70       0.7793       0.7878
 3949.74       0.5195       0.7855
 3950.77       0.5655       0.8121
 3951.81       0.3194       0.7676
 3952.85       0.9127       0.7533
 3953.89       1.3625       0.7642
 3954.92       1.3846       0.8030
 3955.96      -0.1480       0.6837
 3957.00      -0.8101       0.5877
 3958.04       0.6053       0.6904
 3959.08       0.2420       0.6912
 3960.11      -1.2040       0.5807
 3961.15      -0.2404       0.6086
 3962.19       0.7641       0.6493
 3963.23       0.0191       0.6170
 3964.26      -0.4572       0.6112
 3965.30      -0.2412       0.6069
 3966.34       0.8887       0.6604
 3967.38       1.5772       0.7139
 3968.41       0.3205       0.6555
 3969.45       0.1380       0.6635
 3970.49       0.0739       0.6962
 3971.53      -0.7182       0.6955
 3972.57       0.7688       0.8121
 3973.60       0.2639       0.6231
 3974.64      -0.2993       0.6106
 3975.68      -0.4176       0.6198
 3976.72       0.7726       0.6728
 3977.75       1.5320       0.7068
 3978.79       1.2597       0.7175
 3979.83       1.0195       0.7142
 3980.87       0.0281       0.6541
 3981.91      -0.1599       0.6345
 3982.94       0.8805       0.6658
 3983.98       0.5092       0.6816
 3985.02       0.6844       0.6833
 3986.06      -0.2674       0.5978
 3987.09       0.9895       0.6724
 3988.13       1.1076       0.6884
 3989.17      -0.2991       0.6118
 3990.21       1.1329       0.6791
 3991.25       1.2757       0.7052
 3992.28       0.4474       0.6440
 3993.32      -0.7463       0.5364
 3994.36      -1.0063       0.5418
 3995.40      -0.1968       0.5842
 3996.43       0.7860       0.6142
 3997.47       0.3207       0.6039
 3998.51       1.2421       0.6825
 3999.55       0.9667       0.6774
 4000.58      -0.2781       0.5990
 4001.62       0.3592       0.6203
 4002.66       0.7174       0.6357
 4003.70      -0.1497       0.5835
 4004.74       0.4011       0.6125
 4005.77       0.6077       0.6210
 4006.81       0.1642       0.6226
 4007.85      -0.0381       0.6581
 4008.89      -0.6186       0.6322
 4009.92      -0.6643       0.6292
 4010.96       0.5545       0.6763
 4012.00       0.0499       0.6414
 4013.04       0.0161       0.6434
 4014.08       0.4166       0.6490
 4015.11       0.0025       0.6100
 4016.15      -1.2075       0.5253
 4017.19      -0.2428       0.5733
 4018.23      -0.0192       0.5909
 4019.26       0.2078       0.6028
 4020.30       0.2081       0.6095
 4021.34       0.4232       0.6170
 4022.38       0.0282       0.5602
 4023.42      -0.3582       0.5223
 4024.45       0.1325       0.5693
 4025.49       0.0789       0.5596
 4026.53       0.9527       0.5930
 4027.57       0.1654       0.5713
 4028.60      -0.7204       0.5315
 4029.64       0.0677       0.5517
 4030.68       0.9802       0.5717
 4031.72       1.1877       0.5913
 4032.75       1.2202       0.5957
 4033.79       0.6894       0.5684
 4034.83      -0.4766       0.5288
 4035.87      -0.0212       0.5599
 4036.91       0.4813       0.5866
 4037.94       0.0498       0.5666
 4038.98       0.1015       0.5579
 4040.02      -0.1176       0.5430
 4041.06       0.0487       0.5869
 4042.09       0.2576       0.6148
 4043.13       0.4405       0.5916
 4044.17       1.3882       0.6189
 4045.21       0.6646       0.5890
 4046.25      -0.0963       0.5543
 4047.28       0.2916       0.5679
 4048.32       0.3599       0.5563
 4049.36       0.4740       0.5831
 4050.40       0.4450       0.5888
 4051.43      -0.3508       0.5140
 4052.47      -1.0265       0.4414
 4053.51      -0.0363       0.5641
 4054.55       1.1127       0.6196
 4055.58       1.1290       0.5397
 4056.62       0.1357       0.5304
 4057.66      -0.1190       0.5416
 4058.70       0.7794       0.5417
 4059.74       0.1900       0.5374
 4060.77       0.4397       0.5548
 4061.81       0.6918       0.5554
 4062.85      -0.1533       0.5307
 4063.89       1.0101       0.5834
 4064.92       1.2333       0.6004
 4065.96      -0.5068       0.5243
 4067.00      -0.2259       0.5311
 4068.04       0.7018       0.5616
 4069.08      -0.1164       0.5292
 4070.11      -0.3613       0.4917
 4071.15       0.0055       0.4931
 4072.19       0.6197       0.5366
 4073.23       1.2616       0.5463
 4074.26       0.7615       0.5274
 4075.30      -0.0041       0.5247
 4076.34      -0.1696       0.5245
 4077.38       0.9617       0.5477
 4078.42       0.2870       0.4772
 4079.45      -1.3656       0.4177
 4080.49      -0.4648       0.4875
 4081.53       0.2983       0.5366
 4082.57       1.2194       0.5445
 4083.60       1.1870       0.5110
 4084.64       0.2716       0.4857
 4085.68       0.5172       0.4992
 4086.72       0.6549       0.5007
 4087.75       0.7310       0.5090
 4088.79      -0.0208       0.4593
 4089.83       0.1417       0.4566
 4090.87      -0.7655       0.4289
 4091.91      -0.4237       0.4428
 4092.94       0.8670       0.4679
 4093.98      -0.2703       0.4341
 4095.02      -0.3272       0.4321
 4096.06       1.1498       0.4856
 4097.09       0.3824       0.4490
 4098.13       0.5138       0.4646
 4099.17       0.2555       0.4699
 4100.21       0.2186       0.4393
 4101.25      -0.0113       0.4075
 4102.28       0.3196       0.4232
 4103.32       0.3675       0.4244
 4104.36      -0.2983       0.4116
 4105.40       0.3353       0.4363
 4106.43      -0.2135       0.4117
 4107.47      -0.1953       0.4031
 4108.51       0.6884       0.4418
 4109.55       0.6536       0.4596
 4110.58      -0.3255       0.4092
 4111.62      -0.6598       0.3881
 4112.66       0.2889       0.4233
 4113.70      -0.6479       0.3765
 4114.74      -0.3881       0.3847
 4115.77       0.2219       0.4263
 4116.81      -0.3994       0.3947
 4117.85      -0.2476       0.3878
 4118.89      -0.4035       0.3892
 4119.92      -0.5796       0.3749
 4120.96       0.1586       0.4084
