 
TRANSIENT_NAME:     DES13C3dgs 
SNID:               1248677    
OBS_DATE:           2013-10-30
MJD:                56595. 
PHASE:              +30.   
MJD_MAX:            56554.4
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.3480  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3743.23       9.1512     277.5240
 3744.26      -9.0939     276.7490
 3745.30     -15.2293     273.4090
 3746.34     -23.7930     234.1450
 3747.38      -5.1816     242.3530
 3748.41       1.9011     226.3320
 3749.45       0.0364     304.1690
 3750.49      23.0003     336.0820
 3751.53     -17.3964     277.7190
 3752.56      -8.6026     251.1680
 3753.60      28.5180     332.7810
 3754.64      23.4357     330.1160
 3755.68       0.9912     264.5870
 3756.72       0.1849     258.1150
 3757.75      -7.3628     266.5820
 3758.79     -13.2188     231.2960
 3759.83      18.7369     267.6260
 3760.87      -8.3727     239.9860
 3761.90      -5.1551     270.2650
 3762.94     -13.9768     267.7650
 3763.98      13.4187     269.9760
 3765.02      10.7069     283.2920
 3766.06     -20.1606     250.8240
 3767.09      -5.0751     241.9770
 3768.13       0.4909     279.8550
 3769.17     -31.3938     253.9370
 3770.21      15.5049     292.1930
 3771.24     -32.2230     218.3970
 3772.28     -25.4805     263.1520
 3773.32     -12.4513     216.2140
 3774.36      -8.1112     214.6910
 3775.40      12.4006     296.9230
 3776.43       7.4510     320.4110
 3777.47      -0.7827     260.1020
 3778.51      -9.4278     222.3070
 3779.55      -5.6377     222.7950
 3780.58     -12.0207     225.0390
 3781.62     -10.3975     213.4900
 3782.66      -5.9324     233.0840
 3783.70      -6.2911     288.5280
 3784.73      10.7306     253.6700
 3785.77      24.5144     267.2930
 3786.81      -4.6350     219.7180
 3787.85      -9.5397     202.8420
 3788.89      -4.8000     205.9750
 3789.92      -7.3963     203.9370
 3790.96       2.8311     249.4090
 3792.00      19.4880     260.7300
 3793.04       4.6348     208.3130
 3794.07      16.4523     214.7760
 3795.11       1.7289     199.3900
 3796.15      -6.0007     183.4710
 3797.19     -15.3885     180.7640
 3798.23       4.8948     184.2800
 3799.26      -1.0188     169.0030
 3800.30      -8.9244     168.3380
 3801.34      -6.7088     183.2850
 3802.38      -5.7499     173.8440
 3803.41      12.7155     181.3320
 3804.45      13.0215     205.8600
 3805.49      -6.4078     178.5890
 3806.53      -0.2316     153.5350
 3807.57     -11.2932     132.3340
 3808.60       2.0107     166.9880
 3809.64      19.1328     181.8470
 3810.68       0.0087     152.0120
 3811.72      -3.4121     146.0150
 3812.75       2.9743     151.0120
 3813.79      -1.9215     145.7130
 3814.83     -12.2261     123.7310
 3815.87     -10.4745     122.7150
 3816.90     -10.2192     129.1510
 3817.94       7.1869     137.9290
 3818.98       6.5675     139.1300
 3820.02     -13.5446     107.1050
 3821.06     -10.2744     118.8720
 3822.09      -4.4771     119.8270
 3823.13      -1.9188     127.8400
 3824.17      -8.2027     119.5490
 3825.21     -10.5269     113.8640
 3826.24      -3.7102     122.4330
 3827.28       1.4739     128.3310
 3828.32      13.4786     143.5450
 3829.36      -1.5265     125.6470
 3830.40      -1.4677     121.1290
 3831.43      -8.0158     111.3490
 3832.47      -1.0285     115.8440
 3833.51     -14.5410     110.8370
 3834.55       4.4076     111.3290
 3835.58       8.7370     107.3840
 3836.62       5.2685     109.3700
 3837.66       8.5616     103.7160
 3838.70       2.0554      95.0797
 3839.74      -4.5249      96.5369
 3840.77      -1.3301      94.8750
 3841.81       3.1260      96.1523
 3842.85       5.1117     103.9620
 3843.89       5.7050      96.1727
 3844.92      18.3522     115.6080
 3845.96      -2.4161      89.0793
 3847.00      11.1842     103.7720
 3848.04       5.8906      93.9167
 3849.07      -5.6371      79.5478
 3850.11      -0.5892      84.4736
 3851.15       2.9634      91.2538
 3852.19      20.2820     109.4380
 3853.23       8.8863      86.0072
 3854.26       1.2593      89.0522
 3855.30      -4.9308      80.6566
 3856.34       8.9530      83.9311
 3857.38      -4.8394      68.3648
 3858.41      17.2398      84.3257
 3859.45       4.4442      77.7067
 3860.49      -5.8759      65.1354
 3861.53      10.6056      72.9600
 3862.57      -1.3625      66.9746
 3863.60       0.7135      72.8494
 3864.64       9.0550      75.2518
 3865.68      -7.3554      66.4636
 3866.72       7.9970      72.3624
 3867.75       5.0899      67.6210
 3868.79       4.8563      68.0692
 3869.83       9.1369      67.9369
 3870.87      -5.8265      59.0041
 3871.91      11.0497      65.4151
 3872.94       2.5077      67.7234
