 
TRANSIENT_NAME:     DES13E1ao  
SNID:               1248907    
OBS_DATE:           2013-11-04
MJD:                56600. 
PHASE:              +44.   
MJD_MAX:            56548.4
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.1715  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3743.23       3.0254      76.1289
 3744.26      19.6408      91.7408
 3745.30      11.8630      92.7717
 3746.34      -3.0080      75.5997
 3747.38      -2.9908      73.0172
 3748.41      -7.3896      74.2919
 3749.45     -10.1697      73.6799
 3750.49     -11.6328      68.5600
 3751.53      -2.5568      80.2175
 3752.56       0.8805      86.1567
 3753.60       7.2101      84.9611
 3754.64       9.4010      87.3970
 3755.68      -9.4764      77.8065
 3756.72      -6.1017      80.3918
 3757.75      -0.8209      89.4610
 3758.79       6.5061      90.5456
 3759.83       9.1116      91.0916
 3760.87      10.5409      97.5826
 3761.90      13.9105      94.2541
 3762.94      12.0056      91.8632
 3763.98       6.3708      73.5736
 3765.02      16.2512      85.1814
 3766.06       2.2346      73.2793
 3767.09       6.2021      62.0318
 3768.13       9.8823      78.3787
 3769.17       3.1418      80.4947
 3770.21      -0.7183      73.0051
 3771.24     -10.2097      57.2221
 3772.28     -13.8607      53.4902
 3773.32      -0.2205      69.0353
 3774.36      11.0421      85.1898
 3775.40      -3.1174      70.0882
 3776.43      -1.2988      64.5025
 3777.47       3.1889      70.0732
 3778.51      -7.9046      60.6108
 3779.55      -0.3692      68.3599
 3780.58      -3.2662      70.6671
 3781.62       1.8508      70.0798
 3782.66      13.7920      67.3015
 3783.70      -6.1290      51.4542
 3784.73      -2.1868      61.2034
 3785.77      21.7128      82.9028
 3786.81      16.4190      75.4209
 3787.85       6.5258      57.0695
 3788.89       7.0667      59.5846
 3789.92       5.8622      60.7575
 3790.96      -1.8853      53.9846
 3792.00      -4.2688      53.8996
 3793.04      -7.9253      49.3262
 3794.07       2.5513      56.2374
 3795.11       7.1639      63.3168
 3796.15       2.8061      53.1408
 3797.19       7.0887      56.6695
 3798.23       5.3252      57.2378
 3799.26      -3.5684      52.8688
 3800.30       2.1451      50.1031
 3801.34       7.6856      51.9026
 3802.38       9.1685      57.8679
 3803.41      -8.6362      44.9932
 3804.45       1.7263      48.9210
 3805.49      13.3042      53.2257
 3806.53      -1.4137      44.2031
 3807.57      -0.3172      43.5470
 3808.60       2.4912      47.1587
 3809.64      -4.8679      46.9983
 3810.68      -0.9089      42.0096
 3811.72       9.0605      47.9358
 3812.75       9.1137      47.7232
 3813.79      -0.0393      44.1031
 3814.83      -8.2690      44.1380
 3815.87      -3.0928      45.2179
 3816.90      -0.4270      33.8523
 3817.94       6.3220      38.6595
 3818.98       1.9729      38.8782
 3820.02      -0.9503      36.4718
 3821.06       0.0477      36.2747
 3822.09      -2.9394      31.3891
 3823.13       1.7387      37.7382
 3824.17      -1.6977      37.6203
 3825.21     -13.6544      26.4560
 3826.24      -3.2848      27.9723
 3827.28       4.8783      32.5569
 3828.32       0.5180      33.4656
 3829.36       2.8302      35.2265
 3830.40       4.3057      37.4181
 3831.43       5.7976      40.7687
 3832.47       1.5151      35.1230
 3833.51       1.4270      30.7227
 3834.55      -2.0993      28.6542
 3835.58       5.0516      31.4763
 3836.62       4.9613      30.0290
 3837.66      -3.0910      25.9577
 3838.70      -0.3500      25.1395
 3839.74       1.7234      28.6581
 3840.77       5.2295      31.2400
