 
TRANSIENT_NAME:     DES13E1goh 
SNID:               1253101    
OBS_DATE:           2013-10-30
MJD:                56595. 
PHASE:              +12.   
MJD_MAX:            56578.0
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.4607  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3743.23      -9.5216    1387.6100
 3744.26      -0.0672    1332.2800
 3745.30      27.7726    1536.9000
 3746.34     -17.1184    1333.5200
 3747.38     -46.9352    1170.4500
 3748.41      14.0754    1394.0400
 3749.45     -16.1659    1252.7200
 3750.49      24.7531    1422.2100
 3751.53      59.9289    1650.2400
 3752.56     -31.6239    1265.2500
 3753.60     -45.2213    1286.0900
 3754.64      11.0933    1514.6801
 3755.68      -5.8946    1405.3300
 3756.72      48.8011    1480.1400
 3757.75      27.6069    1625.8101
 3758.79      18.8667    1573.2300
 3759.83     -41.7476    1393.0100
 3760.87      40.2408    1535.7100
 3761.90      31.2046    1576.2000
 3762.94      -2.8273    1293.0601
 3763.98       3.3346    1583.1200
 3765.02      44.3670    1559.0000
 3766.06     -19.4924    1282.4900
 3767.09      -0.4172    1343.6500
 3768.13      55.3714    1547.9100
 3769.17      15.5805    1517.4200
 3770.21     -24.8787    1346.9399
 3771.24     -21.2659    1329.1100
 3772.28      18.4376    1621.0699
 3773.32     -29.6679    1230.9399
 3774.36     -37.5656    1263.9900
 3775.40      -4.2032    1469.4500
 3776.43      21.9424    1495.5500
 3777.47       1.3751    1293.5200
 3778.51      17.8337    1257.8900
 3779.55      39.7107    1393.9500
 3780.58      50.1811    1386.8000
 3781.62      14.4092    1182.8400
 3782.66      54.4081    1387.4900
 3783.70      12.5252    1163.5601
 3784.73      13.3520    1090.7500
 3785.77     -19.2663    1007.0000
 3786.81       2.4204    1066.7100
 3787.85      31.3440    1134.1200
 3788.89      40.7604    1049.8900
 3789.92      26.8587    1038.4200
 3790.96     -16.1650     967.3970
 3792.00      -6.6451     965.7210
 3793.04      39.6583    1084.6700
 3794.07      10.8654    1071.1899
 3795.11      -1.6313     942.7830
 3796.15       1.0837     852.3500
 3797.19     -45.5428     725.5070
 3798.23     -62.9473     670.3380
 3799.26     -41.7090     659.9870
 3800.30     -37.4374     788.6670
 3801.34       3.2930     833.3920
 3802.38      -6.2986     789.2600
 3803.41      16.4796     834.1090
 3804.45     -31.8560     649.2140
 3805.49     -21.5917     713.3770
 3806.53       3.2764     755.0770
 3807.57     -10.5599     714.2010
 3808.60     -17.6563     727.6920
 3809.64       0.4795     727.7330
 3810.68     -14.4871     695.1380
 3811.72     -26.3462     688.9850
 3812.75     -10.4090     632.0060
 3813.79      12.0226     760.1120
 3814.83       3.3508     805.7630
 3815.87      14.5624     724.5580
 3816.90     -14.5678     654.4090
 3817.94     -19.6750     639.0600
 3818.98      -8.9861     627.9800
 3820.02      -9.5091     622.3220
 3821.06     -25.6489     593.1130
 3822.09      18.8937     635.5630
 3823.13      -2.7490     604.3680
 3824.17       8.4069     590.8710
 3825.21      13.6037     580.0140
 3826.24      -6.9388     579.1840
 3827.28       9.0283     647.3240
 3828.32      23.8405     692.1170
 3829.36       3.4840     737.9390
 3830.40      11.2482     713.6570
 3831.43      -2.8597     660.2380
 3832.47       8.0036     676.7720
 3833.51     -13.5937     564.9920
 3834.55      11.7013     569.3740
 3835.58      32.6982     647.3750
 3836.62      37.7504     649.5780
 3837.66       1.5300     533.8130
 3838.70     -19.9698     482.8810
 3839.74      -9.6377     514.5140
 3840.77      -0.6240     525.3700
 3841.81      -8.3214     503.9000
 3842.85      -8.5781     487.5330
 3843.89       4.2384     502.0780
 3844.92      15.3967     531.1570
 3845.96      32.1808     543.9000
 3847.00      47.1641     551.9390
 3848.04      11.7870     512.3050
 3849.07      -0.7285     486.3080
 3850.11       1.5184     443.6520
 3851.15      29.4302     450.5430
 3852.19       1.7680     400.9610
 3853.23     -21.9309     359.1920
 3854.26       8.0956     424.8800
 3855.30      15.6484     414.3900
 3856.34       3.6269     412.2060
 3857.38     -15.1764     373.2290
 3858.41       2.8841     344.3400
 3859.45      15.4804     383.6600
 3860.49       8.7004     375.8270
 3861.53       7.3049     373.3590
 3862.57      25.2830     414.6160
 3863.60      15.4830     373.9670
 3864.64      10.7586     368.7280
 3865.68      -2.0110     334.5070
 3866.72      -7.8983     355.2960
 3867.75      -6.9147     336.3980
 3868.79       9.7198     344.7060
 3869.83      15.5507     340.4670
 3870.87      -5.5630     286.2290
 3871.91      11.4022     301.5220
 3872.94      26.9112     355.4860
 3873.98      16.9814     364.9300
 3875.02      -6.5591     326.2870
 3876.06      -4.8260     323.2070
 3877.09      -9.6444     314.7880
 3878.13      13.4798     329.0880
 3879.17      -6.6901     282.3410
 3880.21       6.3879     305.6180
 3881.24      -8.9299     282.5400
 3882.28     -20.7981     258.1410
 3883.32      -7.6001     266.9450
 3884.36      -7.9442     265.8320
 3885.40       3.0928     289.2400
 3886.43       7.6813     269.4080
 3887.47     -12.9899     256.4320
 3888.51       1.2243     268.5070
 3889.55      -0.7594     262.7100
 3890.58       1.6041     271.0480
 3891.62     -14.5611     234.4060
 3892.66      17.5689     266.7220
 3893.70      24.3041     289.7000
 3894.74     -22.2338     237.6020
 3895.77     -10.6759     254.9040
 3896.81      -2.6811     264.9590
 3897.85     -24.3243     242.5100
 3898.89     -20.6199     257.3090
 3899.92     -11.7220     263.5410
 3900.96      -1.2893     273.1220
 3902.00       7.4896     283.4200
 3903.04      24.7123     309.1690
 3904.07      -4.6450     292.9880
 3905.11      -9.3880     291.2770
 3906.15       6.7414     294.5230
 3907.19      -6.0946     307.3680
 3908.23      -0.4520     302.2640
 3909.26       5.6634     299.7090
 3910.30     -11.5065     292.9120
 3911.34     -16.0155     276.2710
 3912.38       6.7059     315.8380
 3913.41       7.9171     313.9890
 3914.45      -3.1476     304.2300
 3915.49      -5.5602     267.1920
 3916.53      -1.6450     247.1980
 3917.57       1.0389     262.4290
 3918.60      -0.2972     255.0760
 3919.64      28.4187     260.9980
 3920.68       0.0586     217.0280
 3921.72      -1.9817     208.2310
 3922.75      29.8568     251.0930
 3923.79      10.2185     235.5990
 3924.83       4.3036     222.8280
 3925.87     -12.1415     205.5560
 3926.91       7.0630     216.1420
 3927.94       9.0397     213.7120
 3928.98     -28.4775     166.6240
 3930.02     -18.8615     175.6670
 3931.06      15.2121     210.5660
 3932.09      10.5670     196.4550
 3933.13       6.5411     193.0140
 3934.17       5.3903     197.6120
 3935.21       3.9636     183.5730
 3936.24      22.4770     204.6390
 3937.28      -2.6044     202.1660
 3938.32      10.8807     215.6190
 3939.36      20.5481     231.1430
 3940.40      12.7460     249.5220
 3941.43      -2.4415     226.4090
 3942.47     -14.7083     199.4840
 3943.51      -9.6568     203.4020
 3944.55      12.9042     235.9380
 3945.58      10.2214     223.0660
 3946.62     -25.4412     189.8410
 3947.66     -15.9265     202.8360
 3948.70      12.7576     231.2610
 3949.74      16.9827     222.2150
 3950.77      -5.1216     196.1060
 3951.81       3.0452     205.8010
 3952.85       9.3267     209.4770
 3953.89       0.9293     198.8260
 3954.92      -2.8017     187.8060
 3955.96       9.6897     199.8690
 3957.00       2.0905     192.3570
 3958.04      -2.1051     184.1970
 3959.08      -2.7667     182.8520
 3960.11       0.1653     186.3850
 3961.15     -11.4445     165.6460
 3962.19      -2.8928     163.0630
 3963.23       5.7045     165.5100
 3964.26      -4.7104     159.8640
 3965.30      -6.5724     150.3740
 3966.34      15.4767     173.1320
 3967.38       4.2233     164.0200
 3968.41       8.3556     158.8060
 3969.45       2.2244     149.9590
 3970.49     -11.1811     141.7570
 3971.53      -7.6117     150.5610
 3972.57      -1.7868     161.1990
 3973.60     -11.7804     154.0280
 3974.64      13.1524     191.8720
 3975.68      10.0632     192.3330
 3976.72      -2.1688     175.7100
 3977.75      15.9088     194.6940
 3978.79      11.5938     190.4730
 3979.83      16.6034     193.6760
 3980.87       9.7279     196.8410
 3981.91      -4.0578     181.4280
 3982.94      -0.3406     173.9370
 3983.98      -2.1064     181.5700
 3985.02       7.1161     190.3850
 3986.06       8.0020     180.7180
 3987.09     -10.4769     171.5230
 3988.13       1.4176     174.1790
 3989.17      -0.3694     169.3560
 3990.21     -11.9197     159.8360
 3991.25      -6.7486     159.8560
 3992.28       2.0926     171.1800
 3993.32      -1.7054     164.7770
 3994.36      -5.6667     158.9010
 3995.40       3.0323     164.5560
 3996.43       9.2282     164.7220
 3997.47      16.6982     174.8940
 3998.51      24.2365     190.3780
 3999.55       7.7245     200.3220
 4000.58       0.7714     189.8280
 4001.62      10.5428     174.8890
 4002.66      -3.8907     164.3920
 4003.70       8.4662     173.3260
 4004.74      12.8280     178.7230
 4005.77       9.4449     183.9310
 4006.81      17.2859     193.5130
 4007.85      25.1222     206.0100
 4008.89       0.0091     192.8370
 4009.92      -4.4973     179.1020
 4010.96      -8.0693     179.1060
 4012.00      -8.6798     184.1770
 4013.04       6.1215     189.7840
 4014.08       1.6046     180.9180
 4015.11     -16.9299     167.2090
 4016.15     -23.2108     155.7150
 4017.19     -14.1282     153.7120
 4018.23      -3.6267     162.7880
 4019.26      -2.6694     169.5340
 4020.30       7.5112     182.0640
 4021.34       4.0867     176.6440
 4022.38       9.8415     170.4530
 4023.42      10.1952     175.5720
 4024.45       2.6081     162.1460
 4025.49      -5.5630     155.4650
 4026.53       3.1618     163.9340
 4027.57      11.2112     170.2350
 4028.60      20.7292     180.1640
 4029.64      28.2171     181.9780
 4030.68       2.3499     158.3790
 4031.72       3.7306     155.0220
 4032.75       9.6601     155.6460
 4033.79       2.1166     148.5310
 4034.83      -8.8481     144.1000
 4035.87     -20.4655     142.6780
 4036.91     -17.6997     145.8300
 4037.94       1.2798     158.6500
 4038.98       7.2006     166.8090
 4040.02      -3.1426     156.6490
 4050.40      -1.4246     159.4760
 4051.43     -10.8396     144.9490
 4052.47      -9.9107     139.6310
 4053.51       4.3055     153.2940
 4054.55       8.5914     149.9290
 4055.58      -5.0492     136.0280
 4056.62       2.5603     143.9770
 4057.66      15.8322     155.3710
 4058.70       3.7334     150.4920
 4059.74       8.1973     162.5780
 4060.77       9.0334     163.9260
 4061.81      -2.1225     150.6350
 4062.85       4.5330     160.8760
 4063.89      11.9857     173.4350
 4064.92      11.8113     172.6920
 4065.96      11.6227     168.9770
 4067.00      -4.2163     150.1980
 4068.04     -11.4170     141.7960
 4069.08      -3.0587     151.9090
 4070.11       4.3660     156.2210
 4071.15      14.2521     156.2440
 4072.19      -1.9246     139.0680
 4073.23     -14.4623     130.7220
 4074.26      -5.2131     144.0140
 4075.30      -4.9434     147.9290
 4076.34      -8.9566     146.5640
 4077.38       0.6549     148.7370
 4078.42       7.3411     145.7710
 4079.45       0.8299     143.0090
 4080.49      -2.0438     141.0990
 4081.53       5.5762     144.3270
 4082.57      18.2123     147.9210
 4083.60      15.1765     143.9520
 4084.64      13.1908     142.7220
 4085.68      -0.5569     137.6570
 4086.72     -15.0658     121.5540
 4087.75      -5.9955     120.0690
 4088.79       3.5177     125.0270
 4089.83       2.6424     124.6130
 4090.87      -1.4842     127.6340
 4091.91      -8.5785     121.4360
 4092.94      -3.7939     124.3560
 4093.98      -0.8185     124.7400
 4095.02      -0.9596     123.6990
 4096.06      12.8499     127.3930
 4097.09       2.1610     122.9250
 4098.13       3.0203     126.3400
 4099.17      18.7242     129.0440
 4100.21       4.2423     119.4280
 4101.25     -10.2376     109.0190
 4102.28     -10.7970     107.6380
 4103.32      14.3524     119.6690
 4104.36      11.8800     117.8180
 4105.40       9.7554     117.8320
 4106.43       3.2290     119.2550
 4107.47      -9.1141     115.8460
 4108.51      -4.3728     118.1430
 4109.55       3.7524     120.6540
 4110.58      15.4580     122.5910
 4111.62       3.9637     113.7250
 4112.66      -6.1108     107.7780
 4113.70      -6.7284     108.1970
 4114.74      -3.4330     115.7830
 4115.77       0.4046     119.3020
 4116.81      -4.6132     108.5150
 4117.85      -5.1532     109.2460
 4118.89       1.2071     112.0470
 4119.92       1.2352     112.8320
 4120.96      -1.8440     114.0200
 4122.00      -7.8684     114.0820
 4123.04      -0.6183     122.7550
 4124.08       3.6895     124.6790
 4125.11      -2.9969     116.0450
 4126.15      -2.8683     127.6000
 4127.19       0.7975     130.9010
 4128.23      -4.1989     112.8500
 4129.26     -10.7757     106.8890
 4130.30       0.2347     111.4400
 4131.34       2.9892     118.4830
 4132.38      -5.6775     112.5170
 4133.42       2.4177     116.4880
 4134.45      10.6513     123.6480
 4135.49       3.2618     117.0900
 4136.53       1.6463     118.2110
 4137.57       4.5486     120.1430
 4138.60      11.3185     121.5020
 4139.64      -2.0960     107.8010
 4140.68     -11.7882     100.5610
 4141.72       9.0933     109.0040
 4142.75       8.1778     103.3150
 4143.79      -5.7759      97.3845
 4144.83      -7.1063     100.0040
 4145.87       4.7094     105.5560
 4146.91       5.4257     105.5210
 4147.94      -6.6011      94.7142
 4148.98     -10.2538      89.6382
 4150.02      13.9206     101.5880
 4151.06       7.5824      97.8054
 4152.09      -5.4626      93.7813
 4153.13       4.0790     102.9550
 4154.17       1.5700     107.9630
 4155.21     -11.7231     105.9390
 4156.25       0.6436     114.9900
 4157.28       3.2398     112.2260
 4158.32      -6.9274     105.6160
 4159.36       2.7357     113.5220
 4160.40      -0.1340     111.4420
 4161.43      -5.8535     106.1870
 4162.47     -13.4001     105.5230
 4163.51     -13.1691     110.3810
 4164.55       6.5303     124.5570
 4165.59       6.7175     120.4150
 4166.62     -12.1581     109.4510
 4167.66      -4.0833     118.0250
 4168.70      10.5114     124.6470
 4169.74       0.9955     115.1980
 4170.77      11.2833     122.2990
 4171.81       6.2702     115.3340
 4172.85     -13.3650     100.7290
 4173.89     -16.4069      95.6487
 4174.92      -7.7734      98.6154
