 
TRANSIENT_NAME:     DES13E1sae 
SNID:               1257695    
OBS_DATE:           2013-11-30
MJD:                56626. 
PHASE:              +11.   
MJD_MAX:            56613.4
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.1846  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3742.19       2.0151      16.4226
 3743.23       1.9052      16.5980
 3744.26       1.6778      12.7764
 3745.30       2.1270      12.0425
 3746.34       0.0858      13.0960
 3747.38      -3.5016      14.4230
 3748.41      -2.4543      12.5552
 3749.45       4.7892      16.0135
 3750.49       2.0374      15.0779
 3751.53       3.5558      16.3092
 3752.56       1.0165      14.1602
 3753.60      -0.2640      14.8545
 3754.64       4.5417      17.4289
 3755.68       5.0105      20.0224
 3756.72       3.8657      15.9566
 3757.75       3.7387      16.7409
 3758.79       2.1920      14.8717
 3759.83      -0.0809      14.4837
 3760.87       5.9106      15.5885
 3761.90       5.9224      16.6207
 3762.94       1.6965      18.2227
 3763.98       5.2902      19.2456
 3765.02      -1.9482      15.4564
 3766.06       4.0304      18.0027
 3767.09       3.7326      15.1907
 3768.13       3.0642      16.2706
 3769.17      -1.0700      11.6256
 3770.21      -1.8318      15.8813
 3771.24      -0.4436      18.1287
 3772.28       4.1808      14.3562
 3773.32       8.7858      17.8525
 3774.36      -3.7911      14.9217
 3775.40       0.5795      13.9124
 3776.43       1.2965      14.0774
 3777.47       0.8525      12.1991
 3778.51       4.7443      13.3712
 3779.55       3.6639      12.1114
 3780.58       2.5564      11.6892
 3781.62      -1.8083      11.7137
 3782.66      -0.5190      12.5987
 3783.70       0.7044      12.7371
 3784.73       1.1743      14.2029
 3785.77       5.7503      12.2410
 3786.81       1.8450       9.2585
 3787.85       4.3599      12.1686
 3788.89       2.4955      12.2599
 3789.92      -3.3698      10.0571
 3790.96      -0.2092      10.2653
 3792.00      -0.8439       9.5771
 3793.04      -0.2683       9.8592
 3794.07       2.7571       9.7499
 3795.11      -0.4663       8.1027
 3796.15       1.0358       9.2330
 3797.19       1.6777       8.8815
 3798.23       2.7124       8.5304
 3799.26       2.9630       8.0037
 3800.30       1.2963       8.1271
 3801.34       1.8775       8.5697
 3802.38       1.8537       8.1289
 3803.41       2.0878       9.4979
 3804.45       1.3831       8.6641
 3805.49       0.5085       7.2726
 3806.53       1.6623       7.6926
 3807.57      -0.3315       7.0303
 3808.60       0.4243       8.1412
 3809.64       5.0072       8.8253
 3810.68       2.7487       7.9331
 3811.72       0.5392       7.7695
 3812.75       2.4247       8.5490
 3813.79       4.0952       9.1253
 3814.83       3.0846       9.5513
 3815.87      -1.0378       8.2525
 3816.90      -0.1110       7.0142
 3817.94       1.2546       7.0482
 3818.98       0.3197       7.0389
 3820.02      -0.0890       6.9711
