 
TRANSIENT_NAME:     DES13E2tbn 
SNID:               1258906    
OBS_DATE:           2013-12-01
MJD:                56627. 
PHASE:              +4.    
MJD_MAX:            56621.6
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.3550  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3742.19      16.8319     329.1340
 3743.23      18.5921     361.9450
 3744.26       2.3728     291.3910
 3745.30      -1.6760     310.6050
 3746.34      10.1140     337.1970
 3747.38      29.8209     410.5860
 3748.41      29.3943     398.0640
 3749.45      22.7580     390.1190
 3750.49      10.1838     328.3460
 3751.53     -24.2621     337.2500
 3752.56     -19.6334     372.9950
 3753.60      -1.9329     376.4360
 3754.64      -5.3496     339.4830
 3755.68      -3.6770     307.3660
 3756.72      -4.5817     324.6150
 3757.75      12.7272     378.9910
 3758.79      -7.9362     329.7600
 3759.83       4.0490     367.7710
 3760.87      17.5789     404.6260
 3761.90       0.9479     329.4980
 3762.94       4.9612     317.9970
 3763.98      18.8199     361.8690
 3765.02      42.7921     428.1110
 3766.06       8.3586     369.3230
 3767.09      -4.3888     329.0270
 3768.13     -33.7194     301.8600
 3769.17     -10.8039     299.4870
 3770.21     -12.3425     299.4200
 3771.24       1.2249     308.2650
 3772.28     -17.1157     310.4770
 3773.32       6.7080     312.1950
 3774.36     -12.4288     312.8430
 3775.40      -1.2355     321.5980
 3776.43       4.6631     305.6010
 3777.47       0.3236     272.1790
 3778.51      20.2305     313.6540
 3779.55       3.7217     290.2870
 3780.58      -9.5879     288.1400
 3781.62       3.4553     279.4450
 3782.66      19.0851     307.2360
 3783.70       8.1929     279.2750
 3784.73       1.1902     287.1400
 3785.77      15.6625     256.0210
 3786.81      13.7216     296.1000
 3787.85     -14.7105     255.3500
 3788.89      26.8769     319.3630
 3789.92      -3.8268     258.7200
 3790.96      31.0650     304.0680
 3792.00       7.2154     237.6760
 3793.04      14.2935     265.5200
 3794.07      18.9906     287.3990
 3795.11       1.5607     229.1900
 3796.15     -14.6139     216.5020
 3797.19      -6.5047     225.9300
 3798.23      -7.8984     212.6740
 3799.26      18.0996     237.4310
 3800.30      13.4568     228.2080
 3801.34      25.2056     256.3820
 3802.38      14.5327     235.3550
 3803.41       8.2271     243.2490
 3804.45      11.7629     219.3520
 3805.49      14.2498     211.9360
 3806.53      14.0258     207.4190
 3807.57       4.3752     203.3460
 3808.60      12.8922     201.4390
 3809.64      11.3956     206.7690
 3810.68       7.7558     210.4770
 3811.72      -3.9464     182.2480
 3812.75       7.7216     206.1120
 3813.79      10.0474     200.6150
 3814.83       7.6600     197.3680
 3815.87       6.3969     179.3060
 3816.90       0.6669     171.4270
 3817.94      -7.9996     168.4280
 3818.98     -10.9564     160.9300
 3820.02       5.8256     183.8030
 3821.06       3.8791     173.0490
 3822.09      -2.8198     167.5680
 3823.13      -6.3264     141.8890
 3824.17       7.7123     145.1000
 3825.21      -9.6342     134.7290
 3826.24       2.8049     137.8120
 3827.28      12.2840     144.9550
 3828.32       5.6514     152.3130
 3829.36       4.8825     166.9670
 3830.40       7.1769     152.8580
 3831.43      18.7138     162.9520
 3832.47      -3.3356     138.5970
 3833.51     -12.5683     127.2400
 3834.55      -0.0457     127.4400
 3835.58      -9.1104     119.1420
 3836.62     -18.0518     117.8780
 3837.66     -11.5086     117.3040
 3838.70       5.4656     121.7410
 3839.74       8.5591     119.3910
 3840.77       6.8117     117.6630
 3841.81      -0.5970     123.3120
 3842.85      -3.3802     117.7900
 3843.89       0.0516     115.8560
 3844.92      -2.5594     111.7790
 3845.96      -7.5759      98.9791
 3847.00      -4.4234     102.9570
 3848.04      -1.0972     107.9850
 3849.07      10.1930     118.1090
 3850.11      16.8753     120.7000
 3851.15      10.4795     112.6290
 3852.19     -12.3246      91.1615
 3853.23     -11.4990      88.2732
 3854.26      -2.2077      92.4655
 3855.30      -0.8752      94.7099
 3856.34      -4.7409      94.2774
 3857.38     -15.9539      87.5029
 3858.41      -8.7167      89.5407
 3859.45      -5.2453      91.2602
 3860.49      -5.7691      89.6014
 3861.53     -14.3798      80.9612
 3862.57     -21.1229      76.5716
 3863.60       6.1180      99.1055
 3864.64      12.2565     106.3690
 3865.68      -5.5416      91.0639
 3866.72      -2.0536      85.4880
 3867.75      -0.2871      82.5558
 3868.79      10.9139      92.3378
 3869.83       7.9416      89.5368
 3870.87      -6.1275      74.4392
 3871.91       4.8294      80.2476
 3872.94       7.6384      83.7729
 3873.98       0.8370      76.8363
 3875.02       2.9830      81.9116
