 
TRANSIENT_NAME:     DES13S1acsq
SNID:               1263369    
OBS_DATE:           2014-02-03
MJD:                56691. 
PHASE:              +19.   
MJD_MAX:            56665.9
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.3200  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          GTC
INSTRUMENT:         OSIRIS
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 4752.44  -8.0436e-18   4.9586e-18
 4757.05   9.4363e-20   3.9601e-18
 4761.67   4.2376e-18   3.4800e-18
 4766.28   2.2891e-18   3.1343e-18
 4770.89  -2.6737e-18   2.6184e-18
 4775.51  -5.7878e-18   2.2776e-18
 4780.12   2.7297e-18   2.0437e-18
 4784.74  -2.3915e-18   1.6693e-18
 4789.35   4.8977e-19   1.4903e-18
 4793.97  -1.4514e-18   1.3765e-18
 4798.58   3.7164e-19   1.2393e-18
 4803.20   1.1639e-18   1.1121e-18
 4807.81   6.9981e-19   1.0121e-18
 4812.43   2.5362e-19   9.1479e-19
 4817.04   9.3630e-19   8.0843e-19
 4821.65   2.7028e-20   7.8005e-19
 4826.27  -1.9986e-19   7.0780e-19
 4830.88  -4.7658e-19   6.7285e-19
 4835.50   1.3499e-18   6.5969e-19
 4840.11   4.2151e-19   5.7788e-19
 4844.73   5.3180e-19   5.5090e-19
 4849.34   2.7856e-19   5.1481e-19
 4853.96  -2.5432e-19   4.6413e-19
 4858.57  -1.2543e-19   4.4758e-19
 4863.18   5.0524e-19   4.2917e-19
 4867.80  -6.3062e-19   4.1248e-19
 4872.41  -2.8681e-19   3.9695e-19
 4877.03   7.8790e-19   3.9567e-19
 4881.64  -1.1430e-19   3.6988e-19
 4886.26   2.0359e-19   3.6129e-19
 4890.87   8.0454e-19   3.6584e-19
 4895.49   1.1099e-18   3.6649e-19
 4900.10   5.8429e-19   3.4189e-19
 4904.72  -1.8882e-19   3.1715e-19
 4909.33   2.6127e-19   3.1227e-19
 4913.94  -6.1765e-19   3.0170e-19
 4918.56  -9.9347e-20   3.0036e-19
 4923.17   1.4333e-19   2.9368e-19
 4927.79   3.7455e-19   2.9277e-19
 4932.40   5.0597e-19   2.9846e-19
 4937.02   4.3422e-19   2.8935e-19
 4941.63  -2.8439e-19   2.8115e-19
 4946.25   1.7289e-19   2.7942e-19
 4950.86   5.8118e-19   2.8216e-19
 4955.48   9.9245e-19   2.8853e-19
 4960.09   5.0749e-19   2.8222e-19
 4964.70   3.8640e-19   2.8014e-19
 4969.32   6.8956e-19   2.8964e-19
 4973.93   2.9370e-19   2.7880e-19
 4978.55   2.1603e-19   2.8065e-19
 4983.16   3.7586e-19   2.8074e-19
 4987.78   2.8657e-19   2.7550e-19
 4992.39   5.0262e-19   2.8628e-19
 4997.01   1.7459e-19   2.7901e-19
 5001.62   1.0252e-18   2.8789e-19
 5006.23   8.1532e-19   2.7957e-19
 5010.85   5.5338e-19   2.8022e-19
 5015.46   9.2470e-19   2.8574e-19
 5020.08   4.1795e-19   2.7822e-19
 5024.69   6.3180e-19   2.9136e-19
 5029.31  -3.0853e-19   2.8091e-19
 5033.92   6.3588e-19   2.8936e-19
 5038.54   4.9795e-19   2.7880e-19
 5043.15   1.9095e-18   7.5151e-19
 5047.77   2.6559e-19   7.4676e-19
 5052.38   2.3681e-18   7.1644e-19
 5056.99   1.2681e-18   3.0666e-19
 5061.61   4.3937e-19   2.8911e-19
 5066.22   6.7322e-19   2.9211e-19
 5070.84   8.9207e-19   2.9229e-19
 5075.45   1.2975e-18   3.0697e-19
 5080.07   1.1266e-18   3.0773e-19
 5084.68   3.2935e-20   2.9244e-19
 5089.30   9.2483e-19   3.0721e-19
 5093.91   8.8108e-19   2.9932e-19
 5098.53   2.6754e-19   2.9970e-19
 5103.14   4.6084e-19   2.9932e-19
 5107.75   8.8134e-19   3.0608e-19
 5112.37   1.1137e-18   3.1540e-19
 5116.98   9.8177e-19   3.1992e-19
 5121.60   9.4963e-19   3.1735e-19
 5126.21   1.4958e-18   3.2481e-19
 5130.83   1.3016e-18   3.2629e-19
 5135.44   1.0679e-18   3.2365e-19
 5140.06   1.6236e-18   3.3570e-19
 5144.67   1.5292e-18   3.3434e-19
 5149.29   1.3928e-18   3.3136e-19
 5153.90   1.1687e-18   3.3827e-19
 5158.51   1.3067e-18   3.3987e-19
 5163.13   1.6333e-18   3.3462e-19
 5167.74   1.6416e-18   3.3068e-19
 5172.36   1.1498e-18   3.3443e-19
 5176.97   1.8043e-18   3.3869e-19
 5181.59   8.6800e-19   3.3308e-19
 5186.20   1.2677e-18   3.5319e-19
 5190.82   1.1696e-18   3.9028e-19
 5195.43   1.2073e-18   4.2206e-19
 5200.04   1.4443e-18   4.2727e-19
 5204.66   1.3072e-18   3.9398e-19
 5209.27   1.3944e-18   3.6693e-19
 5213.89   2.2909e-18   3.7589e-19
 5218.50   2.0521e-18   3.7661e-19
 5223.12   1.9515e-18   3.7298e-19
 5227.73   2.2715e-18   3.7925e-19
 5232.35   1.9653e-18   3.8291e-19
 5236.96   2.3619e-18   3.9139e-19
 5241.58   1.5780e-18   3.9052e-19
 5246.19   1.7206e-18   3.8787e-19
 5250.80   2.8001e-18   3.9756e-19
 5255.42   2.1264e-18   3.9268e-19
 5260.03   2.2382e-18   3.9107e-19
 5264.65   2.4825e-18   3.8526e-19
 5269.26   3.0542e-18   3.9336e-19
 5273.88   2.4971e-18   3.9963e-19
 5278.49   2.8315e-18   3.9962e-19
 5283.11   3.2769e-18   4.0398e-19
 5287.72   2.9588e-18   4.1026e-19
 5292.33   3.6390e-18   4.1767e-19
 5296.95   2.9598e-18   4.1358e-19
 5301.56   2.7225e-18   4.1908e-19
 5306.18   2.1821e-18   4.1445e-19
 5310.79   2.5494e-18   4.1922e-19
 5315.41   3.1632e-18   4.2366e-19
 5320.02   2.6640e-18   4.1931e-19
 5324.64   2.5643e-18   4.2607e-19
 5329.25   3.3551e-18   4.2915e-19
 5333.87   2.7133e-18   4.2818e-19
 5338.48   3.8653e-18   4.4162e-19
 5343.09   3.5553e-18   4.5092e-19
 5347.71   2.9727e-18   4.6508e-19
 5352.32   2.7906e-18   4.8001e-19
 5356.94   3.8909e-18   4.7822e-19
 5361.55   3.8459e-18   4.6291e-19
 5366.17   3.2178e-18   4.4371e-19
 5370.78   2.5156e-18   4.3357e-19
 5375.40   3.2070e-18   4.3795e-19
 5380.01   2.5533e-18   4.3586e-19
 5384.63   2.4593e-18   4.3348e-19
 5389.24   2.4477e-18   4.2673e-19
 5393.85   2.9181e-18   4.2196e-19
 5398.47   3.6191e-18   4.2318e-19
 5403.08   3.2917e-18   4.1830e-19
 5407.70   3.4160e-18   4.2174e-19
 5412.31   3.4354e-18   4.2206e-19
 5416.93   3.4229e-18   4.2675e-19
 5421.54   2.1786e-18   4.2017e-19
 5426.16   3.1787e-18   4.1919e-19
 5430.77   2.3190e-18   4.1852e-19
 5435.39   3.4819e-18   4.2429e-19
 5440.00   2.7489e-18   4.1800e-19
 5444.61   3.5956e-18   4.1850e-19
 5449.23   3.7662e-18   4.1421e-19
 5453.84   3.7607e-18   4.3647e-19
 5458.46   3.5832e-18   4.4413e-19
 5463.07   3.4149e-18   4.4121e-19
 5467.69   3.7060e-18   4.2395e-19
 5472.30   3.6437e-18   4.0754e-19
 5476.92   4.0644e-18   4.0488e-19
 5481.53   3.7003e-18   4.0125e-19
 5486.15   3.5779e-18   3.9880e-19
 5490.76   3.0771e-18   3.9843e-19
 5495.37   3.7598e-18   3.9756e-19
 5499.99   4.4261e-18   3.9676e-19
 5504.60   3.3801e-18   3.9410e-19
 5509.22   4.0770e-18   3.9461e-19
 5513.83   3.5587e-18   3.9250e-19
 5518.45   3.8596e-18   3.8768e-19
 5523.06   3.7404e-18   3.8570e-19
 5527.68   3.9231e-18   3.8258e-19
 5532.29   3.3833e-18   3.8090e-19
 5536.90   3.7196e-18   3.8716e-19
 5541.52   3.0187e-18   3.8614e-19
 5546.13   4.6574e-18   3.8627e-19
 5550.75   3.8740e-18   3.8125e-19
 5555.36   3.6913e-18   3.7783e-19
 5559.98   3.1237e-18   3.8421e-19
 5564.59   4.0098e-18   4.4448e-19
 5569.21   3.1556e-18   8.0851e-19
 5573.82   4.3053e-18   1.0446e-18
 5578.44   4.2255e-18   1.0479e-18
 5583.05   5.6182e-18   8.3908e-19
 5587.66   2.7384e-18   4.5656e-19
 5592.28   4.3077e-18   3.6323e-19
 5596.89   3.3614e-18   3.5895e-19
 5601.51   4.1609e-18   3.6112e-19
 5606.12   4.3786e-18   3.6020e-19
 5610.74   3.3989e-18   3.5256e-19
 5615.35   3.8492e-18   3.4831e-19
 5619.97   3.4868e-18   3.4837e-19
 5624.58   3.5340e-18   3.4488e-19
 5629.20   3.5101e-18   3.4235e-19
 5633.81   3.6296e-18   3.3808e-19
 5638.42   3.5794e-18   3.3492e-19
 5643.04   3.0722e-18   3.3496e-19
 5647.65   3.0149e-18   3.3368e-19
 5652.27   3.5338e-18   3.2971e-19
 5656.88   3.3577e-18   3.2625e-19
 5661.50   3.1008e-18   3.2610e-19
 5666.11   4.2697e-18   3.2730e-19
 5670.73   3.3251e-18   3.2877e-19
 5675.34   3.2174e-18   3.3130e-19
 5679.96   3.8918e-18   3.3628e-19
 5684.57   3.6791e-18   3.4084e-19
 5689.18   2.3223e-18   3.3589e-19
 5693.80   2.6941e-18   3.2845e-19
 5698.41   3.0638e-18   3.2081e-19
 5703.03   3.5203e-18   3.1345e-19
 5707.64   2.7521e-18   3.0901e-19
 5712.26   3.0151e-18   3.0824e-19
 5716.87   3.7067e-18   3.0926e-19
 5721.49   3.6710e-18   3.0894e-19
 5726.10   3.8754e-18   3.0596e-19
 5730.71   2.3986e-18   3.0049e-19
 5735.33   3.4164e-18   2.9938e-19
 5739.94   3.9117e-18   2.9629e-19
 5744.56   2.4514e-18   2.9179e-19
 5749.17   2.8053e-18   2.8761e-19
 5753.79   2.9542e-18   2.8535e-19
 5758.40   3.3086e-18   2.8460e-19
 5763.02   2.4657e-18   2.8417e-19
 5767.63   3.2211e-18   2.8647e-19
 5772.25   2.8746e-18   2.8230e-19
 5776.86   2.8295e-18   2.7497e-19
 5781.47   2.9556e-18   2.7237e-19
 5786.09   3.0713e-18   2.7249e-19
 5790.70   3.2258e-18   2.7172e-19
 5795.32   2.9987e-18   2.6857e-19
 5799.93   3.6009e-18   2.6626e-19
 5804.55   2.5582e-18   2.6156e-19
 5809.16   3.0313e-18   2.6070e-19
 5813.78   2.7403e-18   2.5963e-19
 5818.39   2.6409e-18   2.5579e-19
 5823.00   2.1593e-18   2.5490e-19
 5827.62   2.3529e-18   2.5349e-19
 5832.23   2.2015e-18   2.5168e-19
 5836.85   2.3477e-18   2.5123e-19
 5841.46   2.5931e-18   2.4885e-19
 5846.08   2.2635e-18   2.4791e-19
 5850.69   2.9381e-18   2.4718e-19
 5855.31   2.5726e-18   2.4852e-19
 5859.92   2.6774e-18   2.5901e-19
 5864.54   2.5757e-18   2.6632e-19
 5869.15   2.7213e-18   2.6695e-19
 5873.76   2.2725e-18   2.5936e-19
 5878.38   2.9158e-18   2.9810e-19
 5882.99   2.3979e-18   4.1667e-19
 5887.61   2.6195e-18   5.2667e-19
 5892.22   1.8215e-18   5.5940e-19
 5896.84   2.7612e-18   4.9622e-19
 5901.45   2.1890e-18   3.7799e-19
 5906.07   2.6719e-18   2.8283e-19
 5910.68   2.6114e-18   2.5958e-19
 5915.30   3.0382e-18   2.5775e-19
 5919.91   2.2286e-18   2.5391e-19
 5924.52   2.3520e-18   2.5260e-19
 5929.14   3.0627e-18   2.5493e-19
 5933.75   3.0663e-18   2.5188e-19
 5938.37   2.7745e-18   2.4400e-19
 5942.98   2.8013e-18   2.3941e-19
 5947.60   2.2368e-18   2.4298e-19
 5952.21   2.5533e-18   2.4270e-19
 5956.83   2.7148e-18   2.3961e-19
 5961.44   2.8559e-18   2.3410e-19
 5966.06   2.5521e-18   2.3170e-19
 5970.67   2.5430e-18   2.3375e-19
 5975.28   2.6927e-18   2.3363e-19
 5979.90   2.7738e-18   2.3139e-19
 5984.51   2.9263e-18   2.2651e-19
 5989.13   3.1922e-18   2.2311e-19
 5993.74   2.8103e-18   2.2374e-19
 5998.36   3.5917e-18   2.2854e-19
 6002.97   2.7444e-18   2.2486e-19
 6007.59   3.2319e-18   2.2185e-19
 6012.20   3.2447e-18   2.1884e-19
 6016.81   3.5833e-18   2.1798e-19
 6021.43   3.0442e-18   2.1514e-19
 6026.04   3.2072e-18   2.1733e-19
 6030.66   2.9309e-18   2.2086e-19
 6035.27   3.1005e-18   2.1768e-19
 6039.89   3.4336e-18   2.1718e-19
 6044.50   3.1948e-18   2.1597e-19
 6049.12   3.2645e-18   2.1384e-19
 6053.73   3.4214e-18   2.1448e-19
 6058.35   3.8671e-18   2.1577e-19
 6062.96   3.2192e-18   2.1305e-19
 6067.57   3.2289e-18   2.1699e-19
 6072.19   3.2209e-18   2.1431e-19
 6076.80   2.8582e-18   2.0573e-19
 6081.42   3.7005e-18   2.1017e-19
 6086.03   3.1952e-18   2.1248e-19
 6090.65   3.4742e-18   2.1232e-19
 6095.26   3.5010e-18   2.1445e-19
 6099.88   2.8215e-18   2.1421e-19
 6104.49   3.2103e-18   2.1795e-19
 6109.11   3.7623e-18   2.2290e-19
 6113.72   2.9412e-18   2.2089e-19
