 
TRANSIENT_NAME:     DES13S1sty 
SNID:               1258940    
OBS_DATE:           2013-12-03
MJD:                56629. 
PHASE:              +6.    
MJD_MAX:            56619.8
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.4275  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          KECK-I
INSTRUMENT:         LRIS
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 2881.27  -1.3824e+03   2.1264e+04
 2882.33   1.0234e+04   2.3349e+04
 2883.39  -4.6519e+04   3.4268e+04
 2884.45  -3.0364e+05   3.6116e+04
 2885.51   1.5848e+05   1.0054e+05
 2886.57   1.4172e+05   1.0054e+05
 2887.63  -5.8687e+04   7.7432e+04
 2888.69  -1.2137e+05   6.4976e+04
 2889.75  -1.6568e+05   5.6885e+04
 2890.81   1.0640e+05   4.6855e+04
 2891.87   5.5536e+04   4.6855e+04
 2892.93  -4.8998e+03   4.8444e+04
 2893.99  -3.4869e+04   4.8444e+04
 2895.05  -5.1783e+04   4.8444e+04
 2896.11   3.7980e+04   4.6855e+04
 2897.17  -7.4298e+04   4.4953e+04
 2898.23  -1.2440e+04   4.4683e+04
 2899.29  -4.3196e+04   4.4683e+04
 2900.34   1.4453e+03   3.7285e+04
 2901.40   3.9477e+02   3.7285e+04
 2902.46   4.2323e+04   2.5728e+04
 2903.52   4.0490e+04   2.4666e+04
 2904.58  -5.0376e+04   2.4666e+04
 2905.64  -2.9291e+04   2.4324e+04
 2906.70   7.1461e+02   2.4324e+04
 2907.76  -2.0332e+03   2.1652e+04
 2908.82  -2.8212e+04   2.0559e+04
 2909.88  -4.2798e+04   2.0559e+04
 2910.94   2.2218e+03   1.3906e+04
 2912.00   3.7608e+04   1.6168e+04
 2913.06   6.8370e+03   1.3906e+04
 2914.12  -2.3723e+04   1.3891e+04
 2915.18   3.4926e+03   1.3402e+04
 2916.24  -5.4725e+03   1.2441e+04
 2917.30  -3.8094e+04   1.1394e+04
 2918.36  -2.0793e+04   1.1394e+04
 2919.42  -2.3688e+04   1.1394e+04
 2920.48  -4.6665e+03   1.1289e+04
 2921.53  -5.4651e+03   9.3837e+03
 2922.59  -2.9120e+04   8.1119e+03
 2923.65   4.3020e+03   7.9809e+03
 2924.71   7.2009e+03   7.0403e+03
 2925.77  -9.7581e+03   6.9408e+03
 2926.83  -1.0567e+04   6.0965e+03
 2927.89   4.5679e+03   6.0965e+03
 2928.95   6.8531e+03   6.0886e+03
 2930.01  -8.0698e+03   5.7105e+03
 2931.07   3.7091e+02   3.7993e+03
 2932.13  -8.4284e+02   3.5279e+03
 2933.19  -5.7136e+03   3.4044e+03
 2934.25  -4.0876e+03   2.5673e+03
 2935.31   1.7669e+03   2.5673e+03
 2936.37   2.0505e+03   2.5673e+03
 2937.43   4.8136e+02   2.0160e+03
 2938.49   2.2669e+03   2.0160e+03
 2939.55   4.0222e+01   2.0160e+03
 2940.61   5.6296e+03   2.0160e+03
 2941.67   2.3128e+03   2.0160e+03
 2942.72   2.8223e+03   2.4682e+03
 2943.78   7.6959e+02   2.4682e+03
 2944.84  -3.1279e+03   2.4682e+03
 2945.90  -4.6987e+03   2.0160e+03
 2946.96   8.0658e+02   2.0160e+03
 2948.02  -1.1531e+03   2.0160e+03
 2949.08  -1.6409e+02   2.0160e+03
 2950.14  -7.6185e+03   2.4682e+03
 2951.20  -6.2390e+03   2.4682e+03
 2952.26  -5.7955e+03   2.0160e+03
 2953.32   1.4894e+03   2.4682e+03
 2954.38  -3.1038e+03   2.5673e+03
 2955.44   2.7640e+03   2.5748e+03
 2956.50  -9.1463e+02   3.0433e+03
 2957.56  -1.2535e+03   2.5748e+03
 2958.62   2.6253e+02   3.0433e+03
 2959.68   1.1210e+03   3.1960e+03
 2960.74  -5.0716e+03   3.4069e+03
 2961.80  -4.3552e+02   3.4069e+03
 2962.85  -7.0022e+02   3.9122e+03
 2963.91  -3.9410e+02   4.3112e+03
 2964.97  -2.4426e+03   4.3112e+03
 2966.03  -1.0817e+03   4.7209e+03
 2967.09  -8.5199e+02   4.7209e+03
 2968.15  -3.4990e+03   6.8435e+03
 2969.21  -3.3240e+03   3.0697e+04
 2970.27  -2.6135e+03   3.1415e+04
 2971.33  -1.9546e+03   5.6734e+04
 2972.39  -1.4026e+02   5.7721e+04
 2973.45  -1.9753e+03   5.7721e+04
 2974.51   3.1211e+04   5.7721e+04
 2975.57  -1.2388e+05   5.7721e+04
 2976.63  -9.9379e+05   5.8415e+04
 2977.69  -1.3064e+05   5.8415e+04
 2978.75   2.8611e+04   5.8415e+04
 2979.81  -3.7150e+03   5.8415e+04
 2980.87   2.0072e+03   5.8415e+04
 2981.93   1.4330e+03   5.8415e+04
 2982.99   4.1406e+02   3.2582e+04
 2984.05  -1.1997e+02   3.1586e+04
 2985.10  -1.7932e+02   6.8623e+03
 2986.16   5.4649e+02   4.4851e+03
 2987.22  -7.3883e+01   4.4851e+03
 2988.28  -1.1418e+02   3.5063e+03
 2989.34  -1.2829e+02   1.2867e+03
 2990.40  -4.7716e+01   3.4299e+02
 2991.46   6.2733e+01   2.5662e+02
 2992.52   2.9895e+02   1.6815e+02
 2993.58   8.1269e+01   1.0824e+02
 2994.64  -4.7932e+01   8.2117e+01
 2995.70  -2.8131e+01   7.0217e+01
 2996.76   1.0672e+02   6.3724e+01
 2997.82   1.1387e+02   4.9719e+01
 2998.88   1.0055e+02   4.4500e+01
 2999.94   9.2134e-01   3.9583e+01
 3001.00   2.2619e+01   3.1552e+01
 3002.06   6.0115e+01   2.8957e+01
 3003.12   6.7213e+01   2.6622e+01
 3004.18   9.9472e+00   2.6411e+01
 3005.24   2.1937e+01   2.3318e+01
 3006.29   1.1242e+01   1.8878e+01
 3007.35  -3.5065e+00   1.2890e+01
 3008.41   5.1542e+00   1.1143e+01
 3009.47   3.6128e+01   1.1143e+01
 3010.53  -1.2760e+01   1.0688e+01
 3011.59  -4.9543e+00   1.0292e+01
 3012.65  -4.2947e+00   8.8478e+00
 3013.71   8.2005e+00   6.1882e+00
 3014.77  -1.6680e+00   4.6518e+00
 3015.83  -1.9745e+00   3.5313e+00
