 
TRANSIENT_NAME:     DES13X1kae 
SNID:               1255502    
OBS_DATE:           2013-10-29
MJD:                56594. 
PHASE:              +1.    
MJD_MAX:            56593.0
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.1490  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          SALT
INSTRUMENT:         RSS
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 1837.09       0.0000      25.3290
 1840.11      12.3520      25.8600
 1843.14      37.6190      26.5020
 2569.29      40.8630      26.5220
 2572.32       8.6900      25.9430
 2575.34      11.6420      25.9540
 2578.37       4.2980      25.7220
 2581.40       3.6550      25.8550
 2584.42      10.1990      25.9420
 3670.68      21.7990      26.8620
 3673.71      39.3490      27.2070
 3776.58      17.6720      27.6260
 3779.61      31.4120      28.1840
 3818.95      65.4550      30.3960
 3821.97      42.3410      30.6810
 3825.00      51.6460      31.2040
 3828.02     119.4440      32.4390
 3831.05     168.1650      33.5810
 3834.07     147.6630      33.7080
 3837.10     205.3680      35.0530
 3840.12     203.9400      35.3840
 3843.15     190.3730      35.4940
 3846.18     278.2080      36.8130
 3849.20     203.2940      35.9370
 3852.23     239.2650      36.8690
 3855.25     267.2600      37.3940
 3858.28     271.4360      37.4880
 3861.31     349.7100      38.6330
 3864.33     330.1260      38.4310
 3867.36     361.9600      38.9820
 3870.38     290.4620      38.2150
 3873.41     366.2130      39.3630
 3876.44     449.1000      40.3410
 3879.46     432.6560      40.2020
 3882.49     456.8170      40.5970
 3885.51     550.8510      41.7460
 3888.54     470.6000      41.0860
 3891.56     531.6760      41.9750
 3894.59     563.1390      42.4000
 3897.62     535.6870      42.5230
 3900.64     529.0350      42.9350
 3903.67     552.8410      43.6110
 3906.69     588.2570      44.7110
 3909.72     588.5440      45.3860
 3912.75     618.0200      46.1490
 3915.77     587.3690      46.1220
 3918.80     635.5080      46.7370
 3921.82     575.5010      46.1500
 3924.85     676.8230      47.2500
 3927.87     631.5000      46.4940
 3930.90     664.6690      46.5510
 3933.93     679.2000      46.4730
 3936.95     780.2130      47.3360
 3939.98     805.6680      47.7470
 3943.00     834.1470      48.4150
 3946.03     789.5120      48.1790
 3949.05     831.7970      48.8580
 3952.08     804.9120      48.8300
 3955.11     848.0530      49.3820
 3958.13     906.1000      49.9990
 3961.16     927.6900      50.1100
 3964.18     939.3370      50.0390
 3967.21     931.2140      49.8620
 3970.24     998.4280      50.3730
 3973.26    1055.7090      50.8840
 3976.29    1008.8190      50.4090
 3979.31    1040.5909      51.0230
 3982.34    1038.1250      51.4540
 3985.36    1131.6230      52.8240
 3988.39    1207.2250      53.8260
 3991.42    1179.3719      53.8550
 3994.44    1199.6610      54.4880
 3997.47    1126.7970      54.0620
 4000.49    1194.5400      54.9000
 4003.52    1208.2430      55.1870
 4006.54    1236.7729      55.6860
 4009.57    1276.9500      56.3830
 4012.60    1304.0909      57.0950
 4015.62    1269.4570      57.1390
 4018.65    1335.7450      57.9050
 4021.68    1294.0430      57.7850
 4024.70    1338.4480      58.1430
 4027.73    1422.4399      58.9260
 4030.75    1478.2910      59.3970
 4033.78    1527.4370      59.6650
 4036.80    1526.3120      59.9610
 4039.83    1452.7240      59.5190
 4042.85    1466.5580      59.8270
 4045.88    1462.6670      60.1710
 4048.91    1523.6550      61.0430
 4051.93    1563.9919      61.5110
 4054.96    1564.7870      61.6890
 4057.98    1481.6949      61.1760
 4061.01    1539.0590      62.1190
 4064.04    1669.3790      63.2600
 4067.06    1717.3960      63.8140
 4070.09    1788.3990      64.3930
 4073.11    1781.7400      64.6220
 4076.14    1795.7760      64.9940
 4079.17    1885.8860      65.9560
 4082.19    1953.9709      66.4380
 4085.22    1915.8420      66.1020
 4088.24    1872.8110      65.5790
 4091.27    1913.1230      65.8630
 4094.29    2017.4771      66.3910
 4097.32    1981.1240      66.0560
 4100.35    1992.8220      65.9270
 4103.37    2082.8950      66.3000
 4106.40    2019.7750      65.7200
 4109.42    2069.2471      66.1370
 4112.45    2144.5410      66.5320
 4115.48    2141.8921      66.3960
 4118.50    2124.2649      66.6570
 4121.53    2193.0500      67.2590
 4124.55    2262.5381      67.9240
 4127.58    2340.2439      68.8700
 4130.60    2470.7419      70.0240
 4133.63    2420.8740      69.9100
 4136.66    2331.5049      69.5600
 4139.68    2394.4419      70.1130
 4142.71    2469.1550      70.6070
 4145.73    2489.7410      70.7470
 4148.76    2508.9590      70.8750
 4151.79    2510.2329      71.0970
 4154.81    2538.0569      71.5310
 4157.84    2511.1130      71.4200
 4160.86    2538.6211      71.8690
 4163.89    2626.2329      72.9500
 4166.91    2606.4209      73.1190
 4169.94    2531.5559      73.0500
 4172.97    2474.9299      72.9590
 4175.99    2530.3049      73.6310
 4179.02    2624.3340      74.4160
 4182.04    2568.8970      73.9120
 4185.07    2547.0730      73.3720
 4188.10    2498.4741      72.7100
 4191.12    2421.3730      71.7790
 4194.15    2367.8479      71.1740
 4197.17    2386.7849      71.0570
 4200.20    2393.7061      70.9670
 4203.22    2415.2759      70.7990
 4206.25    2405.4490      70.7070
 4209.28    2266.4331      69.7280
 4212.30    2193.2561      69.0830
 4215.33    2245.1580      69.4250
 4218.35    2152.9270      68.8520
 4221.38    2071.3689      68.0950
 4224.40    2031.9750      67.7720
 4227.43    1941.3160      66.9390
 4230.46    1908.6250      66.6670
 4233.48    1958.5420      66.9980
 4236.51    2018.1479      67.4870
 4239.53    1940.6710      67.1030
 4242.56    1910.8390      66.8850
 4245.59    1849.6980      66.5690
 4248.61    1799.9070      66.4010
 4251.64    1842.7570      66.9310
 4254.66    1844.1630      67.0860
 4257.69    1849.8929      67.4040
 4260.71    1842.3730      67.6490
 4263.74    1788.1130      67.5670
 4266.77    1725.8450      67.0720
 4269.79    1744.0750      67.1620
 4272.82    1704.2130      66.9180
 4275.84    1679.5740      66.6340
 4278.87    1701.7200      66.7390
 4281.90    1757.7600      67.2280
 4284.92    1820.8350      67.7890
 4287.95    1846.3040      67.8850
 4290.97    1886.9670      68.1190
 4294.00    1997.4561      68.7270
 4297.02    2042.8000      68.8880
 4300.05    2028.0370      68.7530
 4303.08    2075.0581      68.9990
 4306.10    2039.5790      68.8400
 4309.13    2001.0861      68.6690
 4312.15    2025.8920      69.1330
 4315.18    2033.6490      69.4760
 4318.21    2130.1050      70.2770
 4321.23    2273.9121      71.4000
 4324.26    2174.7461      71.1620
 4327.28    2217.9939      71.5500
 4330.31    2318.2710      72.3180
 4333.33    2296.7319      72.0830
 4336.36    2275.2100      71.8580
 4339.39    2246.9009      71.5570
 4342.41    2179.8369      71.0410
 4345.44    2206.9641      71.2090
 4348.46    2256.9719      71.5510
 4351.49    2186.0669      71.1240
 4354.52    2193.9221      71.2570
 4357.54    2056.1970      70.5070
 4360.57    2107.8850      70.9670
 4363.59    1983.8199      70.3280
 4366.62    1966.5640      70.4860
 4369.65    1983.6490      70.5430
 4372.67    2023.6350      70.8870
 4375.70    2061.2520      71.2780
 4378.72    2092.8169      71.3100
 4381.75    1966.9600      70.4170
 4384.77    2051.7070      71.2540
 4387.80    2062.6250      71.1740
 4390.83    2046.4730      71.0610
 4393.85    1955.9590      70.5780
 4396.88    2023.4230      71.3400
 4399.90    2133.6670      72.2290
 4402.93    2204.2661      72.9870
 4405.96    2111.5779      72.8940
 4408.98    2115.8989      73.5520
 4412.01    2183.9109      74.5800
 4415.03    2422.6631      76.6830
 4418.06    2434.9380      77.2080
 4421.08    2318.5320      76.7380
 4424.11    2615.5281      78.7220
 4427.13    2591.4609      78.5700
 4430.16    2673.1560      79.1040
 4433.19    2765.6670      79.6350
 4436.21    2858.4270      80.0290
 4439.24    2872.6340      79.8670
 4442.26    2882.8120      79.8980
 4445.29    2929.5190      80.0820
 4448.32    3273.4390      81.8990
 4451.34    3320.6880      81.9950
 4454.37    3336.6750      81.9650
 4457.39    3259.0249      81.4370
 4460.42    3381.7019      82.0690
 4463.44    3342.7461      81.5970
 4466.47    3280.0100      81.1030
 4469.50    3435.2141      81.9180
 4472.52    3425.7791      81.9020
 4475.55    3526.8301      82.6370
 4478.57    3488.4031      82.4430
 4481.60    3406.9541      82.0470
 4484.63    3607.5740      83.4010
 4487.65    3442.6699      82.5260
 4490.68    3479.7720      82.8790
 4493.70    3633.1350      83.8810
 4496.73    3654.3669      84.0500
 4499.75    3567.2871      83.6500
 4502.78    3651.0811      84.3080
 4505.81    3699.1760      84.7310
 4508.83    3552.5049      83.9700
 4511.86    3759.0530      85.2920
 4514.88    3636.3550      84.7060
 4517.91    3755.4719      85.4330
 4520.94    3734.4519      85.4740
 4523.96    3717.1379      85.5640
 4526.99    3653.0359      85.2710
 4530.01    3878.0039      86.5540
 4533.04    3950.6489      87.2380
 4536.06    3949.3840      87.6320
 4539.09    4132.1411      88.9070
 4542.12    4109.3320      88.9630
 4545.14    4331.5000      90.3270
 4548.17    4177.7339      89.5730
 4551.19    4320.0669      90.3050
 4554.22    4068.4810      88.9670
 4557.25    3890.1541      88.0360
 4560.27    3953.8301      88.1380
 4563.30    3842.0120      87.3630
 4566.32    3802.0171      86.9530
 4569.35    3698.5950      86.2370
 4572.38    3700.9871      86.3530
 4575.40    3786.1101      86.9650
 4578.43    3793.8379      86.9890
 4581.45    3816.9641      87.0920
 4584.48    3852.7720      87.4370
 4587.50    3948.3999      87.9480
 4590.53    3746.4180      86.8080
 4593.56    3837.8220      87.4630
 4596.58    3963.9270      88.2310
 4599.61    3923.4541      87.8520
 4602.63    3977.8311      88.1780
 4605.66    4002.8579      88.1850
 4608.69    4126.4111      88.7060
 4611.71    4204.3760      89.0580
 4614.74    4164.6660      88.9030
 4617.76    4029.5161      88.2500
 4620.79    4153.1001      89.0990
 4623.81    4303.0972      89.9900
 4626.84    4355.5859      90.2610
 4629.87    4418.1040      90.6230
 4632.89    4428.9268      90.7030
 4635.92    4450.0122      90.7560
 4638.94    4345.7109      90.2500
 4641.97    4293.1450      89.9770
 4645.00    4527.5010      91.1090
 4648.02    4701.0010      91.9730
 4651.05    4534.7358      91.2480
 4654.07    4561.9341      91.4700
 4657.10    4677.1021      92.1320
 4660.12    4820.9028      93.1350
 4663.15    4858.4302      93.5450
 4666.18    4629.3052      92.4790
 4669.20    4545.5952      92.2220
 4672.23    4413.0439      91.7830
 4675.25    4617.9229      93.0140
 4678.28    4652.2871      93.0520
 4681.31    4836.1299      94.1200
 4684.33    4647.5952      93.3110
 4687.36    4657.2070      93.3960
 4690.38    4716.5620      93.6600
 4693.41    4752.1460      93.7520
 4696.43    4750.9351      93.6290
 4699.46    4604.9741      92.7810
 4702.49    4619.7129      92.8040
 4705.51    4681.7432      93.0250
 4708.54    4570.0171      92.3580
 4711.56    4541.2051      92.1160
 4714.59    4438.3779      91.6440
 4717.62    4450.2920      91.7540
 4720.64    4416.5132      91.6960
 4723.67    4375.7632      91.5280
 4726.69    4438.6240      91.9290
 4729.72    4358.0552      91.3080
 4732.74    4353.5361      91.3000
 4735.77    4407.1841      91.4900
 4738.80    4285.7329      90.6920
 4741.82    4286.3491      90.7010
 4744.85    4268.1191      90.5570
 4747.87    4280.7461      90.6570
 4750.90    4310.2422      90.7940
 4753.92    4151.3599      89.8770
 4756.95    4093.9041      89.5230
 4759.98    4241.2520      90.3200
 4763.00    4222.3140      90.2160
 4766.03    4304.6099      90.6760
 4769.05    4342.2212      90.9970
 4772.08    4302.4229      90.7920
 4775.11    4280.4121      90.8970
 4778.13    4440.8960      91.7390
 4781.16    4406.6299      91.6570
 4784.18    4406.0649      91.6770
 4787.21    4531.0029      92.3730
 4790.23    4546.1230      92.5300
 4793.26    4452.4790      92.0710
 4796.29    4449.4868      92.1170
 4799.31    4387.1201      91.9330
 4802.34    4332.1660      91.7620
 4805.36    4272.2881      91.5810
 4808.39    4405.2300      92.2230
 4811.42    4369.1211      92.2760
 4814.44    4285.8911      92.1050
 4817.47    4275.6401      92.1450
 4820.49    4164.9321      91.8230
 4823.52    4099.8350      91.7070
 4826.54    4140.9570      92.1570
 4829.57    4095.4480      92.3330
 4832.60    4002.5500      92.1100
 4835.62    4064.1121      92.4860
 4838.65    4037.3701      92.3460
 4841.67    3922.3169      91.7720
 4844.70    3750.9680      90.7860
 4847.73    3811.4509      90.9880
 4850.75    3805.4980      90.6610
 4853.78    3707.1260      89.7760
 4856.80    3629.3840      88.9920
 4859.83    3531.8000      88.1240
 4862.85    3532.5791      87.8470
 4865.88    3549.9719      87.6150
 4868.91    3466.1990      87.1040
 4871.93    3432.8899      86.6880
 4874.96    3440.9861      86.6270
 4877.98    3447.9661      86.9060
 4881.01    3534.2939      87.5900
 4884.04    3378.8259      86.8360
 4887.06    3279.4370      86.4820
 4890.09    3295.8430      86.8740
 4893.11    3261.9751      86.6810
 4896.14    3144.8711      86.2240
 4899.17    3234.4500      86.7740
 4902.19    3260.1970      86.8410
 4905.22    3087.7661      85.7460
 4908.24    3036.5320      85.5380
 4911.27    3159.3999      86.1780
 4914.29    3144.1069      86.0310
 4917.32    3019.7261      85.2020
 4920.35    2925.5020      84.5690
 4923.37    2920.9709      84.4720
 4926.40    2925.9651      84.5040
 4929.42    2979.7161      84.7930
 4932.45    3000.1760      84.8410
 4935.48    2838.4880      83.9370
 5129.13    4474.0972      94.5260
 5132.15    4581.4170      95.1570
 5135.18    4524.2578      95.0470
 5138.21    4680.0532      96.0850
 5141.23    4755.9868      96.5900
 5144.26    4663.0259      96.2130
 5147.28    4500.4868      95.7950
 5150.31    4681.8521      96.9180
 5153.33    4576.0010      96.5050
 5156.36    4601.7710      96.7020
 5159.39    4464.0659      95.8860
 5162.41    4049.4131      93.6470
 5165.44    3498.5481      90.4180
 5168.46    3644.2461      90.8240
 5171.49    3821.3979      91.6780
 5174.52    3999.6509      92.6280
 5177.54    4374.7061      94.6060
 5180.57    4585.7690      95.6490
 5183.59    4504.7100      95.0890
 5186.62    4589.7690      95.7110
 5189.65    4841.0010      97.6110
 5192.67    4784.0918      97.8410
 5195.70    4761.5820      98.5570
 5198.72    4621.4321      98.7900
 5201.75    4522.1460      98.9230
 5204.77    4560.6230      99.5000
 5207.80    4666.9370     100.2360
 5210.83    4593.8462      99.5740
 5213.85    4335.2798      97.8930
 5216.88    4556.0830      98.6150
 5219.90    4479.8359      97.7400
 5222.93    4452.1650      97.3430
 5225.96    4398.6582      96.9980
 5228.98    4452.6372      97.2010
 5232.01    4828.3291      99.2070
 5235.03    4626.3848      98.1570
 5238.06    4530.0098      97.9250
 5241.08    4383.2241      97.2210
 5244.11    4520.1509      98.0080
 5247.14    4494.6362      97.9720
 5250.16    4570.9639      98.4720
 5253.19    4629.7568      98.9220
 5256.21    4525.7808      98.2340
 5259.24    4782.7612      99.3400
 5262.27    4730.3979      98.8320
 5265.29    4897.7280      99.6850
 5268.32    4624.3062      98.2770
 5271.34    4934.1382      99.5950
 5274.37    4584.2202      97.7230
 5277.40    4770.3159      98.5780
 5280.42    4786.8130      98.7410
 5283.45    4721.8218      98.5890
 5286.47    4848.9580      99.3180
 5289.50    4894.8032      99.7220
 5292.52    4841.1812      99.6670
 5295.55    4954.7949     100.3710
 5298.58    4859.8999     100.1330
 5301.60    4865.6011     100.2820
 5304.63    4832.3960     100.1580
 5307.65    4751.6060     100.0070
 5310.68    4647.5771      99.8640
 5313.71    4775.1509     100.5500
 5316.73    4839.1401     100.9660
 5319.76    4789.1499     100.9640
 5322.78    4766.7842     100.6710
 5325.81    4626.6611     100.0570
 5328.83    4637.6548     100.1750
 5331.86    4615.3291     100.2040
 5334.89    4629.8281     100.3640
 5337.91    4672.1870     100.4550
 5340.94    4624.6860     100.1600
 5343.96    4531.4502      99.8450
 5346.99    4428.4429      99.2210
 5350.02    4472.8760      99.6960
 5353.04    4301.7930      98.8680
 5356.07    4432.4219      99.4020
 5359.09    4316.6309      98.8580
 5362.12    4555.0430      99.8770
 5365.14    4432.8540      99.2940
 5368.17    4373.5581      99.0010
 5371.20    4411.4102      99.1720
 5374.22    4293.5610      98.6380
 5377.25    4547.7300      99.8390
 5380.27    4369.2612      99.1510
 5383.30    4508.4141      99.7280
 5386.33    4340.6768      98.9150
 5389.35    4417.8071      99.3630
 5392.38    4363.5200      98.9890
 5395.40    4288.6392      98.7700
 5398.43    4246.0029      98.4990
 5401.45    4255.4551      98.5070
 5404.48    4389.4150      99.1010
 5407.51    4402.3921      99.0840
 5410.53    4394.1182      99.0530
 5413.56    4525.8589      99.7020
 5416.58    4372.2061      99.0110
 5419.61    4373.9819      99.1610
 5422.63    4346.4648      99.2180
 5425.66    4180.9619      98.5120
 5428.69    4468.5220     100.0440
 5431.71    4242.6382      99.1090
 5434.74    4178.6450      98.8500
 5437.76    4277.6592      99.4460
 5440.79    4227.7969      99.2280
 5443.82    4143.1089      98.9960
 5446.84    4113.0620      99.0760
 5449.87    4170.7842      99.5960
 5452.89    4172.6118      99.6050
 5455.92    4036.6570      99.3050
 5458.94    4007.2219      98.8200
 5461.97    4009.5920      98.9040
 5465.00    4047.5010      99.3640
 5468.02    4097.9780      99.6940
 5471.05    3907.7080      98.8260
 5474.07    4192.7119     100.3430
 5477.10    4194.7920     100.4480
 5480.13    4021.8960      99.5790
 5483.15    4087.3799      99.9480
 5486.18    4368.9849     101.5510
 5489.20    4069.9441     100.1840
 5492.23    4239.8799     101.3250
 5495.25    4435.5400     102.3280
 5498.28    4430.3101     102.4520
 5501.31    4408.0430     102.8180
 5504.33    4387.9990     102.8920
 5507.36    4372.4868     102.7930
 5510.38    4469.1250     103.6450
 5513.41    4354.0400     103.0900
 5516.44    4311.0269     103.1610
 5519.46    4259.4648     102.9920
 5522.49    4172.6499     102.6470
 5525.51    4293.1968     103.3420
 5528.54    4217.2139     103.2910
 5531.56    4188.7520     103.2400
 5534.59    4196.0449     103.5740
 5537.62    4047.3130     103.1790
 5540.64    4242.5859     104.6050
 5543.67    4139.5039     104.8580
 5546.69    3996.9131     104.7290
 5549.72    3986.8721     105.3920
