 
TRANSIENT_NAME:     DES13X2agef
SNID:               1287626    
OBS_DATE:           2014-02-07
MJD:                56695. 
PHASE:              +10.   
MJD_MAX:            56682.3
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.3050  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          GTC
INSTRUMENT:         OSIRIS
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 4803.39   1.2988e-17   5.0792e-18
 4808.00   3.8933e-18   4.7116e-18
 4812.62   1.2003e-17   4.3113e-18
 4817.23   1.4719e-17   3.9533e-18
 4821.85  -5.6457e-18   3.6230e-18
 4826.46   5.6435e-18   3.3611e-18
 4831.07   7.4498e-18   3.1711e-18
 4835.69   1.5592e-18   2.9162e-18
 4840.30   8.0762e-18   2.7483e-18
 4844.92   1.5740e-18   2.5479e-18
 4849.53   2.2925e-18   2.3556e-18
 4854.15  -2.0650e-18   2.1675e-18
 4858.76   4.8845e-18   2.0193e-18
 4863.38   2.6274e-18   1.9235e-18
 4867.99   4.8223e-18   1.8597e-18
 4872.60   5.9845e-18   1.8149e-18
 4877.22   5.4811e-18   1.7428e-18
 4881.83   9.7925e-20   1.6526e-18
 4886.45   4.1192e-18   1.5905e-18
 4891.06   3.1929e-18   1.5415e-18
 4895.68  -8.9637e-20   1.4914e-18
 4900.29  -1.2168e-18   1.4446e-18
 4904.90   1.0839e-18   1.3750e-18
 4909.52   4.3357e-18   1.3210e-18
 4914.13  -1.3019e-18   1.2458e-18
 4918.75  -2.0800e-18   1.2116e-18
 4923.36   1.2526e-18   1.1874e-18
 4927.98  -8.2431e-19   1.1599e-18
 4932.59   2.7145e-18   1.1338e-18
 4937.21   1.0689e-18   1.0901e-18
 4941.82   8.6402e-20   1.0805e-18
 4946.43   1.8564e-18   1.0570e-18
 4951.05   1.3350e-18   1.0264e-18
 4955.66   4.2068e-18   1.0164e-18
 4960.28   3.4013e-18   9.9429e-19
 4964.89   4.0334e-18   9.8088e-19
 4969.51   4.3245e-18   9.6832e-19
 4974.12   1.3098e-18   9.3500e-19
 4978.73   6.0608e-19   9.0921e-19
 4983.35   9.4970e-19   8.8966e-19
 4987.96   9.5367e-19   8.8227e-19
 4992.58   2.7086e-18   8.7775e-19
 4997.19   5.1836e-18   8.6271e-19
 5001.81   1.2412e-18   8.3520e-19
 5006.42   1.9301e-19   8.1539e-19
 5011.03   3.6491e-18   8.1028e-19
 5015.65   4.0113e-18   8.0755e-19
 5020.26   3.6062e-18   8.0032e-19
 5024.88   1.8482e-18   7.9495e-19
 5029.49   2.8260e-18   7.8696e-19
 5034.11   4.4487e-18   7.8314e-19
 5038.72   4.9737e-18   7.7828e-19
 5043.34   2.9228e-18   7.6792e-19
 5047.95   4.0653e-18   7.7405e-19
 5052.56   3.6317e-18   7.7078e-19
 5057.18   2.7866e-18   7.6627e-19
 5061.79   4.5943e-18   7.6247e-19
 5066.41   4.6678e-18   7.5426e-19
 5071.02   4.0010e-18   7.3966e-19
 5075.64   5.5105e-18   7.3728e-19
 5080.25   3.7394e-18   7.3341e-19
 5084.86   5.3812e-18   7.3305e-19
 5089.48   5.2980e-18   7.3062e-19
 5094.09   4.3067e-18   7.2407e-19
 5098.71   5.1049e-18   7.1798e-19
 5103.32   5.8538e-18   7.1626e-19
 5107.94   4.1041e-18   7.1118e-19
 5112.55   3.8617e-18   7.1502e-19
 5117.17   4.6475e-18   7.0896e-19
 5121.78   4.2192e-18   6.9672e-19
 5126.39   5.1730e-18   6.9327e-19
 5131.01   4.1876e-18   6.8655e-19
 5135.62   5.1441e-18   6.8406e-19
 5140.24   4.1427e-18   6.7746e-19
 5144.85   4.9987e-18   6.7766e-19
 5149.47   4.4736e-18   6.7720e-19
 5154.08   3.7213e-18   6.7379e-19
 5158.69   5.7974e-18   6.6589e-19
 5163.31   4.5921e-18   6.4774e-19
 5167.92   6.1750e-18   6.2965e-19
 5172.54   4.4525e-18   6.3035e-19
 5177.15   2.9455e-18   6.2845e-19
 5181.77   3.9731e-18   6.3233e-19
 5186.38   3.8893e-18   6.3363e-19
 5191.00   4.7191e-18   6.6900e-19
 5195.61   5.6273e-18   6.9185e-19
 5200.22   4.1992e-18   6.8199e-19
 5204.84   3.8961e-18   6.5569e-19
 5209.45   4.2534e-18   6.3710e-19
 5214.07   5.1306e-18   6.4145e-19
 5218.68   4.4379e-18   6.3651e-19
 5223.30   3.8905e-18   6.2741e-19
 5227.91   2.6299e-18   6.2062e-19
 5232.52   1.7123e-18   6.2033e-19
 5237.14   4.4683e-18   6.2963e-19
 5241.75   2.6456e-18   6.2675e-19
 5246.37   2.9199e-18   6.2234e-19
 5250.98   5.7278e-18   6.2503e-19
 5255.60   4.3363e-18   6.1413e-19
 5260.21   3.1475e-18   5.9566e-19
 5264.82   4.0882e-18   5.8395e-19
 5269.44   3.8194e-18   5.8205e-19
 5274.05   3.0615e-18   5.8980e-19
 5278.67   3.9278e-18   5.9727e-19
 5283.28   4.7729e-18   6.0343e-19
 5287.90   3.0316e-18   6.0057e-19
 5292.51   4.0600e-18   6.0099e-19
 5297.13   3.6427e-18   5.9425e-19
 5301.74   3.0841e-18   5.9249e-19
 5306.35   3.1061e-18   5.9589e-19
 5310.97   3.8331e-18   5.9554e-19
 5315.58   3.1250e-18   5.8793e-19
 5320.20   3.6388e-18   5.8079e-19
 5324.81   5.0102e-18   5.7953e-19
 5329.43   5.3762e-18   5.8054e-19
 5334.04   4.2094e-18   5.7950e-19
 5338.65   4.8533e-18   5.7927e-19
 5343.27   3.9887e-18   5.8430e-19
 5347.88   4.7322e-18   5.9699e-19
 5352.50   4.1840e-18   5.9971e-19
 5357.11   3.3331e-18   5.9327e-19
 5361.73   4.2201e-18   5.7864e-19
 5366.34   4.1618e-18   5.6497e-19
 5370.96   4.0487e-18   5.6005e-19
 5375.57   6.1775e-18   5.6591e-19
 5380.18   3.8908e-18   5.6070e-19
 5384.80   4.9297e-18   5.5640e-19
 5389.41   3.6730e-18   5.4467e-19
 5394.03   4.3327e-18   5.3825e-19
 5398.64   3.7023e-18   5.3137e-19
 5403.26   4.2687e-18   5.3101e-19
 5407.87   5.4106e-18   5.3046e-19
 5412.48   5.0223e-18   5.3295e-19
 5417.10   4.3295e-18   5.3100e-19
 5421.71   3.4265e-18   5.2835e-19
 5426.33   4.9282e-18   5.2643e-19
 5430.94   5.7574e-18   5.2830e-19
 5435.56   4.7936e-18   5.2652e-19
 5440.17   4.5957e-18   5.2514e-19
 5444.78   4.5156e-18   5.2112e-19
 5449.40   4.3197e-18   5.1980e-19
 5454.01   3.4685e-18   5.2424e-19
 5458.63   5.0287e-18   5.2965e-19
 5463.24   3.9685e-18   5.2512e-19
 5467.86   4.7780e-18   5.1390e-19
 5472.47   4.3883e-18   5.0437e-19
 5477.09   4.4638e-18   5.0164e-19
 5481.70   3.6070e-18   4.9733e-19
 5486.31   3.3175e-18   4.9889e-19
 5490.93   4.1877e-18   4.9849e-19
 5495.54   4.7433e-18   4.9627e-19
 5500.16   5.2298e-18   4.9592e-19
 5504.77   4.4113e-18   4.9253e-19
 5509.39   5.0933e-18   4.9106e-19
 5514.00   4.1921e-18   4.9135e-19
 5518.61   3.5118e-18   4.8426e-19
 5523.23   4.3905e-18   4.8248e-19
 5527.84   3.0997e-18   4.7738e-19
 5532.46   3.2521e-18   4.7705e-19
 5537.07   5.0157e-18   4.8278e-19
 5541.69   3.6498e-18   4.8017e-19
 5546.30   4.4180e-18   4.7958e-19
 5550.92   3.7927e-18   4.7923e-19
 5555.53   3.2839e-18   4.7245e-19
 5560.14   4.1324e-18   4.7603e-19
 5564.76   3.5312e-18   5.2180e-19
 5569.37   1.5788e-18   8.0678e-19
 5573.99   1.5396e-18   9.5726e-19
 5578.60   2.3829e-18   9.4493e-19
 5583.22   4.4069e-18   7.5033e-19
 5587.83   2.9634e-18   4.8483e-19
 5592.44   4.0038e-18   4.5413e-19
 5597.06   3.1085e-18   4.5116e-19
 5601.67   3.3264e-18   4.5269e-19
 5606.29   4.5647e-18   4.5586e-19
 5610.90   2.4409e-18   4.5047e-19
 5615.52   3.1824e-18   4.4663e-19
 5620.13   3.2539e-18   4.4582e-19
 5624.75   2.3567e-18   4.4571e-19
 5629.36   3.9573e-18   4.4566e-19
 5633.97   3.3034e-18   4.4305e-19
 5638.59   2.8136e-18   4.4131e-19
 5643.20   3.6200e-18   4.4116e-19
 5647.82   2.3616e-18   4.3719e-19
 5652.43   3.4304e-18   4.3332e-19
 5657.05   2.1224e-18   4.2880e-19
 5661.66   1.9898e-18   4.2964e-19
 5666.27   3.2075e-18   4.3513e-19
 5670.89   2.5142e-18   4.3636e-19
 5675.50   2.1993e-18   4.3508e-19
 5680.12   2.9156e-18   4.3735e-19
 5684.73   2.7907e-18   4.3677e-19
 5689.35   1.6838e-18   4.3418e-19
 5693.96   2.0191e-18   4.3104e-19
 5698.57   2.0305e-18   4.2408e-19
 5703.19   1.9346e-18   4.1979e-19
 5707.80   2.2964e-18   4.1586e-19
 5712.42   2.6633e-18   4.1831e-19
 5717.03   2.1749e-18   4.1972e-19
 5721.65   2.0943e-18   4.1980e-19
 5726.26   2.6264e-18   4.2090e-19
 5730.88   2.6342e-18   4.1849e-19
 5735.49   2.4492e-18   4.1737e-19
 5740.10   2.8604e-18   4.1575e-19
 5744.72   1.9901e-18   4.1188e-19
 5749.33   2.3423e-18   4.0948e-19
 5753.95   2.5639e-18   4.0838e-19
 5758.56   2.0995e-18   4.0759e-19
 5763.18   2.9380e-18   4.1212e-19
 5767.79   3.0855e-18   4.1236e-19
 5772.40   2.5320e-18   4.0868e-19
 5777.02   2.8407e-18   4.0641e-19
 5781.63   3.2174e-18   4.0421e-19
 5786.25   2.8100e-18   4.0282e-19
 5790.86   3.7468e-18   4.0600e-19
 5795.48   2.6780e-18   4.0504e-19
 5800.09   3.2871e-18   4.0401e-19
 5804.71   3.0065e-18   4.0345e-19
 5809.32   3.6355e-18   4.0219e-19
 5813.93   3.9627e-18   4.0265e-19
 5818.55   3.8971e-18   4.0287e-19
 5823.16   3.4314e-18   4.0208e-19
 5827.78   4.2893e-18   4.0313e-19
 5832.39   3.9483e-18   4.0255e-19
 5837.01   3.3222e-18   3.9951e-19
 5841.62   4.2344e-18   4.0071e-19
 5846.23   4.1999e-18   4.0147e-19
 5850.85   3.8144e-18   3.9634e-19
 5855.46   4.2721e-18   3.9683e-19
 5860.08   4.0986e-18   4.0150e-19
 5864.69   3.6490e-18   4.0412e-19
 5869.31   4.2461e-18   4.0659e-19
 5873.92   4.3942e-18   4.0290e-19
 5878.54   4.3614e-18   4.3106e-19
 5883.15   4.1001e-18   5.0978e-19
 5887.76   6.1406e-18   5.8578e-19
 5892.38   4.9912e-18   6.0212e-19
 5896.99   3.4965e-18   5.4343e-19
 5901.61   3.8886e-18   4.6139e-19
 5906.22   4.0610e-18   4.0794e-19
 5910.84   4.2000e-18   4.0030e-19
 5915.45   4.4238e-18   3.9766e-19
 5920.06   4.6561e-18   3.9627e-19
 5924.68   4.4231e-18   3.9431e-19
 5929.29   5.1339e-18   3.9498e-19
 5933.91   4.9153e-18   3.9108e-19
 5938.52   3.7996e-18   3.8561e-19
 5943.14   4.9463e-18   3.8389e-19
 5947.75   5.0681e-18   3.8594e-19
 5952.36   5.2478e-18   3.8668e-19
 5956.98   5.0787e-18   3.8439e-19
 5961.59   4.4777e-18   3.7996e-19
 5966.21   5.5131e-18   3.8007e-19
 5970.82   5.3517e-18   3.8116e-19
 5975.44   5.0662e-18   3.7977e-19
 5980.05   5.2865e-18   3.7630e-19
 5984.67   5.2326e-18   3.7299e-19
 5989.28   4.1831e-18   3.6799e-19
 5993.89   4.5668e-18   3.6951e-19
 5998.51   5.2587e-18   3.7133e-19
 6003.12   5.0468e-18   3.6593e-19
 6007.74   4.8748e-18   3.6371e-19
 6012.35   4.8594e-18   3.5900e-19
 6016.97   4.1852e-18   3.5628e-19
 6021.58   5.0298e-18   3.5759e-19
 6026.19   4.3890e-18   3.5784e-19
 6030.81   4.6694e-18   3.5886e-19
 6035.42   4.8325e-18   3.5819e-19
 6040.04   4.5392e-18   3.5711e-19
 6044.65   4.2911e-18   3.5434e-19
 6049.27   3.8864e-18   3.5078e-19
 6053.88   4.5306e-18   3.5109e-19
 6058.50   4.1551e-18   3.4848e-19
 6063.11   4.1724e-18   3.4701e-19
 6067.72   4.2108e-18   3.4883e-19
 6072.34   4.1770e-18   3.4833e-19
 6076.95   3.9285e-18   3.4088e-19
 6081.57   4.0512e-18   3.4186e-19
 6086.18   4.7564e-18   3.4079e-19
 6090.80   4.2847e-18   3.3966e-19
 6095.41   3.7516e-18   3.3849e-19
 6100.02   3.1979e-18   3.3601e-19
 6104.64   3.4600e-18   3.3779e-19
 6109.25   3.6174e-18   3.3926e-19
 6113.87   3.4174e-18   3.3834e-19
 6118.48   3.7217e-18   3.3423e-19
 6123.10   3.5258e-18   3.3116e-19
 6127.71   3.3711e-18   3.2898e-19
 6132.33   3.7540e-18   3.2752e-19
 6136.94   3.6042e-18   3.2850e-19
 6141.55   3.1225e-18   3.2755e-19
 6146.17   3.5775e-18   3.2967e-19
 6150.78   3.3126e-18   3.3202e-19
 6155.40   3.0486e-18   3.3056e-19
 6160.01   2.8261e-18   3.2657e-19
 6164.63   2.5861e-18   3.2005e-19
 6169.24   3.0276e-18   3.1825e-19
 6173.85   2.5650e-18   3.1663e-19
 6178.47   2.4925e-18   3.1501e-19
 6183.08   2.8650e-18   3.1352e-19
 6187.70   2.5020e-18   3.1171e-19
 6192.31   2.5289e-18   3.1289e-19
 6196.93   2.5596e-18   3.1240e-19
 6201.54   2.0350e-18   3.1137e-19
 6206.15   2.8503e-18   3.1099e-19
 6210.77   2.6118e-18   3.0830e-19
 6215.38   2.2694e-18   3.0597e-19
 6220.00   2.1680e-18   3.0502e-19
 6224.61   2.3678e-18   3.0770e-19
 6229.23   3.0653e-18   3.1363e-19
 6233.84   2.6574e-18   3.1727e-19
 6238.46   2.2454e-18   3.1616e-19
 6243.07   2.2575e-18   3.0759e-19
 6247.68   2.1244e-18   3.0072e-19
 6252.30   2.2253e-18   3.0513e-19
 6256.91   2.2368e-18   3.0845e-19
 6261.53   1.5635e-18   3.0723e-19
 6266.14   1.5764e-18   3.0031e-19
 6270.76   2.0693e-18   2.9577e-19
 6275.37   1.8928e-18   2.9117e-19
 6279.98   1.8455e-18   2.9563e-19
 6284.60   2.5365e-18   3.0349e-19
 6289.21   1.7164e-18   4.6112e-19
 6293.83   1.5814e-18   7.4911e-19
 6298.44   1.1301e-18   8.2667e-19
 6303.06   3.6660e-18   7.8699e-19
 6307.67   7.9835e-19   5.3320e-19
 6312.29   1.7081e-18   3.1012e-19
 6316.90   2.4219e-18   2.8613e-19
 6321.51   2.0584e-18   2.8938e-19
 6326.13   2.0564e-18   2.9239e-19
 6330.74   2.1933e-18   2.8905e-19
 6335.36   2.0433e-18   2.8382e-19
 6339.97   2.4106e-18   2.7928e-19
 6344.59   2.3039e-18   2.8273e-19
 6349.20   2.5001e-18   2.8599e-19
 6353.81   1.6284e-18   3.8438e-19
 6358.43   2.2147e-18   4.9064e-19
 6363.04   2.2515e-18   5.1761e-19
 6367.66   2.6513e-18   4.6696e-19
 6372.27   2.2407e-18   3.4608e-19
 6376.89   2.2879e-18   2.7313e-19
 6381.50   2.4084e-18   2.7748e-19
 6386.12   2.8483e-18   2.7454e-19
 6390.73   2.9139e-18   2.7270e-19
 6395.34   2.1820e-18   2.6739e-19
 6399.96   2.5876e-18   2.6526e-19
 6404.57   2.4054e-18   2.6603e-19
 6409.19   2.5543e-18   2.6491e-19
 6413.80   2.2581e-18   2.6401e-19
 6418.42   1.9869e-18   2.6333e-19
 6423.03   2.5854e-18   2.6338e-19
 6427.64   2.0681e-18   2.6127e-19
 6432.26   2.6365e-18   2.6044e-19
 6436.87   2.0407e-18   2.5895e-19
 6441.49   2.3613e-18   2.5936e-19
 6446.10   2.6123e-18   2.6031e-19
 6450.72   2.7009e-18   2.6208e-19
 6455.33   2.0778e-18   2.6305e-19
 6459.94   1.8539e-18   2.6588e-19
 6464.56   2.1735e-18   2.6810e-19
 6469.17   2.0829e-18   2.6641e-19
 6473.79   2.0936e-18   2.6170e-19
 6478.40   1.5381e-18   2.5458e-19
 6483.02   1.7433e-18   2.5096e-19
 6487.63   1.4984e-18   2.5044e-19
 6492.25   1.5484e-18   2.5693e-19
 6496.86   1.7192e-18   2.6284e-19
 6501.47   1.6075e-18   2.6390e-19
 6506.09   1.9805e-18   2.5857e-19
 6510.70   2.1277e-18   2.5294e-19
 6515.32   1.7169e-18   2.5022e-19
 6519.93   1.7058e-18   2.5024e-19
 6524.55   2.0697e-18   2.5555e-19
 6529.16   2.0938e-18   2.5793e-19
 6533.77   1.3726e-18   2.5655e-19
 6538.39   1.6954e-18   2.5511e-19
 6543.00   2.2716e-18   2.5369e-19
 6547.62   1.4772e-18   2.5478e-19
 6552.23   2.0419e-18   2.5358e-19
 6556.85   1.8363e-18   2.5266e-19
 6561.46   2.0416e-18   2.4756e-19
 6566.08   1.5993e-18   2.4506e-19
 6570.69   2.0626e-18   2.4966e-19
 6575.30   2.1738e-18   2.5041e-19
 6579.92   2.5983e-18   2.5016e-19
 6584.53   2.4452e-18   2.4613e-19
 6589.15   2.3238e-18   2.4247e-19
 6593.76   1.8216e-18   2.4286e-19
 6598.38   2.2227e-18   2.4653e-19
 6602.99   2.1864e-18   2.4665e-19
 6607.60   2.2783e-18   2.4460e-19
 6612.22   1.9532e-18   2.4130e-19
 6616.83   2.1576e-18   2.4067e-19
 6621.45   2.4676e-18   2.4210e-19
 6626.06   2.3804e-18   2.4187e-19
 6630.68   2.1409e-18   2.4170e-19
 6635.29   2.4378e-18   2.4106e-19
 6639.90   2.2798e-18   2.4019e-19
 6644.52   2.5276e-18   2.3969e-19
 6649.13   2.5727e-18   2.3952e-19
 6653.75   2.2944e-18   2.3962e-19
 6658.36   2.7002e-18   2.4069e-19
 6662.98   3.0343e-18   2.4095e-19
 6667.59   2.8715e-18   2.3952e-19
 6672.21   3.2486e-18   2.3941e-19
 6676.82   2.7568e-18   2.3733e-19
 6681.43   2.8199e-18   2.3788e-19
 6686.05   2.8048e-18   2.3883e-19
 6690.66   2.6700e-18   2.3722e-19
 6695.28   3.1667e-18   2.3891e-19
 6699.89   2.6461e-18   2.3844e-19
 6704.51   2.8819e-18   2.3909e-19
 6709.12   3.4212e-18   2.3861e-19
 6713.73   3.2630e-18   2.3742e-19
 6718.35   3.4220e-18   2.3621e-19
 6722.96   3.3580e-18   2.3623e-19
 6727.58   3.3854e-18   2.3596e-19
 6732.19   3.2036e-18   2.3548e-19
 6736.81   2.8498e-18   2.3559e-19
 6741.42   3.4016e-18   2.3606e-19
 6746.04   3.4982e-18   2.3539e-19
 6750.65   3.2284e-18   2.3414e-19
 6755.26   3.5475e-18   2.3428e-19
 6759.88   3.7626e-18   2.3446e-19
 6764.49   3.7390e-18   2.3381e-19
 6769.11   3.4493e-18   2.3308e-19
 6773.72   3.5337e-18   2.3277e-19
 6778.34   3.6038e-18   2.3286e-19
 6782.95   3.7565e-18   2.3319e-19
 6787.56   3.5481e-18   2.3256e-19
 6792.18   3.2361e-18   2.3084e-19
 6796.79   4.0357e-18   2.3186e-19
 6801.41   3.9574e-18   2.3059e-19
 6806.02   3.5337e-18   2.3045e-19
 6810.64   3.6680e-18   2.2972e-19
 6815.25   3.8655e-18   2.3129e-19
 6819.87   4.0917e-18   2.4076e-19
 6824.48   3.6401e-18   2.5544e-19
 6829.09   3.4869e-18   2.6533e-19
 6833.71   3.4227e-18   2.6298e-19
 6838.32   3.8200e-18   2.4975e-19
 6842.94   3.9167e-18   2.3723e-19
 6847.55   3.5124e-18   2.2980e-19
 6852.17   3.2347e-18   2.3324e-19
 6856.78   3.6812e-18   2.4843e-19
 6861.39   3.7035e-18   2.5424e-19
 6866.01   2.8538e-18   2.4235e-19
 6870.62   2.5086e-18   2.2351e-19
 6875.24   2.6351e-18   2.1142e-19
 6879.85   3.1478e-18   2.1790e-19
 6884.47   2.8755e-18   2.2220e-19
 6889.08   2.8633e-18   2.2101e-19
 6893.69   3.0606e-18   2.2119e-19
 6898.31   3.0159e-18   2.2036e-19
 6902.92   2.9791e-18   2.2292e-19
 6907.54   3.2826e-18   2.2751e-19
 6912.15   2.7755e-18   2.3022e-19
 6916.77   3.5155e-18   2.3912e-19
 6921.38   2.9091e-18   2.3713e-19
 6926.00   2.9921e-18   2.3474e-19
 6930.61   3.1217e-18   2.3011e-19
 6935.22   3.1209e-18   2.2780e-19
 6939.84   3.0200e-18   2.3612e-19
 6944.45   2.8274e-18   2.4238e-19
 6949.07   3.2795e-18   2.4213e-19
 6953.68   3.2722e-18   2.3616e-19
 6958.30   2.9336e-18   2.2656e-19
 6962.91   2.4473e-18   2.2489e-19
 6967.52   3.0479e-18   2.3013e-19
 6972.14   3.0137e-18   2.3445e-19
 6976.75   3.2087e-18   2.3540e-19
 6981.37   3.0820e-18   2.3111e-19
