 
TRANSIENT_NAME:     DES13X3nyc 
SNID:               1256823    
OBS_DATE:           2013-11-29
MJD:                56625. 
PHASE:              +11.   
MJD_MAX:            56609.4
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.4420  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3742.19     -16.7503     113.0800
 3743.23       1.1517     176.8290
 3744.26      10.6621     174.3480
 3745.30       3.6367     180.5150
 3746.34       6.6366     112.2500
 3747.38      -3.7970     116.8770
 3748.41      -4.2348     155.0270
 3749.45       6.6481     201.3570
 3750.49       3.3441     151.6450
 3751.53     -19.6573     144.7460
 3752.56      -7.2185     163.3290
 3753.60      -6.6220     137.2140
 3754.64       1.7927     127.2340
 3755.68      -1.7746     138.0800
 3756.72       4.1425     181.3580
 3757.75       7.9952     176.3050
 3758.79       2.7278     144.4120
 3759.83      15.6393     171.6770
 3760.87       0.0642     132.7020
 3761.90      -2.1251     142.9290
 3762.94       7.8955     185.0100
 3763.98       2.2171     194.6730
 3765.02       0.5203     148.5120
 3766.06      13.3147     132.1740
 3767.09      -0.8874     117.3010
 3768.13      -1.9722     168.8590
 3769.17       2.9578     149.3300
 3770.21       4.7990     135.0060
 3771.24      10.8295     173.4890
 3772.28      -1.0438     164.2010
 3773.32      -0.8591     138.5710
 3774.36       5.2991     125.7810
 3775.40      -2.1094     120.3300
 3776.43      -9.1319     125.5160
 3777.47      -4.7315     125.3140
 3778.51      -7.0274     110.0320
 3779.55      -1.0636     103.7420
 3780.58       7.3837     134.0420
 3781.62      16.3975     153.2790
 3782.66      -0.5226     107.5590
 3783.70     -17.4279      92.2628
 3784.73       3.7837     107.6360
 3785.77       0.7714     102.4590
 3786.81       4.5162     121.4580
 3787.85      -2.3769     118.9970
 3788.89      -1.9620     137.9510
 3789.92      -3.4704     128.1160
 3790.96       7.6239     129.5090
 3792.00       1.1820     108.4250
 3793.04       9.3013     111.1950
 3794.07      12.1874     123.3460
 3795.11      -0.5767     112.8790
 3796.15       7.1242     104.7320
 3797.19      -4.7610      79.9386
 3798.23      -4.3600      80.6389
 3799.26     -11.7369      86.5712
 3800.30      -3.1148      95.2807
 3801.34      -5.6929      76.4610
 3802.38      -5.0922      87.0533
 3803.41      -5.7759      85.9558
 3804.45      -4.9388      73.5741
 3805.49      -5.1182      73.3015
 3806.53       9.1449      86.0240
 3807.57      14.0393      91.3738
 3808.60      -1.2746      73.0615
 3809.64       5.7614      83.4443
 3810.68      -6.4023      70.7187
 3811.72      -7.0637      70.2634
 3812.75      -0.0740      79.1115
 3813.79     -17.2363      66.4837
 3814.83      -3.8441      78.3500
 3815.87      -6.2207      75.6201
 3816.90      -2.7423      69.6973
 3817.94      -0.8658      72.6580
 3818.98      -2.4927      75.0630
 3820.02       0.0614      83.8064
 3821.06       7.3289      78.5735
 3822.09      11.9836      81.3066
 3823.13      -5.9623      66.2922
 3824.17       6.7849      69.9764
 3825.21       4.1870      68.3971
 3826.24     -11.3309      47.0721
 3827.28       4.5943      61.7860
 3828.32      -1.4793      65.5732
 3829.36      -7.8470      66.8598
 3830.40      -3.4917      77.9706
 3831.43      -7.6451      79.1247
 3832.47      -1.5426      70.2949
 3833.51      11.0522      81.2009
 3834.55     -10.0587      59.1329
 3835.58      -2.5757      60.2762
 3836.62       1.6931      66.3228
 3837.66       1.0271      59.4313
 3838.70       1.2213      51.7902
 3839.74       2.6052      59.1273
 3840.77      -1.8136      57.1810
 3841.81      -9.6435      45.9435
