 
TRANSIENT_NAME:     DES13X3syi 
SNID:               1259412    
OBS_DATE:           2013-11-28
MJD:                56624. 
PHASE:              -0.    
MJD_MAX:            56624.4
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.3030  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3742.19      -6.7332     133.4340
 3743.23     -13.4972     172.4490
 3744.26     -11.5706     158.5290
 3745.30     -10.2659     160.9920
 3746.34       1.9009     191.0350
 3747.38     -11.3615     164.3870
 3748.41      11.7544     197.4270
 3749.45      -7.3998     142.7220
 3750.49     -13.8999     145.6720
 3751.53      19.1257     209.2420
 3752.56       1.8817     175.0400
 3753.60       8.8138     213.2950
 3754.64      22.8988     205.7540
 3755.68      -2.3958     198.5260
 3756.72      -0.9174     196.4040
 3757.75      -4.2738     176.0400
 3758.79       5.3349     164.3120
 3759.83      -9.5515     136.5890
 3760.87     -21.1808     121.9280
 3761.90     -22.8065     151.5840
 3762.94       1.1104     146.0390
 3763.98       0.1115     168.0020
 3765.02      -4.1584     182.5170
 3766.06      -4.8221     151.3400
 3767.09     -17.9481     135.3950
 3768.13       0.9720     146.7460
 3769.17       1.5954     153.4660
 3770.21      -8.0860     152.3090
 3771.24     -10.0206     130.1890
 3772.28      11.0938     172.3950
 3773.32      -2.3313     138.8210
 3774.36       6.9751     174.4990
 3775.40       0.7108     140.7310
 3776.43      -0.9710     145.5840
 3777.47     -11.8988     143.3410
 3778.51       2.8255     173.4390
 3779.55     -11.7966     123.7900
 3780.58       4.8324     152.3590
 3781.62       2.1538     148.0840
 3782.66       2.2560     158.5180
 3783.70     -31.7194     128.6420
 3784.73      15.2962     150.8850
 3785.77      -0.9046     143.3300
 3786.81      -2.4533     142.5670
 3787.85      -8.9347     138.6510
 3788.89      -1.7477     106.8150
 3789.92       2.8003     145.1640
 3790.96      -0.2718     182.9270
 3792.00      29.7185     205.0960
 3793.04       1.0999     133.3540
 3794.07     -16.1534     101.8790
 3795.11       8.6283     131.4000
 3796.15     -11.0664     105.2350
 3797.19      -8.3838     108.0650
 3798.23      -9.2619     108.9110
 3799.26       0.3098     114.6400
 3800.30      -8.9121      97.9894
 3801.34       3.1735      91.9991
 3802.38       2.3288     105.8680
 3803.41     -10.6371      91.6160
 3804.45      -5.6525      81.1708
 3805.49       2.5259     106.6350
 3806.53       7.7160      88.0938
 3807.57      13.5256     100.8470
 3808.60      -6.2973      68.4378
 3809.64      -0.7366      82.9240
 3810.68       0.5760      84.5649
 3811.72      -2.8243      83.1964
 3812.75       6.9724      97.9066
 3813.79       1.6580      83.9336
 3814.83       7.1667      90.1543
 3815.87       9.3800      84.9606
 3816.90       1.9149      86.3455
