 
TRANSIENT_NAME:     DES13X3woy 
SNID:               1261579    
OBS_DATE:           2013-12-26
MJD:                56652. 
PHASE:              +10.   
MJD_MAX:            56638.5
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.3200  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3743.23      10.2328      53.3913
 3744.26       8.6698      45.4585
 3745.30       1.0697      46.4572
 3746.34      -6.3194      39.8762
 3747.38      -2.7644      40.2459
 3748.41       5.8840      42.9621
 3749.45       3.9309      47.6929
 3750.49       4.7711      43.7285
 3751.53      -6.1194      38.3347
 3752.56       0.6679      38.4411
 3753.60       0.2269      41.3632
 3754.64      -1.3769      41.2625
 3755.68       8.0391      42.3048
 3756.72       3.0907      40.0371
 3757.75       4.5398      42.1799
 3758.79       3.2054      41.3112
 3759.83       4.0611      44.3032
 3760.87      -1.5768      37.8343
 3761.90      -0.6940      45.1592
 3762.94      -5.1649      35.8274
 3763.98      -5.1539      36.2572
 3765.02      -1.5744      39.0333
 3766.06      -2.7926      36.1898
 3767.09      10.3778      45.1934
 3768.13       0.7224      36.4848
 3769.17       8.1993      44.8451
 3770.21       4.5975      41.2238
 3771.24       1.6469      40.9220
 3772.28       1.3963      38.6426
 3773.32      -4.2353      38.9168
 3774.36      -2.6139      36.9621
 3775.40       9.0552      42.6640
 3776.43      -0.0687      38.1709
 3777.47      -7.3858      32.5338
 3778.51      -3.2621      34.5206
 3779.55      -4.6631      34.3859
 3780.58       1.4632      34.2238
 3781.62       0.1685      33.4200
 3782.66       4.8848      34.6985
 3783.70       1.6425      35.2739
 3784.73       1.9185      33.3982
 3785.77       8.5791      35.5216
 3786.81      -8.1078      29.2717
 3787.85       2.2218      32.3436
 3788.89       2.9394      32.3676
 3789.92       8.5761      35.4177
 3790.96       1.2283      32.7360
 3792.00       4.5488      32.7723
 3793.04      -1.0695      29.7149
 3794.07      -4.7366      27.5620
 3795.11      -0.4836      28.3594
 3796.15       2.6935      28.3728
 3797.19       4.6871      28.0155
 3798.23      -2.1420      25.6576
 3799.26      -0.7780      26.0269
 3800.30       1.7331      27.5908
 3801.34       7.6954      28.6445
 3802.38       0.7515      26.3052
 3803.41       0.2046      24.6674
 3804.45       3.3794      24.6218
 3805.49       2.0192      23.9071
 3806.53      -7.0114      19.7232
 3807.57      -2.9018      21.3500
 3808.60       3.7340      22.5912
 3809.64      -2.1691      21.5326
 3810.68      -1.0548      22.0206
 3811.72       0.3513      21.3181
 3812.75       2.7080      22.0685
 3813.79      -4.9854      18.9617
 3814.83       0.7719      21.3209
 3815.87      -2.5259      19.2935
 3816.90      -0.5607      19.7621
 3817.94       2.8075      20.6170
 3818.98       0.0295      19.1043
 3820.02       0.3054      17.5634
 3821.06       3.3859      20.2047
 3822.09       6.7766      21.3147
 3823.13       3.5414      19.6002
 3824.17      -4.1359      14.4484
 3825.21       2.7952      16.8206
 3826.24       1.4291      17.4407
 3827.28       6.5307      19.4935
 3828.32       5.1792      21.4384
 3829.36       3.3949      20.5575
 3830.40      -3.5289      18.8006
 3831.43      -0.6348      20.4064
 3832.47      -2.0225      18.0582
 3833.51       3.7893      18.9256
 3834.55       1.3003      17.5114
 3835.58       2.0095      16.9303
 3836.62      -4.8178      14.6287
 3837.66      -0.0028      15.7306
 3838.70       5.1178      15.8421
 3839.74       1.0471      15.0129
 3840.77       0.3190      14.8938
 3841.81       3.5287      16.5952
 3842.85       1.4237      15.3066
 3843.89      -5.1954      13.4189
 3844.92      -2.4029      14.5200
 3845.96      -0.1721      14.5870
 3847.00      -4.7066      12.7368
 3848.04       3.8721      14.2547
 3849.07       4.5907      15.2547
 3850.11       3.7115      14.0900
 3851.15       5.0313      14.4649
 3852.19       6.2684      14.4297
 3853.23      -0.1097      11.9863
 3854.26      -1.6914      11.4573
 3855.30       2.0960      12.7131
 3856.34      -6.7350       9.7719
 3857.38      -4.7901      10.3575
 3858.41       0.2059      10.9541
 3859.45      -0.6583      11.6638
 3860.49      -2.1785      10.5700
 3861.53       2.1422      12.1002
 3862.57      -1.2873      11.2247
 3863.60       4.4416      11.5450
 3864.64      -2.7266      10.0269
 3865.68       0.4052      11.0540
 3866.72       5.1308      12.1527
 3867.75      -2.4026      10.0027
 3868.79      -1.3585      11.2160
