 
TRANSIENT_NAME:     DES14C1bdv 
SNID:               1295256    
OBS_DATE:           2014-09-24
MJD:                56924. 
PHASE:              -3.    
MJD_MAX:            56928.2
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.4430  
REDSHIFT_ERR:       0.0050  
REDSHIFT_SOURCE:    Z_SN
TELESCOPE:          KECK-I
INSTRUMENT:         LRIS
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3400.02   2.5778e+00  ---
 3400.63   4.2839e+00  ---
 3401.24   3.2116e+00  ---
 3401.85   1.2273e-02  ---
 3402.46  -2.6293e+00  ---
 3403.07  -6.1008e-01  ---
 3403.68   7.1042e-01  ---
 3404.29   3.4556e+00  ---
 3404.90   6.5986e+00  ---
 3405.51   3.7451e+00  ---
 3406.12  -1.6455e+00  ---
 3406.73  -6.4454e+00  ---
 3407.34   1.5016e+00  ---
 3407.95  -1.3090e+00  ---
 3408.56  -2.1347e+00  ---
 3409.17   1.4758e+00  ---
 3409.78   2.2651e+00  ---
 3410.39   3.6594e+00  ---
 3411.00   4.1863e+00  ---
 3411.61  -2.1551e+00  ---
 3412.22   1.3343e+00  ---
 3412.83   4.7200e+00  ---
 3413.44   1.2376e+00  ---
 3414.05  -2.7446e+00  ---
 3414.65  -3.9846e+00  ---
 3415.26  -8.9813e-01  ---
 3415.87   1.0524e+00  ---
 3416.48   3.3847e+00  ---
 3417.09   1.1697e+00  ---
 3417.70  -2.9009e-02  ---
 3418.31   2.7884e-01  ---
 3418.92  -1.1594e+00  ---
 3419.53  -4.2734e-01  ---
 3420.14  -1.3664e+00  ---
 3420.75   8.3312e-01  ---
 3421.36   2.4024e-01  ---
 3421.97   1.9860e+00  ---
 3422.58   3.1077e+00  ---
 3423.19  -2.7700e+00  ---
 3423.80  -3.4546e+00  ---
 3424.41   4.6269e+00  ---
 3425.02   5.8516e+00  ---
 3425.63   1.3847e+00  ---
 3426.24   3.3329e+00  ---
 3426.85   4.1299e+00  ---
 3427.46  -1.8297e+00  ---
 3428.07   3.9116e-01  ---
 3428.68   5.7970e-01  ---
 3429.28   1.4881e+00  ---
 3429.89   7.5393e-01  ---
 3430.50   1.3330e+00  ---
 3431.11   2.8940e+00  ---
 3431.72  -5.9609e-01  ---
 3432.33  -2.6708e+00  ---
 3432.94   1.4512e+00  ---
 3433.55   1.0689e-01  ---
 3434.16  -1.2659e+00  ---
 3434.77   1.5631e-01  ---
 3435.38   1.6753e+00  ---
 3435.99  -2.8293e+00  ---
 3436.60   4.4268e+00  ---
 3437.21   6.4989e+00  ---
 3437.82   2.3094e+00  ---
 3438.43   1.3033e+00  ---
 3439.04   1.6796e+00  ---
 3439.65   1.1350e+00  ---
 3440.26  -2.2776e+00  ---
 3440.87   1.0857e+00  ---
 3441.48   4.2858e+00  ---
 3442.09   3.4708e+00  ---
 3442.70   1.0708e+00  ---
 3443.30   1.2338e+00  ---
 3443.91   1.3507e+00  ---
 3444.52   1.5308e+00  ---
 3445.13  -1.6091e-02  ---
 3445.74  -2.5385e-01  ---
 3446.35   1.5418e+00  ---
 3446.96   1.3909e+00  ---
 3447.57   2.2708e+00  ---
 3448.18   1.1686e+00  ---
 3448.79   5.0160e-02  ---
 3449.40  -2.1868e+00  ---
 3450.01  -1.0991e+00  ---
 3450.62  -1.2022e+00  ---
 3451.23  -9.8870e-01  ---
 3451.84  -3.4878e+00  ---
 3452.45  -3.2529e+00  ---
 3453.06  -5.0331e-01  ---
 3453.67   7.8607e-01  ---
 3454.28  -2.2209e+00  ---
 3454.89  -1.1071e+00  ---
 3455.50   3.3088e+00  ---
 3456.11   6.7640e-01  ---
 3456.72   2.7277e+00  ---
 3457.32  -3.9995e-01  ---
 3457.93   2.3090e-01  ---
 3458.54   1.7431e+00  ---
 3459.15   3.3031e+00  ---
 3459.76  -3.9813e-01  ---
 3460.37  -1.1898e+00  ---
 3460.98   5.8950e-01  ---
 3461.59   1.3786e+00  ---
 3462.20   6.9166e-01  ---
 3462.81   9.1155e-01  ---
 3463.42   3.8598e-01  ---
 3464.03   3.5895e-02  ---
 3464.64  -9.8326e-01  ---
 3465.25   1.6848e+00  ---
 3465.86   4.2793e+00  ---
 3466.47   2.9272e-01  ---
 3467.08  -5.9186e-02  ---
 3467.69  -8.7755e-01  ---
 3468.30  -1.0814e+00  ---
 3468.91  -1.0630e+00  ---
 3469.52   3.4323e+00  ---
 3470.13   2.6800e+00  ---
 3470.74   2.4587e+00  ---
 3471.35   4.3474e+00  ---
 3471.95   2.4921e+00  ---
 3472.56   2.5790e+00  ---
 3473.17  -1.6969e+00  ---
 3473.78   2.5935e+00  ---
 3474.39   2.9385e+00  ---
 3475.00   4.4251e-01  ---
 3475.61   4.6666e-01  ---
 3476.22  -3.6985e-01  ---
 3476.83  -5.0369e-01  ---
 3477.44  -5.4669e-02  ---
 3478.05   2.4403e-01  ---
 3478.66  -1.5404e+00  ---
 3479.27  -7.1172e-01  ---
 3479.88   2.6089e+00  ---
 3480.49   2.2174e+00  ---
 3481.10   2.5681e+00  ---
 3481.71   4.3704e-01  ---
 3482.32  -2.2355e-01  ---
 3482.93   8.9992e-01  ---
 3483.54   1.0061e+00  ---
 3484.15  -8.1622e-01  ---
 3484.76  -1.5341e+00  ---
 3485.37  -1.7549e+00  ---
 3485.98  -1.8122e+00  ---
 3486.58   1.8230e+00  ---
 3487.19   1.0457e+00  ---
 3487.80  -8.0153e-03  ---
 3488.41  -2.8678e+00  ---
 3489.02  -1.8839e+00  ---
 3489.63  -5.3507e-01  ---
 3490.24   5.2379e+00  ---
 3490.85   2.0598e+00  ---
 3491.46   1.2513e+00  ---
 3492.07   2.0208e+00  ---
 3492.68   5.9502e-01  ---
 3493.29   1.2108e+00  ---
 3493.90   8.4960e-01  ---
 3494.51  -2.2297e+00  ---
 3495.12  -1.0403e+00  ---
 3495.73  -3.6439e-02  ---
 3496.34   1.4458e+00  ---
 3496.95   2.7221e+00  ---
 3497.56  -1.3302e-02  ---
 3498.17   2.9943e+00  ---
 3498.78   1.6085e+00  ---
 3499.39  -4.0072e+00  ---
 3500.00  -1.8670e+00  ---
 3500.60   2.1507e+00  ---
 3501.21   1.6183e+00  ---
 3501.82   1.1242e+00  ---
 3502.43   4.5760e-01  ---
 3503.04   2.4623e+00  ---
 3503.65   1.2124e+00  ---
 3504.26   2.4861e+00  ---
 3504.87  -3.2400e+00  ---
 3505.48   3.6553e-02  ---
 3506.09  -6.8968e-01  ---
 3506.70  -2.5192e+00  ---
 3507.31  -1.8037e+00  ---
 3507.92   3.0364e+00  ---
 3508.53   8.2654e-02  ---
 3509.14   7.9996e-01  ---
 3509.75  -2.8643e+00  ---
 3510.36  -1.7448e+00  ---
 3510.97   4.7230e-01  ---
 3511.58  -7.6052e-01  ---
 3512.19  -1.0496e+00  ---
 3512.80   3.4589e+00  ---
 3513.41   1.8767e+00  ---
 3514.02  -1.8803e+00  ---
 3514.62   1.5670e-01  ---
 3515.23   2.5146e+00  ---
 3515.84   2.2211e+00  ---
 3516.45   1.8047e+00  ---
 3517.06   2.3486e+00  ---
 3517.67  -1.9075e+00  ---
 3518.28  -1.9988e+00  ---
 3518.89  -9.9916e-03  ---
 3519.50   7.0900e-01  ---
 3520.11  -2.1900e+00  ---
 3520.72  -1.6447e+00  ---
 3521.33   1.7102e+00  ---
 3521.94   2.5084e-01  ---
 3522.55  -2.0447e+00  ---
 3523.16   1.7906e+00  ---
 3523.77   2.1201e+00  ---
 3524.38   4.3204e+00  ---
 3524.99   1.2028e+00  ---
 3525.60  -6.4436e-01  ---
 3526.21  -1.4094e+00  ---
 3526.82   1.4663e+00  ---
 3527.43  -2.8774e+00  ---
 3528.04  -7.2008e-01  ---
 3528.65   2.8571e+00  ---
 3529.25   2.7148e+00  ---
 3529.86   1.0648e+00  ---
 3530.47   2.4961e-02  ---
 3531.08   1.2445e+00  ---
 3531.69   1.4377e+00  ---
 3532.30   5.9945e-01  ---
 3532.91   1.0136e-01  ---
 3533.52  -1.5264e+00  ---
 3534.13   1.1491e+00  ---
 3534.74   4.4029e+00  ---
 3535.35   3.9647e+00  ---
 3535.96   3.8272e-01  ---
 3536.57  -8.1663e-01  ---
 3537.18   5.2111e-01  ---
 3537.79  -5.4357e-01  ---
 3538.40  -9.9952e-01  ---
 3539.01   1.6549e+00  ---
 3539.62   1.3653e+00  ---
 3540.23   3.9126e-01  ---
 3540.84   2.6490e+00  ---
 3541.45   1.7975e+00  ---
 3542.06   1.2398e+00  ---
 3542.67  -1.6510e+00  ---
 3543.28  -1.4409e+00  ---
 3543.88   1.5687e-02  ---
 3544.49   2.5701e+00  ---
 3545.10   3.4177e+00  ---
 3545.71   2.0449e+00  ---
 3546.32   2.2543e+00  ---
 3546.93  -1.2960e-01  ---
 3547.54   2.0621e+00  ---
 3548.15  -2.0724e+00  ---
 3548.76  -7.2320e-01  ---
 3549.37  -2.4267e+00  ---
 3549.98  -5.7913e-01  ---
 3550.59  -2.3686e+00  ---
 3551.20  -1.6580e+00  ---
 3551.81  -8.0727e-02  ---
 3552.42   1.4642e+00  ---
 3553.03   8.0900e-02  ---
 3553.64  -1.1515e+00  ---
 3554.25   2.6342e-01  ---
 3554.86  -1.1880e+00  ---
 3555.47  -1.8298e+00  ---
 3556.08   7.6221e-01  ---
 3556.69   7.8355e-01  ---
 3557.30  -5.8236e-01  ---
 3557.91   5.0320e-01  ---
 3558.51   1.2130e-01  ---
 3559.12   6.6741e-01  ---
 3559.73   2.1796e+00  ---
 3560.34   1.6737e+00  ---
 3560.95  -9.2555e-01  ---
 3561.56  -5.3843e-01  ---
 3562.17  -1.9405e+00  ---
 3562.78  -1.0749e+00  ---
 3563.39   2.5788e+00  ---
 3564.00   3.6084e+00  ---
 3564.61   3.6978e+00  ---
 3565.22   1.7822e+00  ---
 3565.83   2.5641e-01  ---
 3566.44   7.4813e-01  ---
 3567.05   3.6283e-01  ---
 3567.66   8.8347e-01  ---
 3568.27  -1.5145e+00  ---
 3568.88  -1.4074e+00  ---
 3569.49   5.9121e-01  ---
 3570.10  -2.2272e-01  ---
 3570.71  -2.0913e+00  ---
 3571.32   2.2592e-01  ---
 3571.93  -4.4544e-01  ---
 3572.53  -6.2753e-01  ---
 3573.14   2.2400e-01  ---
 3573.75   2.6367e+00  ---
 3574.36   6.6675e-01  ---
 3574.97   6.3586e-01  ---
 3575.58   1.2618e+00  ---
 3576.19   1.9823e+00  ---
 3576.80   3.4025e+00  ---
 3577.41  -8.6841e-01  ---
 3578.02  -2.4190e+00  ---
 3578.63  -2.6587e+00  ---
 3579.24  -1.0618e+00  ---
 3579.85  -2.1869e+00  ---
 3580.46  -1.0890e+00  ---
 3581.07   5.0360e-01  ---
 3581.68  -7.7102e-01  ---
 3582.29  -1.2240e+00  ---
 3582.90   2.2396e-01  ---
 3583.51   3.5332e-01  ---
 3584.12   1.7900e-01  ---
 3584.73   2.2199e+00  ---
 3585.34   9.1167e-01  ---
 3585.95   9.9183e-02  ---
 3586.55  -2.6115e+00  ---
 3587.16  -4.3133e-01  ---
 3587.77   5.3013e-01  ---
 3588.38   2.3599e-01  ---
 3588.99   9.7625e-01  ---
 3589.60   1.0501e+00  ---
 3590.21   6.3319e-01  ---
 3590.82  -5.9041e-01  ---
 3591.43  -1.8580e+00  ---
 3592.04  -1.0582e+00  ---
 3592.65  -8.4798e-01  ---
 3593.26  -1.4510e+00  ---
 3593.87   1.9576e+00  ---
 3594.48   3.5492e-01  ---
 3595.09  -8.5262e-01  ---
 3595.70  -1.0511e+00  ---
 3596.31  -3.0377e+00  ---
 3596.92  -1.4954e+00  ---
 3597.53   4.5807e-01  ---
 3598.14   1.6984e+00  ---
 3598.75  -6.4926e-01  ---
 3599.36   1.1964e+00  ---
 3599.97   6.7954e-01  ---
 3600.58  -1.3308e+00  ---
 3601.18   2.3908e+00  ---
 3601.79   1.5853e+00  ---
 3602.40  -1.0148e+00  ---
 3603.01  -1.3062e+00  ---
 3603.62   1.0242e+00  ---
 3604.23  -6.0479e-01  ---
 3604.84  -2.8532e-01  ---
 3605.45   5.6588e-01  ---
 3606.06   1.5050e+00  ---
 3606.67   4.9802e-01  ---
 3607.28   1.9301e+00  ---
 3607.89   3.0780e+00  ---
 3608.50  -6.1095e-01  ---
 3609.11  -1.6584e-01  ---
 3609.72  -1.4192e-01  ---
 3610.33  -6.2355e-01  ---
 3610.94  -2.1615e+00  ---
 3611.55  -6.7794e-01  ---
 3612.16  -3.8846e-01  ---
 3612.77   2.3128e+00  ---
 3613.38  -9.3838e-01  ---
 3613.99  -1.9179e+00  ---
 3614.60   8.2503e-01  ---
 3615.21  -1.1383e+00  ---
 3615.81  -2.7087e+00  ---
 3616.42  -2.3872e+00  ---
 3617.03  -1.0717e+00  ---
 3617.64  -4.0894e+00  ---
 3618.25  -8.9546e-01  ---
 3618.86   6.2152e-01  ---
 3619.47   2.5392e-01  ---
 3620.08   3.3215e+00  ---
 3620.69   7.9963e-01  ---
 3621.30  -2.6581e+00  ---
 3621.91  -1.5383e+00  ---
 3622.52  -7.6308e-01  ---
 3623.13   1.6872e+00  ---
 3623.74   2.9461e+00  ---
 3624.35  -5.7164e-01  ---
 3624.96  -1.7044e-01  ---
 3625.57  -8.1702e-01  ---
 3626.18  -1.0963e+00  ---
 3626.79   3.9771e-01  ---
 3627.40  -1.1432e+00  ---
 3628.01  -1.6474e+00  ---
 3628.62   7.1494e-01  ---
 3629.23   1.4580e+00  ---
 3629.83   7.9718e-01  ---
 3630.44   9.2022e-02  ---
 3631.05   9.6533e-01  ---
 3631.66   8.9010e-01  ---
 3632.27   8.2890e-01  ---
 3632.88   1.9452e+00  ---
 3633.49  -4.9443e-01  ---
 3634.10  -3.4621e-01  ---
 3634.71   6.4643e-01  ---
 3635.32   2.1564e-01  ---
 3635.93  -9.6846e-01  ---
 3636.54  -2.4439e+00  ---
 3637.15   6.7375e-01  ---
 3637.76   4.3350e-01  ---
 3638.37   8.2429e-01  ---
 3638.98   1.8980e+00  ---
 3639.59   1.3223e+00  ---
 3640.20   2.2091e+00  ---
 3640.81   1.7184e+00  ---
 3641.42   7.2819e-01  ---
 3642.03  -1.1961e+00  ---
 3642.64   1.4954e-01  ---
 3643.25  -1.1331e+00  ---
 3643.85  -9.4457e-01  ---
 3644.46  -8.2765e-01  ---
 3645.07  -7.3658e-01  ---
 3645.68   6.9213e-01  ---
 3646.29   1.3558e+00  ---
 3646.90   2.3148e+00  ---
 3647.51  -1.9471e+00  ---
 3648.12  -3.0911e-01  ---
 3648.73   1.0258e+00  ---
 3649.34   2.2883e+00  ---
 3649.95   1.5637e+00  ---
 3650.56   2.8745e-01  ---
 3651.17  -8.2032e-01  ---
 3651.78   1.1215e-01  ---
 3652.39   2.1685e+00  ---
 3653.00   1.2040e+00  ---
 3653.61  -5.7627e-02  ---
 3654.22  -1.2654e+00  ---
 3654.83  -5.4794e-01  ---
 3655.44  -1.1140e+00  ---
 3656.05  -1.8191e+00  ---
 3656.66   4.4259e-01  ---
 3657.27   1.0527e+00  ---
 3657.88   2.2214e+00  ---
 3658.48   1.3149e-01  ---
 3659.09  -1.3104e+00  ---
 3659.70  -6.2618e-01  ---
 3660.31   5.7351e-01  ---
 3660.92  -3.5783e-01  ---
 3661.53   1.4533e+00  ---
 3662.14   6.9920e-01  ---
 3662.75  -5.6677e-01  ---
 3663.36  -3.1691e-01  ---
 3663.97   6.5912e-01  ---
 3664.58   8.0759e-01  ---
 3665.19   1.2905e+00  ---
 3665.80   1.8152e+00  ---
 3666.41   1.0136e+00  ---
