 
TRANSIENT_NAME:     DES14C1jkw 
SNID:               1303279    
OBS_DATE:           2014-12-29
MJD:                57020. 
PHASE:              +46.   
MJD_MAX:            56966.1
TYPE:               1  
SPEC_EVAL:          SNIa
REDSHIFT:           0.1728  
REDSHIFT_ERR:       0.0005  
REDSHIFT_SOURCE:    Z_GAL
TELESCOPE:          AAT
INSTRUMENT:         AAOmega-2dF
 
======================================
 
# WAVE  FLUX  FLUX_ERR
 3743.23      -1.3916       4.2792
 3744.26       3.5885       4.5472
 3745.30       0.8538       4.3085
 3746.34      -0.2269       3.6771
 3747.38      -0.8435       3.5303
 3748.41       1.2946       3.6424
 3749.45       0.2431       3.5182
 3750.49      -1.2038       3.2973
 3751.53       0.0677       3.6839
 3752.56      -1.5473       3.3001
 3753.60       2.5675       3.9514
 3754.64      -2.1119       3.2130
 3755.68      -1.4393       3.2802
 3756.72       0.2212       3.4187
 3757.75      -3.2445       2.7041
 3758.79      -0.0369       3.1063
 3759.83       2.4744       3.4906
 3760.87       2.2136       3.7307
 3761.90      -1.6117       3.0567
 3762.94       0.7021       3.4162
 3763.98       1.0355       3.4140
 3765.02      -0.1350       3.0595
 3766.06       0.6498       3.0215
 3767.09       0.0493       3.1498
 3768.13      -1.9141       2.6872
 3769.17      -1.5211       2.8576
 3770.21       0.0858       2.9906
 3771.24       1.0213       3.1620
 3772.28      -0.2225       3.2234
 3773.32       1.3498       3.5220
 3774.36       2.7528       3.6592
 3775.40      -0.2161       3.0874
 3776.43      -1.4799       3.0405
 3777.47       3.6388       3.9009
 3778.51       1.9158       3.4986
 3779.55      -0.2578       3.1185
 3780.58       1.5436       3.4240
 3781.62       0.2025       3.2788
 3782.66      -2.7347       2.9339
 3783.70      -1.6194       2.9131
 3784.73      -1.7112       2.8359
 3785.77      -3.3709       2.4071
 3786.81      -4.0448       2.3447
 3787.85      -0.7719       2.6637
 3788.89       1.1259       2.9036
 3789.92       1.0841       2.9331
 3790.96       1.2552       2.9539
 3792.00      -0.1496       2.7987
 3793.04      -0.7496       2.6036
 3794.07       0.9208       2.6915
 3795.11      -0.2578       2.4169
 3796.15       1.0038       2.5904
 3797.19      -1.1112       2.2619
 3798.23       1.9000       2.5407
 3799.26       1.0008       2.4841
 3800.30       2.5823       2.7200
 3801.34       1.6307       2.7621
 3802.38       1.2105       2.7077
 3803.41      -0.3579       2.4619
 3804.45       0.4116       2.3897
 3805.49       0.7504       2.4508
 3806.53      -0.8355       2.1892
 3807.57       0.4618       2.3679
 3808.60       0.4093       2.3200
 3809.64       1.8547       2.4779
 3810.68       1.1086       2.4026
 3811.72      -0.1101       2.1559
 3812.75       0.2605       2.1659
 3813.79       0.0143       2.0048
 3814.83      -0.6010       1.8740
 3815.87       1.8055       2.0895
 3816.90       0.5932       1.9186
 3817.94       0.1749       1.8567
 3818.98      -0.3236       1.7844
 3820.02       0.4764       1.7927
 3821.06      -0.7817       1.5682
 3822.09      -0.0894       1.6069
 3823.13      -0.1515       1.6285
 3824.17       0.0695       1.5305
 3825.21       0.1892       1.4783
 3826.24       0.6647       1.5144
 3827.28      -0.6959       1.3817
 3828.32      -0.2654       1.3691
 3829.36       1.2716       1.5005
 3830.40       0.5813       1.4252
 3831.43      -0.7966       1.2835
 3832.47       0.3849       1.4327
 3833.51      -0.3307       1.2867
 3834.55      -0.5467       1.2893
 3835.58       0.2997       1.2692
 3836.62       0.6828       1.3407
 3837.66       2.0784       1.4423
 3838.70       1.0656       1.2576
 3839.74       1.9463       1.3270
 3840.77       1.4674       1.3696
 3841.81       1.9329       1.4138
 3842.85       2.2341       1.5005
 3843.89      -0.6159       1.2372
 3844.92      -0.5702       1.2073
 3845.96       1.2691       1.3621
 3847.00       1.3579       1.4046
 3848.04       1.3405       1.3954
 3849.07       0.3839       1.2626
 3850.11      -0.7443       1.1587
 3851.15      -0.0799       1.1853
 3852.19      -0.2431       1.2295
 3853.23       1.3493       1.3096
 3854.26       1.1949       1.2476
 3855.30       1.1041       1.2582
 3856.34       0.4315       1.2342
 3857.38       0.5997       1.1670
 3858.41       0.7541       1.1476
 3859.45       0.6221       1.1297
 3860.49       1.1918       1.1719
 3861.53       1.8136       1.3186
 3862.57       1.2102       1.3281
 3863.60       0.4456       1.2776
 3864.64      -0.8030       1.1741
 3865.68       0.2499       1.2571
 3866.72       1.3041       1.3282
 3867.75       0.1234       1.2271
 3868.79      -0.6951       1.1704
 3869.83       0.5621       1.2082
 3870.87       1.6916       1.2449
 3871.91       2.1816       1.2486
 3872.94       0.8979       1.1714
 3873.98       0.4709       1.1733
 3875.02       0.4359       1.2082
 3876.06       0.3306       1.2204
 3877.09      -0.4262       1.0683
 3878.13      -0.4495       0.9810
 3879.17       0.3940       1.0970
 3880.21       0.6000       1.0748
 3881.24       1.6113       1.1790
 3882.28       0.4048       1.1047
 3883.32      -0.6994       1.0143
 3884.36      -0.1002       1.1016
 3885.40       0.0154       1.0385
 3886.43      -0.6917       0.9235
 3887.47       0.1427       0.9720
 3888.51       1.5131       1.0824
 3889.55       1.3452       1.1061
 3890.58       1.7647       1.2381
 3891.62       1.4955       1.2121
 3892.66       0.2862       1.0955
 3893.70      -0.2754       1.0409
 3894.74       0.0550       1.1189
 3895.77       0.3899       1.1355
 3896.81       1.1063       1.1727
 3897.85       0.7086       1.1629
 3898.89       0.7281       1.1084
 3899.92      -0.5536       1.0403
 3900.96      -0.1716       1.0273
 3902.00       1.2563       1.0638
 3903.04       0.8660       1.0324
 3904.07       0.5973       0.9734
 3905.11       0.4522       0.9396
 3906.15       1.2388       1.0000
 3907.19       1.4242       1.0403
 3908.23       0.7182       1.0661
 3909.26       0.7577       1.0806
 3910.30       0.4423       1.0569
 3911.34       1.3843       1.0974
 3912.38       1.6333       1.1190
 3913.41       1.8209       1.1275
 3914.45       1.7417       1.1301
 3915.49       0.2059       0.9544
 3916.53       0.0386       0.8999
 3917.57      -0.8623       0.8437
 3918.60      -0.1400       0.8549
 3919.64       0.6642       0.8680
 3920.68       0.5025       0.8433
 3921.72       0.7505       0.8226
 3922.75       0.6022       0.7900
 3923.79       0.7001       0.7659
 3924.83       0.9514       0.7657
 3925.87       0.4944       0.6969
 3926.91       0.9294       0.6719
 3927.94      -0.0648       0.5820
 3928.98       0.7917       0.5535
 3930.02       0.5713       0.5132
 3931.06      -0.0233       0.4489
 3932.09       0.7169       0.4682
 3933.13       0.4443       0.4175
 3934.17      -0.1629       0.3881
 3935.21       0.1681       0.4131
 3936.24       0.8358       0.4699
 3937.28       1.5882       0.5070
 3938.32       1.3244       0.5238
 3939.36       1.5178       0.5677
 3940.40       0.5530       0.5502
 3941.43       0.0534       0.5107
 3942.47       1.0434       0.5283
 3943.51       1.3914       0.5568
 3944.55       0.4793       0.5466
 3945.58       0.7402       0.5711
 3946.62       0.5823       0.5422
 3947.66       1.2141       0.6011
 3948.70       1.4113       0.6033
 3949.74       0.6407       0.5929
 3950.77       0.1607       0.5805
 3951.81       0.0223       0.5591
 3952.85       0.0657       0.5895
 3953.89       1.7504       0.6453
 3954.92       1.4263       0.6326
 3955.96       0.0432       0.5545
 3957.00       0.9989       0.5974
 3958.04       0.9926       0.5965
 3959.08       0.7564       0.5776
 3960.11       0.0295       0.5293
 3961.15      -0.0812       0.4881
 3962.19       0.6315       0.4972
 3963.23       0.3649       0.4771
 3964.26       1.2729       0.5133
 3965.30       0.6484       0.4698
 3966.34       0.7677       0.4510
 3967.38      -0.1069       0.3773
 3968.41       0.7662       0.3938
 3969.45       1.5182       0.4239
 3970.49       1.4433       0.4555
 3971.53       1.9198       0.5177
 3972.57       0.8495       0.4846
 3973.60       1.5381       0.5242
 3974.64       0.8226       0.5040
 3975.68       0.6054       0.5379
 3976.72       0.7517       0.5339
 3977.75       0.0890       0.5103
 3978.79       0.5720       0.5529
 3979.83       1.5560       0.6364
 3980.87       0.9525       0.6188
 3981.91       0.7415       0.5735
 3982.94       0.3492       0.5720
 3983.98       1.9477       0.6349
 3985.02       1.0230       0.5775
 3986.06       0.7034       0.5506
 3987.09       0.5562       0.5567
 3988.13       0.5690       0.5994
 3989.17      -0.0643       0.5657
 3990.21       0.3061       0.6064
 3991.25       1.5404       0.6552
 3992.28       1.6070       0.6630
 3993.32       0.3522       0.6583
 3994.36       0.3503       0.6691
 3995.40       0.4339       0.6024
 3996.43      -0.3398       0.5672
 3997.47       0.8113       0.6157
 3998.51       1.9567       0.7007
 3999.55       1.0241       0.6789
 4000.58       1.1513       0.7190
 4001.62       1.5428       0.7111
 4002.66      -0.2263       0.6521
 4003.70      -0.0678       0.6609
 4004.74       0.2844       0.6497
 4005.77       0.2429       0.6503
 4006.81       0.7458       0.6778
 4007.85      -0.0366       0.6754
 4008.89       2.3227       0.7898
 4009.92       2.1351       0.7908
 4010.96       0.5025       0.7220
 4012.00       1.1785       0.7440
 4013.04       2.1826       0.8085
 4014.08       0.6046       0.7281
 4015.11       0.5778       0.7122
 4016.15       0.3359       0.6916
 4017.19       1.6138       0.7328
 4018.23       0.6537       0.6995
 4019.26       1.4480       0.7310
 4020.30       0.7171       0.6888
 4021.34       1.0208       0.7074
 4022.38       0.3999       0.6674
 4023.42       0.0350       0.6425
 4024.45       0.2190       0.6811
 4025.49       0.4448       0.7028
 4026.53      -0.0021       0.6633
 4027.57       0.8562       0.6943
 4028.60      -0.2797       0.6217
 4029.64       0.1374       0.5996
 4030.68       0.0602       0.5854
 4031.72      -0.4135       0.5521
 4032.75      -0.1904       0.5779
 4033.79       0.8874       0.5980
 4034.83       1.9550       0.6679
 4035.87       1.1495       0.6429
 4036.91       0.5711       0.6487
 4037.94       1.4559       0.6957
 4038.98       0.2284       0.6406
 4040.02      -0.2051       0.6000
 4041.06       0.7487       0.6446
 4042.09       1.5324       0.6629
 4043.13      -0.9669       0.5408
 4044.17      -0.7346       0.5039
 4045.21       0.7939       0.5468
 4046.25       0.5011       0.5396
 4047.28       1.5340       0.6212
 4048.32       0.7924       0.6350
 4049.36      -0.2340       0.6020
 4050.40       0.2665       0.6065
 4051.43       1.2845       0.6288
 4052.47       1.1718       0.6027
 4053.51       0.2564       0.5658
 4054.55       1.0636       0.5886
 4055.58       0.5435       0.5571
 4056.62       0.7812       0.5323
 4057.66       0.0443       0.5424
 4058.70       1.0095       0.5725
 4059.74       0.3158       0.5698
 4060.77       0.1266       0.5629
 4061.81       0.2702       0.5369
 4062.85       0.0926       0.5063
 4063.89       0.2263       0.5008
 4064.92       0.2628       0.4944
 4065.96       0.3208       0.5199
 4067.00       1.0489       0.5469
 4068.04       0.3678       0.5140
 4069.08       0.4899       0.5415
 4070.11       0.8819       0.5321
 4071.15       0.4283       0.5068
 4072.19       1.1557       0.5210
 4073.23       1.2688       0.5312
 4074.26       1.1698       0.5479
 4075.30       1.5212       0.5460
 4076.34       1.1159       0.4969
 4077.38       0.4953       0.4806
 4078.42       0.4751       0.4755
 4079.45       0.4988       0.5115
 4080.49       1.4487       0.5544
 4081.53       0.9322       0.5435
 4082.57      -0.5219       0.4799
 4083.60       0.5751       0.5039
 4084.64       1.1215       0.5144
 4085.68       1.6284       0.5518
 4086.72       0.5041       0.5323
 4087.75       0.7408       0.5631
 4088.79       0.2508       0.5352
 4089.83       0.9676       0.5558
 4090.87       0.2683       0.5346
 4091.91       0.0249       0.5088
 4092.94       0.5841       0.5180
 4093.98      -0.2776       0.4795
 4095.02      -0.1291       0.4731
 4096.06       1.0087       0.5117
 4097.09       0.3312       0.4647
 4098.13       1.2357       0.4958
 4099.17      -0.1796       0.4212
 4100.21      -0.5195       0.4005
 4101.25       0.0632       0.3900
 4102.28       0.6578       0.4159
 4103.32       0.9420       0.4361
 4104.36       0.9630       0.4647
 4105.40       0.7638       0.4630
 4106.43       1.4919       0.4835
 4107.47       0.6703       0.4661
 4108.51       0.9943       0.4746
 4109.55       1.0268       0.4547
 4110.58      -0.6351       0.4074
 4111.62      -0.3860       0.4158
 4112.66       0.2761       0.4490
 4113.70       1.9146       0.5071
 4114.74       0.4354       0.4658
 4115.77       0.4489       0.4698
 4116.81       0.6447       0.4498
 4117.85       0.2949       0.4273
 4118.89       0.4352       0.4276
 4119.92       1.2336       0.4552
 4120.96       0.8659       0.4350
 4122.00       0.1064       0.4288
 4123.04      -0.1539       0.4066
 4124.08       0.8472       0.4365
 4125.11       1.9010       0.4744
 4126.15       1.5604       0.4633
 4127.19       0.8111       0.4241
 4128.23       0.3353       0.4166
 4129.26       0.6303       0.4301
 4130.30       1.1421       0.4393
 4131.34       1.2166       0.4386
 4132.38       0.7726       0.4142
 4133.42       0.8227       0.4121
 4134.45       1.7435       0.4599
 4135.49       0.6426       0.4267
 4136.53       1.5914       0.4745
 4137.57      -0.8020       0.4374
 4138.60       0.0969       0.4208
 4139.64       1.4100       0.4703
 4140.68       0.7266       0.4380
